사업장명칭,주사육업종,사업장소재지(지번),사육두수,동수,면적,데이터기준일자,관리부서 전화번호
만금농장,한우,전라남도 곡성군 목사동면 대곡리 896번지  ,280,9,2259.3,2024-08-28,061-360-8363
현대축산,한우,전라남도 곡성군 목사동면 공북리 477번지  ,50,3,1073,2024-08-28,061-360-8363
희망농장,한우,전라남도 곡성군 목사동면 대곡리 224번지 1호  ,18,2,337.5,2024-08-28,061-360-8363
호곡농장,한우,전라남도 곡성군 목사동면 범계리 57번지  ,18,2,337.5,2024-08-28,061-360-8363
삼산농장,한우,전라남도 곡성군 목사동면 대곡리 1261번지  ,10,2,456,2024-08-28,061-360-8363
행복한 농원,한우,전라남도 곡성군 목사동면 구룡리 100번지  ,20,1,326.4,2024-08-28,061-360-8363
세명2농장,한우,전라남도 곡성군 목사동면 공북리 644번지 1호  ,34,1,506.8,2024-08-28,061-360-8363
청룡농장,한우,전라남도 곡성군 목사동면 공북리 628번지 1호  ,21,2,348.8,2024-08-28,061-360-8363
호영농장,한우,전라남도 곡성군 목사동면 공북리 655번지 2호  ,79,2,767.8,2024-08-28,061-360-8363
희망농장,한우,전라남도 곡성군 목사동면 공북리 482번지  ,0,1,213,2024-08-28,061-360-8363
세명농장,한우,전라남도 곡성군 목사동면 공북리 644번지 3호  ,17,1,439.3,2024-08-28,061-360-8363
한천농장,젖소,전라남도 곡성군 목사동면 신전리 139번지  ,58,4,880.8,2024-08-28,061-360-8363
대복농장,돼지,전라남도 곡성군 목사동면 신전리 473번지  ,1000,2,2251.5,2024-08-28,061-360-8363
석련농장,육계,전라남도 곡성군 목사동면 대곡리 875번지 7호  ,68000,3,3481.5,2024-08-28,061-360-8363
규성농장,육계,전라남도 곡성군 목사동면 용봉리 640번지  ,40000,3,1984.8,2024-08-28,061-360-8363
율촌농장,한우,전라남도 곡성군 오산면 율천리 274번지  ,65,2,570,2024-08-28,061-360-8363
형재축산,한우,"전라남도 곡성군 삼기면 수산리 1번지 1호 ,54-15 ",27,4,666.07,2024-08-28,061-360-8363
춘원농장,젖소,전라남도 곡성군 삼기면 금반리 534번지 3호  ,75,1,1377.8,2024-08-28,061-360-8363
한아름농장,한우,전라남도 곡성군 목사동면 신전리 298번지  ,8,1,243,2024-08-28,061-360-8363
선화목장,젖소,전라남도 곡성군 목사동면 공북리 660번지  ,61,1,1318.73,2024-08-28,061-360-8363
수신농장,한우,전라남도 곡성군 옥과면 수리 633번지 20호  ,47,1,346,2024-08-28,061-360-8363
영신농장,한우,전라남도 곡성군 옥과면 수리 633번지 26호  ,40,2,472,2024-08-28,061-360-8363
다복축산,한우,전라남도 곡성군 옥과면 죽림리 184번지 2호  ,247,2,2073.6,2024-08-28,061-360-8363
재성농장,한우,"전라남도 곡성군 옥과면 리문리 119번지 ,118-1 ",0,1,1492,2024-08-28,061-360-8363
옥석농장,한우,전라남도 곡성군 옥과면 소룡리 941번지 2호  ,20,1,600,2024-08-28,061-360-8363
권준농장,한우,전라남도 곡성군 옥과면 무창리 1132번지 8호  ,35,1,349.66,2024-08-28,061-360-8363
무창농장,한우,전라남도 곡성군 옥과면 무창리 1132번지 10호  ,62,2,604,2024-08-28,061-360-8363
참샘골목장,젖소,전라남도 곡성군 옥과면 옥과리 691번지 2호 외 2필지 ,48,5,870.6,2024-08-28,061-360-8363
JM Farm,육계,"전라남도 곡성군 옥과면 주산리 850번지 4호 8,9,13 ",72000,5,2669.44,2024-08-28,061-360-8363
지은목장,젖소,전라남도 곡성군 겸면 가정리 643번지 4호  ,48,2,800,2024-08-28,061-360-8363
신기농장,한우,전라남도 곡성군 곡성읍 신기리 460번지 1호  ,20,1,734.52,2024-08-28,061-360-8363
토지농장,한우,전라남도 곡성군 곡성읍 대평리 1190번지 1호  ,59,1,720,2024-08-28,061-360-8363
곡성농장,한우,전라남도 곡성군 곡성읍 대평리 1190번지 4호  ,165,2,1396.14,2024-08-28,061-360-8363
상율농장,한우,전라남도 곡성군 곡성읍 대평리 1192번지 5호  ,27,2,465.7,2024-08-28,061-360-8363
종헌농장,한우,전라남도 곡성군 곡성읍 대평리 1190번지 6호  ,80,2,980,2024-08-28,061-360-8363
청정농장,한우,전라남도 곡성군 곡성읍 대평리 1183번지 15호  ,81,2,629,2024-08-28,061-360-8363
종대농장,한우,전라남도 곡성군 오곡면 오지리 718번지 1호  ,61,1,1270,2024-08-28,061-360-8363
하나농장,육계,전라남도 곡성군 오곡면 미산리 188번지 9호  ,31000,1,891,2024-08-28,061-360-8363
곡성양계장,육계,전라남도 곡성군 오곡면 미산리 751번지 66호 751-58 ,75000,5,2645,2024-08-28,061-360-8363
청계농장,한우,전라남도 곡성군 삼기면 청계리 341번지 1호  ,125,1,1253,2024-08-28,061-360-8363
도걸농장,한우,전라남도 곡성군 석곡면 구봉리 195번지 2호  ,34,1,633.9,2024-08-28,061-360-8363
동춘목장,젖소,전라남도 곡성군 석곡면 죽산리 385번지 1호  ,94,3,1804.7,2024-08-28,061-360-8363
트윈목장,젖소,전라남도 곡성군 석곡면 죽산리 61번지  ,128,2,2066.42,2024-08-28,061-360-8363
자동목장,젖소,전라남도 곡성군 석곡면 유정리 391번지 4호  ,37,2,706,2024-08-28,061-360-8363
산들농장,육계,전라남도 곡성군 석곡면 연반리 969번지 1호  ,50000,4,2568,2024-08-28,061-360-8363
성주농원,육계,전라남도 곡성군 석곡면 연반리 230번지  ,33000,3,1586.2,2024-08-28,061-360-8363
부부농장,한우,전라남도 곡성군 목사동면 신전리 822번지  ,7,1,81,2024-08-28,061-360-8363
순일농장,한우,전라남도 곡성군 죽곡면 화양리 243번지  ,21,3,702,2024-08-28,061-360-8363
황태자농장,젖소,전라남도 곡성군 죽곡면 고치리 648번지 1호  ,62,4,1181.3,2024-08-28,061-360-8363
찬미제2농장,돼지,전라남도 곡성군 죽곡면 원달리 709번지  ,3140,13,3253,2024-08-28,061-360-8363
맛디아농장,육계,전라남도 곡성군 죽곡면 봉정리 산 22번지 3호  ,0,5,6166.38,2024-08-28,061-360-8363
사림농장,육계,전라남도 곡성군 죽곡면 봉정리 178번지  ,47000,2,1828.8,2024-08-28,061-360-8363
우리농장,한우,전라남도 곡성군 죽곡면 신풍리 285번지 6호 285-7 ,12,1,295.84,2024-08-28,061-360-8363
장승농장,한우,전라남도 곡성군 곡성읍 대평리 1190번지 5호  ,34,1,750,2024-08-28,061-360-8363
원달농장,한우,"전라남도 곡성군 죽곡면 원달리 682번지 ,683 ",107,2,1825.6,2024-08-28,061-360-8363
외길목장,한우,전라남도 곡성군 오산면 연화리 221번지 6호  ,65,4,934.6,2024-08-28,061-360-8363
천우축산,한우,전라남도 곡성군 고달면 목동리 1119번지 3호  ,86,1,900,2024-08-28,061-360-8363
고달농장,돼지,전라남도 곡성군 고달면 대사리 19번지 1호 외 3필지 ,2810,7,3018.7,2024-08-28,061-360-8363
황산농장,한우,전라남도 곡성군 옥과면 황산리 96번지 2호  ,13,2,702,2024-08-28,061-360-8363
봉동농장,한우,전라남도 곡성군 오산면 봉동리 431번지 3호  ,31,2,352.3,2024-08-28,061-360-8363
주공농장,젖소,전라남도 곡성군 입면 삼오리 747번지 6호  ,33,2,632.5,2024-08-28,061-360-8363
필자농장,육계,전라남도 곡성군 입면 제월리 691번지 1호  ,45000,2,1980,2024-08-28,061-360-8363
귀평축산,종계/산란계,전라남도 곡성군 입면 송전리 820번지  ,122330,4,6116.5,2024-08-28,061-360-8363
다운농장,젖소,전라남도 곡성군 입면 서봉리 777번지 11호  ,97,2,1206.5,2024-08-28,061-360-8363
농업회사법인 팜스텍(주),돼지,전라남도 곡성군 입면 삼오리 715번지 10호  ,0,9,4422.92,2024-08-28,061-360-8363
제일축산,한우,전라남도 곡성군 고달면 고달리 621번지 6호  ,0,2,505,2024-08-28,061-360-8363
연곡농장,한우,전라남도 곡성군 죽곡면 연화리 15번지 1호  ,11,1,322,2024-08-28,061-360-8363
현성농장,한우,전라남도 곡성군 죽곡면 신풍리 270번지 10호  ,0,2,448,2024-08-28,061-360-8363
햇살농장,한우,전라남도 곡성군 목사동면 공북리 487번지  ,65,1,948,2024-08-28,061-360-8363
청송농장,한우,전라남도 곡성군 삼기면 원등리 735번지 1호  ,16,1,703,2024-08-28,061-360-8363
성화농장,돼지,전라남도 곡성군 오산면 단사리 314번지  ,2600,5,2601.58,2024-08-28,061-360-8363
다리목농장,한우,전라남도 곡성군 목사동면 수곡리 447번지  ,51,1,704,2024-08-28,061-360-8363
진영목장,젖소,전라남도 곡성군 겸면 마전리 1136번지 3호  ,43,3,1432.3,2024-08-28,061-360-8363
강남농장,육계,전라남도 곡성군 입면 제월리 690번지 1호  ,46000,2,1984.5,2024-08-28,061-360-8363
상신농장,한우,전라남도 곡성군 겸면 가정리 851번지 4호  ,18,1,330,2024-08-28,061-360-8363
이건농장,돼지,전라남도 곡성군 목사동면 용봉리 921번지 9호  ,1500,4,2404.9,2024-08-28,061-360-8363
사랑목장,한우,전라남도 곡성군 목사동면 신전리 434번지  ,3,1,1324.8,2024-08-28,061-360-8363
곡성축협농장,한우,전라남도 곡성군 고달면 뇌죽리 495번지 2호  ,350,2,3300,2024-08-28,061-360-8363
민수농장,오리,전라남도 곡성군 고달면 목동리 313번지 10호  ,15000,9,6330.4,2024-08-28,061-360-8363
삼화농장,한우,전라남도 곡성군 겸면 마전리 639번지 3호  ,120,1,1305,2024-08-28,061-360-8363
봉정농장,한우,전라남도 곡성군 죽곡면 봉정리 965번지 2호  ,19,2,384,2024-08-28,061-360-8363
초봉골농장,한우,전라남도 곡성군 입면 입석리 445번지 1호  ,40,2,792,2024-08-28,061-360-8363
정해농장,한우,전라남도 곡성군 목사동면 공북리 7번지 10호  ,35,2,720,2024-08-28,061-360-8363
수지농장,오리,전라남도 곡성군 입면 만수리 304번지 2호  ,20000,13,6709.8,2024-08-28,061-360-8363
모아축산,한우,전라남도 곡성군 목사동면 공북리 7번지 11호  ,52,3,832,2024-08-28,061-360-8363
창태농장,한우,전라남도 곡성군 석곡면 연반리 853번지  ,32,1,555.4,2024-08-28,061-360-8363
오대농장,한우,전라남도 곡성군 입면 송전리 1426번지 4호  ,6,1,380,2024-08-28,061-360-8363
옥이농장,한우,전라남도 곡성군 겸면 마전리 836번지 11호 836-13 ,50,2,1400,2024-08-28,061-360-8363
만흥농원,한우,전라남도 곡성군 죽곡면 삼태리 273번지 2호  ,11,2,540.6,2024-08-28,061-360-8363
흑석농장,한우,전라남도 곡성군 입면 만수리 653번지 13호  ,10,1,600,2024-08-28,061-360-8363
햇빛농장,한우,전라남도 곡성군 고달면 뇌죽리 534번지 8호  ,23,1,625,2024-08-28,061-360-8363
호화농장,한우,전라남도 곡성군 목사동면 범계리 189번지 1호  ,11,1,600,2024-08-28,061-360-8363
보광농장,한우,전라남도 곡성군 오산면 가곡리 837번지  ,64,1,567,2024-08-28,061-360-8363
푸른농장,한우,전라남도 곡성군 옥과면 리문리 457번지 13호  ,50,1,568,2024-08-28,061-360-8363
성산농장,한우,전라남도 곡성군 옥과면 무창리 644번지 1호  ,52,1,879.53,2024-08-28,061-360-8363
에덴목장,한우,전라남도 곡성군 옥과면 주산리 623번지  ,45,1,500,2024-08-28,061-360-8363
형제농장,한우,전라남도 곡성군 곡성읍 죽동리 98번지 1호  ,14,1,352,2024-08-28,061-360-8363
명주농장,한우,전라남도 곡성군 곡성읍 대평리 1191번지 4호  ,5,1,322,2024-08-28,061-360-8363
방죽골농장,한우,전라남도 곡성군 곡성읍 죽동리 332번지  ,18,1,410,2024-08-28,061-360-8363
오산농장,육계,전라남도 곡성군 오산면 가곡리 451번지 447-5 ,43400,5,2482,2024-08-28,061-360-8363
수정농장,한우,전라남도 곡성군 겸면 평장리 241번지 4호  ,32,1,778.32,2024-08-28,061-360-8363
기숙농장,오리,전라남도 곡성군 석곡면 당월리 634번지 7호  ,20000,10,7267,2024-08-28,061-360-8363
이레농장,오리,"전라남도 곡성군 삼기면 근촌리 190번지 6호 191-10, 190-5 ",14000,11,4785.3,2024-08-28,061-360-8363
햇살농장,한우,전라남도 곡성군 옥과면 죽림리 185번지 2호  ,0,1,905,2024-08-28,061-360-8363
민기농장,한우,전라남도 곡성군 석곡면 구봉리 197번지 2호  ,52,1,664.16,2024-08-28,061-360-8363
꼴짝농장,한우,전라남도 곡성군 죽곡면 봉정리 672번지  ,18,2,648,2024-08-28,061-360-8363
형제농장 2,한우,전라남도 곡성군 옥과면 무창리 1159번지 2호  ,70,1,913.5,2024-08-28,061-360-8363
부림농장,한우,전라남도 곡성군 삼기면 경악리 218번지 1호  ,9,2,307.98,2024-08-28,061-360-8363
대명한우농장,한우,전라남도 곡성군 겸면 대명리 701번지 1호  ,101,1,1134,2024-08-28,061-360-8363
진현건농장,한우,전라남도 곡성군 고달면 목동리 235번지 2호 235-9 ,55,2,760.5,2024-08-28,061-360-8363
민주농장,한우,전라남도 곡성군 죽곡면 태평리 443번지  ,10,1,373.5,2024-08-28,061-360-8363
리송농장,한우,전라남도 곡성군 겸면 괴정리 564번지 1호  ,23,2,528,2024-08-28,061-360-8363
구성축산,한우,전라남도 곡성군 오곡면 구성리 355번지  ,5,2,672.4,2024-08-28,061-360-8363
온수농장,한우,전라남도 곡성군 석곡면 온수리 170번지  ,13,1,235.2,2024-08-28,061-360-8363
민우농장,한우,전라남도 곡성군 옥과면 무창리 1130번지 10호 외 1필지 ,101,1,1637.75,2024-08-28,061-360-8363
현국농장,한우,전라남도 곡성군 석곡면 당월리 680번지 23호  ,8,1,226,2024-08-28,061-360-8363
수연농장,한우,전라남도 곡성군 옥과면 설옥리 719번지 4호 719-10 ,74,1,1024,2024-08-28,061-360-8363
아리울농장,한우,전라남도 곡성군 죽곡면 신풍리 261번지 7호  ,28,1,648,2024-08-28,061-360-8363
희망농장,육계,전라남도 곡성군 목사동면 공북리 204번지 2호  ,65000,2,2965.44,2024-08-28,061-360-8363
우성농장,오리,"전라남도 곡성군 목사동면 용봉리 909번지 1호 909-14, 914-2 ",18000,4,4984,2024-08-28,061-360-8363
맷골농장,한우,전라남도 곡성군 옥과면 합강리 578번지  ,22,3,490.8,2024-08-28,061-360-8363
동명농장,한우,전라남도 곡성군 겸면 송강리 411번지  ,20,1,1386,2024-08-28,061-360-8363
파란들농장,한우,전라남도 곡성군 곡성읍 장선리 294번지 2호  ,57,1,780,2024-08-28,061-360-8363
두성축산,한우,전라남도 곡성군 고달면 백곡리 1073번지 15호  ,6,2,396,2024-08-28,061-360-8363
수산농장,한우,전라남도 곡성군 삼기면 수산리 901번지 4호  ,11,1,168,2024-08-28,061-360-8363
장수농장,한우,전라남도 곡성군 곡성읍 대평리 1274번지 1호  ,106,1,1400,2024-08-28,061-360-8363
미산한우목장,한우,전라남도 곡성군 오곡면 미산리 698번지  ,49,1,840.96,2024-08-28,061-360-8363
금반농장,오리,전라남도 곡성군 삼기면 금반리 254번지  ,6000,4,2014.5,2024-08-28,061-360-8363
인동농장,오리,전라남도 곡성군 석곡면 당월리 635번지 5호  ,25000,8,6835.5,2024-08-28,061-360-8363
은혜농장,오리,전라남도 곡성군 입면 송전리 1149번지 4호 1150-1 ,0,7,6984,2024-08-28,061-360-8363
풍국농장,한우,전라남도 곡성군 목사동면 공북리 7번지 1호  ,60,1,883.8,2024-08-28,061-360-8363
섬진강농장,육계,전라남도 곡성군 오곡면 오지리 67번지 1호  ,600,1,229.5,2024-08-28,061-360-8363
한우별장,한우,전라남도 곡성군 곡성읍 신월리 305번지 8호  ,16,2,640,2024-08-28,061-360-8363
하나농장,한우,전라남도 곡성군 석곡면 죽산리 75번지 2호  ,38,1,567,2024-08-28,061-360-8363
장수농장,한우,전라남도 곡성군 곡성읍 구원리 969번지 15호 969-16 ,53,1,1250,2024-08-28,061-360-8363
햇살이고운농장,육계,전라남도 곡성군 죽곡면 신풍리 710번지 3호  ,7500,1,152,2024-08-28,061-360-8363
초봉골축산,한우,전라남도 곡성군 죽곡면 원달리 844번지  ,11,1,105,2024-08-28,061-360-8363
겸면농장,한우,전라남도 곡성군 겸면 남양리 244번지 1호  ,0,2,1592.9,2024-08-28,061-360-8363
우일축산,육계,전라남도 곡성군 겸면 마전리 838번지  ,200000,8,9633,2024-08-28,061-360-8363
칠봉농장,한우,전라남도 곡성군 겸면 칠봉리 86번지 2호  ,11,1,530,2024-08-28,061-360-8363
성수축산2농장,한우,전라남도 곡성군 오곡면 명산리 9번지 9호  ,84,1,900,2024-08-28,061-360-8363
자연먹은꺼먹돼지농장,돼지,전라남도 곡성군 석곡면 구봉리 274번지 11호  ,1102,6,1947,2024-08-28,061-360-8363
일흥농장,한우,전라남도 곡성군 옥과면 주산리 917번지 3호  ,17,1,243,2024-08-28,061-360-8363
에이치팜,돼지,전라남도 곡성군 곡성읍 구원리 296번지 3호  ,0,4,1124.21,2024-08-28,061-360-8363
서강목장,한우,전라남도 곡성군 목사동면 대곡리 1158번지  ,20,1,300,2024-08-28,061-360-8363
풍국2농장,오리,전라남도 곡성군 목사동면 공북리 8번지 6호  ,24500,9,9812,2024-08-28,061-360-8363
오성흑염소농장,산양,전라남도 곡성군 옥과면 주산리 687번지 1호  ,600,1,400,2024-08-28,061-360-8363
천평농장,한우,전라남도 곡성군 목사동면 범계리 117번지 1호  ,29,1,1399,2024-08-28,061-360-8363
선우농장,한우,전라남도 곡성군 곡성읍 죽동리 350번지  ,0,2,1389,2024-08-28,061-360-8363
SKY한우농장,한우,전라남도 곡성군 겸면 대명리 678번지 5호  ,104,1,1215,2024-08-28,061-360-8363
원평목장,한우,전라남도 곡성군 겸면 평장리 241번지 2호  ,16,1,774.4,2024-08-28,061-360-8363
봉정축산,한우,전라남도 곡성군 죽곡면 봉정리 234번지 3호  ,10,1,587.7,2024-08-28,061-360-8363
황새골농장,한우,전라남도 곡성군 삼기면 괴소리 202번지 1호  ,22,2,500,2024-08-28,061-360-8363
경희축산,한우,전라남도 곡성군 겸면 괴정리 985번지 3호  ,45,1,810,2024-08-28,061-360-8363
현정농장,오리,전라남도 곡성군 겸면 현정리 217번지 10호  ,0,8,7538.2,2024-08-28,061-360-8363
유봉농장,한우,전라남도 곡성군 죽곡면 동계리 451번지  ,4,2,438,2024-08-28,061-360-8363
최막동,한우,전라남도 곡성군 옥과면 설옥리 542번지 1호  ,4,1,92.56,2024-08-28,061-360-8363
알리바바 제2농장,육계,전라남도 곡성군 목사동면 죽정리 367번지 2호  ,150000,5,6512.7,2024-08-28,061-360-8363
김중영,한우,전라남도 곡성군 석곡면 능파리 481번지  ,2,1,219,2024-08-28,061-360-8363
샘물농장,한우,전라남도 곡성군 고달면 뇌죽리 451번지  ,29,1,500,2024-08-28,061-360-8363
산마루농장,한우,전라남도 곡성군 죽곡면 신풍리 626번지  ,4,1,96,2024-08-28,061-360-8363
대성농장,한우,전라남도 곡성군 죽곡면 봉정리 573번지 1호  ,15,1,246,2024-08-28,061-360-8363
영진농장,한우,전라남도 곡성군 죽곡면 봉정리 563번지  ,10,1,145.6,2024-08-28,061-360-8363
수농장,한우,전라남도 곡성군 겸면 마전리 779번지  ,14,1,364.5,2024-08-28,061-360-8363
고재농장,한우,전라남도 곡성군 목사동면 신전리 526번지 1호  ,17,1,200,2024-08-28,061-360-8363
두루농장,한우,전라남도 곡성군 입면 만수리 653번지 1호  ,25,1,567,2024-08-28,061-360-8363
진주농장,한우,전라남도 곡성군 석곡면 덕흥리 61번지 5호  ,39,1,320,2024-08-28,061-360-8363
