연번,사업장명칭,축종,사업장소재지,사육면적(제곱미터)
35,용산농장,한우,충청북도 진천군 초평면 용산리 105번지 4호  ,661
36,영광농장,한우,충청북도 진천군 초평면 용산리 218번지 4호  ,710
37,근원농장,돼지,충청북도 진천군 초평면 용산리 132번지  ,892
38,용산목장,한우,충청북도 진천군 초평면 용산리 62번지 2호  ,539
39,세영농장,한우,충청북도 진천군 초평면 용기리 659번지  ,925
40,구정농장,한우,충청북도 진천군 초평면 진암리 366번지  ,330
41,용산목장,한우,충청북도 진천군 초평면 용산리 462번지 1호  ,4175
42,거령농장,한우,"충청북도 진천군 초평면 용산리 404번지 407-5, 1044-18, 1044-31 ",3152
43,부자농장,한우,"충청북도 진천군 초평면 용산리 96번지 2호 , 95 ",1081
44,상학목장,한우,충청북도 진천군 이월면 내촌리 572번지 1호  ,330
45,수문목장,한우,충청북도 진천군 백곡면 대문리 288번지 1호  ,1530
46,두산목장,젖소,충청북도 진천군 덕산읍 5번지 2호  ,2549
47,한우리농장,종계/산란계,충청북도 진천군 문백면 계산리 산 50번지 1호  ,1765
48,두레목장,젖소,충청북도 진천군 이월면 신월리 478번지  ,3759
49,미호농장,오리,"충청북도 진천군 덕산읍 인산리 636번지 1호 637-3,637-2,637-1,636-3,636-2 ",5974
50,금한농장,한우,충청북도 진천군 초평면 금곡리 333번지 4호  ,560
51,상신목장,한우,충청북도 진천군 진천읍 상신리 244번지 5호  ,1584
52,원영농장,한우,충청북도 진천군 문백면 사양리 57번지 58-1 ,1676
53,신내목장,젖소,충청북도 진천군 초평면 영구리 249번지 4호  ,630
54,점촌목장,젖소,충청북도 진천군 초평면 영구리 313번지 2호 외 1필지(312-1) ,414
55,애니피그,돼지,충청북도 진천군 문백면 문덕리 456번지  ,8703
56,유진목장,젖소,충청북도 진천군 문백면 계산리 206번지  ,940
57,백일농장,오리,"충청북도 진천군 진천읍 문봉리 23번지 외 5필지(21,22-1,22-3,24,424-1) ",1885
58,청봉 농장,한우,충청북도 진천군 진천읍 송두리 산 97번지 14호 청봉농장 ,140
59,소망농장,한우,충청북도 진천군 문백면 계산리 455번지 13호  ,352
60,영일목장,젖소,충청북도 진천군 문백면 평산리 299번지 2호  ,527
61,병일농장,한우,충청북도 진천군 문백면 계산리 71번지 2호 외1필지(72-2) ,1391
62,개미목장,한우,충청북도 진천군 문백면 계산리 15번지  ,3656
63,선두목장,젖소,충청북도 진천군 초평면 금곡리 529번지 5호  ,1261
64,영진목장,젖소,충청북도 진천군 문백면 계산리 114번지 2호  ,412
65,초원농장,한우,충청북도 진천군 이월면 삼용리 산 112번지 9호 624-2 ,990
66,대림농장,한우,충청북도 진천군 광혜원면 월성리 304번지 4호  ,1752
67,석박농장,한우,충청북도 진천군 진천읍 사석리 323번지  ,2673
68,태농농장,돼지,충청북도 진천군 덕산읍 화상리 194번지 1호  ,2451
69,기빈농장,돼지,충청북도 진천군 이월면 신월리 824번지 15호  ,1751
70,미잠농장,돼지,충청북도 진천군 이월면 미잠리 93번지 2호  ,1210
71,부성농장,오리,충청북도 진천군 이월면 사곡리 233번지  ,2780
72,사곡목장,젖소,충청북도 진천군 이월면 사곡리 554번지 1호  ,435
73,우천목장,젖소,충청북도 진천군 이월면 사곡리 757번지  ,2472
74,성주목장,젖소,충청북도 진천군 이월면 사곡리 342번지  ,1728
75,화랑목장,젖소,충청북도 진천군 이월면 사곡리 887번지 21호  ,2145
76,심**목장,젖소,충청북도 진천군 이월면 신월리 232번지 1호 외 4필지 ,1339
77,승준목장,젖소,충청북도 진천군 이월면 신월리 395번지 24호  ,1153
78,제화목장,젖소,충청북도 진천군 진천읍 상계리 332번지 7호  ,1547
79,건양목장,젖소,충청북도 진천군 진천읍 상계리 146번지 1호  ,2178
80,푸른목장,젖소,충청북도 진천군 진천읍 사석리 582번지  ,2080
81,동골농장,돼지,충청북도 진천군 진천읍 문봉리 364번지  ,1348
82,만수목장,젖소,충청북도 진천군 진천읍 상계리 340번지  ,1587
83,대승농장,육계,충청북도 진천군 덕산읍 구산리 501번지 9호  ,3525
84,은혜목장,한우,충청북도 진천군 문백면 옥성리 111번지 1호  ,1253
85,서울목장,육우,충청북도 진천군 진천읍 사석리 66번지 7호  ,3300
86,승범농장,젖소,충청북도 진천군 진천읍 사석리 712번지 5호  ,1077
87,우영농장,오리,충청북도 진천군 덕산읍 석장리 33번지  ,2380
88,유니농장,오리,"충청북도 진천군 덕산읍 화상리 156번지 외 6필지(137-1, 150, 150-1, 150-3, 150-4, 156-3) ",3863
89,현 농장,한우,충청북도 진천군 초평면 용기리 24번지  ,357
90,선아목장,육우,충청북도 진천군 덕산읍 옥동리 149번지  ,1558
91,농업회사법인 주식회사 돈우정(가을농장 지점),돼지,충청북도 진천군 덕산읍 구산리 147번지 3호  ,1936
92,문봉리농장,돼지,충청북도 진천군 진천읍 문봉리 193번지 3호  ,594
93,동원목장,한우,"충청북도 진천군 초평면 용기리 283번지 11호 ,283-4,283-12 ",1712
94,사랑오리농장,오리,충청북도 진천군 문백면 계산리 107번지 2호  ,3930
95,제일농원,한우,충청북도 진천군 덕산읍 화상리 457번지 19호  ,1490
96,송천목장,젖소,"충청북도 진천군 진천읍 상계리 121번지 외2필지(643,644) ",2032
97,용소목장,젖소,충청북도 진천군 광혜원면 금곡리 517번지  ,745
98,동그라미목장,한우,충청북도 진천군 백곡면 대문리 295번지 1호  ,1650
99,만승농장,돼지,"충청북도 진천군 광혜원면 실원리 282번지 283, 287-1, 288 ",3171
100,엘림농장,돼지,충청북도 진천군 광혜원면 금곡리 414번지 1호  ,1508
101,풍년농장,돼지,충청북도 진천군 덕산읍 화상리 449번지  ,2079
102,성공목장,한우,충청북도 진천군 덕산읍 용몽리 277번지 외1필지(702-2) ,1205
103,산수농장,돼지,충청북도 진천군 덕산읍 산수리 33번지 15호  ,1900
104,청림농장,돼지,충청북도 진천군 덕산읍 옥동리 245번지  ,1405
105,미잠농장,한우,충청북도 진천군 이월면 미잠리 202번지 6호  ,1901
106,지용목장,한우,충청북도 진천군 이월면 삼용리 648번지  ,1150
107,금호진천농장(대표 정연권),돼지,충청북도 진천군 이월면 신월리 771번지  ,6066
108,양은목장,젖소,충청북도 진천군 초평면 영구리 261번지 2호  ,2140
109,선민농장,오리,충청북도 진천군 진천읍 행정리 387번지 1호  ,1886
110,한국돈농장,돼지,충청북도 진천군 이월면 신월리 827번지  ,3000
111,자성농장,한우,충청북도 진천군 이월면 미잠리 218번지 1호  ,660
112,삼용농장,돼지,충청북도 진천군 이월면 삼용리 798번지  ,682
113,명성,돼지,충청북도 진천군 이월면 신월리 423번지  ,1132
114,광성농장,한우,충청북도 진천군 이월면 송림리 158번지  ,2028
115,성지농장,돼지,충청북도 진천군 이월면 삼용리 693번지  ,2135
116,동은농장,한우,충청북도 진천군 이월면 중산리 628번지  ,644
117,주경목장,한우,충청북도 진천군 백곡면 양백리 667번지 518-5 ,1030
118,상경목장,젖소,충청북도 진천군 백곡면 갈월리 7번지  ,2668
119,황**목장,한우,충청북도 진천군 백곡면 용덕리 456번지  ,1771
120,연**농장,한우,충청북도 진천군 초평면 진암리 200번지  ,500
121,정선농장,돼지,충청북도 진천군 문백면 태락리 556번지  ,1780
122,모래봉농장,오리,충청북도 진천군 덕산읍 용몽리 5번지  ,2590
123,덕성농장,한우,충청북도 진천군 덕산읍 화상리 577번지 4호  ,614
124,완동농장,한우,충청북도 진천군 초평면 오갑리 276번지  ,1042
125,은혜목장,젖소,충청북도 진천군 광혜원면 광혜원리 922번지  ,1367
126,원대목장,젖소,충청북도 진천군 광혜원면 실원리 344번지  ,1008
127,재화목장,한우,충청북도 진천군 초평면 용기리 373번지 1호  ,223
128,일섭농장,한우,충청북도 진천군 광혜원면 월성리 215번지 9호  ,660
129,한밭뜰목장,한우,충청북도 진천군 광혜원면 회죽리 8번지 4호  ,1675
130,영호목장,한우,충청북도 진천군 광혜원면 월성리 214번지 3호  ,198
131,은경목장,한우,충청북도 진천군 광혜원면 실원리 627번지  ,469
132,농업회사법인 새이리팜 주식회사,돼지,충청북도 진천군 이월면 신월리 425번지 1호  ,3791
133,해승 농장,돼지,충청북도 진천군 이월면 사곡리 64번지  ,1584
134,꿀물농장,오리,충청북도 진천군 이월면 삼용리  ,3300
135,원고개목장,육우,충청북도 진천군 이월면 사곡리 139번지 15호  ,693
136,송현 농장,돼지,충청북도 진천군 백곡면 사송리 680번지  ,4306
137,새동네목장,젖소,충청북도 진천군 광혜원면 광혜원리 604번지  ,1023
138,장현목장,한우,충청북도 진천군 광혜원면 죽현리 1114번지  ,1092
139,농업회사법인(주)에버그린 진천지점,종계/산란계,충청북도 진천군 덕산읍 화상리 165번지 외 18필지 ,10621
140,숲속농장,한우,충청북도 진천군 진천읍 원덕리 168번지  ,1293
141,송두리농장,돼지,충청북도 진천군 진천읍 송두리 182번지  ,1578
142,최동준,한우,충청북도 진천군 진천읍 사석리 5번지 1호  ,1039
143,농업회사법인(주)삼성종돈,돼지,충청북도 진천군 문백면 계산리 11번지  ,2428
144,장군봉농축산,한우,충청북도 진천군 백곡면 구수리 28번지  ,1697
145,복기농장,한우,충청북도 진천군 이월면 노원리 370번지 1호  ,1016
146,옥녀봉농장,한우,충청북도 진천군 이월면 사곡리 153번지 4호  ,4075
147,민수농장,돼지,충청북도 진천군 문백면 계산리 81번지 3호  ,2508
148,경진목장,젖소,충청북도 진천군 광혜원면 실원리 125번지  ,2310
149,권농목장,젖소,충청북도 진천군 문백면 장월리 92번지 1호  ,2410
150,월곡농장,한우,충청북도 진천군 광혜원면 월성리 316번지  ,726
151,광혜원농장,돼지,충청북도 진천군 광혜원면 실원리 8번지  ,1468
152,시선목장,젖소,충청북도 진천군 광혜원면 실원리 237번지  ,1284
153,건농장,육계,"충청북도 진천군 덕산읍 인산리 1209번지 , 1210 ",5525
154,홈런목장,한우,충청북도 진천군 덕산읍 용몽리 278번지 4호  ,2022
155,신정농장,돼지,충청북도 진천군 덕산읍 신척리 626번지  ,2379
156,부강농장,돼지,충청북도 진천군 문백면 평산리 421번지  ,2391
157,수의농장,한우,충청북도 진천군 초평면 용기리 439번지  ,495
158,하늘목장,한우,충청북도 진천군 광혜원면 구암리 113번지 1호  ,618
159,서원농장,한우,"충청북도 진천군 이월면 노원리 563번지 4호 ,563-2 ",156
160,남경농장,돼지,충청북도 진천군 이월면 삼용리 852번지  ,1487
161,수평농장,한우,충청북도 진천군 이월면 사곡리 313번지  ,616
162,엄해열,육계,충청북도 진천군 이월면 신월리 산 92번지 1호  ,660
163,한마음농장,한우,충청북도 진천군 이월면 내촌리 857번지  ,396
164,상산목장,젖소,충청북도 진천군 문백면 사양리 141번지 1호  ,1645
165,필승목장,한우,충청북도 진천군 문백면 계산리 307번지  ,1952
166,가술농장,한우,충청북도 진천군 진천읍 지암리 426번지  ,478
167,주원농장,한우,충청북도 진천군 진천읍 사석리 390번지  ,322
168,사석농장,돼지,충청북도 진천군 진천읍 사석리 513번지 3호  ,1308
169,용소농장,한우,충청북도 진천군 광혜원면 금곡리 466번지  ,1377
170,제이엔농장,돼지,충청북도 진천군 백곡면 대문리 549번지 2호  ,988
171,상월농장,한우,충청북도 진천군 광혜원면 월성리 206번지 1호  ,347
172,동주원목장,젖소,충청북도 진천군 광혜원면 실원리 128번지  ,716
173,탁골목장,젖소,충청북도 진천군 광혜원면 실원리 371번지  ,376
174,자매목장,젖소,충청북도 진천군 문백면 계산리 15번지  ,727
175,농업회사법인 주식회사 해돈,돼지,충청북도 진천군 문백면 도하리 579번지 1호  ,9655
176,동은목장,한우,충청북도 진천군 이월면 노원리 970번지  ,646
177,도림농장,염소,"충청북도 진천군 이월면 사곡리 1104, 1105, 1106, 1107 ",1655
178,관배농장,한우,충청북도 진천군 이월면 사곡리 1094번지  ,990
179,웰빙농장,한우,충청북도 진천군 초평면 용산리 86번지 1호  ,2349
180,정임농장,돼지,충청북도 진천군 백곡면 구수리 426번지  ,1320
181,오가피 흑돼지 농장,돼지,충청북도 진천군 덕산읍 옥동리 27번지 12호  ,1089
182,종광농장,한우,충청북도 진천군 광혜원면 월성리 291번지  ,957
183,사곡리농장,돼지,충청북도 진천군 이월면 사곡리 산 27번지 1호  ,594
184,(주)드리밍에그,종계/산란계,충청북도 진천군 문백면 계산리 519번지  ,2414
185,농업회사법인 (주) 선진한마을 유전자원,돼지,충청북도 진천군 진천읍 장관리 596번지 25호  ,22604
186,도날드농장,오리,충청북도 진천군 진천읍 행정리 387번지 1호  ,1886
187,서산농장,돼지,충청북도 진천군 덕산읍 인산리 723번지  ,1985
188,중석한우,한우,충청북도 진천군 초평면 중석리 1183번지  ,165
189,택봉농장,사슴,충청북도 진천군 문백면 계산리 산 49번지  ,1000
190,장수골농장,한우,충청북도 진천군 백곡면 사송리 100번지 4호  ,1866
191,화산농장,오리,충청북도 진천군 이월면 신계리 362번지 2호  ,2310
192,진천농장,돼지,충청북도 진천군 이월면 중산리 648번지 36호 외 ,7622
193,성대농장,한우,충청북도 진천군 백곡면 성대리 1093번지 2호  ,160
194,노현농장,한우,"충청북도 진천군 초평면 용기리 967번지 28호 ,967-56,967-57 ",1037
195,태진,오리,충청북도 진천군 이월면 신월리 685번지 4호  ,2340
196,우람농장,한우,충청북도 진천군 덕산읍 용몽리 277번지 4호  ,192
197,석화농원,오리,충청북도 진천군 이월면 삼용리 785번지 3호  ,4980
198,은영농장,오리,충청북도 진천군 이월면 삼용리 149번지 1호  ,3922
199,초원농장,오리,충청북도 진천군 이월면 동성리 881번지  ,4906
200,용덕농장,한우,충청북도 진천군 백곡면 용덕리 457번지  ,192
201,한진농장,한우,충청북도 진천군 이월면 삼용리 87번지 5호  ,393
202,솔밭농장,한우,"충청북도 진천군 이월면 신월리 757번지 9호 757-7,757-16 ",711
203,농업회사법인(주)동일농장이월2지점,종계/산란계,충청북도 진천군 이월면 미잠리 294번지  ,1400
204,경란목장,한우,충청북도 진천군 이월면 신월리 76번지  ,1844
205,국민농장,돼지,충청북도 진천군 문백면 봉죽리 403번지 9호  ,8724
206,황금농장,육계,충청북도 진천군 이월면 사곡리 97번지  ,3100
207,우혁농장,오리,충청북도 진천군 덕산읍 기전리 466번지 3호  ,4984
208,부성농장,한우,충청북도 진천군 이월면 사곡리 235번지  ,1050
209,대복농장,돼지,충청북도 진천군 이월면 미잠리 446번지  ,990
210,사랑목장,한우,충청북도 진천군 초평면 영구리 288번지 9호  ,289
211,양산농장,한우,충청북도 진천군 초평면 용기리 394번지  ,168
212,인환농장,한우,충청북도 진천군 이월면 삼용리 653번지 4호  ,1011
213,충북농장,한우,충청북도 진천군 문백면 계산리 산 82번지 9호  ,2021
214,한별농장,육계,충청북도 진천군 초평면 중석리 1717번지  ,2079
215,용산농장,한우,충청북도 진천군 초평면 용산리 360번지 1호  ,526
216,미잠농장,한우,충청북도 진천군 이월면 미잠리 372번지 2호 외 1필지 ,154
217,광운농장,한우,충청북도 진천군 광혜원면 구암리 437번지  ,221
218,운석목장,한우,충청북도 진천군 초평면 용기리 967번지 42호  ,330
219,순용목장,한우,충청북도 진천군 진천읍 지암리 143번지 2호  ,240
220,도종한우,한우,충청북도 진천군 이월면 신월리 685번지 10호  ,1533
221,오갑농장,돼지,"충청북도 진천군 초평면 오갑리 724번지 1호 ,724-2 ",1404
222,라온팜스,돼지,충청북도 진천군 이월면 삼용리 715번지 1호  ,1689
223,원암농장,한우,충청북도 진천군 문백면 문덕리 240번지  ,2080
224,우성농장,한우,충청북도 진천군 문백면 문덕리 287번지  ,702
225,행복농장,한우,충청북도 진천군 초평면 용기리 10번지 1호  ,336
226,혜은목장,젖소,충청북도 진천군 문백면 옥성리 산 5번지  ,700
227,문백축산,오리,충청북도 진천군 문백면 봉죽리 산 18번지 1호  ,3437
228,참소목장,한우,충청북도 진천군 백곡면 대문리 293번지  ,1289
229,황금목장투,한우,충청북도 진천군 광혜원면 실원리 631번지 23호  ,1316
230,윤**농장,오리,충청북도 진천군 이월면 삼용리 산 96번지 6호  ,23100
231,문백농장,한우,충청북도 진천군 문백면 계산리 174번지 1호  ,1535
232,모니농장,한우,"충청북도 진천군 백곡면 성대리 1093번지 1호 , 1090-1 , 1090-2 ",590
233,송강사농장,한우,충청북도 진천군 이월면 사곡리 747번지  ,561
234,대정농장,육계,충청북도 진천군 이월면 동성리 783번지  ,3960
235,용진농장,한우,충청북도 진천군 백곡면 용덕리 125번지  ,330
236,창보목장,한우,충청북도 진천군 진천읍 상계리 323번지  ,768
237,동막농장,한우,충청북도 진천군 백곡면 대문리 730번지  ,544
238,우리농장,한우,충청북도 진천군 이월면 사당리 48번지 4호  ,705
239,태봉농장,한우,충청북도 진천군 진천읍 지암리 554번지 2호  ,768
240,오창농장,육계,"충청북도 진천군 문백면 은탄리 457번지 2호 , 457-5, 산92-1 ",10419
241,유림농장,돼지,충청북도 진천군 문백면 계산리 432번지  ,1993
242,성심목장,한우,충청북도 진천군 문백면 도하리 396번지 1호  ,1126
243,원농장,한우,"충청북도 진천군 초평면 용산리 462번지 1호 , 406-1 ",272
244,금성농장,한우,충청북도 진천군 초평면 오갑리 37번지  ,1395
245,성주농장,종계/산란계,충청북도 진천군 이월면 동성리 838번지  ,2082
246,수지농장,오리,충청북도 진천군 덕산읍 화상리 458번지  ,2808
247,으뜸농장,한우,충청북도 진천군 덕산읍 신척리 788번지  ,1481
248,원덕농장,한우,충청북도 진천군 진천읍 원덕리 194번지  ,854
249,진명 다하누농장,한우,충청북도 진천군 이월면 동성리 852번지  ,3507
250,현수농장,한우,충청북도 진천군 백곡면 대문리 182번지  ,393
251,문덕농장,한우,충청북도 진천군 문백면 문덕리 178번지 2호  ,283
252,오갑농장,오리,충청북도 진천군 초평면 오갑리 7번지  ,4676
253,대호농장,오리,"충청북도 진천군 이월면 삼용리 452번지 1호 , 452-2, 431-4 ",4809
254,팔팔농장,육계,충청북도 진천군 이월면 동성리 884번지  ,3795
255,뉴그린농장,한우,충청북도 진천군 광혜원면 월성리 291번지 외 1필지 ,1911
256,YK팜,한우,충청북도 진천군 초평면 용기리 504번지 1호  ,671
257,형운목장,한우,충청북도 진천군 덕산읍 합목리 544번지 1호  ,264
258,상준목장,한우,"충청북도 진천군 이월면 사곡리 911번지 1호 911-2, 911-3 ",1545
259,김**농장,한우,    ,313
260,대성농장,한우,충청북도 진천군 백곡면 용덕리 25번지 1호  ,632
261,종일농장,오리,충청북도 진천군 덕산읍 합목리 359번지 6호  ,5552
262,미루농장,한우,충청북도 진천군 덕산읍 신척리 771번지  ,564
263,엄지농장,오리,충청북도 진천군 덕산읍 인산리 699번지  ,4000
264,이**농장,한우,충청북도 진천군 진천읍 지암리 1153번지  ,396
265,백두산농장,젖소,"충청북도 진천군 덕산읍 인산리 628번지 1호 628-2, 729 ",2925
266,정연농장,오리,"충청북도 진천군 이월면 삼용리 1168번지 1169, 1170 ",6020
267,부자농장,한우,충청북도 진천군 초평면 진암리 528번지  ,1915
268,해든농장,오리,충청북도 진천군 초평면 용산리 819번지 외 3필지 ,4530
269,샤론농장,종계/산란계,충청북도 진천군 초평면 오갑리 311번지  ,4792
270,YK팜,한우,충청북도 진천군 초평면 용기리 741번지  ,1680
271,친친농장,육계,충청북도 진천군 덕산읍 용몽리 978번지  ,4599
272,우중목장,한우,충청북도 진천군 초평면 영구리 250번지 2호  ,1066
273,백두농장,한우,충청북도 진천군 백곡면 구수리 202번지  ,384
274,정애농장,한우,충청북도 진천군 이월면 신월리 387번지  ,1425
275,소사리골농장,한우,충청북도 진천군 문백면 계산리 산 82번지 7호 문백면 계산리 86 ,2449
276,우진농장,육계,충청북도 진천군 이월면 동성리 836번지  ,3960
277,권농제2목장,젖소,충청북도 진천군 문백면 사양리 63번지  ,2898
278,창성농장,오리,충청북도 진천군 덕산읍 인산리 1195번지  ,10162
279,낙천그린농장,육계,충청북도 진천군 진천읍 상신리 589번지  ,2173
280,승범목장,젖소,충청북도 진천군 진천읍 사석리 576번지  ,3076
281,지암농장,육계,충청북도 진천군 진천읍 지암리 1200번지  ,3752
282,에그랑농장,종계/산란계,충청북도 진천군 초평면 오갑리 73번지  ,2310
283,은혜커농장,육계,충청북도 진천군 초평면 중석리 1707번지  ,3768
284,토마루농장,한우,충청북도 진천군 초평면 진암리 222번지 1호  ,835
285,실원농장,한우,충청북도 진천군 광혜원면 실원리 450번지 1호  ,109
286,턱골농장,한우,충청북도 진천군 문백면 계산리 14번지 4호  ,312
287,시골농장,육계,충청북도 진천군 백곡면 양백리 270번지 1호  ,870
288,덕산농장,종계/산란계,충청북도 진천군 덕산읍 인산리 1180번지  ,3105
289,윗만디 사슴농장,사슴,충청북도 진천군 광혜원면 죽현리 820번지  ,193
290,기영농장2,한우,충청북도 진천군 초평면 용기리 742번지  ,660
291,도원농장,육계,충청북도 진천군 초평면 용기리 1번지 6호  ,2784
292,동표농장,한우,충청북도 진천군 초평면 용정리 676번지 3호  ,200
293,구암농장,한우,충청북도 진천군 초평면 용기리 1125번지  ,369
294,사곡농장,한우,충청북도 진천군 초평면 진암리 106번지  ,330
295,진택목장,한우,충청북도 진천군 백곡면 대문리 287번지  ,535
296,길종농장,한우,충청북도 진천군 초평면 용기리 7번지 2호  ,384
297,청남농장,메추리,충청북도 진천군 광혜원면 실원리 208번지  ,1467
298,참소목장Ⅱ,한우,충청북도 진천군 백곡면 구수리 411번지 2호  ,640
299,중노사슴목장,사슴,충청북도 진천군 백곡면 갈월리 211번지 2호  ,66
300,부자농장,사슴,충청북도 진천군 광혜원면 광혜원리 61번지 2호  ,405
301,진로목장,한우,충청북도 진천군 덕산읍 인산리 478번지 5호  ,308
302,준경목장,한우,충청북도 진천군 이월면 삼용리 565번지  ,324
303,화랑농장,한우,충청북도 진천군 광혜원면 금곡리 150번지 1호  ,399
304,성암목장,한우,충청북도 진천군 진천읍 사석리 118번지 1호  ,54
305,도하목장,한우,충청북도 진천군 문백면 도하리 195번지 2호  ,198
306,은행정농장,한우,충청북도 진천군 이월면 사곡리 184번지  ,198
307,은호농장,한우,충청북도 진천군 초평면 용산리 451번지 2호  ,511
308,윤**농장,한우,충청북도 진천군 초평면 용기리 204번지  ,365
309,진영축산,육계,충청북도 진천군 덕산읍 산수리 924번지 925 삼용리 1193 1195 1196 ,5956
310,미래축산,육계,충청북도 진천군 이월면 동성리 783번지 1호  ,1980
311,농업회사법인(주)유정마을 진천지점,종계/산란계,충청북도 진천군 진천읍 상신리 566번지 567 ,4933
312,연곡농장,한우,충청북도 진천군 진천읍 연곡리 142번지 9호  ,409
313,윤**농장,오리,"충청북도 진천군 이월면 삼용리 553번지 1호 외2(554,554-1) ",3589
314,늘푸른목장,염소,충청북도 진천군 초평면 용기리 834번지 1호  ,336
315,덕산 흑염소 농장,염소,충청북도 진천군 덕산읍 용몽리 190번지 1호  ,513
316,화성농장,사슴,충청북도 진천군 광혜원면 광혜원리 650번지 2호  ,54
317,선농장,육계,충청북도 진천군 진천읍 상신리 573번지  ,2091
318,구산농장,돼지,충청북도 진천군 이월면 미잠리 235번지  ,1364
319,푸른농장,염소,충청북도 진천군 초평면 용기리 213번지 3호  ,376
320,은애농장,한우,충청북도 진천군 문백면 계산리 3번지 5호  ,365
321,우리농장,한우,충청북도 진천군 문백면 계산리 산 70번지 1호  ,1763
322,부림1농장,육계,충청북도 진천군 진천읍 상신리 592번지  ,4015
323,용산사슴농장,사슴,충청북도 진천군 초평면 용기리 513번지  ,390
324,태원농장,육계,충청북도 진천군 이월면 삼용리 1099번지  ,4800
325,대문목장,한우,충청북도 진천군 백곡면 대문리 30번지 3호  ,172
326,꿀벌농장,육계,충청북도 진천군 초평면 용기리 385번지  ,2325
327,신용 흑염소농장,염소,충청북도 진천군 이월면 중산리 521번지 5호  ,297
328,YK팜,한우,충청북도 진천군 초평면 용기리 736번지  ,968
329,산기슭목장,젖소,충청북도 진천군 이월면 동성리 790번지  ,2040
330,진천 염소 농장,염소,충청북도 진천군 문백면 태락리 84번지  ,330
331,유옥농장,한우,충청북도 진천군 진천읍 상계리 480번지  ,198
332,장원농장,육계,충청북도 진천군 진천읍 상신리 551번지  ,2909
333,은행정농장,한우,충청북도 진천군 이월면 사곡리 151번지  ,192
334,은행정목장,한우,충청북도 진천군 이월면 사곡리 798번지  ,254
335,레인보우 목장,젖소,충청북도 진천군 진천읍 가산리 689번지  ,1760
336,상신농장,한우,충청북도 진천군 진천읍 상신리 597번지 598 ,2790
337,우리농장,돼지,충청북도 진천군 이월면 노원리 1015번지 6호  ,396
338,신영농장,육계,충청북도 진천군 이월면 동성리 404번지 3호  ,1355
339,개미목장,한우,충청북도 진천군 문백면 계산리 18번지  ,1411
340,석농장,염소,충청북도 진천군 초평면 용기리 452번지 2호  ,602
341,청산농장,한우,충청북도 진천군 이월면 신월리 724번지  ,729
