농장명,주사육업종,축종,소재지(지번),소재지(도로명),규모(제곱미터),사육두수,데이터기준일자
현미농장,한우,한우,충청남도 부여군 충화면 현미리 197번지  ,,1196.63,20,2026-01-30
내지리양계장,육계,육계,충청남도 부여군 은산면 내지리 219번지 2호  ,,3003,56000,2026-01-30
석성농장,돼지,돼지,충청남도 부여군 석성면 증산리 1198번지 1호  ,,1158.8,1000,2026-01-30
명현석성농장,돼지,돼지,충청남도 부여군 석성면 증산리 1198번지 1호  ,충청남도 부여군 석성면 종북로 33-37,1158.8,1000,2026-01-30
라온,한우,한우,충청남도 부여군 초촌면 신암리 174번지  ,충청남도 부여군 초촌면 신암로 247-9,400,18,2026-01-30
성인농장,육계,육계,충청남도 부여군 임천면 군사리 437번지  ,충청남도 부여군 임천면 가림로 655-6,1053,20000,2026-01-30
양화목장,젖소,젖소,충청남도 부여군 양화면 벽용리 산 88번지 1호  ,,1382,85,2026-01-30
우미한우농장,한우,한우,충청남도 부여군 홍산면 토정리 215번지  ,충청남도 부여군 홍산면 북토로197번길 19,2349.5,70,2026-01-30
가나안복지농장,육계,육계,충청남도 부여군 외산면 장항리 11번지  ,충청남도 부여군 외산면 복덕로 59-31,3617,70000,2026-01-30
보성농장,육계,육계,충청남도 부여군 외산면 화성리 65번지 5호  ,충청남도 부여군 외산면 조령서로 218-89,4192.8,75000,2026-01-30
농업회사법인(주)해피피그,돼지,돼지,충청남도 부여군 초촌면 응평리 449번지  ,충청남도 부여군 초촌면 응신길 39,1429.59,900,2026-01-30
대성농장,돼지,돼지,충청남도 부여군 초촌면 응평리 443번지 6호  ,,850.5,2000,2026-01-30
능산목장,한우,한우,충청남도 부여군 부여읍 능산리 87번지  ,충청남도 부여군 부여읍 신암로 19-49,382.46,28,2026-01-30
동문농장,육계,육계,충청남도 부여군 부여읍 염창리 252번지 2호  ,충청남도 부여군 부여읍 염창로 49,2735,50000,2026-01-30
하나팜스,종계/산란계,,충청남도 부여군 장암면 점상리 43번지  ,,4437.04,0,2026-01-30
마정농장,한우,육우,충청남도 부여군 장암면 점상리 411-1 외1(907-1) ,,832.35,30,2026-01-30
부림농장,한우,한우,충청남도 부여군 양화면 암수리 26번지 1호 외 1필지(26-13) ,충청남도 부여군 양화면 유왕로 122-38,611.55,100,2026-01-30
원용목장,젖소,젖소,충청남도 부여군 부여읍 염창리 292번지 외 10필지 ,,1548.75,75,2026-01-30
모리농장,육계,육계,"충청남도 부여군 규암면 모리 212 외2(212-4,212-5) ",충청남도 부여군 규암면 충절로 2681-16,1518.44,7000,2026-01-30
띠울농장,육계,육계,충청남도 부여군 규암면 모리 210번지  ,,994,11000,2026-01-30
유리농장,육계,육계,충청남도 부여군 외산면 수신리 268번지  ,충청남도 부여군 외산면 만수로 963-26,1996.48,35000,2026-01-30
준태농장,한우,한우,충청남도 부여군 남면 금천리 410번지 2호  ,충청남도 부여군 남면 금천서로8번길 13,495.96,59,2026-01-30
명천목장,한우,한우,충청남도 부여군 임천면 만사리 235번지 1호 외 1필지(만사리 233-1) ,,1772.06,97,2026-01-30
은산목장,한우,한우,"충청남도 부여군 은산면 내지리 560외 2(560-1,560-2) ",충청남도 부여군 은산면 내대로130번길 108-18,1071.23,107,2026-01-30
영재농장,돼지,돼지,충청남도 부여군 은산면 홍산리 108번지 13호  ,,3199.14,1100,2026-01-30
현대농장,육계,육계,충청남도 부여군 남면 삼용리 327번지 17호  ,,2483.6,0,2026-01-30
은비농장,육계,육계,충청남도 부여군 세도면 청송리 66번지 3호  ,,2616,40000,2026-01-30
세원농장,돼지,돼지,충청남도 부여군 초촌면 초평리 157번지 1호  ,충청남도 부여군 초촌면 초평로216번길 8-23,2050,1800,2026-01-30
나령농장,한우,한우,충청남도 부여군 은산면 나령리 313번지  ,충청남도 부여군 은산면 충절로나령1길 13-6,1109.76,40,2026-01-30
우리축산,한우,한우,충청남도 부여군 은산면 회곡리 286번지 외 1필지 ,,553.38,20,2026-01-30
충화목장,한우,한우,충청남도 부여군 충화면 만지리 1번지 1호  ,,1489.86,113,2026-01-30
천보산농장,돼지,돼지,충청남도 부여군 홍산면 상천리 247번지  ,,961.1,1000,2026-01-30
영화목장,한우,한우,충청남도 부여군 임천면 칠산리 62번지 2호  ,,1191.75,100,2026-01-30
산성농원,돼지,돼지,충청남도 부여군 석성면 석성리 257번지  ,충청남도 부여군 석성면 금백로 140,3696.3,2500,2026-01-30
제일목장,젖소,,충청남도 부여군 석성면 증산리 776번지 1호 외 1필지(776-4) ,,1172,0,2026-01-30
오산목장,한우,한우,충청남도 부여군 부여읍 능산리 426번지  ,,527.99,20,2026-01-30
한우농장,한우,한우,충청남도 부여군 규암면 나복리 581번지 8호  ,,4373.56,50,2026-01-30
아라농장,한우,한우,충청남도 부여군 구룡면 죽절리 60번지 1호  ,충청남도 부여군 구룡면 충의로11번길 73-15,436.46,20,2026-01-30
팔충농장,한우,한우,"충청남도 부여군 충화면 팔충리 466-1 외8(467-1,458,458-1,458-2,462-1,462-2,462-3,462-9) ",충청남도 부여군 충화면 팔충로 869-32,1938.07,193,2026-01-30
삼영농장Ⅰ,한우,한우,"충청남도 부여군 석성면 석성리 819번지 외9(815,816,820-1,929,930,931,932-1,821-5,820-2) ",충청남도 부여군 석성면 석성남로 64,6237.3,900,2026-01-30
정구농장,한우,한우,충청남도 부여군 은산면 경둔리 339번지  ,,525,20,2026-01-30
온마목장,젖소,젖소,충청남도 부여군 내산면 온해리 632번지  ,,907.25,50,2026-01-30
자연,돼지,돼지,충청남도 부여군 부여읍 신정리 39번지  ,충청남도 부여군 부여읍 대울로 172-65,3334.2,1500,2026-01-30
해치농장,육계,육계,충청남도 부여군 내산면 온해리 41번지  ,충청남도 부여군 내산면 성충로해치길 19,3641,60000,2026-01-30
수덕성농장,육계,육계,충청남도 부여군 세도면 수고리 998번지  ,충청남도 부여군 세도면 해촌로63번길 102,1497.6,40000,2026-01-30
재영농장,한우,한우,충청남도 부여군 임천면 만사리 639번지 1호  ,,480,20,2026-01-30
재건농장,한우,한우,충청남도 부여군 세도면 반조원리 350번지 2호  ,충청남도 부여군 세도면 세도로 417,468.21,30,2026-01-30
유일농장,한우,한우,충청남도 부여군 세도면 수고리 18번지 2호  ,,495,30,2026-01-30
연화농장,한우,한우,"충청남도 부여군 석성면 증산리 120번지 2호 외2필지(120-4, 5) ",,1122.8,14,2026-01-30
낙원축산,돼지,돼지,충청남도 부여군 석성면 현내리 116번지  ,충청남도 부여군 석성면 금백로 334-15,3524.07,1500,2026-01-30
이화농장,돼지,돼지,"충청남도 부여군 은산면 금공리 311번지 2호 외 5필지(311, 311-3,4,5,6) ",충청남도 부여군 은산면 지천로 125-65,3018.96,1500,2026-01-30
우정목장,젖소,젖소,충청남도 부여군 장암면 지토리 21번지 외 1필지 ,충청남도 부여군 장암면 사동로태동3길 106,1700,80,2026-01-30
부여목장,젖소,젖소,충청남도 부여군 장암면 정암리 11번지  ,충청남도 부여군 장암면 의자로 995-25,3868.01,100,2026-01-30
늘푸른농장,돼지,돼지,충청남도 부여군 석성면 증산리 55번지 8호 외 17필지 ,충청남도 부여군 석성면 비당로320번길 33,2122.98,1500,2026-01-30
수신양계장,육계,육계,충청남도 부여군 외산면 수신리 374번지 2호  ,,2627.6,45000,2026-01-30
대건농장,육계,"한우, 육계",충청남도 부여군 외산면 수신리 264번지  ,충청남도 부여군 외산면 만수로 969-28,2075.5,30018,2026-01-30
상서목장,젖소,,"충청남도 부여군 옥산면 상기리 53번지 9호 외3필지(53-10, 학산리 373-1,2) ",,2376.65,0,2026-01-30
더 하누,한우,,충청남도 부여군 옥산면 가덕리 108번지  ,충청남도 부여군 옥산면 옥산동로 310-23,633.6,0,2026-01-30
창리농장,한우,한우,충청남도 부여군 석성면 봉정리 177번지 1호  ,충청남도 부여군 석성면 석성남로 229,387.5,20,2026-01-30
반석농장,육계,육계,충청남도 부여군 석성면 봉정리 603번지  ,충청남도 부여군 석성면 석성남로 144-36,2995,50000,2026-01-30
황진목장,한우,한우,충청남도 부여군 석성면 석성리 681번지  ,충청남도 부여군 석성면 석성향교길 36,1021,70,2026-01-30
세원축산,한우,한우,충청남도 부여군 구룡면 구봉리 384번지 1호  ,충청남도 부여군 구룡면 충의로 78-12,1300,60,2026-01-30
홍보연 축사,종계/산란계,육계,충청남도 부여군 남면 송암리 193번지 7호 외 1필지(193-8) ,충청남도 부여군 남면 남성로568번길 56,1710.5,33000,2026-01-30
하천농장,한우,한우,충청남도 부여군 충화면 천당리 140번지 1호  ,,958.66,30,2026-01-30
수지목장,젖소,젖소,충청남도 부여군 충화면 만지리 393번지 2호  ,,2532.91,115,2026-01-30
가을목장,젖소,젖소,충청남도 부여군 충화면 청남리 126번지 3호  ,충청남도 부여군 충화면 충신로 316,2326.05,26,2026-01-30
지혜목장,한우,"한우, 육우",충청남도 부여군 임천면 군사리 409번지  ,충청남도 부여군 임천면 성흥로 56-6,2045.4,190,2026-01-30
남성목장,한우,한우,충청남도 부여군 임천면 만사리 215번지  ,충청남도 부여군 임천면 만가로122번길 58-12,313.38,30,2026-01-30
칠산목장,한우,한우,충청남도 부여군 임천면 칠산리 140번지 1호  ,,1006.8,30,2026-01-30
미윤목장,젖소,젖소,"충청남도 부여군 장암면 점상리 245번지 1호 외 3필지(236-3, 244-1, 246-1) ",,1834.84,0,2026-01-30
우스목장,한우,한우,충청남도 부여군 석성면 봉정리 781번지  ,충청남도 부여군 석성면 석성로 224-19,1276,4,2026-01-30
신대농장,한우,한우,충청남도 부여군 규암면 합송리 165번지 9호  ,충청남도 부여군 규암면 합송서로 186-99,1318,50,2026-01-30
송이목장,젖소,"육우, 젖소",충청남도 부여군 외산면 반교리 279번지 1호  ,충청남도 부여군 외산면 반교서로 40-27,468.66,25,2026-01-30
선호농장,육계,육계,충청남도 부여군 내산면 금지리 71번지 2호  ,충청남도 부여군 내산면 삽티로 576,3399,60000,2026-01-30
하은농장,육계,육계,충청남도 부여군 임천면 점리 564번지 3호 외 3필지 ,,1643.5,40000,2026-01-30
푸른농장,육계,육계,충청남도 부여군 석성면 비당리 402번지  ,충청남도 부여군 석성면 비당로247번길 34-28,3275.6,23000,2026-01-30
가증농장,한우,한우,충청남도 부여군 부여읍 가증리 159번지 1호  ,충청남도 부여군 부여읍 삼충로120번길 39,555.02,30,2026-01-30
성헌목장,젖소,젖소,충청남도 부여군 은산면 경둔리 123번지  ,,1700,50,2026-01-30
율암육계,육계,육계,충청남도 부여군 내산면 율암리 490번지  ,,2488.5,45000,2026-01-30
대진농장,한우,한우,충청남도 부여군 부여읍 신정리 231번지  ,충청남도 부여군 부여읍 대울로 172-46,1679.78,100,2026-01-30
한우농장,한우,한우,충청남도 부여군 은산면 가중리 300번지  ,충청남도 부여군 은산면 은남로130번길 25-20,193.6,19,2026-01-30
건영농장,육우,육우,충청남도 부여군 초촌면 소사리 619번지 2호  ,,726,30,2026-01-30
하늘농장,한우,한우,충청남도 부여군 은산면 대양리 294번지  ,충청남도 부여군 은산면 충절로대양7길 77,3689.29,368,2026-01-30
한우농장,한우,한우,충청남도 부여군 외산면 전장리 199번지 4호  ,충청남도 부여군 외산면 만수로 587,899.4,30,2026-01-30
고센농장,육계,,충청남도 부여군 부여읍 저석리 430번지 2호  ,,856.44,0,2026-01-30
호암축산,한우,한우,충청남도 부여군 남면 송암리 271번지 1호  ,충청남도 부여군 남면 남성로 605,608,50,2026-01-30
부여축협생축사업장,한우,한우,충청남도 부여군 임천면 점리 산 101번지 1호  ,충청남도 부여군 임천면 충절로1462번길 92,6388.5,65,2026-01-30
대양농장,한우,한우,충청남도 부여군 장암면 석동리 20번지  ,충청남도 부여군 장암면 석동로 149-14,1368.47,50,2026-01-30
청송농장,한우,한우,충청남도 부여군 세도면 청송리 246번지 3호  ,,396,30,2026-01-30
반조원축산,한우,한우,충청남도 부여군 세도면 반조원리 218번지 1호  ,충청남도 부여군 세도면 세도로 454-7,865,50,2026-01-30
두레축산,한우,한우,충청남도 부여군 부여읍 송곡리 363번지 3호  ,,1150,30,2026-01-30
종남농장,한우,한우,충청남도 부여군 은산면 은산리 33번지 6호  ,충청남도 부여군 은산면 충의로 577-6,320,19,2026-01-30
화성농장,한우,한우,충청남도 부여군 외산면 화성리 578번지 1호 578-3 ,충청남도 부여군 외산면 조령서로73번길 25,665.43,50,2026-01-30
남면농장,육계,육계,충청남도 부여군 남면 내곡리 215번지 9호  ,충청남도 부여군 남면 남성로 310,1389.34,0,2026-01-30
석영농장,한우,한우,충청남도 부여군 양화면 수원리 540번지 1호  ,,275.38,27,2026-01-30
병호농장,한우,한우,충청남도 부여군 은산면 회곡리 2-1번지  ,,233.6,20,2026-01-30
현대농장,육계,육계,충청남도 부여군 외산면 장항리 380번지  ,충청남도 부여군 외산면 만수로 335,2470.41,35000,2026-01-30
수목장,한우,한우,충청남도 부여군 구룡면 죽절리 2번지 1호  ,충청남도 부여군 구룡면 충의로 121-3,401.2,20,2026-01-30
충석목장,육우,육우,충청남도 부여군 구룡면 죽절리 1번지 1호  ,,504,70,2026-01-30
종합농장,한우,육우,충청남도 부여군 장암면 석동리 260번지  ,충청남도 부여군 장암면 석동로 149-14,6089.08,300,2026-01-30
성지목장,젖소,젖소,충청남도 부여군 장암면 지토리 913번지 1호  ,충청남도 부여군 장암면 위덕로성북2길 20,2247.5,80,2026-01-30
에스비팜부여 농업회사법인 주식회사,돼지,돼지,충청남도 부여군 석성면 증산리 300번지 1호  ,충청남도 부여군 석성면 증산천길 112,2340,1000,2026-01-30
오밭농장,한우,한우,충청남도 부여군 양화면 송정리 418번지 1호  ,충청남도 부여군 양화면 양화북로233번길 72,3236.3,100,2026-01-30
상원육계,육계,육계,충청남도 부여군 임천면 점리 288번지  ,,4295,80000,2026-01-30
선우농장,한우,한우,충청남도 부여군 초촌면 송국리 205번지  ,충청남도 부여군 초촌면 선사로225번길 11-9,95.9,5,2026-01-30
미성농장,한우,한우,충청남도 부여군 초촌면 송정리 311번지 10호  ,,600,20,2026-01-30
형제목장,한우,한우,충청남도 부여군 내산면 온해리 121번지  ,,1095.18,157,2026-01-30
송학농장,육계,육계,충청남도 부여군 남면 송학리 195번지 1호  ,,3341.13,0,2026-01-30
자매목장,젖소,젖소,충청남도 부여군 양화면 벽용리 102번지  ,충청남도 부여군 양화면 양화북로62번길 22-49,1046.96,50,2026-01-30
삼정팜,돼지,돼지,충청남도 부여군 양화면 수원리 329번지 3호  ,,1795.74,1400,2026-01-30
움트목장,젖소,젖소,충청남도 부여군 세도면 청송리 605번지  ,충청남도 부여군 세도면 세도로 119-10,1121.1,60,2026-01-30
명성농장,한우,한우,충청남도 부여군 초촌면 신암리 818번지 3호  ,충청남도 부여군 초촌면 응신길 315,1176,100,2026-01-30
대광목장,한우,한우,충청남도 부여군 은산면 대양리 181번지 2호  ,,846,50,2026-01-30
임천농장,한우,"한우, 육계",충청남도 부여군 임천면 점리 110번지  ,,3955.8,50070,2026-01-30
SM농장,육계,,"충청남도 부여군 초촌면 소사리 619번지 4호 외2필지(619-13, 14) ",,3015.02,0,2026-01-30
운성농장,한우,육우,충청남도 부여군 부여읍 송곡리 393번지 2호  ,충청남도 부여군 부여읍 삼충로 180-20,1377.71,50,2026-01-30
용두축산,한우,한우,충청남도 부여군 은산면 신대리 117번지 7호  ,충청남도 부여군 은산면 충의로749번길 21,330,10,2026-01-30
장벌리축산,한우,한우,충청남도 부여군 은산면 장벌리 201번지 3호  ,,750,25,2026-01-30
효성목장,젖소,젖소,충청남도 부여군 남면 금천리 308번지 24호  ,,1285.87,22,2026-01-30
송현농장,육계,육계,충청남도 부여군 초촌면 송국리 555번지 2호  ,충청남도 부여군 초촌면 송국로80번길 50-20,2922.15,60000,2026-01-30
자왕축산,한우,한우,충청남도 부여군 부여읍 자왕리 79번지 1호  ,충청남도 부여군 부여읍 삼충로 380,97.5,9,2026-01-30
죽산목장,젖소,젖소,충청남도 부여군 구룡면 죽절리 223번지  ,충청남도 부여군 구룡면 망해로54번길 45,502.7,25,2026-01-30
임천축산,한우,한우,충청남도 부여군 임천면 점리 720번지  ,,486.8,20,2026-01-30
문성목장,한우,육우,충청남도 부여군 남면 마정리 598번지 1호  ,,1048,0,2026-01-30
일오삼농장,한우,한우,충청남도 부여군 임천면 탑산리 735번지 2호  ,충청남도 부여군 임천면 탑산로112번길 42,1351.8,60,2026-01-30
죽림농장,돼지,돼지,충청남도 부여군 세도면 동사리 107번지 3호  ,충청남도 부여군 세도면 성흥로 584-43,2068,1200,2026-01-30
원농장,한우,한우,충청남도 부여군 세도면 수고리 225번지 4호  ,충청남도 부여군 세도면 사동로120번길 46-9,1276.6,60,2026-01-30
화수육계,육계,육계,충청남도 부여군 세도면 화수리 산 65번지 2호  ,,0,30000,2026-01-30
제일농장,돼지,,"충청남도 부여군 석성면 증산리 719번지 1호 외 4필지(721-3,1287-10, 1287-13, 1287-30) ",,2603.58,0,2026-01-30
금공농장Ⅱ,한우,한우,충청남도 부여군 은산면 금공리 358번지  ,충청남도 부여군 은산면 금공서로73번길 52,931.8,50,2026-01-30
벌말목장,한우,한우,충청남도 부여군 은산면 장벌리 300번지  ,,396,20,2026-01-30
벌말목장,한우,한우,충청남도 부여군 은산면 장벌리 261번지  ,,623,30,2026-01-30
은산축산,한우,한우,충청남도 부여군 은산면 가중리 322번지  ,충청남도 부여군 은산면 은남로130번길 61,516.32,40,2026-01-30
맥우방농장,한우,한우,충청남도 부여군 은산면 가곡리 140번지  ,충청남도 부여군 은산면 매화로7번길 46-8,1961.9,265,2026-01-30
피그뱅크영농조합법인,돼지,돼지,충청남도 부여군 내산면 금지리 2번지 5호  ,충청남도 부여군 내산면 삽티로 750,3794.86,1600,2026-01-30
(주)선두(부여지점),종계/산란계,육계,충청남도 부여군 충화면 천당리 607번지 외1(806-2) ,충청남도 부여군 충화면 충신로 121,2718,22000,2026-01-30
태안양계장제2농장,육계,,충청남도 부여군 장암면 지토리 924번지 1호 외 1필지(923-2) ,,1864.8,0,2026-01-30
재림농장,한우,,충청남도 부여군 초촌면 진호리 296번지 7호  ,충청남도 부여군 초촌면 진호로 97,2528,0,2026-01-30
하늘목장,한우,한우,충청남도 부여군 내산면 율암리 128번지 3호  ,,800,96,2026-01-30
농업회사법인 주식회사 도암농장(1농장),돼지,,충청남도 부여군 양화면 시음리 504번지 8호  ,충청남도 부여군 양화면 수시로 182-17,21120.88,0,2026-01-30
신용농장,육계,육계,충청남도 부여군 남면 삼용리 327번지 17호  ,,3148.8,0,2026-01-30
대양축산,한우,한우,충청남도 부여군 은산면 대양리 15-23 외1(15-24) ,,930,93,2026-01-30
