사업장명칭,주사육업종,사업장소재지,면적,기준일자
신0축산(낙상),한우,경상북도 예천군 풍양면 낙상리,2556,2026-01-14
푸0농장,한우,경상북도 예천군 감천면 마촌리,1483.92,2026-01-14
기0농장,한우,경상북도 예천군 풍양면 공덕리,818.6,2026-01-14
가0농장,돼지,경상북도 예천군 용궁면 가야리,1068.36,2026-01-14
재0농장,돼지,경상북도 예천군 지보면 지보리,896,2026-01-14
아0농장,돼지,경상북도 예천군 지보면 어신리,414,2026-01-14
갈0농장,한우,경상북도 예천군 지보면 소화리,612,2026-01-14
화0농장,한우,경상북도 예천군 호명읍 담암리,320,2026-01-14
평0농장,한우,경상북도 예천군 지보면 소화리,363.6,2026-01-14
대0농장,한우,경상북도 예천군 은풍면 탑리,819.96,2026-01-14
채0덕농장,한우,경상북도 예천군 은풍면 우곡리,892.5,2026-01-14
충0농장,한우,경상북도 예천군 은풍면 우곡리,602.4,2026-01-14
덕0리농장,한우,경상북도 예천군 은풍면 금곡리,480,2026-01-14
부0농장,한우,경상북도 예천군 은풍면 부초리,621.76,2026-01-14
영0농장,한우,경상북도 예천군 은풍면 탑리,300,2026-01-14
우0농장,한우,경상북도 예천군 은풍면 우곡리,96,2026-01-14
미0농장,돼지,경상북도 예천군 감천면 미석리,1321.6,2026-01-14
만0농장,한우,경상북도 예천군 은풍면 송월리,1119.5,2026-01-14
위0농장,돼지,경상북도 예천군 용궁면 월오리,691,2026-01-14
오0농장,한우,경상북도 예천군 용문면 사부리,537.49,2026-01-14
일0농장,한우,경상북도 예천군 은풍면 오류리,265,2026-01-14
솔0농장,한우,경상북도 예천군 보문면 작곡리,308,2026-01-14
두0농장,한우,경상북도 예천군 용문면 두천리,314.55,2026-01-14
송0농장,돼지,경상북도 예천군 용궁면 월오리,360,2026-01-14
성0농장,한우,경상북도 예천군 용궁면 대은리,2995,2026-01-14
원0농축,한우,경상북도 예천군 용궁면 산택리,330,2026-01-14
새0을농장,한우,경상북도 예천군 용궁면 읍부리,429,2026-01-14
오0농장,한우,경상북도 예천군 보문면 오신리,378,2026-01-14
본0농장,한우,경상북도 예천군 호명읍 본포리,529.52,2026-01-14
지0참우2농장,한우,경상북도 예천군 지보면 신풍리,300,2026-01-14
오0농장,한우,경상북도 예천군 지보면 송평리,600,2026-01-14
피0골농장,한우,경상북도 예천군 지보면 신풍리,300,2026-01-14
삼0농장,한우,경상북도 예천군 지보면 도화리,353.7,2026-01-14
농0농장,한우,경상북도 예천군 유천면 율현리,606.95,2026-01-14
용0축산,한우,경상북도 예천군 용궁면 대은리,2197.1,2026-01-14
창0농장,한우,경상북도 예천군 은풍면 우곡리,358.17,2026-01-14
신0목장,젖소,경상북도 예천군 감천면 덕율리,785.25,2026-01-14
초0농장,한우,경상북도 예천군 호명읍 황지리,396,2026-01-14
백0축산,한우,경상북도 예천군 효자면 사곡리,1090.7,2026-01-14
진0장,돼지,경상북도 예천군 예천읍 청복리,396.6,2026-01-14
신0농장,한우,경상북도 예천군 지보면 신풍리,704,2026-01-14
이0우축사,한우,경상북도 예천군 지보면 매창리,226,2026-01-14
참0농장,한우,경상북도 예천군 지보면 소화리,928,2026-01-14
김0규농장,한우,경상북도 예천군 지보면 어신리,293,2026-01-14
만0농장,한우,경상북도 예천군 지보면 만화리,120,2026-01-14
조0희축사,한우,경상북도 예천군 지보면 지보리,977.2,2026-01-14
혁0축사,한우,경상북도 예천군 지보면 마산리,166,2026-01-14
신0농장,한우,경상북도 예천군 보문면 신월리,462.6,2026-01-14
무0농장,한우,경상북도 예천군 개포면 장송리,330,2026-01-14
강0농장,한우,경상북도 예천군 용궁면 무이리,859.2,2026-01-14
분0농장,한우,경상북도 예천군 용궁면 송암리,248,2026-01-14
금0농장,한우,경상북도 예천군 용궁면 금남리,1079.55,2026-01-14
인0농장,한우,경상북도 예천군 용궁면 월오리,1650,2026-01-14
정0목장,한우,경상북도 예천군 용궁면 무지리,1485,2026-01-14
우0농장,한우,경상북도 예천군 용궁면 산택리,396.41,2026-01-14
풍0축산,한우,경상북도 예천군 감천면 벌방리,1487.5,2026-01-14
장0농장,한우,경상북도 예천군 감천면 장산리,608,2026-01-14
명0축산,한우,경상북도 예천군 감천면 포리,581.5,2026-01-14
언0숯불농장,한우,경상북도 예천군 감천면 현내리,265,2026-01-14
양0농장,한우,경상북도 예천군 효자면 도촌리,256,2026-01-14
부0농장,한우,경상북도 예천군 효자면 백석리,436.85,2026-01-14
동0농장,돼지,경상북도 예천군 개포면 동송리,396.6,2026-01-14
부0농장,한우,경상북도 예천군 호명읍 본리,1580,2026-01-14
시0농장,한우,경상북도 예천군 보문면 우래리,317.3,2026-01-14
율0농장,한우,경상북도 예천군 유천면 율현리,672,2026-01-14
화0리농장,한우,경상북도 예천군 유천면 화지리,264.3,2026-01-14
밀0농장,돼지,경상북도 예천군 효자면 도촌리,928,2026-01-14
선0농장,한우,경상북도 예천군 유천면 고산리,661,2026-01-14
광0축사,한우,경상북도 예천군 유천면 고산리,793.2,2026-01-14
재0농장,한우,경상북도 예천군 유천면 송전리,290.9,2026-01-14
대0축산,한우,경상북도 예천군 예천읍 지내리,1080,2026-01-14
석0농장,한우,경상북도 예천군 지보면 마전리,944,2026-01-14
한0름축산,한우,경상북도 예천군 지보면 마전리,580,2026-01-14
용0농장,한우,경상북도 예천군 용문면 선리,380.1,2026-01-14
맛0농장,한우,경상북도 예천군 용문면 제곡리,395.5,2026-01-14
덕0농장,한우,경상북도 예천군 감천면 덕율리,496,2026-01-14
물0농장,한우,경상북도 예천군 감천면 수한리,666,2026-01-14
원0농장,한우,경상북도 예천군 감천면 증거리,500,2026-01-14
본0농장,한우,경상북도 예천군 감천면 유리,919,2026-01-14
신0농장,한우,경상북도 예천군 감천면 포리,1129,2026-01-14
현0농장,한우,경상북도 예천군 감천면 증거리,583.24,2026-01-14
제0목장,한우,경상북도 예천군 용문면 하학리,726.6,2026-01-14
무0개축산,한우,경상북도 예천군 보문면 승본리,688,2026-01-14
우0농장,한우,경상북도 예천군 지보면 소화리,198,2026-01-14
이0도농장,한우,경상북도 예천군 지보면 매창리,99,2026-01-14
군0농장,돼지,경상북도 예천군 용궁면 금남리,1941.5,2026-01-14
건0농장,한우,경상북도 예천군 풍양면 낙상리,432,2026-01-14
와0농장,한우,경상북도 예천군 풍양면 와룡리,678,2026-01-14
초0농장,한우,경상북도 예천군 풍양면 효갈리,1435,2026-01-14
오0농장,한우,경상북도 예천군 풍양면 우망리,430,2026-01-14
오0농장,한우,경상북도 예천군 풍양면 오지리,474,2026-01-14
우0농장,한우,경상북도 예천군 풍양면 우망리,385.4,2026-01-14
덕0농장,한우,경상북도 예천군 풍양면 오지리,90,2026-01-14
청0농장,한우,경상북도 예천군 풍양면 청곡리,407.78,2026-01-14
대0농장,한우,경상북도 예천군 풍양면 괴당리,462,2026-01-14
낙0농장,한우,경상북도 예천군 풍양면 낙상리,1473,2026-01-14
괴0농장,한우,경상북도 예천군 풍양면 괴당리,489.6,2026-01-14
흥0농장,한우,경상북도 예천군 풍양면 흥천리,160,2026-01-14
효0농장,한우,경상북도 예천군 풍양면 효갈리,652,2026-01-14
동0축산,한우,경상북도 예천군 감천면 대맥리,991.6,2026-01-14
보0농장,한우,경상북도 예천군 감천면 마촌리,1523.8,2026-01-14
한0농장,한우,경상북도 예천군 감천면 장산리,189,2026-01-14
대0농장,한우,경상북도 예천군 감천면 대맥리,736,2026-01-14
갈0미농장,한우,경상북도 예천군 감천면 포리,991,2026-01-14
후0고개농장(마촌),한우,경상북도 예천군 감천면 포리,283.5,2026-01-14
대0농장,한우,경상북도 예천군 감천면 포리,458,2026-01-14
그0농장,한우,경상북도 예천군 감천면 덕율리,1524.07,2026-01-14
술0농장,한우,경상북도 예천군 감천면 수한리,294.6,2026-01-14
무0실농장,한우,경상북도 예천군 예천읍 대심리,105.6,2026-01-14
민0농장,한우,경상북도 예천군 유천면 중평리,587.6,2026-01-14
통0농장,한우,경상북도 예천군 예천읍 통명리,1296,2026-01-14
서0농장,한우,경상북도 예천군 풍양면 와룡리,288.5,2026-01-14
황0훈농장,한우,경상북도 예천군 풍양면 효갈리,330,2026-01-14
정0네농장,한우,경상북도 예천군 풍양면 우망리,99.9,2026-01-14
병0농장,한우,경상북도 예천군 풍양면 공덕리,864,2026-01-14
두0축산,한우,경상북도 예천군 풍양면 청운리,1260,2026-01-14
순0농장,한우,경상북도 예천군 풍양면 풍신리,525.5,2026-01-14
영0농장,한우,경상북도 예천군 풍양면 흔효리,1089.42,2026-01-14
마0농장,한우,경상북도 예천군 유천면 마천리,992,2026-01-14
텃0농장,한우,경상북도 예천군 효자면 백석리,363.6,2026-01-14
재0농장,한우,경상북도 예천군 효자면 백석리,264,2026-01-14
마0농장,한우,경상북도 예천군 감천면 마촌리,687,2026-01-14
복0농장,한우,경상북도 예천군 감천면 포리,872,2026-01-14
최0묵농장,한우,경상북도 예천군 유천면 고림리,250,2026-01-14
성0농장,한우,경상북도 예천군 유천면 성평리,478,2026-01-14
송0한우농장,한우,경상북도 예천군 유천면 송전리,288,2026-01-14
송0농장,한우,경상북도 예천군 유천면 송전리,266,2026-01-14
상0이농장,한우,경상북도 예천군 유천면 송전리,393,2026-01-14
안0창농장,한우,경상북도 예천군 유천면 손기리,512,2026-01-14
덕0농장,한우,경상북도 예천군 풍양면 공덕리,330,2026-01-14
골0목장,한우,경상북도 예천군 풍양면 효갈리,900,2026-01-14
동0농장,한우,경상북도 예천군 풍양면 공덕리,330,2026-01-14
어0생축장,한우,경상북도 예천군 지보면 어신리,2416.28,2026-01-14
소0목장,한우,경상북도 예천군 감천면 포리,327,2026-01-14
예0축산,한우,경상북도 예천군 예천읍 청복리,1710,2026-01-14
원0농장,한우,경상북도 예천군 예천읍 동본리,348.3,2026-01-14
제0농장,한우,경상북도 예천군 예천읍 통명리,333.8,2026-01-14
독0목장,한우,경상북도 예천군 보문면 독양리,1100,2026-01-14
성0목장,한우,경상북도 예천군 예천읍 고평리,391.5,2026-01-14
천0축산,한우,경상북도 예천군 예천읍 동본리,281.75,2026-01-14
미0네농장,한우,경상북도 예천군 예천읍 생천리,99.9,2026-01-14
청0농장,한우,경상북도 예천군 예천읍 청복리,547.9,2026-01-14
장0농장,한우,경상북도 예천군 예천읍 통명리,640,2026-01-14
사0농장,한우,경상북도 예천군 용문면 사부리,336,2026-01-14
일0농장,한우,경상북도 예천군 예천읍 동본리,427,2026-01-14
영0축산,한우,경상북도 예천군 개포면 경진리,1772,2026-01-14
언0숯불농장,한우,경상북도 예천군 감천면 현내리,310.8,2026-01-14
해0농장,한우,경상북도 예천군 풍양면 청운리,396,2026-01-14
희0농장,한우,경상북도 예천군 감천면 포리,328,2026-01-14
우0농장,한우,경상북도 예천군 예천읍 갈구리,649.66,2026-01-14
대0축산,한우,경상북도 예천군 예천읍 지내리,782.8,2026-01-14
청0농장,한우,경상북도 예천군 예천읍 청복리,334,2026-01-14
임0규농장,한우,경상북도 예천군 유천면 율현리,320,2026-01-14
청0흑돼지농장,한우,경상북도 예천군 풍양면 청운리,953.94,2026-01-14
원0농장,한우,경상북도 예천군 용궁면 산택리,420,2026-01-14
지0농장,한우,경상북도 예천군 호명읍 본리,640,2026-01-14
신0계농장,한우,경상북도 예천군 예천읍 고평리,396.6,2026-01-14
월0농장,한우,경상북도 예천군 호명읍 월포리,759.42,2026-01-14
양0농원,한우,경상북도 예천군 유천면 고산리,476.06,2026-01-14
태0농장,한우,경상북도 예천군 지보면 소화리,440,2026-01-14
율0목장,한우,경상북도 예천군 지보면 송평리,1873,2026-01-14
수0농장,한우,경상북도 예천군 지보면 수월리,376.55,2026-01-14
큰0을 농장,한우,경상북도 예천군 지보면 어신리,1036.75,2026-01-14
와0축산,육우,경상북도 예천군 풍양면 와룡리,1233.24,2026-01-14
수0농장,한우,경상북도 예천군 풍양면 고산리,750,2026-01-14
당0농장,육우,경상북도 예천군 풍양면 괴당리,1040,2026-01-14
청0농원,한우,경상북도 예천군 풍양면 청운리,856,2026-01-14
우0농장,한우,경상북도 예천군 풍양면 우망리,1256.5,2026-01-14
용0농장,한우,경상북도 예천군 예천읍 용산리,324.49,2026-01-14
이0국축사,한우,경상북도 예천군 예천읍 통명리,390.4,2026-01-14
교0농장,한우,경상북도 예천군 유천면 율현리,239.41,2026-01-14
교0농장,한우,경상북도 예천군 유천면 율현리,571.27,2026-01-14
마0농장,한우,경상북도 예천군 유천면 마천리,324,2026-01-14
우0농장,한우,경상북도 예천군 풍양면 흔효리,772,2026-01-14
다0농장,한우,경상북도 예천군 풍양면 흥천리,1087.15,2026-01-14
청0축산,한우,경상북도 예천군 풍양면 청운리,420,2026-01-14
대0축산,한우,경상북도 예천군 풍양면 낙상리,492,2026-01-14
오0축산,한우,경상북도 예천군 풍양면 청운리,429.42,2026-01-14
학0축산,한우,경상북도 예천군 풍양면 괴당리,912.54,2026-01-14
재0축산,한우,경상북도 예천군 풍양면 낙상리,1344,2026-01-14
윤0축산,한우,경상북도 예천군 풍양면 낙상리,1700,2026-01-14
재0축산,한우,경상북도 예천군 풍양면 낙상리,320,2026-01-14
희0축산,한우,경상북도 예천군 풍양면 흔효리,736,2026-01-14
시0축산,한우,경상북도 예천군 풍양면 낙상리,322,2026-01-14
풍0한우영농조합,한우,경상북도 예천군 풍양면 흔효리,386,2026-01-14
효0농장,한우,경상북도 예천군 호명읍 산합리,445.5,2026-01-14
해0농장,한우,경상북도 예천군 풍양면 흔효리,537.6,2026-01-14
합0농장,한우,경상북도 예천군 풍양면 와룡리,1484.4,2026-01-14
풍0한우영농조합,한우,경상북도 예천군 풍양면 흔효리,1765,2026-01-14
풍0축산,젖소,경상북도 예천군 풍양면 풍신리,902.7,2026-01-14
청0농원,한우,경상북도 예천군 풍양면 와룡리,795,2026-01-14
와0축산,한우,경상북도 예천군 풍양면 와룡리,680,2026-01-14
신0축산,한우,경상북도 예천군 풍양면 흥천리,704,2026-01-14
중0농장,한우,경상북도 예천군 풍양면 공덕리,528,2026-01-14
재0농장,한우,경상북도 예천군 풍양면 낙상리,480,2026-01-14
예0한우,한우,경상북도 예천군 호명읍 직산리,300,2026-01-14
송0한우영농조합법인,한우,경상북도 예천군 유천면 송전리,1080,2026-01-14
한0농장,한우,경상북도 예천군 예천읍 청복리,690.75,2026-01-14
소0골농장,한우,경상북도 예천군 감천면 장산리,384,2026-01-14
실0암농장,한우,경상북도 예천군 호명읍 오천리,550,2026-01-14
청0농장,한우,경상북도 예천군 용문면 성현리,560,2026-01-14
호0농장,한우,경상북도 예천군 호명읍 월포리,876.8,2026-01-14
한0농장,한우,경상북도 예천군 호명읍 한어리,288,2026-01-14
오0농장,한우,경상북도 예천군 유천면 고산리,736,2026-01-14
웃0농장,한우,경상북도 예천군 용궁면 산택리,384,2026-01-14
청0농장,한우,경상북도 예천군 예천읍 청복리,931.5,2026-01-14
다0농장,돼지,경상북도 예천군 풍양면 우망리,2172,2026-01-14
신0축산,육우,경상북도 예천군 풍양면 흥천리,1000,2026-01-14
지0농장,한우,경상북도 예천군 용문면 제곡리,608,2026-01-14
서0농장,한우,경상북도 예천군 예천읍 동본리,1088.3,2026-01-14
효0농장,한우,경상북도 예천군 풍양면 흔효리,247.26,2026-01-14
덕0축산,오리,경상북도 예천군 보문면 미호리,3435,2026-01-14
가0축산,한우,경상북도 예천군 유천면 가리,406,2026-01-14
우0다산농장,한우,경상북도 예천군 지보면 마전리,1651.7,2026-01-14
도0축사,한우,경상북도 예천군 지보면 도장리,736,2026-01-14
사0농장,한우,경상북도 예천군 풍양면 청운리,470,2026-01-14
태0농장,한우,경상북도 예천군 용문면 제곡리,288,2026-01-14
미0농장,한우,경상북도 예천군 보문면 오암리,688.98,2026-01-14
본0농장,한우,경상북도 예천군 호명읍 본포리,503.75,2026-01-14
주0회사성일농업회사법인,돼지,경상북도 예천군 감천면 현내리,5376.19,2026-01-14
김0문농장,한우,경상북도 예천군 호명읍 본리,320,2026-01-14
백0한우농장,한우,경상북도 예천군 예천읍 왕신리,1479,2026-01-14
오0농장,한우,경상북도 예천군 보문면 오신리,944,2026-01-14
성0농장,한우,경상북도 예천군 감천면 미석리,700,2026-01-14
수0단지,한우,경상북도 예천군 지보면 수월리,736,2026-01-14
삼0매 농장,한우,경상북도 예천군 은풍면 동사리,158.6,2026-01-14
예0참우시험연구농장학교,한우,경상북도 예천군 은풍면 은산리,1063.03,2026-01-14
보0축산,한우,경상북도 예천군 보문면 미호리,192,2026-01-14
영0축산,한우,경상북도 예천군 용궁면 금남리,162.04,2026-01-14
할0루야 축산,한우,경상북도 예천군 풍양면 청곡리,315,2026-01-14
시0농장,한우,경상북도 예천군 감천면 유리,808.28,2026-01-14
바0농장,한우,경상북도 예천군 예천읍 왕신리,400,2026-01-14
쌍0농장,한우,경상북도 예천군 효자면 도촌리,416,2026-01-14
사0농장,한우,경상북도 예천군 효자면 사곡리,384,2026-01-14
신0농장,한우,경상북도 예천군 지보면 지보리,190,2026-01-14
영0농장,한우,경상북도 예천군 풍양면 오지리,1993,2026-01-14
우0농장,한우,경상북도 예천군 예천읍 석정리,320,2026-01-14
석0농장,한우,경상북도 예천군 예천읍 석정리,476.88,2026-01-14
중0농장,한우,경상북도 예천군 개포면 금리,635.39,2026-01-14
누0소 농장,한우,경상북도 예천군 지보면 어신리,544,2026-01-14
성0축산,육우,경상북도 예천군 풍양면 오지리,1000,2026-01-14
실0농장,한우,경상북도 예천군 보문면 신월리,256,2026-01-14
낙0목장,한우,경상북도 예천군 예천읍 우계리,800,2026-01-14
한0농장,한우,경상북도 예천군 유천면 고산리,768,2026-01-14
금0축산,한우,경상북도 예천군 개포면 경진리,800,2026-01-14
지0농장,한우,경상북도 예천군 유천면 가리,283.5,2026-01-14
덕0농장,한우,경상북도 예천군 지보면 마전리,328,2026-01-14
나0목장,한우,경상북도 예천군 지보면 마전리,747.55,2026-01-14
거0농장,한우,경상북도 예천군 호명읍 직산리,256,2026-01-14
영0축산,한우,경상북도 예천군 풍양면 흔효리,320,2026-01-14
장0농장,한우,경상북도 예천군 예천읍 석정리,448,2026-01-14
청02농장,한우,경상북도 예천군 예천읍 청복리,192,2026-01-14
상0농장,한우,경상북도 예천군 용문면 상금곡,306,2026-01-14
초0농장,한우,경상북도 예천군 예천읍 석정리,330,2026-01-14
덕0농장,한우,경상북도 예천군 은풍면 금곡리,352,2026-01-14
참0농장,한우,경상북도 예천군 지보면 신풍리,768,2026-01-14
성0농장,한우,경상북도 예천군 지보면 상월리,254,2026-01-14
수0농장,한우,경상북도 예천군 지보면 수월리,640,2026-01-14
봉0농장,한우,경상북도 예천군 지보면 수월리,320,2026-01-14
삼0농장,한우,경상북도 예천군 풍양면 청운리,1396.8,2026-01-14
정0운 농장,한우,경상북도 예천군 풍양면 청운리,1638,2026-01-14
대0축산,한우,경상북도 예천군 풍양면 흔효리,328,2026-01-14
행0농원,한우,경상북도 예천군 용문면 성현리,886,2026-01-14
덕0농장,한우,경상북도 예천군 용문면 덕신리,1000,2026-01-14
오0농장,한우,경상북도 예천군 은풍면 오류리,352,2026-01-14
강0농장,한우,경상북도 예천군 감천면 수한리,342,2026-01-14
재0농장,한우,경상북도 예천군 감천면 포리,1278,2026-01-14
삼0농장,한우,경상북도 예천군 보문면 우래리,320,2026-01-14
길0장,한우,경상북도 예천군 지보면 소화리,520,2026-01-14
호0농장,한우,경상북도 예천군 지보면 송평리,132,2026-01-14
김0식농장,한우,경상북도 예천군 풍양면 공덕리,700,2026-01-14
지0농장,한우,경상북도 예천군 예천읍 지내리,160,2026-01-14
운0농장,한우,경상북도 예천군 예천읍 지내리,288,2026-01-14
대0농장,한우,경상북도 예천군 예천읍 지내리,862,2026-01-14
길0장,한우,경상북도 예천군 지보면 어신리,1760,2026-01-14
괴0농장,한우,경상북도 예천군 풍양면 풍신리,360,2026-01-14
포0즌 재용축산농장,한우,경상북도 예천군 풍양면 흔효리,361,2026-01-14
태0농장,한우,경상북도 예천군 감천면 현내리,288,2026-01-14
민0이네 농장,한우,경상북도 예천군 예천읍 석정리,364.02,2026-01-14
영0농장,한우,경상북도 예천군 풍양면 오지리,896,2026-01-14
생0농장,한우,경상북도 예천군 예천읍 생천리,688.5,2026-01-14
안0화 농장,한우,경상북도 예천군 보문면 산성리,320,2026-01-14
통0농장,한우,경상북도 예천군 지보면 매창리,280,2026-01-14
경0축산,한우,경상북도 예천군 감천면 마촌리,360,2026-01-14
오0농장,한우,경상북도 예천군 풍양면 오지리,500,2026-01-14
혜0농장,한우,경상북도 예천군 예천읍 생천리,640,2026-01-14
용0축산,한우,경상북도 예천군 풍양면 낙상리,275,2026-01-14
이0농장,육계,경상북도 예천군 풍양면 흔효리,3881,2026-01-14
용0농장,한우,경상북도 예천군 감천면 포리,368,2026-01-14
석0농장,한우,경상북도 예천군 감천면 천향리,709,2026-01-14
양0농장,한우,경상북도 예천군 용문면 제곡리,192,2026-01-14
서0재 한우농장,한우,경상북도 예천군 용궁면 월오리,480,2026-01-14
풍0농장,한우,경상북도 예천군 예천읍 통명리,891,2026-01-14
소0농장,한우,경상북도 예천군 호명읍 종산리,324,2026-01-14
개0농장,한우,경상북도 예천군 호명읍 본포리,448,2026-01-14
황0농장,한우,경상북도 예천군 풍양면 오지리,1024,2026-01-14
송0축산,한우,경상북도 예천군 유천면 송전리,360,2026-01-14
유0축산,한우,경상북도 예천군 풍양면 낙상리,860,2026-01-14
호0농장,한우,경상북도 예천군 호명읍 오천리,506.73,2026-01-14
신0농장,한우,경상북도 예천군 예천읍 석정리,640,2026-01-14
미0사슴농장,한우,경상북도 예천군 유천면 율현리,782.67,2026-01-14
황0축산,한우,경상북도 예천군 풍양면 고산리,1572.71,2026-01-14
정0농장,한우,경상북도 예천군 보문면 수계리,312,2026-01-14
형0농장,한우,경상북도 예천군 용문면 방송리,384,2026-01-14
건0농장,한우,경상북도 예천군 용문면 덕신리,288,2026-01-14
기0농장,한우,경상북도 예천군 예천읍 대심리,384,2026-01-14
호0농장,한우,경상북도 예천군 보문면 미호리,405,2026-01-14
웅0농장,한우,경상북도 예천군 효자면 도촌리,364.5,2026-01-14
송0축산,한우,경상북도 예천군 용궁면 송암리,928,2026-01-14
지0농장,한우,경상북도 예천군 예천읍 지내리,400,2026-01-14
도0농장,한우,경상북도 예천군 지보면 도화리,350,2026-01-14
재0축산,육우,경상북도 예천군 풍양면 흥천리,1800,2026-01-14
문0농장,한우,경상북도 예천군 예천읍 청복리,832,2026-01-14
영0농장,한우,경상북도 예천군 감천면 미석리,450,2026-01-14
청0농장,한우,경상북도 예천군 풍양면 청곡리,512.5,2026-01-14
효0농장,한우,경상북도 예천군 예천읍 통명리,769.5,2026-01-14
아0지 제2농장,한우,경상북도 예천군 감천면 덕율리,768,2026-01-14
구0축사,한우,경상북도 예천군 지보면 신풍리,478,2026-01-14
SM0장,육계,경상북도 예천군 개포면 우감리,3371.81,2026-01-14
3탄0장,한우,경상북도 예천군 풍양면 낙상리,316,2026-01-14
준0농장,한우,경상북도 예천군 개포면 금리,2777,2026-01-14
돈0농장,한우,경상북도 예천군 감천면 돈산리,500,2026-01-14
오0농장,한우,경상북도 예천군 풍양면 와룡리,2676,2026-01-14
중0농장,한우,경상북도 예천군 용문면 성현리,800,2026-01-14
종0농장,한우,경상북도 예천군 호명읍 종산리,1166.4,2026-01-14
선0농장,한우,경상북도 예천군 감천면 돈산리,1153.5,2026-01-14
장0골농장,한우,경상북도 예천군 보문면 수계리,384,2026-01-14
월0농장,한우,경상북도 예천군 호명읍 월포리,1395,2026-01-14
가0제2축산,한우,경상북도 예천군 유천면 가리,2329,2026-01-14
대0축산,한우,경상북도 예천군 호명읍 황지리,640,2026-01-14
송0농장,한우,경상북도 예천군 호명읍 직산리,369,2026-01-14
사0농장,한우,경상북도 예천군 개포면 동송리,1768,2026-01-14
우0제2농장,한우,경상북도 예천군 용궁면 금남리,749.06,2026-01-14
백0축산,한우,경상북도 예천군 풍양면 우망리,1904,2026-01-14
순0농장,한우,경상북도 예천군 감천면 덕율리,448,2026-01-14
대0농장,한우,경상북도 예천군 예천읍 석정리,2049.9,2026-01-14
금0축산,한우,경상북도 예천군 용문면 방송리,224,2026-01-14
성0농장,한우,경상북도 예천군 감천면 현내리,368.5,2026-01-14
동0축산,한우,경상북도 예천군 지보면 신풍리,702.5,2026-01-14
권0훈농장,한우,경상북도 예천군 풍양면 우망리,266,2026-01-14
석0농장,한우,경상북도 예천군 감천면 천향리,320,2026-01-14
명0농장,한우,경상북도 예천군 개포면 금리,1036.8,2026-01-14
왕0농장,한우,경상북도 예천군 감천면 돈산리,526.5,2026-01-14
추0농장,한우,경상북도 예천군 감천면 유리,320,2026-01-14
다0농장,한우,경상북도 예천군 예천읍 고평리,350,2026-01-14
일0농장,한우,경상북도 예천군 감천면 유리,704,2026-01-14
미0목장,한우,경상북도 예천군 지보면 만화리,320,2026-01-14
준0농장,한우,경상북도 예천군 풍양면 낙상리,224,2026-01-14
