업종,소재지(도로명),축종-품종,사육두수,위도,경도,담당부서,전화번호,기준일
가축사육업,강원도 횡성군 공근면 창봉리 80(창봉1길 68-49),소-한우,18,37.565716,127.941452,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 창봉리 536(창봉2길 13),소-한우,11,37.572869,127.940583,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 창봉리 275-1(항재로창봉2길 56),소-한우,21,37.579005,127.946916,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 창봉리 270-3(항재로창봉2길 52),소-젖소,30,37.578594,127.946736,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 창봉리 231-16(항재로 358-11),소-한우,12,37.576666,127.95133,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 창봉리 206-56(항재로 443),소-한우,4,37.572525,127.946683,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 창봉리 655-18(창봉2길 76),소-한우,62,37.574622,127.934355,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 창봉리 806(창봉길 17-8),소-한우,6,37.572891,127.944797,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 창봉리 267(항재로창봉2길 37),소-한우,29,37.577777,127.946375,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 창봉리 213-5(항재로 423),소-한우,40,37.573697,127.946327,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 청곡리 42-1(금계로청곡2길 29-15),소-한우,46,37.556552,127.981669,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 청곡리 71-2(금계로청곡4길 35-9),소-한우,14,37.557066,127.98133,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 청곡리 273-2(금계로 174),소-한우,77,37.548766,127.970377,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 청곡리 261(금계로 204),소-한우,63,37.550075,127.972888,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 청곡리 324-3(금계로 161),소-한우,24,37.548605,127.968319,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 청곡리 113(금계로청곡4길 13),소-한우,8,37.558886,127.981725,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 초원리 406( 1089-17),소-한우,6,37.527997,127.916338,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 초원리 407-1( 1085-10),소-한우,5,37.528219,127.915161,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 초원리 407-2(경강로 1089-21),소-한우,26,37.528216,127.915427,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 초원리 152-2(초원길 14),소-한우,7,37.529491,127.925002,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 초원리 130-25( 1174-15),소-한우,25,37.527394,127.92415,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 초원리 373( 1092-1),소-한우,37,37.525341,127.916405,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 초원리 155-4(초원길 16-15),소-한우,4,37.529441,127.926044,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 학담리 332-1(학담서로 46),소-한우,41,37.531133,127.956505,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 학담리 633-2,소-한우,27,37.536488,127.938422,축산과,033-340-2397,2021-10-12
부화업,강원도 횡성군 공근면 학담리 487(영서로학담1길 20),소-한우,47,37.526177,127.956038,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 학담리 573-1,소-한우,13,37.537244,127.9394,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 학담리 493(영서로학담1길 25),소-한우,30,37.52613,127.954233,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 학담리 394-4(학담서로 69),소-한우,21,37.529994,127.955294,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 학담리 486(영서로학담1길 1-8),소-한우,27,37.525747,127.956458,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 학담리 676-2,소-한우,25,37.538297,127.936694,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 학담리 405(영서로 175),소-한우,27,37.530527,127.961105,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 학담리 290-2(학담초당길 69),소-한우,45,37.541122,127.958102,축산과,033-340-2397,2021-10-12
부화업,강원도 횡성군 공근면 학담리 419(영서로학담3길 8-7),소-한우,135,37.528433,127.957483,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 학담리 221-2(학담길 61),소-한우,98,37.537805,127.959027,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 행정리 139(항재로 274-47),소-한우,49,37.579366,127.962769,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 행정리 168(항재로행정4길 27-6),소-한우,6,37.578205,127.953455,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 행정리 206(항재로 322),소-한우,6,37.576316,127.956788,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 행정리 210-1(항재로 320),소-한우,6,37.5762,127.95715,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 행정리 90-3(항재로 281-9),소-한우,5,37.57585,127.961025,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 궁종리 2-2,소-한우,28,37.509516,128.157444,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 궁종리 51(현궁로 359-9),소-한우,35,37.509663,128.153011,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 두원리 711(고원로341번길 33-34),소-한우,121,37.507141,128.235766,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 둔방내리 287-1,소-한우,17,37.503619,128.202775,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 둔방내리 229-19(검두재길 94),소-젖소,74,37.521075,128.201033,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 둔방내리 185-2(검두재길 6-12),소-한우,40,37.515836,128.205875,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 마암리 377,소-한우,194,37.505286,128.198663,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 마암리 200-4(경강로마암4길 27-11),소-한우,14,37.552336,128.218241,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 마암리 585,소-한우,21,37.535088,128.204022,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 마암리 574(갑천로마암2길 8),소-젖소,58,37.534011,128.20858,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 삽교리 1701-1,소-한우,23,37.530341,128.241825,축산과,033-340-2397,2021-10-12
"부화업,가축사육업",강원도 횡성군 둔내면 삽교리 1619(용현로329번길 102),소-한우,66,37.542302,128.246383,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 삽교리 1482-2(청태산로 343),소-한우,189,37.521041,128.259527,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 삽교리 1087(삽교로 91-19),소-한우,304,37.529913,128.2781,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 삽교리 1730-2(용현로329번길 71),소-한우,9,37.539644,128.244633,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 석문리 592-6(용현로 61),소-한우,11,37.528644,128.221447,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 석문리 19(석문길 230),소-한우,6,37.551002,128.235069,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 석문리 217-8,소-한우,27,37.530147,128.222872,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 석문리 424(석문길 8-10),소-한우,1,37.533633,128.227894,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 석문리 593-2(용현로 69-6),소-한우,10,37.529427,128.221608,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 석문리 254-1(석문길 72-10),소-한우,27,37.538047,128.229611,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 석문리 528-2( 4800),소-한우,245,37.521547,128.218486,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 석문리 34(석문길 258),소-한우,1,37.52758,128.214086,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 둔내면 석문리 598-5(용현로 69-13),소-한우,109,37.529447,128.220836,축산과,033-340-2397,2021-10-12
