농장명,주사육업종,소재지지번주소,소재지도로명주소,사육면적(제곱미터),사육두수(마리),데이터기준일자
행곡농장,한우,경상북도 울진군 근남면 행곡리 822번지 1호  ,경상북도 울진군 근남면 천전길 41-1,1144.77,57,2023-12-31
덕신농장,한우,경상북도 울진군 매화면 덕신리 780번지  ,,0,14,2023-12-31
황우농장,한우,경상북도 울진군 울진읍 명도리 281번지 2호  ,경상북도 울진군 울진읍 명도2길 119-2,569.84,25,2023-12-31
덕구농장,한우,경상북도 울진군 북면 덕구리 162번지  ,경상북도 울진군 북면 덕구온천로 567-98,985.68,80,2023-12-31
화영농장,한우,경상북도 울진군 온정면 외선미리 396번지  ,,0,31,2023-12-31
수원농장,한우,경상북도 울진군 온정면 덕산리 577번지 2호  ,경상북도 울진군 온정면 삼덕로 1103,2397.75,168,2023-12-31
소야농장1,한우,"경상북도 울진군 북면 소곡리 305번지 , 305-2, 305-3번지 ",경상북도 울진군 북면 소야4길 52-13,0,118,2023-12-31
태화농장,한우,경상북도 울진군 북면 상당리 189번지 3호  ,경상북도 울진군 북면 십이령로 2517,2876.54,170,2023-12-31
왕용농장,한우,경상북도 울진군 온정면 외선미리 176번지 1호  ,경상북도 울진군 온정면 온매로 109-1,411,0,2023-12-31
울진축산,한우,경상북도 울진군 죽변면 봉평리 산 13번지 울진축산 ,"경상북도 울진군 죽변면 송전길 9-18, 울진축산",0,55,2023-12-31
성수농장,한우,경상북도 울진군 온정면 외선미리 358번지 2호  ,경상북도 울진군 온정면 온매로 217-12,0,49,2023-12-31
고드네농장,한우,경상북도 울진군 온정면 덕산리 846번지  ,경상북도 울진군 온정면 하덕산1길 47,824.19,110,2023-12-31
우리마을 농장,한우,경상북도 울진군 후포면 후포리 742번지  ,경상북도 울진군 후포면 후포삼칠길 57,0,69,2023-12-31
덕산농장,한우,경상북도 울진군 온정면 덕산리 784번지 1호  ,경상북도 울진군 온정면 하덕산1길 42,0,65,2023-12-31
일오삼농원,한우,경상북도 울진군 북면 사계리 578번지  ,,0,69,2023-12-31
송광농장,한우,경상북도 울진군 평해읍 학곡리 914번지 22호  ,경상북도 울진군 평해읍 학곡2길 147,460,23,2023-12-31
대상농장,한우,경상북도 울진군 후포면 후포리 647번지  ,경상북도 울진군 후포면 고동골길 61-5,228.72,15,2023-12-31
남형농장,한우,경상북도 울진군 죽변면 후정리 1167번지  ,경상북도 울진군 죽변면 산내성로 452,1775.5,125,2023-12-31
건호농장,한우,경상북도 울진군 금강송면 광회리 68번지 1호  ,경상북도 울진군 금강송면 남회룡로 1054-1,0,26,2023-12-31
산수농장,한우,경상북도 울진군 금강송면 쌍전리 534번지 9호  ,,0,21,2023-12-31
달동네 농장,한우,경상북도 울진군 온정면 온정리 555번지  ,,516.8,0,2023-12-31
동명농장,한우,경상북도 울진군 북면 부구리 582번지 1호  ,경상북도 울진군 북면 흥부길 35-115,400,0,2023-12-31
동화농장,돼지,경상북도 울진군 북면 부구리  ,경상북도 울진군 북면 부구검성로 114,3269.3,2500,2023-12-31
경자농장,한우,경상북도 울진군 온정면 금천리 515번지  ,,2002.5,57,2023-12-31
동화제2농장,한우,경상북도 울진군 북면 부구리 1354번지  ,경상북도 울진군 북면 부구검성로 114,0,19,2023-12-31
수옥농장,한우,경상북도 울진군 금강송면 광회리 12번지 2호  ,,0,10,2023-12-31
검성농장,한우,경상북도 울진군 북면 검성리 190번지  ,경상북도 울진군 북면 상검성길 49,0,20,2023-12-31
선하농장,한우,경상북도 울진군 북면 부구리 558번지  ,,0,18,2023-12-31
친환경 농장,한우,경상북도 울진군 온정면 금천리 709번지  ,경상북도 울진군 온정면 금천6길 68,5032.38,191,2023-12-31
광태농장,한우,경상북도 울진군 금강송면 광회리 339번지  ,경상북도 울진군 금강송면 쌍전1길 662,1049.72,56,2023-12-31
대웅농장,한우,경상북도 울진군 죽변면 화성리 1095번지  ,경상북도 울진군 죽변면 하죽로 1464-34,1025,70,2023-12-31
우진농장,한우,경상북도 울진군 기성면 정명리 792번지 2호  ,경상북도 울진군 기성면 정명2길 69-18,609,32,2023-12-31
백암목장,한우,경상북도 울진군 평해읍 학곡리 산 87번지 2호  ,경상북도 울진군 평해읍 학곡4길 49,6599.82,0,2023-12-31
해규농장,한우,경상북도 울진군 기성면 삼산리 86번지 1호  ,경상북도 울진군 기성면 삼산신흥로 228,0,50,2023-12-31
정농장,한우,경상북도 울진군 기성면 삼산리 77번지  ,경상북도 울진군 기성면 삼산신흥로 278-17,620,23,2023-12-31
오성농장,한우,경상북도 울진군 죽변면 화성리 1178번지 1호  ,,0,120,2023-12-31
우리농장,한우,경상북도 울진군 죽변면 화성리 606번지 2호  ,경상북도 울진군 죽변면 꽃방길 5-14,165.06,10,2023-12-31
백옥동농장,한우,경상북도 울진군 매화면 오산리 1478번지  ,경상북도 울진군 매화면 백옥동길 23-16,550,44,2023-12-31
제일축산,한우,경상북도 울진군 근남면 행곡리 976번지  ,경상북도 울진군 근남면 상천전길 79,915,55,2023-12-31
새솔농장,한우,경상북도 울진군 온정면 선구리 424번지  ,경상북도 울진군 온정면 선구문곡길 96-14,192,0,2023-12-31
한솔농장,한우,경상북도 울진군 매화면 덕신리 281번지  ,경상북도 울진군 매화면 현종산길 39-21,160,12,2023-12-31
대한농장,한우,경상북도 울진군 후포면 후포리 220번지  ,경상북도 울진군 후포면 후포3길 169,0,35,2023-12-31
잘미농장,돼지,경상북도 울진군 근남면 구산리 1055번지  ,경상북도 울진군 근남면 왕피천로 196,3308,1800,2023-12-31
왕피리 농장,한우,경상북도 울진군 금강송면 왕피리 989번지  ,경상북도 울진군 금강송면 왕피길 1079,0,4,2023-12-31
부영농장,육계,경상북도 울진군 금강송면 광회리 217번지 1호  ,,126,400,2023-12-31
태민농장,한우,경상북도 울진군 기성면 망양리 214번지 4호  ,경상북도 울진군 기성면 망양로 57-1,0,32,2023-12-31
방율농장,한우,경상북도 울진군 기성면 방율리 545번지 1호  ,경상북도 울진군 기성면 방율길 599,0,13,2023-12-31
광원목장,한우,경상북도 울진군 북면 부구리 986번지 1호  ,경상북도 울진군 북면 남산길 118-15,0,80,2023-12-31
명도농장,한우,경상북도 울진군 울진읍 명도리 422번지  ,경상북도 울진군 울진읍 명도5길 86,0,53,2023-12-31
정인농장,한우,경상북도 울진군 울진읍 명도리 359번지 25호  ,경상북도 울진군 울진읍 명도온양길 41-7,346.5,27,2023-12-31
부산축산,한우,경상북도 울진군 평해읍 직산리 654번지  ,경상북도 울진군 평해읍 남산동길 74-96,844.58,78,2023-12-31
부성농장,한우,경상북도 울진군 평해읍 오곡리 190번지  ,경상북도 울진군 평해읍 오곡2길 139-11,383.97,40,2023-12-31
용주농장,한우,경상북도 울진군 평해읍 학곡리 914번지 4호  ,경상북도 울진군 평해읍 학곡2길 191,0,10,2023-12-31
대숲농장,한우,경상북도 울진군 평해읍 오곡리 456번지  ,경상북도 울진군 평해읍 평오곡길 213-12,1445,114,2023-12-31
신우농장,한우,경상북도 울진군 평해읍 학곡리 914번지 12호  ,경상북도 울진군 평해읍 학곡2길 165-11,834.2,60,2023-12-31
비량농장,한우,경상북도 울진군 평해읍 오곡리 191번지  ,경상북도 울진군 평해읍 오곡2길 139-17,568.95,75,2023-12-31
시내농장,한우,경상북도 울진군 평해읍 학곡리 886번지 1호  ,경상북도 울진군 평해읍 학곡2길 211,2576,129,2023-12-31
한우농장,한우,경상북도 울진군 평해읍 학곡리 914번지 25호  ,경상북도 울진군 평해읍 학곡2길 189,0,32,2023-12-31
무일농장,한우,경상북도 울진군 평해읍 학곡리 914번지 28호  ,,288,0,2023-12-31
대경농장,한우,경상북도 울진군 기성면 황보리 776번지 외 2필지 ,,1254,130,2023-12-31
광호농장,한우,경상북도 울진군 평해읍 학곡리 914번지 20호  ,,0,40,2023-12-31
후정농장,한우,경상북도 울진군 죽변면 후정리 951번지 1호  ,경상북도 울진군 죽변면 시정길 181,0,27,2023-12-31
대영1농장,한우,경상북도 울진군 평해읍 학곡리 883번지 24호  ,경상북도 울진군 평해읍 학곡2길 215,3143.43,178,2023-12-31
윤가네 농장,한우,경상북도 울진군 평해읍 월송리 1200번지 1호  ,경상북도 울진군 평해읍 평오곡길 323-5,0,32,2023-12-31
하당농장,한우,경상북도 울진군 북면 하당리 193번지 5호  ,,0,14,2023-12-31
진성농장,한우,경상북도 울진군 북면 상당리 111번지 1호  ,경상북도 울진군 북면 십이령로 2528,1036.08,140,2023-12-31
삼순농장,한우,경상북도 울진군 북면 상당리 24번지  ,경상북도 울진군 북면 십이령로 2612-25,790.14,38,2023-12-31
진오농장,한우,경상북도 울진군 북면 상당리 115번지 1통  ,,0,3,2023-12-31
부림농장,한우,경상북도 울진군 죽변면 화성리 107번지  ,경상북도 울진군 죽변면 용장길 32-11,0,10,2023-12-31
도봉농장,한우,경상북도 울진군 평해읍 학곡리 898번지  ,경상북도 울진군 평해읍 학곡2길 189-14,1635.88,105,2023-12-31
대광축산,한우,경상북도 울진군 금강송면 소광리 147번지  ,경상북도 울진군 금강송면 대광천길 86,0,0,2023-12-31
대윳지농장,한우,경상북도 울진군 금강송면 쌍전리 72번지  ,경상북도 울진군 금강송면 쌍전3길 107,363,20,2023-12-31
소광농장,한우,경상북도 울진군 금강송면 소광리 270번지  ,경상북도 울진군 금강송면 십이령로 554,408,34,2023-12-31
원순농장,한우,경상북도 울진군 울진읍 명도리 283번지  ,,0,15,2023-12-31
수명농장,한우,경상북도 울진군 울진읍 명도리 545번지 1호  ,경상북도 울진군 울진읍 명도3길 51,200,8,2023-12-31
상열농장,한우,경상북도 울진군 울진읍 명도리 538번지  ,경상북도 울진군 울진읍 명도3길 63-3,200,20,2023-12-31
한우반농장,한우,경상북도 울진군 울진읍 호월리 498번지  ,경상북도 울진군 울진읍 호월2길 76-18,350,0,2023-12-31
소망축산,한우,경상북도 울진군 후포면 후포리 936번지  ,경상북도 울진군 후포면 실배길 64-19,251,12,2023-12-31
고센목장,한우,경상북도 울진군 매화면 매화리 342번지  ,경상북도 울진군 매화면 매화동산길 50,1914.44,90,2023-12-31
영식농장,한우,경상북도 울진군 울진읍 명도리 445번지  ,경상북도 울진군 울진읍 산내성로 251-24,828.1,20,2023-12-31
춘개농장,한우,경상북도 울진군 평해읍 학곡리 744번지  ,경상북도 울진군 평해읍 학곡3길 26-11,0,6,2023-12-31
학곡1리 농장,한우,경상북도 울진군 평해읍 학곡리 437번지 2호  ,경상북도 울진군 평해읍 학곡5길 116-70,256,21,2023-12-31
명도목장,한우,경상북도 울진군 울진읍 명도리 512번지  ,경상북도 울진군 울진읍 명도4길 2-2,293.72,31,2023-12-31
사계농장,한우,경상북도 울진군 북면 사계리 261번지  ,경상북도 울진군 북면 하죽로 1155,324,50,2023-12-31
가희농장,한우,경상북도 울진군 매화면 덕신리 282번지 6호  ,경상북도 울진군 매화면 현종산길 39-19,194,10,2023-12-31
남수농장,한우,경상북도 울진군 매화면 매화리 659번지  ,,320.54,20,2023-12-31
신흥농장,한우,경상북도 울진군 매화면 신흥리 881번지  ,경상북도 울진군 매화면 덕신3길 335,553.05,27,2023-12-31
세명농장,한우,경상북도 울진군 죽변면 화성리 815번지 2호  ,경상북도 울진군 죽변면 용장길 208,362.5,15,2023-12-31
이래농원,한우,경상북도 울진군 북면 사계리 578번지 2호  ,경상북도 울진군 북면 사계2길 176,392,22,2023-12-31
명품한우,한우,경상북도 울진군 평해읍 월송리 1358번지 1호  ,경상북도 울진군 평해읍 평오곡길 267-5,733,180,2023-12-31
행곡목장,한우,경상북도 울진군 근남면 행곡리 742번지 1호  ,경상북도 울진군 근남면 천전길 33-26,72.22,5,2023-12-31
천전농원,한우,경상북도 울진군 근남면 행곡리 814번지 4호  ,,0,7,2023-12-31
갈전농장,한우,경상북도 울진군 죽변면 화성리 40번지  ,경상북도 울진군 죽변면 산내성로 420-25,350,30,2023-12-31
기양한우,한우,경상북도 울진군 매화면 기양리 1281번지  ,경상북도 울진군 매화면 기양영양길 21-43,220,10,2023-12-31
광식농장,한우,경상북도 울진군 기성면 기성리 562번지  ,경상북도 울진군 기성면 기성2길 150,0,17,2023-12-31
짱구네농장,한우,경상북도 울진군 후포면 후포리 740번지  ,경상북도 울진군 후포면 후포삼칠길 61-2,422.6,0,2023-12-31
준열농장,한우,경상북도 울진군 죽변면 화성리 606번지 2호  ,경상북도 울진군 죽변면 꽃방길 5-14,493.15,31,2023-12-31
하나축산,한우,경상북도 울진군 매화면 기양리 1290번지  ,경상북도 울진군 매화면 기전길 2-25,411.9,16,2023-12-31
은혜농장,한우,경상북도 울진군 매화면 신흥리 853번지  ,경상북도 울진군 매화면 삼산신흥로 1160-15,623.04,33,2023-12-31
대우축산,한우,경상북도 울진군 근남면 행곡리 574번지 2호  ,경상북도 울진군 근남면 불영계곡로 3447,635.26,60,2023-12-31
아산농장,한우,경상북도 울진군 울진읍 명도리 603번지  ,경상북도 울진군 울진읍 명도3길 79-1,552,50,2023-12-31
구옥농장,한우,경상북도 울진군 울진읍 신림리 416번지 1호  ,경상북도 울진군 울진읍 신림길 29,156,11,2023-12-31
방촌두재농장,한우,경상북도 울진군 금강송면 삼근리 858번지  ,경상북도 울진군 금강송면 방촌길 48-16,1370.6,70,2023-12-31
광회1리 농장(오리숲),한우,경상북도 울진군 금강송면 광회리 411번지  ,,198,3,2023-12-31
갈전농장,한우,경상북도 울진군 금강송면 쌍전리 523번지 18호  ,경상북도 울진군 금강송면 쌍전1길 387-7,162,0,2023-12-31
진미농장,한우,경상북도 울진군 금강송면 쌍전리 527번지 2호  ,,198,12,2023-12-31
영기농장,한우,경상북도 울진군 평해읍 학곡리 437번지 10호  ,경상북도 울진군 평해읍 학곡5길 116-76,223.65,27,2023-12-31
현수농장,한우,경상북도 울진군 울진읍 정림리 574번지  ,경상북도 울진군 울진읍 정림1길 2-76,81.24,0,2023-12-31
산지농장,한우,경상북도 울진군 울진읍 정림리 321번지  ,경상북도 울진군 울진읍 박금소야로 103,960,0,2023-12-31
상순농장,한우,경상북도 울진군 울진읍 명도리 521번지  ,경상북도 울진군 울진읍 명도4길 12-9,165.6,11,2023-12-31
태성농장,한우,경상북도 울진군 울진읍 명도리 310번지  ,경상북도 울진군 울진읍 명도2길 81-5,0,10,2023-12-31
창식농장,한우,경상북도 울진군 근남면 수산리 131번지 12호  ,경상북도 울진군 근남면 친환경엑스포로 211-43,250,26,2023-12-31
진복농장,한우,경상북도 울진군 근남면 진복리 529번지  ,경상북도 울진군 근남면 매오길 432-12,635.45,25,2023-12-31
신흥농장,한우,경상북도 울진군 매화면 신흥리 984번지  ,경상북도 울진군 매화면 삼산신흥로 1416-7 (원남면친환경엄나무작목반),180,14,2023-12-31
친환경농장,한우,경상북도 울진군 매화면 매화리 833번지  ,경상북도 울진군 매화면 매화매실1길 63-4,0,17,2023-12-31
송촌농장,한우,경상북도 울진군 매화면 매화리 661번지  ,,245,11,2023-12-31
성공농장,한우,경상북도 울진군 기성면 다천리 833번지  ,경상북도 울진군 기성면 상다천길 50-13,150,10,2023-12-31
종율농장,한우,경상북도 울진군 죽변면 봉평리 462번지 A동 ,경상북도 울진군 죽변면 봉화길 43-47 (A동),250,17,2023-12-31
산농장,한우,경상북도 울진군 금강송면 쌍전리 433번지 40호  ,,0,14,2023-12-31
호일농장,한우,경상북도 울진군 온정면 선구리 424번지 1호  ,경상북도 울진군 온정면 선구문곡길 96-10,214,10,2023-12-31
원규농장,한우,경상북도 울진군 온정면 선구리 131번지 2호  ,경상북도 울진군 온정면 선구문곡길 286,192,9,2023-12-31
명도농장,한우,경상북도 울진군 울진읍 명도리 434번지 1호  ,경상북도 울진군 울진읍 산내성로 243-4,200,10,2023-12-31
축산 농장,한우,경상북도 울진군 금강송면 하원리 54번지 10호  ,경상북도 울진군 금강송면 불영계곡로 2251-3,0,12,2023-12-31
방촌목장,한우,경상북도 울진군 금강송면 삼근리 626번지  ,경상북도 울진군 금강송면 방촌길 48-21,198,13,2023-12-31
똑순네 농장,한우,경상북도 울진군 울진읍 연지리 685번지  ,경상북도 울진군 울진읍 연지2길 29-32,260,28,2023-12-31
꽃뜨루한우목장,한우,경상북도 울진군 울진읍 호월리 914번지  ,경상북도 울진군 울진읍 호월4길 154,1014,0,2023-12-31
성산농장,한우,경상북도 울진군 근남면 구산리 1167번지  ,경상북도 울진군 근남면 구산수곡길 95,466.06,25,2023-12-31
돈독골농장,한우,경상북도 울진군 울진읍 명도리 424번지 10호  ,경상북도 울진군 울진읍 명도5길 40-5,196,15,2023-12-31
주재우농장,한우,경상북도 울진군 울진읍 정림리 466번지  ,,0,7,2023-12-31
야베스 농장,한우,경상북도 울진군 매화면 기양리 745번지  ,경상북도 울진군 매화면 온매로 2106-64,400,13,2023-12-31
새점농장,한우,경상북도 울진군 금강송면 삼근리 산 42번지 9호  ,경상북도 울진군 금강송면 불영계곡로 1363,0,8,2023-12-31
인학농장,한우,경상북도 울진군 평해읍 오곡리 367번지 외1필지 ,,0,10,2023-12-31
준혁농장,한우,경상북도 울진군 평해읍 학곡리 1321번지  ,경상북도 울진군 평해읍 학곡2길 142,372,28,2023-12-31
선우농장,한우,경상북도 울진군 평해읍 평해리 129번지  ,경상북도 울진군 평해읍 평오곡길 30-41,314.88,0,2023-12-31
청구농장,한우,경상북도 울진군 평해읍 월송리 1334번지  ,경상북도 울진군 평해읍 평오곡길 323-62,226,10,2023-12-31
매화1리목장,한우,경상북도 울진군 매화면 매화리 187번지 1호  ,,313.6,13,2023-12-31
진월농장,한우,경상북도 울진군 북면 두천리 590번지 3호  ,경상북도 울진군 북면 안말래길 207,1272,58,2023-12-31
동일축산,한우,경상북도 울진군 평해읍 학곡리 661번지 1호  ,경상북도 울진군 평해읍 학곡4길 22-26,0,7,2023-12-31
해미리농장,한우,경상북도 울진군 죽변면 봉평리 산 13번지 2호  ,경상북도 울진군 죽변면 송전길 9-12,783,43,2023-12-31
거야한우축산,한우,경상북도 울진군 금강송면 왕피리 447번지 5호  ,경상북도 울진군 금강송면 왕피길 1387,358,27,2023-12-31
포전한우축사,한우,경상북도 울진군 금강송면 왕피리 301번지 1호  ,경상북도 울진군 금강송면 왕피길 1533-25,405,16,2023-12-31
세한농장,한우,경상북도 울진군 금강송면 왕피리 853번지  ,,198,22,2023-12-31
강산에농장,한우,경상북도 울진군 울진읍 신림리 14번지  ,경상북도 울진군 울진읍 설매길 145,547.51,28,2023-12-31
신우균농장,한우,경상북도 울진군 매화면 매화리 821번지  ,경상북도 울진군 매화면 매화매실1길 61-14,227.35,16,2023-12-31
두경양계농원,종계/산란계,경상북도 울진군 근남면 산포리 1207번지  ,,0,800,2023-12-31
손용근농장,한우,경상북도 울진군 기성면 다천리 54번지  ,경상북도 울진군 기성면 정다이로 453-19,420,22,2023-12-31
다우네 농장,한우,경상북도 울진군 기성면 다천리 126번지  ,경상북도 울진군 기성면 정다이로 529-1,1071.64,32,2023-12-31
똑순네 농장,한우,경상북도 울진군 북면 사계리 48번지  ,경상북도 울진군 북면 사계1길 61,163.8,20,2023-12-31
키토 삐아기 방사유정란,육계,경상북도 울진군 평해읍 학곡리 507번지 16호  ,경상북도 울진군 평해읍 학곡7길 38-1,0,450,2023-12-31
학곡농장,종계/산란계,경상북도 울진군 평해읍 학곡리 507번지 22호  ,경상북도 울진군 평해읍 학곡7길 29,0,120,2023-12-31
용골농장,한우,경상북도 울진군 기성면 척산리 453번지  ,경상북도 울진군 기성면 기성로 790-38,576,36,2023-12-31
토일농장,한우,경상북도 울진군 울진읍 읍남리 622번지 1호  ,,152,17,2023-12-31
대웅2농장,한우,경상북도 울진군 죽변면 화성리 1095번지  ,경상북도 울진군 죽변면 하죽로 1464-34,350,20,2023-12-31
수정농장,한우,경상북도 울진군 죽변면 화성리 783번지  ,경상북도 울진군 죽변면 하죽로 1508,532.23,23,2023-12-31
천수농장,한우,경상북도 울진군 평해읍 월송리 1219번지 8호  ,,397,41,2023-12-31
한우농장,한우,경상북도 울진군 죽변면 봉평리 534번지  ,경상북도 울진군 죽변면 봉화길 46,640,20,2023-12-31
솔숲농장,한우,경상북도 울진군 울진읍 읍남리 113번지 1호  ,경상북도 울진군 울진읍 말루1길 79-29,385,6,2023-12-31
다천농장,한우,경상북도 울진군 기성면 다천리 831번지  ,경상북도 울진군 기성면 상다천길 54-4,99.21,7,2023-12-31
샘골농장,한우,경상북도 울진군 기성면 다천리 711번지  ,,1419.91,40,2023-12-31
인공수정이식센터,한우,경상북도 울진군 근남면 수산리 247번지 2호  ,경상북도 울진군 근남면 친환경엑스포로 211-34,200,42,2023-12-31
야곱농장,한우,경상북도 울진군 후포면 후포리 203번지  ,경상북도 울진군 후포면 후포3길 187-55,340,19,2023-12-31
제2산수농장,한우,경상북도 울진군 금강송면 쌍전리 534번지 11호  ,경상북도 울진군 금강송면 쌍전1길 503,900,51,2023-12-31
월증농장,한우,경상북도 울진군 근남면 산포리 1539번지  ,경상북도 울진군 근남면 세포2길 173,1415.82,63,2023-12-31
행곡농장,한우,경상북도 울진군 근남면 행곡리 976번지  ,경상북도 울진군 근남면 상천전길 79,2061.38,109,2023-12-31
청두농장,한우,경상북도 울진군 근남면 노음리 39번지  ,,300,40,2023-12-31
월증농장,한우,경상북도 울진군 근남면 노음리 6번지 1호  ,경상북도 울진군 근남면 매오길 118-13,471.5,44,2023-12-31
당두농장,한우,경상북도 울진군 근남면 노음리 747번지  ,경상북도 울진군 근남면 울진북로 99-62,200,8,2023-12-31
꼬치재농장,한우,경상북도 울진군 울진읍 읍남리 793번지  ,경상북도 울진군 울진읍 대흥신림로 1231-13,1483.71,120,2023-12-31
진골농장,한우,경상북도 울진군 온정면 선구리 509번지 1호  ,경상북도 울진군 온정면 내선미길 34-13,294,14,2023-12-31
초록농장,한우,경상북도 울진군 죽변면 봉평리 534번지 1호  ,경상북도 울진군 죽변면 봉화길 46,588,7,2023-12-31
소로실농장,한우,경상북도 울진군 매화면 갈면리 737번지 4호  ,경상북도 울진군 매화면 갈면소로실길 13-23,224,11,2023-12-31
지품농장,한우,경상북도 울진군 매화면 기양리 1009번지  ,,525.47,30,2023-12-31
원기네 농장,한우,경상북도 울진군 기성면 척산리 437번지 1호  ,,96,11,2023-12-31
절골농장,한우,경상북도 울진군 근남면 산포리 1587번지  ,경상북도 울진군 근남면 매오길 170-40,200,13,2023-12-31
송경자농장,한우,경상북도 울진군 울진읍 정림리 산 1번지 1호  ,경상북도 울진군 울진읍 명도3길 344-11,0,17,2023-12-31
문화농장,한우,경상북도 울진군 매화면 금매리 83번지  ,,330,18,2023-12-31
온정명품한우,한우,경상북도 울진군 온정면 금천리 981번지  ,,0,32,2023-12-31
산포1리농장,한우,경상북도 울진군 근남면 산포리 1019번지 1호  ,경상북도 울진군 근남면 산포5길 21-4,168,7,2023-12-31
한성농장,한우,경상북도 울진군 죽변면 화성리 333번지  ,,396,46,2023-12-31
무쇠골농장,한우,경상북도 울진군 북면 사계리 555번지  ,경상북도 울진군 북면 사계2길 144,300,16,2023-12-31
광수농장,한우,경상북도 울진군 죽변면 봉평리 925번지  ,경상북도 울진군 죽변면 박곡길 47-64,700,0,2023-12-31
골길농장,한우,경상북도 울진군 죽변면 봉평리 403번지 1호  ,경상북도 울진군 죽변면 골장길 76-87,915,0,2023-12-31
화성농장,한우,경상북도 울진군 죽변면 화성리 236번지 1호  ,경상북도 울진군 죽변면 용장길 88-48,175,17,2023-12-31
한솔농장,한우,경상북도 울진군 온정면 덕인리 668번지  ,,360,37,2023-12-31
복우농장,한우,경상북도 울진군 울진읍 정림리 산 1번지 1호  ,,240,4,2023-12-31
십이령농장,한우,경상북도 울진군 북면 상당리 237번지 1호  ,경상북도 울진군 북면 십이령로 2626,198,0,2023-12-31
반딧불농장,한우,경상북도 울진군 금강송면 삼근리 625번지 1호  ,경상북도 울진군 금강송면 방촌길 62-1,140.01,0,2023-12-31
김원복농장,한우,경상북도 울진군 금강송면 소광리 709번지 1호  ,경상북도 울진군 금강송면 소광1길 388-18,96,7,2023-12-31
남상성농장,한우,경상북도 울진군 울진읍 정림리 381번지  ,경상북도 울진군 울진읍 박금소야로 142,296.9,10,2023-12-31
새들농장,한우,경상북도 울진군 북면 주인리 718번지  ,,0,19,2023-12-31
미선농장,한우,경상북도 울진군 울진읍 호월리 497번지  ,경상북도 울진군 울진읍 호월2길 68,0,8,2023-12-31
윤석창 농장,한우,경상북도 울진군 울진읍 정림리 864번지 1호  ,,0,16,2023-12-31
대성한우농장,한우,경상북도 울진군 기성면 이평리 143번지  ,,224,0,2023-12-31
도울산골농장,종계/산란계,경상북도 울진군 평해읍 오곡리 39번지 1호  ,경상북도 울진군 평해읍 오곡2길 136-42,0,350,2023-12-31
장민우 농장,한우,경상북도 울진군 북면 고목리 669번지  ,경상북도 울진군 북면 고목1길 170,105,5,2023-12-31
윤영기 농장,한우,경상북도 울진군 매화면 금매리 432번지  ,경상북도 울진군 매화면 금매길 220,300,13,2023-12-31
매야농장,한우,경상북도 울진군 매화면 매화리 1079번지 2호  ,경상북도 울진군 매화면 매화매실1길 27-13,0,10,2023-12-31
홍충표 농장,한우,경상북도 울진군 북면 두천리 53번지  ,경상북도 울진군 북면 안말래길 139-75,359.33,25,2023-12-31
김질하 농장,한우,경상북도 울진군 북면 하당리 373번지 2호  ,경상북도 울진군 북면 하당1길 121-1,574.04,24,2023-12-31
우리농장,한우,경상북도 울진군 평해읍 학곡리 457번지 3호  ,경상북도 울진군 평해읍 동해대로 720-11,418.34,26,2023-12-31
황인철농장,한우,경상북도 울진군 평해읍 학곡리 686번지  ,경상북도 울진군 평해읍 학곡2길 77-26,220,11,2023-12-31
옥이농장,한우,경상북도 울진군 근남면 진복리 628번지  ,,60,19,2023-12-31
매림농장,한우,경상북도 울진군 근남면 노음리 38번지  ,경상북도 울진군 근남면 노음7길 100-42,256,0,2023-12-31
