순번,사업장명칭,주사육업종,사육두수,사업장소재지(지번)
83,성광목장,젖소,110,전북특별자치도 임실군 성수면 삼봉리 803번지 1호  
84,대판농장,한우,18,전북특별자치도 임실군 성수면 오류리 461번지  
85,용현농장,젖소,31,전북특별자치도 임실군 성수면 삼봉리 300번지 1호 300-6호 
86,솔로몬농장,돼지,2200,전북특별자치도 임실군 성수면 태평리 846번지 1호  
87,쑥굴농장,젖소,71,전북특별자치도 임실군 성수면 도인리 578번지  
88,학배농장,한우,10,전북특별자치도 임실군 지사면 금평리 371번지 1호  
89,계산농장,육계,40000,전북특별자치도 임실군 지사면 계산리 581번지  
90,우리들세상,돼지,700,전북특별자치도 임실군 오수면 금암리 77번지  
91,우암사농장,한우,20,전북특별자치도 임실군 오수면 대명리 230번지  
92,영만농장,한우,8,전북특별자치도 임실군 덕치면 물우리 819번지  
93,판석농장,한우,2,전북특별자치도 임실군 덕치면 장암리 428번지  
94,장암농장,돼지,850,전북특별자치도 임실군 덕치면 장암리 54번지  
95,가족농장,돼지,800,전북특별자치도 임실군 덕치면 회문리 78번지  
96,정수농장,육계,27000,전북특별자치도 임실군 덕치면 회문리 29번지  
97,광엽농장,돼지,600,전북특별자치도 임실군 신평면 원천리 462번지  
98,석두농장,한우,16,전북특별자치도 임실군 청웅면 석두리 56번지  
99,준식목장,한우,12,전북특별자치도 임실군 청웅면 남산리 1180번지  
100,평지목장,젖소,80,전북특별자치도 임실군 성수면 태평리 1000번지 2호  
101,종수농장,한우,11,전북특별자치도 임실군 성수면 태평리 511번지 2호  
102,섬진농장,돼지,700,"전북특별자치도 임실군 덕치면 물우리 356번지 6호 356-1,350,356-8,356-5,361,961-1,349 "
103,어울림목장,젖소,80,전북특별자치도 임실군 성수면 삼봉리 304번지  
104,우진목장,젖소,32,전북특별자치도 임실군 임실읍 감성리 327번지 7호  
105,우람목장,젖소,50,전북특별자치도 임실군 임실읍 감성리 379번지 2호  
106,우람목장,젖소,60,전북특별자치도 임실군 임실읍 감성리 380번지  
107,신선농장,육계,20000,전북특별자치도 임실군 덕치면 회문리 21번지  
108,신한농장,한우,40,전북특별자치도 임실군 오수면 오암리 251번지  
109,자라온농장,한우,12,전북특별자치도 임실군 오수면 오암리 274번지  
110,전북축산,육계,33000,전북특별자치도 임실군 지사면 방계리 500번지 10호  
111,건호농장,한우,110,전북특별자치도 임실군 지사면 방계리 851번지  
112,일곤농장,한우,60,전북특별자치도 임실군 오수면 오암리 1163번지 4호  
113,운암농장,한우,45,전북특별자치도 임실군 운암면 청운리 605번지  
114,순이네농장,한우,3,전북특별자치도 임실군 운암면 운암리 761번지 5호  
115,이목농장,젖소,55,전북특별자치도 임실군 강진면 부흥리 218번지 1호  
116,광찬농장,한우,24,전북특별자치도 임실군 강진면 학석리 170번지 1호  
117,오준농장,한우,60,전북특별자치도 임실군 청웅면 두복리 242번지  
118,현준목장,한우,5,전북특별자치도 임실군 임실읍 감성리 139번지  
119,일중농장,한우,48,전북특별자치도 임실군 청웅면 남산리 1170번지  
120,남옥농장,한우,13,전북특별자치도 임실군 성수면 양지리 1065번지 1호  
121,송아지농장,한우,11,전북특별자치도 임실군 임실읍 신안리 371번지 1호  
122,우리목장,젖소,12,전북특별자치도 임실군 성수면 삼봉리 399번지 1호  
123,종덕농장,한우,9,전북특별자치도 임실군 운암면 청운리 648번지 2호  
124,부흥농장,돼지,800,전북특별자치도 임실군 강진면 부흥리 548번지 1호  
125,물우농장,돼지,500,전북특별자치도 임실군 덕치면 물우리 144번지  
126,영환목장,젖소,13,전북특별자치도 임실군 성수면 삼봉리 475번지  
127,목동농장,한우,19,전북특별자치도 임실군 삼계면 덕계리 762번지 10호  
128,현모농장,젖소,50,전북특별자치도 임실군 성수면 삼봉리 511번지 1호  
129,Dream,젖소,45,전북특별자치도 임실군 임실읍 대곡리 64번지 2호  
130,세영목장,젖소,65,전북특별자치도 임실군 임실읍 대곡리 산 23번지 1호  
131,범민농장,돼지,1600,전북특별자치도 임실군 임실읍 대곡리 70번지 3호  
132,차오름목장,젖소,100,전북특별자치도 임실군 관촌면 도봉리 산 116번지  
133,신평농장,돼지,1500,전북특별자치도 임실군 신평면 덕암리 797번지 7호  
134,임마누엘축산,돼지,2000,전북특별자치도 임실군 신평면 가덕리 345번지 2호  
135,범당골한우,한우,40,전북특별자치도 임실군 임실읍 두곡리 72번지  
136,성수산목장,젖소,44,전북특별자치도 임실군 성수면 성수리 473번지 3호  
137,신토불이농장,한우,25,전북특별자치도 임실군 관촌면 덕천리 61번지 3호  
138,사오농장,한우,45,전북특별자치도 임실군 삼계면 봉현리 555번지  
139,택승농장,한우,5,전북특별자치도 임실군 삼계면 세심리 995번지 1호  
140,옥터농장,한우,17,전북특별자치도 임실군 삼계면 세심리 702번지  
141,옥자농장,젖소,9,전북특별자치도 임실군 삼계면 세심리 998번지 6호  
142,성실목장,한우,34,전북특별자치도 임실군 오수면 봉천리 1번지 3호  
143,흙내음농장,한우,120,전북특별자치도 임실군 임실읍 현곡리 748번지  
144,하나목장,젖소,67,전북특별자치도 임실군 성수면 오봉리 558번지  
145,다나농장,젖소,25,전북특별자치도 임실군 임실읍 금성리 751번지 1호  
146,동산농장,젖소,41,전북특별자치도 임실군 임실읍 두만리 267번지  
147,동산목장,젖소,48,전북특별자치도 임실군 임실읍 장재리 80번지 2호  
148,가람농장,돼지,800,전북특별자치도 임실군 관촌면 복흥리 601번지  
149,하주농장,한우,9,전북특별자치도 임실군 신평면 용암리 199번지 2호  
150,양지목장,젖소,120,전북특별자치도 임실군 성수면 월평리 570번지  
151,재권농장,한우,7,전북특별자치도 임실군 신평면 용암리 199번지 2호  
152,삼용농장,돼지,1750,전북특별자치도 임실군 신덕면 신덕리 447번지 16호  
153,동서농장,돼지,1200,전북특별자치도 임실군 삼계면 두월리 501번지  
154,계환농장,한우,6,전북특별자치도 임실군 임실읍 금성리 353번지 1호  
155,늘푸른농장,한우,7,전북특별자치도 임실군 덕치면 일중리 518번지 3호  
156,춘우농장,한우,3,전북특별자치도 임실군 임실읍 감성리 331번지  
157,갈마농장,한우,17,전북특별자치도 임실군 임실읍 갈마리 101번지 1호  
158,학주농장,한우,35,전북특별자치도 임실군 임실읍 감성리 28번지  
159,상준목장,한우,36,전북특별자치도 임실군 임실읍 감성리 44번지 9호  
160,유성농장,종계/산란계,20000,전북특별자치도 임실군 관촌면 방현리 389번지  
161,A-ONE농장,육계,45000,전북특별자치도 임실군 운암면 입석리 719번지  
162,삼농장,돼지,1500,전북특별자치도 임실군 운암면 쌍암리 279번지  
163,에덴목장,젖소,58,전북특별자치도 임실군 관촌면 방현리 442번지 30호  
164,주일목장,한우,31,전북특별자치도 임실군 운암면 쌍암리 321번지 1호  
165,용은목장,젖소,35,전북특별자치도 임실군 관촌면 용산리 15번지  
166,삼계농장,한우,28,전북특별자치도 임실군 오수면 금암리 636번지  
167,군곡농장,한우,100,전북특별자치도 임실군 오수면 군평리 산 66번지  
168,마암농장,육계,32000,전북특별자치도 임실군 운암면 마암리 629번지 1호  
169,유온목장,한우,45,전북특별자치도 임실군 관촌면 복흥리 211번지 1호  
170,삼박농장,육계,45000,전북특별자치도 임실군 운암면 사양리 237번지  
171,오성농장,육계,40000,전북특별자치도 임실군 신덕면 삼길리 32번지  
172,회원농장,육계,35000,전북특별자치도 임실군 신덕면 금정리 4번지 1호  
173,신덕농장,육계,35000,전북특별자치도 임실군 신덕면 수천리 877번지  
174,제이에스디농장(J.S.D),한우,26,전북특별자치도 임실군 관촌면 도봉리 719번지 1호  
175,석래농장,한우,14,전북특별자치도 임실군 운암면 학암리 287번지  
176,주몽농장,돼지,1500,전북특별자치도 임실군 신덕면 삼길리 777번지  
177,주몽농장,돼지,500,전북특별자치도 임실군 운암면 쌍암리 762번지 1호  
178,동선축산,젖소,35,전북특별자치도 임실군 관촌면 용산리 22번지 4호  
179,푸른솔목장,젖소,40,전북특별자치도 임실군 관촌면 도봉리 524번지  
180,연식목장,한우,10,전북특별자치도 임실군 관촌면 덕천리 191번지 95호  
181,우형목장,한우,65,전북특별자치도 임실군 관촌면 도봉리 396번지 1호  
182,수진농장,한우,20,전북특별자치도 임실군 덕치면 일중리 391번지  
183,사곡목장,젖소,25,전북특별자치도 임실군 덕치면 사곡리 528번지  
184,수호농장,육계,40000,전북특별자치도 임실군 신덕면 삼길리 983번지  
185,독산농장,한우,10,전북특별자치도 임실군 임실읍 이인리 391번지  
186,지산농장,한우,15,전북특별자치도 임실군 임실읍 두만리 179번지 5호  
187,춘일농장,한우,10,전북특별자치도 임실군 덕치면 일중리 465번지 2호  
188,초원농장,육계,45000,전북특별자치도 임실군 삼계면 봉현리 448번지 2호 454 
189,산들농장,육계,30000,전북특별자치도 임실군 삼계면 봉현리 454번지  
190,소태정농장,육계,40000,전북특별자치도 임실군 삼계면 죽계리 산 68번지  
191,율치농장,한우,13,전북특별자치도 임실군 강진면 학석리 462번지 1호  
192,동호농장,육계,30000,전북특별자치도 임실군 신덕면 삼길리 425번지 1호  
193,석조농장,육계,20000,전북특별자치도 임실군 신덕면 수천리 1094번지 1호  
194,한국농장,육계,10000,전북특별자치도 임실군 신덕면 수천리 1037번지 1호 1033-6.  1036-2 
195,기훈목장,한우,35,전북특별자치도 임실군 관촌면 용산리 306번지  
196,가람농장,돼지,1300,전북특별자치도 임실군 신덕면 수천리 1006번지 2호  
197,신흥농장,한우,3,전북특별자치도 임실군 신덕면 신흥리 177번지  
198,밤골농장,한우,14,전북특별자치도 임실군 관촌면 방수리 763번지 1호  
199,학현농장,한우,24,전북특별자치도 임실군 관촌면 방현리 334번지  
200,희망농장,돼지,250,전북특별자치도 임실군 운암면 학암리 542번지 1호  
201,옥영농장,육계,30000,전북특별자치도 임실군 지사면 계산리 383번지  
202,어은농장,한우,25,전북특별자치도 임실군 삼계면 어은리 552번지  
203,옥영농장,한우,70,전북특별자치도 임실군 지사면 계산리 394번지  
204,영산농장,육계,50000,전북특별자치도 임실군 지사면 영천리 1346번지 2호  
205,대희농장,오리,20000,전북특별자치도 임실군 오수면 봉천리 118번지 5호  
206,자연농장,육계,50000,전북특별자치도 임실군 오수면 대정리 491번지  
207,흥성농장,오리,20000,전북특별자치도 임실군 오수면 봉천리 118번지 7호  
208,병열농장,오리,20000,전북특별자치도 임실군 오수면 봉천리 117번지 1호  
209,견희농장,오리,20000,전북특별자치도 임실군 오수면 봉천리 117번지 6호  
210,월평농장,돼지,65,전북특별자치도 임실군 신평면 덕암리 923번지 1호  
211,청계목장,한우,17,전북특별자치도 임실군 청웅면 청계리 307번지 3호  
212,전원농장,육계,60000,전북특별자치도 임실군 오수면 대정리 446번지  
213,오봉농장,육계,60000,전북특별자치도 임실군 오수면 둔덕리 339번지 1호  
214,옥전농장,종계/산란계,25000,전북특별자치도 임실군 청웅면 옥전리 880번지 2호  
215,청웅농장,육계,50000,전북특별자치도 임실군 청웅면 석두리 446번지  
216,형기농장,육계,35000,전북특별자치도 임실군 청웅면 구고리 1222번지  
217,백운농장,육계,40000,전북특별자치도 임실군 강진면 용수리 783번지  
218,덕우농장,한우,4,전북특별자치도 임실군 강진면 용수리 118번지  
219,신흥농장,육계,25000,전북특별자치도 임실군 신덕면 삼길리 1번지 1호  
220,청아농장,돼지,1600,전북특별자치도 임실군 운암면 쌍암리 280번지  
221,준호농장,한우,35,전북특별자치도 임실군 오수면 군평리 80번지 1호  
222,형준농장,한우,50,전북특별자치도 임실군 덕치면 사곡리 429번지 1호  
223,춘아농장,한우,19,전북특별자치도 임실군 신덕면 삼길리 106번지  
224,상원농장,육계,25000,전북특별자치도 임실군 신덕면 수천리 산 88번지 2호  
225,운암농장,육계,43000,전북특별자치도 임실군 운암면 운암리 41번지  
226,늘푸른농장,젖소,65,전북특별자치도 임실군 성수면 삼봉리 428번지  
227,한마음농장,돼지,800,전북특별자치도 임실군 성수면 삼봉리 323번지  
228,우리농장,한우,5,전북특별자치도 임실군 신덕면 오궁리 190번지 1호  
229,현규목장,한우,80,전북특별자치도 임실군 신덕면 오궁리 515번지  
230,백련농장,육계,40010,전북특별자치도 임실군 강진면 백련리 699번지  
231,한성농장,돼지,500,전북특별자치도 임실군 청웅면 구고리 1430번지  
232,기삼농장,한우,10,전북특별자치도 임실군 오수면 금암리 559번지 34호  
233,맛나목장,젖소,30,전북특별자치도 임실군 청웅면 남산리 459번지 1호  
234,조월농장,육계,40000,전북특별자치도 임실군 신덕면 조월리 222번지 3호  
235,상식농장,육계,70000,전북특별자치도 임실군 관촌면 도봉리 383번지 1호  
236,왕중농장,돼지,500,전북특별자치도 임실군 강진면 회진리 273번지  
237,상철농장,한우,25,전북특별자치도 임실군 강진면 학석리 170번지 1호 170-2 
238,임마누엘목장,한우,50,전북특별자치도 임실군 운암면 쌍암리 110-1번지  
239,가나안목장,젖소,75,전북특별자치도 임실군 운암면 쌍암리 301번지 1호  
240,삼원농장,육계,17000,전북특별자치도 임실군 임실읍 현곡리 1077번지  
241,현숙농장,육계,30000,전북특별자치도 임실군 신덕면 삼길리 283번지  
242,푸른목장,한우,10,전북특별자치도 임실군 관촌면 용산리 22번지 2호  
243,수방농장,돼지,400,전북특별자치도 임실군 강진면 문방리 758번지  
244,두메산골(임차),육계,21000,전북특별자치도 임실군 덕치면 물우리 396번지  
245,현규농장,한우,10,전북특별자치도 임실군 운암면 쌍암리 339번지 1호  
246,창우농장,한우,40,전북특별자치도 임실군 운암면 쌍암리 14번지  
247,태현농장,한우,3,전북특별자치도 임실군 운암면 쌍암리 369번지  
248,창석농장,한우,16,전북특별자치도 임실군 운암면 쌍암리 98번지  
249,금만농장,한우,10,전북특별자치도 임실군 운암면 쌍암리 135번지  
250,약수농장,육계,57000,전북특별자치도 임실군 임실읍 신안리 650번지 5호  
251,입석농장,한우,5,전북특별자치도 임실군 운암면 입석리 81번지  
252,찬종농장,한우,9,전북특별자치도 임실군 운암면 사양리 418번지 1호  
253,사양농장,한우,12,전북특별자치도 임실군 운암면 사양리 391번지  
254,기동농장,한우,15,전북특별자치도 임실군 운암면 쌍암리 617번지 3호  
255,동환목장,젖소,9,전북특별자치도 임실군 신덕면 지장리 666번지  
256,입석농장,한우,10,전북특별자치도 임실군 청웅면 옥석리 238번지  
257,현준목장,젖소,36,전북특별자치도 임실군 임실읍 감성리 489번지 6호  
258,사양농장,한우,10,전북특별자치도 임실군 운암면 쌍암리 120번지  
259,부자목장,젖소,66,전북특별자치도 임실군 신덕면 신흥리 22번지 1호 .신흥리112번지 
260,윤호농장,한우,18,전북특별자치도 임실군 오수면 대명리 755번지  
261,방축농장,육계,50000,전북특별자치도 임실군 오수면 둔덕리 760번지 3호 760-4   760-5 
262,대성농장,육계,49000,전북특별자치도 임실군 오수면 용두리 385번지  
263,오수농장,돼지,500,전북특별자치도 임실군 오수면 오수리 208번지  
264,부익농장,육계,40000,전북특별자치도 임실군 오수면 오수리 9번지 1호  
265,경운목장,한우,40,전북특별자치도 임실군 관촌면 용산리 303번지 65호  
266,하나농장,한우,15,전북특별자치도 임실군 강진면 용수리 649번지 1호  
267,한사랑목장,젖소,70,전북특별자치도 임실군 강진면 갈담리 588번지 1호 외1필지. 회진리7번지 
268,호남목장,젖소,111,전북특별자치도 임실군 오수면 신기리 434번지 7호 (둔기리 420-1번지) 
269,대일농장,한우,58,전북특별자치도 임실군 오수면 군평리 401번지 17호  
270,형제농장,돼지,1300,전북특별자치도 임실군 삼계면 어은리 78번지 1호  
271,효촌목장,젖소,70,전북특별자치도 임실군 성수면 오봉리 276번지  
272,산수농장,돼지,2000,전북특별자치도 임실군 삼계면 산수리 45번지 1호  
273,상칠농장,한우,20,전북특별자치도 임실군 삼계면 덕계리 776번지 2호  
274,덕계농장,한우,97,전북특별자치도 임실군 삼계면 덕계리 778번지 1호  
275,평화농장,육계,45000,전북특별자치도 임실군 삼계면 후천리 산 74번지  
276,중촌농장,한우,25,전북특별자치도 임실군 삼계면 덕계리 652번지  
277,덕계농장,한우,50,전북특별자치도 임실군 삼계면 덕계리 184번지  
278,학정한우단지,한우,300,전북특별자치도 임실군 삼계면 학정리 688번지  
279,운암농장,종계/산란계,200,전북특별자치도 임실군 운암면 용운리 545번지  
280,회봉목장,젖소,75,전북특별자치도 임실군 지사면 금평리 640번지  
281,금평목장,한우,93,전북특별자치도 임실군 지사면 금평리 644번지  
282,종인목장,젖소,56,전북특별자치도 임실군 지사면 금평리 469번지 2호  
283,대한목장,젖소,67,전북특별자치도 임실군 지사면 안하리 229번지  
284,방계목장,젖소,20,전북특별자치도 임실군 지사면 방계리 683번지  
285,하나농장,돼지,1500,전북특별자치도 임실군 운암면 쌍암리 781번지  
286,학정농장,한우,40,전북특별자치도 임실군 삼계면 학정리 719번지  
287,동준목장,젖소,30,전북특별자치도 임실군 관촌면 도봉리 201번지  
288,산들목장,젖소,83,전북특별자치도 임실군 지사면 금평리 766번지 1호  
289,홍규농장,한우,32,전북특별자치도 임실군 지사면 영천리 658번지 1호  
290,의암농장,돼지,600,전북특별자치도 임실군 지사면 계산리 683번지  
291,대진농장,돼지,1100,전북특별자치도 임실군 지사면 방계리 758번지 1호 838. 839. 840번지 
292,참든팜,돼지,2200,"전북특별자치도 임실군 지사면 원산리 162번지 2호 , 159, 161-1, 161-3, 161-5 "
293,관기농장,육계,40000,전북특별자치도 임실군 지사면 관기리 47번지 4호  
294,금호농장,한우,10,전북특별자치도 임실군 지사면 금평리 454번지 2호  
295,큰샘목장,젖소,78,전북특별자치도 임실군 지사면 방계리 890번지 1호  
296,규홍농장,한우,70,전북특별자치도 임실군 지사면 금평리 454번지 2호  
297,안하농장,돼지,800,전북특별자치도 임실군 지사면 안하리 287번지 1호  
298,태용목장,젖소,18,전북특별자치도 임실군 지사면 금평리 465번지  
299,복배목장,젖소,40,전북특별자치도 임실군 지사면 금평리 468번지  
300,한별목장,젖소,60,전북특별자치도 임실군 임실읍 현곡리 130번지 1호  
301,주용농장,돼지,1800,전북특별자치도 임실군 임실읍 금성리 847번지  
302,봉황목장,한우,30,전북특별자치도 임실군 임실읍 두만리 76번지 2호  
303,푸른목장,젖소,80,전북특별자치도 임실군 임실읍 금성리 657번지 1호  
304,숲골목장,젖소,140,전북특별자치도 임실군 임실읍 금성리 166번지 1호  
305,경희농장,육계,40000,전북특별자치도 임실군 지사면 관기리 35번지 3호  
306,종준농장,육계,33000,전북특별자치도 임실군 지사면 안하리 151번지 3호  
307,익송농장,돼지,1500,전북특별자치도 임실군 임실읍 신안리 4번지 7호  
308,예진목장,한우,30,전북특별자치도 임실군 관촌면 도봉리 327번지  
309,희선목장,젖소,39,전북특별자치도 임실군 관촌면 도봉리 189번지 2호  
310,부부농장,한우,50,전북특별자치도 임실군 관촌면 도봉리 173번지  
311,임실목장,산양,30,전북특별자치도 임실군 관촌면 상월리 산 81번지 1호  
312,형룡목장,젖소,42,전북특별자치도 임실군 관촌면 도봉리 467번지 1호  
313,돈마니농장,돼지,1400,전북특별자치도 임실군 관촌면 복흥리 619번지  
314,현곡농장,젖소,86,전북특별자치도 임실군 임실읍 현곡리 424번지  
315,재익농장,한우,30,전북특별자치도 임실군 지사면 안하리 124번지 2호  
316,창호농장,한우,53,전북특별자치도 임실군 지사면 원산리 411번지  
317,기진농장,한우,15,전북특별자치도 임실군 지사면 원산리 834번지 7호  
318,기창농장,한우,30,전북특별자치도 임실군 지사면 안하리 1198번지  
319,은지농장,돼지,900,전북특별자치도 임실군 신덕면 삼길리 446번지  
320,재익농장,한우,7,전북특별자치도 임실군 지사면 안하리 142번지 3호  
321,해용농장,한우,5,전북특별자치도 임실군 지사면 계산리 59번지 3호  
322,인숙농장,한우,35,전북특별자치도 임실군 관촌면 도봉리 112번지  
323,우리목장,육우,13,전북특별자치도 임실군 관촌면 도봉리 113번지  
324,우리목장,한우,65,전북특별자치도 임실군 관촌면 도봉리 303번지  
325,회진농장,한우,172,전북특별자치도 임실군 관촌면 도봉리 274번지  
326,배나드리농장,젖소,60,전북특별자치도 임실군 관촌면 덕천리 218번지 48호  
327,칠규목장,젖소,56,전북특별자치도 임실군 관촌면 도봉리 291번지  
328,우성농장,한우,16,전북특별자치도 임실군 관촌면 슬치리 316번지  
329,희망농장,한우,13,전북특별자치도 임실군 운암면 학암리 707번지  
330,천정농장,한우,24,전북특별자치도 임실군 운암면 마암리 749번지  
331,남석농장,한우,11,전북특별자치도 임실군 운암면 쌍암리 134번지  
332,세영목장,젖소,75,전북특별자치도 임실군 임실읍 대곡리 1003번지 6호  
333,의항농장,한우,76,전북특별자치도 임실군 오수면 대정리 352번지  
334,흥성농장,한우,8,전북특별자치도 임실군 삼계면 학정리 406번지  
335,자연농장,돼지,50,전북특별자치도 임실군 삼계면 오지리 산 19번지  
336,아산농장,한우,100,전북특별자치도 임실군 삼계면 홍곡리 1053번지 3호  
337,우리목장,한우,65,전북특별자치도 임실군 관촌면 도봉리 175번지  
338,대근목장,젖소,58,전북특별자치도 임실군 관촌면 도봉리 422번지  
339,기순농장,한우,25,전북특별자치도 임실군 관촌면 도봉리 359번지 6호  
340,동수농장,한우,6,전북특별자치도 임실군 관촌면 덕천리 703번지 13호  
