사업장명칭,축종분류,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육두수,관리기관명
옥성농장,우제류,돼지,경기도 양주시 은현면 도하리 181  ,경기도 양주시 은현면 그루고개로589번길 2512,945,양주시 농업기술센터 축산과
우영농장,우제류,한우,경기도 양주시 어둔동 139,경기도 양주시 양주산성로 196113 (어둔동),129,양주시 농업기술센터 축산과
정은농장,우제류,돼지,경기도 양주시 은현면 봉암리 4653  ,경기도 양주시 은현면 운하로99번길 2908,1332,양주시 농업기술센터 축산과
누렁소농장,우제류,한우,경기도 양주시 은현면 하패리 314,경기도 양주시 은현면 운하로 47615,66,양주시 농업기술센터 축산과
송암동산목장,우제류,한우,경기도 양주시 만송동 5981,경기도 양주시 만송로 17914 (만송동),152,양주시 농업기술센터 축산과
황주농장,우제류,돼지,경기도 양주시 은현면 하패리 2851  ,경기도 양주시 은현면 하패리 2851,1649,양주시 농업기술센터 축산과
동트는목장,우제류,젖소,경기도 양주시 은현면 하패리 570,경기도 양주시 은현면 운하로 42295,76,양주시 농업기술센터 축산과
왕운목장,우제류,젖소,경기도 양주시 은현면 하패리 379,경기도 양주시 은현면 운하로405번길 5725,147,양주시 농업기술센터 축산과
무곳니목장,우제류,젖소,경기도 양주시 남면 매곡리 8,경기도 양주시 남면 휴암로451번길 8295,128,양주시 농업기술센터 축산과
강우지목장,우제류,젖소,경기도 양주시 삼숭동 4131,경기도 양주시 삼숭로108번길 56 (삼숭동),106,양주시 농업기술센터 축산과
성암농장,우제류,돼지,경기도 양주시 광적면 효촌리 603,경기도 양주시 광적면 화합로74번길 198,1065,양주시 농업기술센터 축산과
원주목장,우제류,젖소,경기도 양주시 은현면 하패리 2774,경기도 양주시 은현면 운하로434번길 8140,68,양주시 농업기술센터 축산과
고주내농장,우제류,한우,경기도 양주시 고읍동 134,경기도 양주시 청담로84번길 231138 (고읍동),6,양주시 농업기술센터 축산과
홍일농장,가금류,육계,경기도 양주시 백석읍 가업리 258,경기도 양주시 백석읍 양주산성로732번길 6929,  ,양주시 농업기술센터 축산과
태평목장,우제류,젖소,경기도 양주시 은현면 도하리 91,경기도 양주시 은현면 그루고개로589번길 2033,127,양주시 농업기술센터 축산과
용마농장,우제류,돼지,경기도 양주시 백석읍 연곡리 193  ,경기도 양주시 백석읍 연곡로 7364,305,양주시 농업기술센터 축산과
윤별목장,우제류,한우,경기도 양주시 광적면 효촌리 218,경기도 양주시 광적면 화합로81번길 368,263,양주시 농업기술센터 축산과
신승농장,우제류,돼지,경기도 양주시 남면 입암리 413,경기도 양주시 남면 삼일로 67918,256,양주시 농업기술센터 축산과
호단목장,우제류,한우,경기도 양주시 율정동 2073,경기도 양주시 율정로165번길 208 (율정동),5,양주시 농업기술센터 축산과
미니목장,우제류,젖소,경기도 양주시 율정동 1541,경기도 양주시 율정로199번길 51 (율정동),40,양주시 농업기술센터 축산과
한아름목장,우제류,한우,경기도 양주시 남면 한산리 280,경기도 양주시 남면 은남로119번길 28141,11,양주시 농업기술센터 축산과
음악목장,우제류,젖소,경기도 양주시 남면 신암리 251,경기도 양주시 남면 감악산로489번길 4132,3,양주시 농업기술센터 축산과
사리산목장,우제류,젖소,경기도 양주시 남면 신산리 3901,경기도 양주시 남면 감악산로466번길 13555,98,양주시 농업기술센터 축산과
거며울목장,우제류,젖소,경기도 양주시 광적면 효촌리 5841,경기도 양주시 광적면 화합로74번길 81,37,양주시 농업기술센터 축산과
노고산목장,우제류,젖소,경기도 양주시 광적면 효촌리 639,경기도 양주시 광적면 화합로74번길 227,37,양주시 농업기술센터 축산과
형제농장,우제류,돼지,경기도 양주시 광적면 광석리 32618  ,경기도 양주시 광적면 부흥로597번길 1685,1307,양주시 농업기술센터 축산과
큰누리목장,우제류,젖소,경기도 양주시 광적면 덕도리 7032,경기도 양주시 광적면 화합로248번길 95,66,양주시 농업기술센터 축산과
유양목장,우제류,한우,경기도 양주시 광적면 효촌리 1381,경기도 양주시 광적면 화합로147번길 16738,18,양주시 농업기술센터 축산과
청석농장,우제류,젖소,경기도 양주시 광적면 석우리 52510,경기도 양주시 광적면 삼일로247번길 2689,51,양주시 농업기술센터 축산과
한우목장,우제류,한우,경기도 양주시 은현면 도하리 182,경기도 양주시 은현면 그루고개로589번길 25,79,양주시 농업기술센터 축산과
주성목장,우제류,젖소,경기도 양주시 은현면 도하리 1017,경기도 양주시 은현면 그루고개로589번길 48,77,양주시 농업기술센터 축산과
송암동산제2목장,우제류,한우,경기도 양주시 은현면 운암리 35412,경기도 양주시 은현면 운하로99번길 7413,227,양주시 농업기술센터 축산과
용암농장,우제류,돼지,경기도 양주시 은현면 용암리 8693,경기도 양주시 은현면 화합로1080번길 17718,746,양주시 농업기술센터 축산과
성원농장,우제류,돼지,경기도 양주시 은현면 용암리 358,경기도 양주시 은현면 화합로1169번길 723,611,양주시 농업기술센터 축산과
필진농장,우제류,돼지,경기도 양주시 은현면 용암리 359,경기도 양주시 은현면 화합로1169번길 78,608,양주시 농업기술센터 축산과
신진농장,우제류,한우,경기도 양주시 남면 상수리 49416,경기도 양주시 남면 검준2길 19640,  ,양주시 농업기술센터 축산과
이일삼목장,우제류,한우,경기도 양주시 은현면 운암리 1621,경기도 양주시 은현면 화합로691번길 185,  ,양주시 농업기술센터 축산과
근택목장,우제류,젖소,경기도 양주시 남면 구암리 881,경기도 양주시 남면 감악산로215번길 140,67,양주시 농업기술센터 축산과
청우목장,우제류,한우,경기도 양주시 백석읍 오산리 5651,경기도 양주시 백석읍 중앙로223번길 8649,3,양주시 농업기술센터 축산과
방축목장,우제류,젖소,경기도 양주시 광적면 효촌리 2011,경기도 양주시 광적면 화합로81번길 2778,88,양주시 농업기술센터 축산과
혁연목장,우제류,젖소,경기도 양주시 광적면 효촌리 1921,경기도 양주시 광적면 화합로81번길 243,67,양주시 농업기술센터 축산과
동굴목장,우제류,육우,경기도 양주시 광적면 효촌리 189,경기도 양주시 광적면 화합로81번길 278,113,양주시 농업기술센터 축산과
허수아비,우제류,젖소,경기도 양주시 광적면 비암리 6862,경기도 양주시 광적면 부흥로 55,48,양주시 농업기술센터 축산과
이익목장,우제류,한우,경기도 양주시 광적면 우고리 535,경기도 양주시 광적면 현석로175번길 15928,117,양주시 농업기술센터 축산과
찬수목장,우제류,젖소,경기도 양주시 광적면 비암리 277 1,경기도 양주시 광적면 현석로 585,63,양주시 농업기술센터 축산과
거문돌목장,우제류,육우,경기도 양주시 광적면 비암리 412,경기도 양주시 광적면 현석로 669,12,양주시 농업기술센터 축산과
모니목장,우제류,젖소,경기도 양주시 광적면 비암리 3201,경기도 양주시 광적면 현석로 78,138,양주시 농업기술센터 축산과
탑골목장,우제류,젖소,경기도 양주시 광적면 우고리 477,경기도 양주시 광적면 현석로 35311,3,양주시 농업기술센터 축산과
비암농장,우제류,육우,경기도 양주시 광적면 비암리 2921,경기도 양주시 광적면 부흥로231번길 11010,2,양주시 농업기술센터 축산과
샘나목장,우제류,젖소,경기도 양주시 광적면 우고리 4632,경기도 양주시 광적면 현석로413번길 135,65,양주시 농업기술센터 축산과
웅연 목장,우제류,젖소,경기도 양주시 광적면 효촌리 2711,경기도 양주시 광적면 화합로81번길 507,120,양주시 농업기술센터 축산과
금성농장,가금류,육계,경기도 양주시 만송동 5821,경기도 양주시 만송로366번길 139 (만송동),  ,양주시 농업기술센터 축산과
정종목장,우제류,한우,경기도 양주시 만송동 3771,경기도 양주시 만송로 319 (만송동),12,양주시 농업기술센터 축산과
신평목장,우제류,한우,경기도 양주시 백석읍 방성리 347,경기도 양주시 백석읍 부흥로983번길 275,13,양주시 농업기술센터 축산과
완주목장,우제류,젖소,경기도 양주시 백석읍 기산리 3292,경기도 양주시 백석읍 기산로471번길 66,11,양주시 농업기술센터 축산과
새햇빛농장,우제류,한우,경기도 양주시 광적면 우고리 373,경기도 양주시 광적면 현석로413번길 87,74,양주시 농업기술센터 축산과
펜티엄 목장,우제류,젖소,경기도 양주시 백석읍 홍죽리 5844,경기도 양주시 백석읍 월암로43번길 5838,69,양주시 농업기술센터 축산과
청용목장,우제류,한우,경기도 양주시 광적면 효촌리 206,경기도 양주시 광적면 화합로81번길 315,23,양주시 농업기술센터 축산과
덕보목장,우제류,젖소,경기도 양주시 광적면 덕도리 580,경기도 양주시 광적면 광적로326번길 4115,2,양주시 농업기술센터 축산과
한빛농장,우제류,한우,경기도 양주시 은현면 운암리 162,경기도 양주시 은현면 은현로105번길 3025,  ,양주시 농업기술센터 축산과
복순목장,우제류,한우,경기도 양주시 은현면 선암리 22,경기도 양주시 은현면 용암로161번길 254146,315,양주시 농업기술센터 축산과
원터한우목장,우제류,한우,경기도 양주시 은현면 용암리 5322,경기도 양주시 은현면 평화로1889번길 24539,17,양주시 농업기술센터 축산과
민정농장,우제류,한우,경기도 양주시 은현면 운암리 301,경기도 양주시 은현면 운하로101번길 16686,41,양주시 농업기술센터 축산과
고읍농장,우제류,한우,경기도 양주시 고읍동 2071,경기도 양주시 청담로84번길 7229 (고읍동),20,양주시 농업기술센터 축산과
팔칠목장,우제류,젖소,경기도 양주시 은현면 운암리 3903,경기도 양주시 은현면 운하로101번길 85,133,양주시 농업기술센터 축산과
선득목장,우제류,한우,경기도 양주시 장흥면 교현리 2483,경기도 양주시 장흥면 북한산로 90516,32,양주시 농업기술센터 축산과
호명농장,우제류,한우,경기도 양주시 어둔동 68,경기도 양주시 양주산성로 2335 (어둔동),93,양주시 농업기술센터 축산과
장흥농장,우제류,돼지,경기도 양주시 봉양동 5801,경기도 양주시 칠봉산로227번길 7641 (봉양동),1020,양주시 농업기술센터 축산과
경화목장,우제류,한우,경기도 양주시 봉양동 7777,경기도 양주시 칠봉산로376번길 31 (봉양동),2,양주시 농업기술센터 축산과
성일목장,우제류,젖소,경기도 양주시 은현면 운암리 296,경기도 양주시 은현면 운하로101번길 166105,82,양주시 농업기술센터 축산과
박달목장,우제류,젖소,경기도 양주시 광적면 석우리 4461,경기도 양주시 광적면 광적로 18012,27,양주시 농업기술센터 축산과
황원목장,우제류,젖소,경기도 양주시 남면 황방리 302,경기도 양주시 남면 삼육사로327번길 55868,152,양주시 농업기술센터 축산과
도레미목장,우제류,젖소,경기도 양주시 은현면 선암리 174,경기도 양주시 은현면 용암로161번길 254254,99,양주시 농업기술센터 축산과
상수농장,우제류,한우,경기도 양주시 남면 상수리 46,경기도 양주시 남면 운하로 7789,309,양주시 농업기술센터 축산과
삼형농장,가금류,산란계,경기도 양주시 남면 한산리 26,경기도 양주시 남면 은남로119번길 24113,74700,양주시 농업기술센터 축산과
우정목장,우제류,젖소,경기도 양주시 은현면 하패리 133,경기도 양주시 은현면 운하로 51411,80,양주시 농업기술센터 축산과
쇠골농장,우제류,한우,경기도 양주시 남면 한산리 3861,경기도 양주시 남면 삼육사로355번길 50,35,양주시 농업기술센터 축산과
신라목장,우제류,한우,경기도 양주시 남면 상수리 443,경기도 양주시 남면 삼일로 70887,56,양주시 농업기술센터 축산과
연난목장,우제류,젖소,경기도 양주시 백석읍 연곡리 1461,경기도 양주시 백석읍 월암로 19522,47,양주시 농업기술센터 축산과
정원목장,우제류,한우,경기도 양주시 백석읍 가업리 149,경기도 양주시 백석읍 양주산성로709번길 24,6,양주시 농업기술센터 축산과
양대흥목장,우제류,젖소,경기도 양주시 백석읍 홍죽리 5598,경기도 양주시 백석읍 월암로43번길 5847,110,양주시 농업기술센터 축산과
디딤목장,우제류,젖소,경기도 양주시 백석읍 기산리 3291,경기도 양주시 백석읍 기산로471번길 78,33,양주시 농업기술센터 축산과
다윗목장,우제류,젖소,경기도 양주시 은현면 도하리 332,경기도 양주시 은현면 그루고개로371번길 26,127,양주시 농업기술센터 축산과
원형목장,우제류,육우,경기도 양주시 백석읍 방성리 746,경기도 양주시 백석읍 부흥로1204번길 152,84,양주시 농업기술센터 축산과
엄지목장,우제류,육우,경기도 양주시 백석읍 방성리 845,경기도 양주시 백석읍 양주산성로 441,  ,양주시 농업기술센터 축산과
한산목장,우제류,한우,경기도 양주시 남면 한산리 391,경기도 양주시 남면 삼육사로355번길 4736,74,양주시 농업기술센터 축산과
광산목장,우제류,한우,경기도 양주시 남면 한산리 3891,경기도 양주시 남면 삼육사로355번길 4710,12,양주시 농업기술센터 축산과
덕하진목장,우제류,젖소,경기도 양주시 은현면 운암리 1103,경기도 양주시 은현면 화합로788번길 33,76,양주시 농업기술센터 축산과
아기목장,우제류,젖소,경기도 양주시 남면 경신리 233,경기도 양주시 남면 현석로785번길 78,49,양주시 농업기술센터 축산과
종백목장,우제류,젖소,경기도 양주시 장흥면 삼하리 3501,경기도 양주시 장흥면 일영로 41542,31,양주시 농업기술센터 축산과
현희목장,우제류,한우,경기도 양주시 은현면 운암리 3827,경기도 양주시 은현면 운하로101번길 1648,51,양주시 농업기술센터 축산과
송안목장,우제류,젖소,경기도 양주시 은현면 선암리 783,경기도 양주시 은현면 화합로941번길 262,71,양주시 농업기술센터 축산과
비젼축산양돈장,우제류,돼지,경기도 양주시 은현면 하패리 1006,경기도 양주시 은현면 은현로 13717,100,양주시 농업기술센터 축산과
길재농장,우제류,한우,경기도 양주시 은현면 운암리 3991,경기도 양주시 은현면 운하로101번길 29,11,양주시 농업기술센터 축산과
상계농장,우제류,한우,경기도 양주시 은현면 용암리 1005,경기도 양주시 은현면 용암로 297,155,양주시 농업기술센터 축산과
용암농장,우제류,한우,경기도 양주시 은현면 용암리 603,경기도 양주시 은현면 용암로 2947,36,양주시 농업기술센터 축산과
산골목장,우제류,젖소,경기도 양주시 남면 경신리 1278,경기도 양주시 남면 삼일로479번길 116,56,양주시 농업기술센터 축산과
다솜농장,우제류,돼지,경기도 양주시 은현면 하패리 86846,경기도 양주시 은현면 은현로312번길 15019,644,양주시 농업기술센터 축산과
명찬농장,우제류,한우,경기도 양주시 은현면 하패리 47,경기도 양주시 은현면 강변서로 19716,165,양주시 농업기술센터 축산과
동근농장,우제류,한우,경기도 양주시 남면 황방리 4513,경기도 양주시 남면 삼육사로327번길 457107,133,양주시 농업기술센터 축산과
다복목장,우제류,한우,경기도 양주시 남면 황방리 3411,경기도 양주시 남면 삼육사로327번길 49514,26,양주시 농업기술센터 축산과
감악목장,우제류,젖소,경기도 양주시 남면 황방리 392,경기도 양주시 남면 삼육사로327번길 42670,140,양주시 농업기술센터 축산과
황방농장,우제류,한우,경기도 양주시 남면 황방리 453,경기도 양주시 남면 삼육사로327번길 45764,64,양주시 농업기술센터 축산과
주향목장,우제류,한우,경기도 양주시 남면 황방리 464,경기도 양주시 남면 삼육사로327번길 5458,9,양주시 농업기술센터 축산과
우견목장,우제류,젖소,경기도 양주시 남면 황방리 3501,경기도 양주시 남면 삼육사로327번길 45110,71,양주시 농업기술센터 축산과
사철목장,우제류,육우,경기도 양주시 광적면 가납리 2582 ,경기도 양주시 광적면 그루고개로143번길 27627,  ,양주시 농업기술센터 축산과
부농농장,우제류,돼지,경기도 양주시 은현면 선암리 445,경기도 양주시 은현면 은현로56번길 15915,850,양주시 농업기술센터 축산과
신송이목장,우제류,젖소,경기도 양주시 은현면 선암리 4421,경기도 양주시 은현면 은현로56번길 187102,37,양주시 농업기술센터 축산과
도성목장,우제류,젖소,경기도 양주시 은현면 선암리 443,경기도 양주시 은현면 은현로56번길 15928,111,양주시 농업기술센터 축산과
양주축산,가금류,육계,경기도 양주시 율정동 782,경기도 양주시 율정로247번길 4226 (율정동),  ,양주시 농업기술센터 축산과
지정팜,우제류,돼지,경기도 양주시 남면 상수리 224,경기도 양주시 남면 화합로610번길 30262,984,양주시 농업기술센터 축산과
대희농장,우제류,육우,경기도 양주시 은현면 하패리 3604,경기도 양주시 은현면 운하로 421,  ,양주시 농업기술센터 축산과
석동목장,우제류,젖소,경기도 양주시 은현면 하패리 4043,경기도 양주시 은현면 운하로433번길 17313,  ,양주시 농업기술센터 축산과
황용목장,우제류,젖소,경기도 양주시 은현면 운암리 5234,경기도 양주시 은현면 화합로720번길 168,106,양주시 농업기술센터 축산과
신명성목장,우제류,젖소,경기도 양주시 남면 경신리 2022,경기도 양주시 남면 현석로785번길 147,95,양주시 농업기술센터 축산과
길명목장,우제류,젖소,경기도 양주시 남면 신산리 3801,경기도 양주시 남면 감악산로466번길 9581,55,양주시 농업기술센터 축산과
송골매목장,우제류,젖소,경기도 양주시 남면 매곡리 2342,경기도 양주시 남면 휴암로392번길 44,34,양주시 농업기술센터 축산과
천경목장,우제류,한우,경기도 양주시 남면 한산리 555279,경기도 양주시 남면 삼육사로 304102,55,양주시 농업기술센터 축산과
유엔목장,우제류,젖소,경기도 양주시 남면 신산리 94 5  ,경기도 양주시 남면 감악산로244번길 13446,41,양주시 농업기술센터 축산과
초연목장,우제류,젖소,경기도 양주시 광적면 덕도리 9971,경기도 양주시 광적면 광적로325번길 152,98,양주시 농업기술센터 축산과
함민목장,우제류,젖소,경기도 양주시 광적면 효촌리 2092,경기도 양주시 광적면 화합로81번길 326,73,양주시 농업기술센터 축산과
천영목장,우제류,한우,경기도 양주시 남면 경신리 105,경기도 양주시 남면 삼일로 48427,67,양주시 농업기술센터 축산과
준목장,우제류,한우,경기도 양주시 남면 상수리 722,경기도 양주시 남면 운하로 77131,61,양주시 농업기술센터 축산과
풍야농장,우제류,한우,경기도 양주시 남면 경신리 326,경기도 양주시 남면 현석로 8742,38,양주시 농업기술센터 축산과
광개토목장,우제류,젖소,경기도 양주시 남면 신암리 2413,경기도 양주시 남면 감악산로489번길 6358,71,양주시 농업기술센터 축산과
송현목장,우제류,젖소,경기도 양주시 남면 경신리 1201,경기도 양주시 남면 삼일로479번길 56,115,양주시 농업기술센터 축산과
신복목장,우제류,젖소,경기도 양주시 남면 신암리 2932,경기도 양주시 남면 감악산로489번길 27141,127,양주시 농업기술센터 축산과
한우리농장,우제류,한우,경기도 양주시 광적면 덕도리 194,경기도 양주시 광적면 삼일로 28817,  ,양주시 농업기술센터 축산과
대청목장,우제류,젖소,경기도 양주시 남면 입암리 3563,경기도 양주시 남면 삼일로 845,68,양주시 농업기술센터 축산과
노량목장,우제류,젖소,경기도 양주시 남면 입암리 3165,경기도 양주시 남면 입암리 316,23,양주시 농업기술센터 축산과
수성목장,우제류,젖소,경기도 양주시 남면 입암리 3243,경기도 양주시 남면 삼일로 86125,2,양주시 농업기술센터 축산과
성웅목장,우제류,젖소,경기도 양주시 백석읍 연곡리 1492,경기도 양주시 백석읍 월암로 17522,86,양주시 농업기술센터 축산과
성전목장,우제류,한우,경기도 양주시 백석읍 연곡리 산 573,경기도 양주시 백석읍 월암로 19535,31,양주시 농업기술센터 축산과
예람목장,우제류,한우,경기도 양주시 백석읍 홍죽리 4814,경기도 양주시 백석읍 월암로170번길 12842,56,양주시 농업기술센터 축산과
정곡목장,우제류,젖소,경기도 양주시 백석읍 홍죽리 1475,경기도 양주시 백석읍 양주산성로 93490,156,양주시 농업기술센터 축산과
정터목장,우제류,한우,경기도 양주시 백석읍 연곡리 1241,경기도 양주시 백석읍 월암로 18689,57,양주시 농업기술센터 축산과
연평목장,우제류,한우,경기도 양주시 백석읍 연곡리 1638,경기도 양주시 백석읍 월암로 18614,9,양주시 농업기술센터 축산과
백두1농장,우제류,육우,경기도 양주시 광적면 우고리 42,경기도 양주시 광적면 부흥로604번길 339,40,양주시 농업기술센터 축산과
명선농장,우제류,돼지,경기도 양주시 봉양동 6251,경기도 양주시 칠봉산로227번길 7626 (봉양동),225,양주시 농업기술센터 축산과
수성농장,우제류,한우,경기도 양주시 봉양동 502,경기도 양주시 칠봉산로332번길 32 (봉양동),15,양주시 농업기술센터 축산과
금화목장,우제류,젖소,경기도 양주시 백석읍 가업리 4584,경기도 양주시 백석읍 양주산성로800번길 16721,5,양주시 농업기술센터 축산과
정혜목장,우제류,한우,경기도 양주시 백석읍 가업리 464,경기도 양주시 백석읍 양주산성로800번길 125,65,양주시 농업기술센터 축산과
큰다산목장,우제류,젖소,경기도 양주시 백석읍 가업리 4123,경기도 양주시 백석읍 중앙로 35372,66,양주시 농업기술센터 축산과
윤형목장,우제류,육우,경기도 양주시 백석읍 가업리 4361,경기도 양주시 백석읍 중앙로223번길 1787,36,양주시 농업기술센터 축산과
예명농장,우제류,젖소,경기도 양주시 백석읍 가업리 487,경기도 양주시 백석읍 양주산성로800번길 87104,15,양주시 농업기술센터 축산과
희수목장,우제류,젖소,경기도 양주시 백석읍 가업리 179,경기도 양주시 백석읍 양주산성로 735,23,양주시 농업기술센터 축산과
홍보목장,우제류,한우,경기도 양주시 백석읍 홍죽리 555,경기도 양주시 백석읍 월암로77번길 297,47,양주시 농업기술센터 축산과
연제농장,우제류,한우,경기도 양주시 백석읍 오산리 340,경기도 양주시 백석읍 부흥로910번길 17013,14,양주시 농업기술센터 축산과
세인농장,우제류,한우,경기도 양주시 은현면 도하리 6552,경기도 양주시 은현면 그루고개로371번길 13118,3,양주시 농업기술센터 축산과
금주농장,우제류,한우,경기도 양주시 광적면 가납리 2631,경기도 양주시 광적면 그루고개로221번길 13351,163,양주시 농업기술센터 축산과
보막목장,우제류,한우,경기도 양주시 광적면 덕도리 609,경기도 양주시 광적면 광적로325번길 32,7,양주시 농업기술센터 축산과
순영농장,우제류,육우,경기도 양주시 광적면 효촌리 6463,경기도 양주시 광적면 화합로74번길 14019,  ,양주시 농업기술센터 축산과
연민목장,우제류,젖소,경기도 양주시 남면 신암리 2952,경기도 양주시 남면 감악산로489번길 27231,70,양주시 농업기술센터 축산과
감천농장,우제류,한우,경기도 양주시 백석읍 가업리 2461,경기도 양주시 백석읍 양주산성로732번길 299,45,양주시 농업기술센터 축산과
유진목장,우제류,육우,경기도 양주시 은현면 용암리 520,경기도 양주시 은현면 평화로1889번길 18318,  ,양주시 농업기술센터 축산과
중화목장,우제류,젖소,경기도 양주시 남면 신산리 3171,경기도 양주시 남면 삼육사로111번길 1782,86,양주시 농업기술센터 축산과
병동농장,우제류,돼지,경기도 양주시 은현면 하패리 5794,"경기도 양주시 고암길 30540,403동 2101호 (덕정동,청담마을)",1647,양주시 농업기술센터 축산과
대찬목장,우제류,젖소,경기도 양주시 삼숭동 4161,경기도 양주시 삼숭로108번길 77 (삼숭동),149,양주시 농업기술센터 축산과
완래농장,우제류,한우,경기도 양주시 백석읍 방성리 1371,경기도 양주시 백석읍 부흥로1000번길 112,129,양주시 농업기술센터 축산과
할미재농장,우제류,한우,경기도 양주시 은현면 운암리 302,경기도 양주시 은현면 운하로101번길 16668,107,양주시 농업기술센터 축산과
원형제2목장,우제류,젖소,경기도 양주시 백석읍 방성리 7493,경기도 양주시 백석읍 부흥로1204번길 152,109,양주시 농업기술센터 축산과
감악산목장,우제류,젖소,경기도 양주시 은현면 운암리 3601,경기도 양주시 은현면 운하로101번길 101,199,양주시 농업기술센터 축산과
현화농장,우제류,한우,경기도 양주시 유양동 264,경기도 양주시 외미로 1878 (유양동),18,양주시 농업기술센터 축산과
진제농장,우제류,한우,경기도 양주시 백석읍 기산리 1291,경기도 양주시 백석읍 권율로 860,15,양주시 농업기술센터 축산과
환훈목장,우제류,한우,경기도 양주시 광적면 우고리 782,경기도 양주시 광적면 부흥로618번길 9022,  ,양주시 농업기술센터 축산과
효빈2목장,우제류,젖소,경기도 양주시 백석읍 연곡리 427,경기도 양주시 백석읍 연곡로124번길 1932,66,양주시 농업기술센터 축산과
