가축종류명,농장명,소재지도로명주소,소재지지번주소,위도,경도,전화번호,사육두수,가축분뇨폐수량,가축분뇨처리시설연계처리여부,가축분뇨연계처리세부내용,개인농장폐수처리시설처리방법,운영방법,준공일자,관리기관명,관리부서전화번호,데이터기준일자
젖소, ,경기도 파주시 월롱면 국사봉길 227,경기도 파주시 월롱면 능산리 426-1,37.83002558,126.7620068,031-953-1716,31,1.17,N,,,직접운영,2001-11-08,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 월롱면 도감로 225-16,경기도 파주시 월롱면 도내리 492-4,37.79125143,126.8101664,,196,2.68,N,,,직접운영,2019-01-14,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
말, ,경기도 파주시 월롱면 월롱초교길 166,경기도 파주시 월롱면 덕은리 105-4,37.79552664,126.7801525,031-946-3695,12,0.164,N,,,직접운영,2012-04-13,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
개, ,경기도 파주시 월롱면 정문로394번길 160,경기도 파주시 월롱면 도내리 182,37.78964881,126.8254377,,22,0.04,N,,,직접운영,2012-10-18,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
닭, ,경기도 파주시 월롱면 통일로 1031-77,경기도 파주시 월롱면 덕은리 28-2,37.80163727,126.7894027,,15000,1.28,N,,,직접운영,2013-08-07,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소, ,경기도 파주시 월롱산로13번길 11,경기도 파주시 야동동 203-1,37.77760583,126.7661652,031-941-7161,64,2.41,N,,,직접운영,2001-12-12,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소, ,경기도 파주시 적성면 듸링거리길 294,경기도 파주시 적성면 답곡리 753,37.94983796,126.8669064,,302,10.951,N,,,직접운영,2017-04-24,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소, ,경기도 파주시 적성면 배우니안길 219-34,경기도 파주시 적성면 객현리 185,37.97391629,126.9543531,,264,9.94,N,,,직접운영,2017-08-11,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 적성면 배우니안길 219-66,경기도 파주시 적성면 객현리 188,37.97154627,126.9547383,,65,0.89,N,,,직접운영,2021-09-23,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
돼지, ,경기도 파주시 적성면 배우니안길 95,경기도 파주시 적성면 객현리 129,37.97106415,126.9583166,,857,4.45,N,,,직접운영,2018-03-07,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소, ,경기도 파주시 적성면 솥뒤로123번길 51-11,경기도 파주시 적성면 두지리 2-19,37.96090412,126.9056347,,69,1.3,N,,,직접운영,2017-02-24,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
돼지, ,경기도 파주시 적성면 아랫배우니길 37-36,경기도 파주시 적성면 객현리 113-1,37.96926024,126.9568979,,668,3.42,N,,,직접운영,2019-12-10,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 적성면 아랫배우니길 55,경기도 파주시 적성면 객현리 108-5,37.96851488,126.9568664,,45,0.06,N,,,직접운영,1999-09-10,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소, ,경기도 파주시 적성면 어못내길 150-45,경기도 파주시 적성면 어유지리 136,38.00143632,126.9930126,,111,4.18,N,,,직접운영,2018-06-14,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 적성면 어못내길 53-78,경기도 파주시 적성면 어유지리 193,38.00346163,126.9846285,,16,0.22,N,,,직접운영,2020-03-30,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 적성면 윗배우니길 244-1,경기도 파주시 적성면 객현리 206,37.96790289,126.9522436,,143,1.96,N,,,직접운영,2015-01-23,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 적성면 율곡로 1608,경기도 파주시 적성면 자장리 156-2,37.9617626,126.8651161,,84,1.63,N,,,직접운영,2017-02-27,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
돼지, ,경기도 파주시 적성면 율곡로3064번길 25-69,경기도 파주시 적성면 적암리 122,37.98368667,127.007993,,613,3.13,N,,,직접운영,2020-10-08,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
닭, ,경기도 파주시 조리읍 뇌조로178번길 46,경기도 파주시 조리읍 뇌조리 124-4,37.75325425,126.8209021,,20000,1.71,N,,,직접운영,2018-05-30,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 조리읍 둑방길 190,경기도 파주시 조리읍 대원리 1176,37.73264135,126.8238818,,263,3.38,N,,,직접운영,2023-04-13,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 조리읍 둑방길 403,경기도 파주시 조리읍 대원리 17,37.72886944,126.8320297,,59,0,N,,,직접운영,1999-03-27,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소, ,경기도 파주시 탄현면 검산로 423-10,경기도 파주시 탄현면 축현리 210-6,37.80583228,126.7325519,,175,6.58,N,,,직접운영,2018-07-26,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
말, ,경기도 파주시 탄현면 새오리로286번길 48-22,경기도 파주시 탄현면 대동리 646,37.80625583,126.6923244,,79,1.09,N,,,직접운영,2017-07-18,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 탄현면 월롱산로 417,경기도 파주시 탄현면 금승리 269-2,37.80975176,126.749414,,26,0.369,N,,,직접운영,2011-07-15,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 파주로 523,경기도 파주시 당하동 240-6,37.7382367,126.7435357,031-941-4721,59,1.15,N,,,직접운영,2000-12-30,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 파평면 자장로17번길 82,경기도 파주시 파평면 장파리 554,37.95304919,126.8387581,,317,4.34,N,,,직접운영,2020-11-27,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 파평면 장마루13길 178-20,경기도 파주시 파평면 장파리 298-5,37.94359702,126.8461617,,56,0.767,N,,,직접운영,2009-12-21,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
개, ,경기도 파주시 파평면 청송로652번길 93-110,경기도 파주시 파평면 덕천리 57-5,37.94081023,126.888957,,130,0.221,N,,,직접운영,2018-02-08,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
닭, ,,경기도 파주시 파주읍 봉서리 440,37.84679004,126.7958847,,25000,2.138,N,,,직접운영,2018-06-25,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
닭, ,,경기도 파주시 월롱면 위전리 521-1,37.78926716,126.7963582,,15000,0.1,N,,,직접운영,1997-07-19,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
닭, ,,경기도 파주시 문산읍 이천리 178-1,37.87121264,126.8389462,,20000,1.709,N,,,직접운영,2017-12-28,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
닭, ,,경기도 파주시 당하동 240-145,37.74374308,126.7463291,,7880,0.67,N,,,직접운영,2001-05-14,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
양(염소), ,,경기도 파주시 송촌동 523-2,37.74878611,126.6902576,031-942-3762,20,0.03,N,,,직접운영,2001-08-13,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
닭, ,,경기도 파주시 파주읍 연풍리 산 51-1,37.82842155,126.8508992,,3100,0.27,N,,,직접운영,2002-12-06,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
닭, ,,경기도 파주시 하지석동 447-2,37.75510159,126.7356161,,5000,0.485,N,,,직접운영,2016-04-19,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
개, ,,경기도 파주시 법원읍 동문리 629-5,37.862292,126.8420732,,120,0.204,N,,,직접운영,2017-11-06,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,,경기도 파주시 탄현면 금승리 286-3,37.8093345,126.7451357,,27,0.37,N,,,직접운영,2018-11-01,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
개,(주)씨케이팜,경기도 파주시 법원읍 못말길 371-74,경기도 파주시 법원읍 동문리 329-6,37.8705038,126.8581578,,120,0.204,N,,,직접운영,2021-01-07,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
돼지,(주)장강축산,경기도 파주시 적성면 듸링거리길 525-34,경기도 파주시 적성면 답곡리 144,37.95492615,126.8585425,,2290,11.68,N,,,직접운영,2024-08-20,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
닭,가월농장,경기도 파주시 적성면 칠중7길 240,경기도 파주시 적성면 가월리 199-1,37.96150374,126.9105413,,40000,6,N,,,직접운영,2009-03-27,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
개,가정애견하우스,경기도 파주시 파평면 배머리길 794-1,경기도 파주시 파평면 마산리 296-12,37.88451117,126.8526401,,100,0.17,N,,,직접운영,2018-11-01,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,각우농장,경기도 파주시 광탄면 혜음로 1300-281,경기도 파주시 광탄면 창만리 544-1,37.80093013,126.8530514,,62,0.85,N,,,직접운영,2020-06-08,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,갈현농장,경기도 파주시 탄현면 장릉로 157,경기도 파주시 탄현면 갈현리 1184,37.76522558,126.7065109,,33,0.45,N,,,직접운영,1997-04-30,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,감천목장,경기도 파주시 적성면 배우니안길 171,경기도 파주시 적성면 객현리 136,37.97410404,126.9569545,,342,4.69,N,,,직접운영,2020-03-17,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,강씨농장,경기도 파주시 법원읍 술이홀로1584번길 63-10,경기도 파주시 법원읍 웅담리 255-9,37.90041248,126.8898569,,15,0.219,N,,,직접운영,2020-04-23,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
닭,강현농장,경기도 파주시 적성면 장마루16길 346-38,경기도 파주시 적성면 답곡리 506,37.94933347,126.8554766,,15000,1.28,N,,,직접운영,1996-06-03,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소,객현목장,경기도 파주시 적성면 배우니안길 8,경기도 파주시 적성면 객현리 107-1,37.96782004,126.9590106,,252,7,N,,,직접운영,2024-01-25,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,객현목장,경기도 파주시 적성면 배우니안길 45-2,경기도 파주시 적성면 객현리 133-1,37.96980789,126.9583298,031-957-9655,89,1.22,N,,,직접운영,2012-12-18,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
돼지,거진축산,경기도 파주시 법원읍 술이홀로1131번길 80,경기도 파주시 법원읍 법원리 648-1,37.86796447,126.8794982,,2357,12.02,                                                                                                                                                          ,정화방류,활성오니법+RO,직접운영,2023-07-04,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,건국목장,경기도 파주시 파평면 자장로 61-13,경기도 파주시 파평면 장파리 563,37.95218448,126.8406813,,167,3.848,N,,,직접운영,2019-06-24,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
양(염소),경기농장,경기도 파주시 월롱면 도감로 225-172,경기도 파주시 월롱면 도내리 725-29,37.79806046,126.8087347,,150,0.25,N,,,직접운영,2020-07-22,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,경문목장,경기도 파주시 파평면 금마루4길 41,경기도 파주시 파평면 금파리 401-1,37.93228312,126.8352459,,310,6.551,N,,,직접운영,2021-09-08,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,경복농장,,경기도 파주시 법원읍 웅담리 449-2,37.90691783,126.8921447,,28,0.38,N,,,직접운영,2018-11-12,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,경성목장,경기도 파주시 파평면 장마루1길 127-50,경기도 파주시 파평면 덕천리 630,37.93880615,126.8445543,,77,2.111,N,,,직접운영,2018-03-05,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,경성목장,경기도 파주시 파평면 장마루1길 215-17,경기도 파주시 파평면 덕천리 579-4,37.93872341,126.8450051,,23,0.315,N,,,직접운영,2018-03-05,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,경성목장,경기도 파주시 파평면 장마루1길 97,경기도 파주시 파평면 장파리 1049,37.9376535,126.8418609,,231,7.31,N,,,직접운영,2020-03-26,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,경승목장,,경기도 파주시 적성면 장현리 39-3,37.98632245,126.9846337,,39,0.534,N,,,직접운영,1995-12-23,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소,경업목장,경기도 파주시 법원읍 가좌울길 136,경기도 파주시 법원읍 가야리 146-8,37.85751697,126.8595883,,124,4.67,N,,,직접운영,2020-11-09,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,경영목장,경기도 파주시 법원읍 만월로 876-5,경기도 파주시 법원읍 웅담리 364-2,37.91018155,126.8962521,,146,2,N,,,직접운영,2018-03-05,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,경운목장,,경기도 파주시 탄현면 갈현리 1823-1,37.77811643,126.7217685,,51,0.7,N,,,직접운영,2017-09-15,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
돼지,경지농장,경기도 파주시 적성면 산덕골길 395,경기도 파주시 적성면 장현리 153-2,37.97872261,126.9773731,,5009,18.12,Y,정화방류,장기폭기법+RO,직접운영,2019-07-15,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,경지농장,경기도 파주시 적성면 장뜰길 384-120,경기도 파주시 적성면 장현리 184-1,37.96704824,126.9775023,,199,2.726,N,,,직접운영,2020-04-17,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,경진농장,경기도 파주시 파평면 파평산로454번길 16,경기도 파주시 파평면 두포리 197-5,37.90080896,126.8382673,,46,0.63,N,,,직접운영,2019-08-29,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소,경찬농장,경기도 파주시 적성면 구읍로106번길 194,경기도 파주시 적성면 구읍리 91-2,37.96798973,126.9365875,,233,8.784,N,,,직접운영,2012-04-24,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소,경춘목장,경기도 파주시 적성면 구읍로106번길 55,경기도 파주시 적성면 구읍리 57-1,37.97351025,126.9338846,,85,3.19,N,,,직접운영,2018-12-27,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
돼지,고도농장,경기도 파주시 파평면 듸링거리길 117-204,경기도 파주시 파평면 덕천리 199,37.94071076,126.8654892,,955,4.52,N,,,직접운영,2024-01-03,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소,고령목장,경기도 파주시 법원읍 둔방이길 147,경기도 파주시 법원읍 삼방리 251-2,37.83421896,126.8781938,,221,8.77,N,,,직접운영,2017-11-17,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소,골샘농장,경기도 파주시 탄현면 방촌로 1098,경기도 파주시 탄현면 낙하리 606,37.82795833,126.7413201,,150,5.12,N,,,직접운영,2018-07-10,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
양(염소),곰소농장,,경기도 파주시 법원읍 웅담리 255-18,37.90118774,126.8893743,,130,0.09,N,,,직접운영,2023-06-05,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,곰시목장,경기도 파주시 법원읍 만월로 813,경기도 파주시 법원읍 웅담리 197-2,37.90807351,126.9024512,,130,3.989,N,,,직접운영,2020-05-07,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,관정목장,경기도 파주시 적성면 구읍로 76-16,경기도 파주시 적성면 구읍리 254-9,37.97254346,126.9309099,,146,4.71,N,,,직접운영,2023-06-21,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소,광만목장,경기도 파주시 파주읍 여울길 310-160,경기도 파주시 파주읍 부곡리 1-3,37.81327494,126.8386551,,454,17.114,N,,,직접운영,2018-02-08,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,광연목장,경기도 파주시 법원읍 못말길 371-35,경기도 파주시 법원읍 동문리 324,37.87002813,126.8574375,,138,1.83,N,,,직접운영,2023-10-27,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,광탄농장,경기도 파주시 광탄면 부흥로 194-24,경기도 파주시 광탄면 방축리 549,37.80224644,126.8674361,,140,1.92,N,,,직접운영,2020-06-16,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소,교하목장,,경기도 파주시 교하동 597,37.7546859,126.741833,,90,3.42,N,,,직접운영,2018-08-24,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
말,교하스카이승마장,경기도 파주시 장자울길 4-33,경기도 파주시 다율동 852,37.73691755,126.7383917,,25,0.277,N,,,직접운영,2018-04-23,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,교하축산한우단지,경기도 파주시 산남로132번길 49-173,경기도 파주시 산남동 721,37.69038591,126.6913642,,75,1.028,N,,,직접운영,2018-06-15,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,교하축산한우단지,경기도 파주시 산남로132번길 49-180,경기도 파주시 산남동 711,37.69099678,126.6902671,,75,1.028,N,,,직접운영,2018-06-15,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,교하축산한우단지,경기도 파주시 산남로132번길 49-184,경기도 파주시 산남동 712,37.69058144,126.6905121,,75,1.028,N,,,직접운영,2018-06-15,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,교하축산한우단지,경기도 파주시 산남로132번길 49-191,경기도 파주시 산남동 720,37.68987846,126.6907357,,75,1.028,N,,,직접운영,2018-06-15,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,교하축산한우단지,,경기도 파주시 산남동 721-1,37.69015536,126.6913682,,103,1.41,N,,,직접운영,2020-12-11,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,교하축산한우단지,,경기도 파주시 산남동 721-2,37.69002958,126.6912192,,75,1.028,N,,,직접운영,2018-06-15,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,교하축산한우단지,,경기도 파주시 산남동 720-1,37.68990687,126.6910649,,75,1.028,N,,,직접운영,2018-06-15,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
닭,구구농장,경기도 파주시 적성면 산덕골길 109,경기도 파주시 적성면 장현리 44-1,37.98738429,126.9848454,,10000,1.25,N,,,직접운영,2018-10-24,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,굿모닝농장,,경기도 파주시 법원읍 동문리 214-1,37.87250648,126.8603026,,3359,1.04,N,,,직접운영,2024-03-06,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,규현목장,경기도 파주시 광탄면 보광로 762-17,경기도 파주시 광탄면 마장리 17-20,37.77252501,126.898381,,33,0.45,N,,,직접운영,2018-11-22,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
돼지,그날농장,경기도 파주시 파평면 배머리길 811-16,경기도 파주시 파평면 마산리 306-6,37.88452443,126.851145,,2497,28.2,Y,정화방류,활성오니법,직접운영,1996-06-13,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
말,그랜드승마장,경기도 파주시 법원읍 만월로675번길 90,경기도 파주시 법원읍 직천리 720-2,37.90289801,126.9104668,,107,1.466,N,,,직접운영,2019-03-12,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,근대목장,경기도 파주시 파주읍 오봉골길 103,경기도 파주시 파주읍 부곡리 240-1,37.82667822,126.8256508,,152,3.09,N,,,직접운영,2020-03-17,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,근환목장,경기도 파주시 적성면 배우니안길 112-20,경기도 파주시 적성면 객현리 131-10,37.97222967,126.959035,031-958-3862,159,3.69,N,,,직접운영,2017-10-12,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,금곡목장,경기도 파주시 파평면 장마루1길 101,경기도 파주시 파평면 장파리 1048,37.93762992,126.8421421,,84,1.151,N,,,직접운영,2021-06-08,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소,금곡목장,경기도 파주시 파평면 장마루1길 127-12,경기도 파주시 파평면 덕천리 657,37.93722133,126.8437512,,314,11.84,N,,,직접운영,2015-06-25,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,금교농장,경기도 파주시 금물다리길 98-5,경기도 파주시 맥금동 235-1,37.76755402,126.7308122,,48,0.658,N,,,직접운영,2018-10-11,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,금산목장,경기도 파주시 탄현면 방촌로649번길 191,경기도 파주시 탄현면 금산리 97,37.79771233,126.7098301,,123,1.581,N,,,직접운영,2023-09-11,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,금산목장,경기도 파주시 파평면 청송로652번길 176,경기도 파주시 파평면 덕천리 76-3,37.93872879,126.8847673,,27,0.37,N,,,직접운영,2018-12-27,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,금산목장,,경기도 파주시 파평면 덕천리 74-19,37.94001067,126.8840821,,151,3.244,N,,,직접운영,2018-12-27,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,금승목장,경기도 파주시 탄현면 월롱산로 412-39,경기도 파주시 탄현면 금승리 229-5,37.81114251,126.7515572,,160,3.19,N,,,직접운영,2020-05-07,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,금신목장,경기도 파주시 방촌로 312,경기도 파주시 맥금동 371-3,37.77342832,126.7266747,031-945-8834,66,0.904,N,,,직접운영,2017-09-11,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소,기쁜목장,경기도 파주시 적성면 아랫배우니길 156-7,경기도 파주시 적성면 객현리 28,37.96574122,126.9614075,,104,3.921,N,,,직접운영,2020-04-03,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
닭,꼬끼촌,경기도 파주시 적성면 장뜰안길 50,경기도 파주시 적성면 장현리 226,37.97770422,126.9716741,,55000,5.34,N,,,직접운영,2013-10-21,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
개,꽃님농장,경기도 파주시 파평면 배머리길 800,경기도 파주시 파평면 마산리 296-5,37.88466137,126.8522861,,140,0.29,N,,,직접운영,2024-01-25,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,나영목장,경기도 파주시 적성면 장뜰길 117,경기도 파주시 적성면 장현리 395-2,37.97954677,126.9707914,,82,1.507,N,,,직접운영,2018-03-07,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,낙하목장,경기도 파주시 탄현면 동오리길 171,경기도 파주시 탄현면 낙하리 223-2,37.83758299,126.736504,,122,3.087,N,,,직접운영,2018-07-10,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,내유목장,경기도 파주시 조리읍 둑방길 295-31,경기도 파주시 조리읍 대원리 1185,37.73302297,126.826414,,72,0.986,N,,,직접운영,2018-07-19,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,노영목장,,경기도 파주시 법원읍 가야리 120-4,37.86037262,126.8625761,,143,4.84,N,,,직접운영,2023-03-27,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,농업회사법인 파주그랜드팜 주식회사,경기도 파주시 적성면 어못내길 53-60,경기도 파주시 적성면 어유지리 180-1,38.00499083,126.9874076,,476,6.12,N,,,직접운영,2023-07-13,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
돼지,농업회사법인유한회사 태원팜,경기도 파주시 파평면 파산서원길 307-239,경기도 파주시 파평면 장파리 1094,37.94269833,126.8525993,,3162,16.13,Y,정화방류,활성오니법,직접운영,2024-03-05,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,농지목장,,경기도 파주시 법원읍 대능리 182,37.84072436,126.8693421,,162,4,N,,,직접운영,2019-01-14,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
돼지,농협경제지주 주식회사 종돈개량사업소 파주유전자센터,경기도 파주시 적성면 청송로 913-53,경기도 파주시 적성면 마지리 246,37.95136119,126.9071736,031-958-3852,416,2.12,N,,,직접운영,2001-11-28,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소,높은골목장,경기도 파주시 광탄면 만장산로 390-56,경기도 파주시 광탄면 창만리 206-3,37.79814352,126.8790364,,225,5.39,N,,,직접운영,2000-04-21,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
