사업장명,등록축종,읍면동명,소재지도로명주소,소재지지번주소,위도,경도,사육두수,동수,면적,관리기관명,관리부서전화번호,데이터기준일자
그날농장,양돈,파평면,경기도 파주시 파평면 배머리길 811-16,경기도 파주시 파평면 마산리 306-6,37.8845244281,126.8511449923,,6,1552.69,경기도 파주시청,031-940-4909,2026-02-09
재호농장,양돈,파평면,경기도 파주시 파평면 술이홀로 2003-234,경기도 파주시 파평면 덕천리 53,37.9397458698,126.8908230759,1905,7,1952.85,경기도 파주시청,031-940-4909,2026-02-09
좋은농장,양돈,운정4동,경기도 파주시 능안로231번길 51-28,경기도 파주시 상지석동 1537,37.7329115747,126.7850080939,300,13,1456.79,경기도 파주시청,031-940-4909,2026-02-09
지은농장,양돈,적성면,경기도 파주시 적성면 어못내길 53-66,경기도 파주시 적성면 어유지리 175,38.0062183517,126.9866185094,1000,2,790,경기도 파주시청,031-940-4909,2026-02-09
선유농장,양돈,광탄면,경기도 파주시 광탄면 소라울1길 56,경기도 파주시 광탄면 창만리 419-1,37.78863317,126.8657344907,2082,5,1976.94,경기도 파주시청,031-940-4909,2026-02-09
웰빙농장,양돈,파평면,경기도 파주시 파평면 듸링거리길 87-15,경기도 파주시 파평면 덕천리 329-2,37.94479578,126.8750397604,2300,3,2942.28,경기도 파주시청,031-940-4909,2026-02-09
에덴농장,양돈,법원읍,경기도 파주시 법원읍 못말길 392-93,경기도 파주시 법원읍 동문리 383,37.8741578936,126.8511014093,704,1,972,경기도 파주시청,031-940-4909,2026-02-09
청마농장,양돈,적성면,경기도 파주시 적성면 배우니안길 101,경기도 파주시 적성면 객현리 130-1,37.9714880815,126.95818723,950,2,780,경기도 파주시청,031-940-4909,2026-02-09
서울농장,양돈,파주읍,경기도 파주시 파주읍 여울길 273,경기도 파주시 파주읍 부곡리 147-2,37.8146840954,126.8284316251,1064,3,1016.58,경기도 파주시청,031-940-4909,2026-02-09
진호농장,양돈,적성면,경기도 파주시 적성면 배우니안길 95,경기도 파주시 적성면 객현리 129,37.9710641479,126.958316643,1779,9,1199.2,경기도 파주시청,031-940-4909,2026-02-09
평광농장,양돈,파평면,경기도 파주시 파평면 금마루1길 153,경기도 파주시 파평면 눌노리 739,37.9325071047,126.8435705559,3470,6,2396.69,경기도 파주시청,031-940-4909,2026-02-09
돈우리농장,양돈,적성면,경기도 파주시 적성면 율곡로 2951-49,경기도 파주시 적성면 어유지리 10,37.994724193,126.9965180517,2255,4,2544,경기도 파주시청,031-940-4909,2026-02-09
파주양돈단지(4),양돈,파평면,경기도 파주시 파평면 듸링거리길 117-76,경기도 파주시 파평면 덕천리 207,37.9440714374,126.8716188845,,4,2385.9,경기도 파주시청,031-940-4909,2026-02-09
파주양돈단지(5),양돈,파평면,경기도 파주시 파평면 듸링거리길 117-76,경기도 파주시 파평면 덕천리 207,37.9440714374,126.8716188845,,3,3751.54,경기도 파주시청,031-940-4909,2026-02-09
청마농장2,양돈,적성면,경기도 파주시 적성면 배우니안길 51,경기도 파주시 적성면 객현리 123-1,37.9698697906,126.9586024038,1200,3,999.6,경기도 파주시청,031-940-4909,2026-02-09
부원농장,양돈,문산읍,경기도 파주시 문산읍 화석정로37번길 98,경기도 파주시 문산읍 선유리 348-1,37.877919493,126.8008518262,490,9,777.4,경기도 파주시청,031-940-4909,2026-02-09
형제농장,양돈,적성면,경기도 파주시 적성면 어삼로182번길 83,경기도 파주시 적성면 어유지리 489-1,38.0059824132,126.975516971,1870,6,2106,경기도 파주시청,031-940-4909,2026-02-09
부곡농장,양돈,파주읍,경기도 파주시 파주읍 혜음로 1614-55,경기도 파주시 파주읍 연풍리 23,37.822452389,126.8486600246,2445,7,2449.25,경기도 파주시청,031-940-4909,2026-02-09
만나농장,양돈,적성면,경기도 파주시 적성면 듸링거리길 525-32,경기도 파주시 적성면 답곡리 205,37.9558612341,126.8580714291,2820,6,2950.59,경기도 파주시청,031-940-4909,2026-02-09
새벽농장,양돈,적성면,경기도 파주시 적성면 듸링거리길 257-46,경기도 파주시 적성면 답곡리 31-2,37.9494206553,126.8652992719,1500,5,1613.25,경기도 파주시청,031-940-4909,2026-02-09
종훈농장,양돈,파평면,경기도 파주시 파평면 파산서원길 307-59,경기도 파주시 파평면 덕천리 513,37.9392171683,126.8544401381,2147,9,2765,경기도 파주시청,031-940-4909,2026-02-09
꿀이농장,양돈,파평면,경기도 파주시 파평면 파산서원길 307-239,경기도 파주시 파평면 장파리 1094,37.9426983289,126.8525993405,3142,3,4427.2,경기도 파주시청,031-940-4909,2026-02-09
농업회사법인 주식회사 장강축산,양돈,적성면,경기도 파주시 적성면 듸링거리길 525-34,경기도 파주시 적성면 답곡리 144,37.9549261531,126.8585425484,2400,2,3233.3,경기도 파주시청,031-940-4909,2026-02-09
