사업장명,축산인허가번호,소재지도로명주소,소재지지번주소,위도,경도,면적,주사육업종,사육두수,허가일자,관리기관명,관리부서전화번호,데이터기준일자
목림목장,4060000-033-2004-0098,경기도 파주시 검산로 297,경기도 파주시 검산동 446,37.7972824868,126.7407834192,681.88,육우,21,2004-08-27,경기도 파주시청,031-940-4914,2026-05-20
범준목장,4060000-033-2004-0103,경기도 파주시 검산로 215,경기도 파주시 검산동 417,37.7914669581,126.7420055882,1661.67,젖소,65,2004-08-27,경기도 파주시청,031-940-4914,2026-05-20
탄현농장,4060000-033-2004-0106,경기도 파주시 탄현면 방촌로649번길 96,경기도 파주시 탄현면 금산리 76,37.8009013544,126.7119206506,6028.16,육계,120000,2004-09-13,경기도 파주시청,031-940-4914,2026-05-20
도곡농장,4060000-033-2004-0110,경기도 파주시 탄현면 오금로80번길 169,경기도 파주시 탄현면 오금리 42-9,37.8251897632,126.7160407826,579.6,한우,17,2004-09-13,경기도 파주시청,031-940-4914,2026-05-20
당하리농장,4060000-033-2004-0111,,경기도 파주시 당하동 240-144,37.7437122948,126.745898624,1205,육계,20000,2004-09-20,경기도 파주시청,031-940-4914,2026-05-20
동이목장,4060000-033-2004-0114,,경기도 파주시 적성면 객현리 95-1,37.9646172184,126.9608718768,2250.19,젖소,48,2012-04-19,경기도 파주시청,031-940-4914,2026-05-20
JB행복농장,4060000-033-2004-0117,경기도 파주시 적성면 배우니안길 187,경기도 파주시 적성면 객현리 138,37.9747597844,126.9563484143,892.55,돼지,,2004-10-14,경기도 파주시청,031-940-4914,2026-05-20
새론목장,4060000-033-2004-0120,,경기도 파주시 적성면 객현리 10,37.9669917563,126.9614278747,2071.94,젖소,67,2004-10-19,경기도 파주시청,031-940-4914,2026-05-20
동우농장,4060000-033-2004-0121,경기도 파주시 파평면 파산서원길 434-122,경기도 파주시 파평면 덕천리 144,37.9373791751,126.8612948482,993.9,돼지,1024,2004-10-20,경기도 파주시청,031-940-4914,2026-05-20
진흥농장,4060000-033-2004-0122,경기도 파주시 솔아래길 79-6,경기도 파주시 상지석동 712,37.7355045719,126.7793089766,2377.68,육계,40000,2004-10-25,경기도 파주시청,031-940-4914,2026-05-20
신곡목장,4060000-033-2004-0129,경기도 파주시 법원읍 보광로1987번길 5,경기도 파주시 법원읍 가야리 261-2,37.8476709399,126.8581715321,730,젖소,40,2004-11-01,경기도 파주시청,031-940-4914,2026-05-20
경업목장,4060000-033-2004-0132,경기도 파주시 법원읍 가좌울길 135,경기도 파주시 법원읍 가야리 146-1,37.8576537847,126.859249995,1487.32,젖소,68,2004-11-01,경기도 파주시청,031-940-4914,2026-05-20
신백설목장,4060000-033-2004-0137,경기도 파주시 법원읍 둔방이길 108-9,경기도 파주시 법원읍 삼방리 214,37.8329994197,126.8771420846,2964.48,젖소,120,2004-11-01,경기도 파주시청,031-940-4914,2026-05-20
마하연목장,4060000-033-2004-0140,경기도 파주시 광탄면 쇠장이길 39,경기도 파주시 광탄면 기산리 663-3,37.7771435761,126.9082072636,592.07,젖소,40,2004-11-08,경기도 파주시청,031-940-4914,2026-05-20
신그린목장,4060000-033-2004-0141,경기도 파주시 광탄면 보광로 795,경기도 파주시 광탄면 마장리 30-3,37.7712407171,126.8936180526,1523.13,젖소,38,2004-11-08,경기도 파주시청,031-940-4914,2026-05-20
양지농장,4060000-033-2004-0146,경기도 파주시 법원읍 둔방이길 269,경기도 파주시 법원읍 삼방리 171,37.8346166704,126.8846631396,578,육계,11000,2004-11-18,경기도 파주시청,031-940-4914,2026-05-20
한일목장,4060000-033-2004-0147,경기도 파주시 법원읍 둔방이길 256-22,경기도 파주시 법원읍 삼방리 178,37.8332493514,126.8838072752,1882.87,한우,140,2004-11-19,경기도 파주시청,031-940-4914,2026-05-20
성우농장,4060000-033-2004-0148,경기도 파주시 탄현면 엘지로583번길 87,경기도 파주시 탄현면 금승리 527,37.8215475606,126.7373959533,2829.43,한우,170,2004-11-20,경기도 파주시청,031-940-4914,2026-05-20
광만목장,4060000-033-2004-0149,경기도 파주시 파주읍 여울길 310-160,경기도 파주시 파주읍 부곡리 1-3,37.8132749397,126.8386551135,5438.1,젖소,230,2004-11-30,경기도 파주시청,031-940-4914,2026-05-20
세일농장1,4060000-033-2004-0152,경기도 파주시 조리읍 둑방길 403,경기도 파주시 조리읍 대원리 17,37.7288694406,126.8320297196,725.8,한우,72,2004-11-30,경기도 파주시청,031-940-4914,2026-05-20
내유목장,4060000-033-2004-0153,경기도 파주시 조리읍 둑방길 295-31,경기도 파주시 조리읍 대원리 1185,37.7330229746,126.8264139859,856.5,한우,10,2004-11-30,경기도 파주시청,031-940-4914,2026-05-20
세일농장,4060000-033-2004-0156,경기도 파주시 조리읍 둑방길 413,경기도 파주시 조리읍 대원리 17-2,37.7288694406,126.8320297196,2128.01,한우,150,2004-11-30,경기도 파주시청,031-940-4914,2026-05-20
정진목장,4060000-033-2004-0158,경기도 파주시 조리읍 둑방길 252-3,경기도 파주시 조리읍 대원리 1189,37.7324636415,126.8256128022,2538.78,젖소,140,2004-11-30,경기도 파주시청,031-940-4914,2026-05-20
당지농장,4060000-033-2004-0163,경기도 파주시 파평면 청송로266번길 39-107,경기도 파주시 파평면 금파리 81,37.9258489282,126.8508295666,2131.34,돼지,50,2004-12-31,경기도 파주시청,031-940-4914,2026-05-20
대림2농장,4060000-033-2005-0004,경기도 파주시 광탄면 우랑길 185,경기도 파주시 광탄면 마장리 242-2,37.787431271,126.871125524,2731.34,육계,50000,2005-01-11,경기도 파주시청,031-940-4914,2026-05-20
억수농장,4060000-033-2005-0008,경기도 파주시 파주읍 봉서산로 33-54,경기도 파주시 파주읍 봉서리 439,37.8467900384,126.7958847312,1720.8,육계,22000,2005-01-11,경기도 파주시청,031-940-4914,2026-05-20
현일농장,4060000-033-2005-0022,경기도 파주시 적성면 율포길 42,경기도 파주시 적성면 율포리 239-13,37.9822407759,126.9588662462,3324,돼지,3000,2005-01-15,경기도 파주시청,031-940-4914,2026-05-20
선진농장,4060000-033-2005-0024,경기도 파주시 법원읍 웅담천길 154,경기도 파주시 법원읍 웅담리 373-15,37.9125391302,126.8981729438,1053.83,한우,96,2005-01-17,경기도 파주시청,031-940-4914,2026-05-20
임마누엘농장,4060000-033-2005-0026,경기도 파주시 법원읍 만월로 824-10,경기도 파주시 법원읍 웅담리 195-1,37.9091665931,126.9012278699,1267.99,돼지,806,2005-01-17,경기도 파주시청,031-940-4914,2026-05-20
곰시목장,4060000-033-2005-0027,경기도 파주시 법원읍 만월로 813,경기도 파주시 법원읍 웅담리 197-2,37.9080735079,126.9024511589,1568.77,젖소,70,2005-01-17,경기도 파주시청,031-940-4914,2026-05-20
경영목장,4060000-033-2005-0028,경기도 파주시 법원읍 만월로 876-5,경기도 파주시 법원읍 웅담리 364-2,37.9101815491,126.8962520711,1748.05,한우,110,2005-01-17,경기도 파주시청,031-940-4914,2026-05-20
미성농장,4060000-033-2005-0029,경기도 파주시 법원읍 술이홀로1584번길 70-37,경기도 파주시 법원읍 웅담리 261-5,37.8999378341,126.8879361573,1509.74,한우,70,2005-01-17,경기도 파주시청,031-940-4914,2026-05-20
혜선목장,4060000-033-2005-0033,경기도 파주시 탄현면 새오리로339번길 172-6,경기도 파주시 탄현면 만우리 825,37.8193500871,126.6937937681,1444.58,젖소,75,2021-06-23,경기도 파주시청,031-940-4914,2026-05-20
예형목장,4060000-033-2005-0034,경기도 파주시 탄현면 방촌로 732-157,경기도 파주시 탄현면 축현리 567,37.8136169537,126.7225227132,2129.4,젖소,34,2005-01-19,경기도 파주시청,031-940-4914,2026-05-20
수색목장,4060000-033-2005-0036,경기도 파주시 탄현면 열살미길 81-51,경기도 파주시 탄현면 축현리 809,37.8077645061,126.7206090347,1238.78,젖소,43,2005-01-19,경기도 파주시청,031-940-4914,2026-05-20
금산목장,4060000-033-2005-0039,경기도 파주시 탄현면 방촌로649번길 191,경기도 파주시 탄현면 금산리 97,37.7977123307,126.7098301317,1484.17,육우,9,2005-01-19,경기도 파주시청,031-940-4914,2026-05-20
골샘목장,4060000-033-2005-0040,경기도 파주시 탄현면 방촌로 1098,경기도 파주시 탄현면 낙하리 606,37.8279583335,126.7413200774,1630.26,젖소,95,2005-01-19,경기도 파주시청,031-940-4914,2026-05-20
방호목장,4060000-033-2005-0042,경기도 파주시 탄현면 배나무길 133,경기도 파주시 탄현면 축현리 200-3,37.8132422213,126.729758913,566.19,한우,35,2005-01-19,경기도 파주시청,031-940-4914,2026-05-20
좋은날목장,4060000-033-2005-0043,경기도 파주시 탄현면 가시내길 192,경기도 파주시 탄현면 법흥리 251-1,37.7829087471,126.7166334252,1318.17,한우,11,2005-01-28,경기도 파주시청,031-940-4914,2026-05-20
낙하목장,4060000-033-2005-0045,경기도 파주시 탄현면 동오리길 171,경기도 파주시 탄현면 낙하리 223-2,37.8375829874,126.7365040225,1448.58,젖소,90,2005-01-28,경기도 파주시청,031-940-4914,2026-05-20
순택목장,4060000-033-2005-0046,경기도 파주시 탄현면 동오리길 212-20,경기도 파주시 탄현면 낙하리 201-3,37.8397241439,126.7357597842,1744.95,젖소,36,2005-01-28,경기도 파주시청,031-940-4914,2026-05-20
성좌목장,4060000-033-2005-0049,경기도 파주시 탄현면 검산로 423-10,경기도 파주시 탄현면 축현리 210-6,37.805832284,126.7325518672,2036.4,육우,13,2005-01-28,경기도 파주시청,031-940-4914,2026-05-20
새실농장,4060000-033-2005-0051,경기도 파주시 탄현면 월롱산로 555,경기도 파주시 탄현면 금승리 503-7,37.8216929629,126.7443943651,449.2,한우,35,2005-01-28,경기도 파주시청,031-940-4914,2026-05-20
설순목장,4060000-033-2005-0052,,경기도 파주시 탄현면 금승리 229-2,37.8123280759,126.7505742164,1086.46,젖소,62,2005-01-28,경기도 파주시청,031-940-4914,2026-05-20
조규목장,4060000-033-2005-0054,경기도 파주시 탄현면 월롱산로 470,경기도 파주시 탄현면 금승리 240-5,37.8148707463,126.748621038,1402.95,젖소,52,2005-01-28,경기도 파주시청,031-940-4914,2026-05-20
새기운목장,4060000-033-2005-0055,경기도 파주시 파평면 자장로17번길 106,경기도 파주시 파평면 장파리 543,37.95379768923683,126.83900854996854,2705.56,젖소,90,2005-02-01,경기도 파주시청,031-940-4914,2026-05-20
화의목장,4060000-033-2005-0056,경기도 파주시 파평면 자장로 77,경기도 파주시 파평면 장파리 463,37.954180435,126.8416998789,4395.85,젖소,142,2005-02-01,경기도 파주시청,031-940-4914,2026-05-20
새대성목장,4060000-033-2005-0057,경기도 파주시 파평면 자장로17번길 78,경기도 파주시 파평면 장파리 567,37.9521098823,126.8386330839,2325.71,젖소,37,2005-02-01,경기도 파주시청,031-940-4914,2026-05-20
청산목장,4060000-033-2005-0058,경기도 파주시 적성면 국사로 410,경기도 파주시 적성면 자장리 743,37.9685962468,126.8615986054,1769.51,육우,29,2005-02-01,경기도 파주시청,031-940-4914,2026-05-20
경문목장,4060000-033-2005-0059,경기도 파주시 파평면 금마루4길 41,경기도 파주시 파평면 금파리 401-1,37.9322831224,126.8352458919,3714.61,젖소,180,2005-02-01,경기도 파주시청,031-940-4914,2026-05-20
자장목장,4060000-033-2005-0063,경기도 파주시 적성면 국사로398번길 33,경기도 파주시 적성면 자장리 262-3,37.9691781728,126.863149819,2495.05,젖소,68,2005-02-01,경기도 파주시청,031-940-4914,2026-05-20
수양목장,4060000-033-2005-0069,경기도 파주시 탄현면 방촌로 494-24,경기도 파주시 탄현면 법흥리 13-1,37.7893789471,126.7211477158,1045.29,젖소,60,2005-02-01,경기도 파주시청,031-940-4914,2026-05-20
청주목장,4060000-033-2005-0073,,경기도 파주시 파평면 장파리 248-6,37.9499557749,126.8471538119,2006.47,젖소,100,2005-02-01,경기도 파주시청,031-940-4914,2026-05-20
삼거리농장,4060000-033-2005-0077,경기도 파주시 조리읍 능안로265번길 25-44,경기도 파주시 조리읍 능안리 1524,37.7346861599,126.7831592476,690,한우,30,2005-02-01,경기도 파주시청,031-940-4914,2026-05-20
서울농장,4060000-033-2005-0079,경기도 파주시 탄현면 방촌로 1104,경기도 파주시 탄현면 낙하리 604,37.8284015219,126.7416938272,1086.32,한우,70,2005-02-03,경기도 파주시청,031-940-4914,2026-05-20
송정목장,4060000-033-2005-0090,경기도 파주시 적성면 양연로845번길 140,경기도 파주시 적성면 적암리 116,37.9830206015,127.0066200577,2146.91,젖소,77,2005-02-15,경기도 파주시청,031-940-4914,2026-05-20
방죽골농장,4060000-033-2005-0097,경기도 파주시 적성면 율곡로2663번길 131,경기도 파주시 적성면 장현리 285,37.9881911598,126.9720602555,1192.8,한우,50,2005-02-23,경기도 파주시청,031-940-4914,2026-05-20
해맑은목장,4060000-033-2005-0099,경기도 파주시 적성면 서녘놀길 33-153,경기도 파주시 적성면 어유지리 569,37.9960748886,126.9777603194,4417.96,젖소,94,2005-02-23,경기도 파주시청,031-940-4914,2026-05-20
동적성목장,4060000-033-2005-0100,경기도 파주시 적성면 산덕골길 41,경기도 파주시 적성면 장현리 72-1,37.9905246479,126.9862008413,3608.53,젖소,170,2005-02-23,경기도 파주시청,031-940-4914,2026-05-20
옥석목장,4060000-033-2005-0103,경기도 파주시 적성면 산덕골길 69,경기도 파주시 적성면 장현리 62-2,37.9892208694,126.9858545673,1358.87,젖소,57,2005-02-23,경기도 파주시청,031-940-4914,2026-05-20
산승목장,4060000-033-2005-0105,경기도 파주시 법원읍 술이홀로584번길 49,경기도 파주시 법원읍 대능리 552-3,37.8314552092,126.8522988948,1933.53,젖소,59,2005-03-14,경기도 파주시청,031-940-4914,2026-05-20
상원목장,4060000-033-2005-0107,,경기도 파주시 법원읍 법원리 152,37.8586356951,126.8983917621,1014.98,젖소,58,2005-03-14,경기도 파주시청,031-940-4914,2026-05-20
성지목장,4060000-033-2005-0108,경기도 파주시 법원읍 대경터길 76,경기도 파주시 법원읍 법원리 583,37.8619992931,126.8764703013,989.15,젖소,65,2005-03-14,경기도 파주시청,031-940-4914,2026-05-20
왕근목장,4060000-033-2005-0109,경기도 파주시 법원읍 술이홀로 1027-24,경기도 파주시 법원읍 법원리 574,37.8604020008,126.8796922176,864.59,젖소,35,2005-03-14,경기도 파주시청,031-940-4914,2026-05-20
햇빛목장,4060000-033-2005-0114,경기도 파주시 법원읍 사임당로 663-31,경기도 파주시 법원읍 가야리 354,37.8543229056,126.855405113,1471.66,젖소,70,2005-03-14,경기도 파주시청,031-940-4914,2026-05-20
거진축산,4060000-033-2005-0116,경기도 파주시 법원읍 술이홀로1131번길 80,경기도 파주시 법원읍 법원리 648-1,37.8679644656,126.8794981971,3594.38,돼지,1800,2005-03-14,경기도 파주시청,031-940-4914,2026-05-20
두산목장,4060000-033-2005-0119,,경기도 파주시 군내면 백연리 480-69,37.90627567601525,126.73110234574631,639.5,한우,85,2005-03-14,경기도 파주시청,031-940-4914,2026-05-20
진화목장,4060000-033-2005-0126,경기도 파주시 법원읍 술이홀로584번길 75,경기도 파주시 법원읍 대능리 547-1,37.8318146221,126.8525322957,927.45,젖소,72,2005-03-14,경기도 파주시청,031-940-4914,2026-05-20
여문목장,4060000-033-2005-0128,경기도 파주시 법원읍 가좌울길 260,경기도 파주시 법원읍 가야리 129-1,37.8593061004,126.8629693503,1978.92,젖소,45,2005-03-14,경기도 파주시청,031-940-4914,2026-05-20
철호목장,4060000-033-2005-0129,경기도 파주시 법원읍 사임당로 663-39,경기도 파주시 법원읍 가야리 354-1,37.8547943356,126.8557416714,3238.67,젖소,140,2005-03-14,경기도 파주시청,031-940-4914,2026-05-20
주원농장,4060000-033-2005-0139,경기도 파주시 법원읍 만월로675번길 112-31,경기도 파주시 법원읍 직천리 825-1,37.9023113204,126.9079043154,2197.01,한우,130,2005-03-17,경기도 파주시청,031-940-4914,2026-05-20
오현농장,4060000-033-2005-0140,경기도 파주시 법원읍 만월로675번길 112-98,경기도 파주시 법원읍 직천리 856,37.9022461471,126.9038563499,631.24,한우,45,2005-03-17,경기도 파주시청,031-940-4914,2026-05-20
성준농장,4060000-033-2005-0142,경기도 파주시 법원읍 술이홀로 1724,경기도 파주시 법원읍 웅담리 392-1,37.915217855,126.8969094772,1666,한우,80,2005-03-17,경기도 파주시청,031-940-4914,2026-05-20
배울안농장,4060000-033-2005-0157,경기도 파주시 월롱면 도감로172번길 122,경기도 파주시 월롱면 위전리 58-5,37.7886289918,126.8010410652,1795.46,한우,130,2005-03-17,경기도 파주시청,031-940-4914,2026-05-20
갈현농장,4060000-033-2005-0169,,경기도 파주시 탄현면 갈현리 1185,37.7652255801,126.7065109238,396,한우,20,2005-03-22,경기도 파주시청,031-940-4914,2026-05-20
모산목장,4060000-033-2005-0174,경기도 파주시 탄현면 검산로519번길 6-36,경기도 파주시 탄현면 축현리 349,37.8024656812,126.7237297894,2034.62,젖소,78,2005-03-23,경기도 파주시청,031-940-4914,2026-05-20
진일목장,4060000-033-2005-0176,경기도 파주시 탄현면 새오리로427번길 156,경기도 파주시 탄현면 만우리 630,37.8224641756,126.6956484896,1205.46,젖소,48,2005-03-23,경기도 파주시청,031-940-4914,2026-05-20
금승목장,4060000-033-2005-0179,경기도 파주시 탄현면 월롱산로 412-39,경기도 파주시 탄현면 금승리 229-5,37.8111425127,126.7515572248,1932.76,젖소,46,2005-03-23,경기도 파주시청,031-940-4914,2026-05-20
현대축산,4060000-033-2005-0180,경기도 파주시 탄현면 엘지로583번길 73-36,경기도 파주시 탄현면 금승리 506,37.8218027339,126.7395162421,2165.11,한우,80,2005-03-23,경기도 파주시청,031-940-4914,2026-05-20
두원농장,4060000-033-2005-0181,경기도 파주시 탄현면 가시내길 126-104,경기도 파주시 탄현면 법흥리 1107-1,37.7811765295,126.7220672527,431.41,육우,30,2005-03-23,경기도 파주시청,031-940-4914,2026-05-20
민희낙농,4060000-033-2005-0199,경기도 파주시 문산읍 임진나루길 284-17,경기도 파주시 문산읍 임진리 60-20,37.880112979,126.791304957,939.65,한우,33,2005-03-30,경기도 파주시청,031-940-4914,2026-05-20
재환목장,4060000-033-2005-0201,경기도 파주시 문산읍 율곡로123번길 38,경기도 파주시 문산읍 당동리 666-1,37.8715602182,126.7728201445,4239.2,젖소,130,2005-03-30,경기도 파주시청,031-940-4914,2026-05-20
태곡농장,4060000-033-2005-0210,,경기도 파주시 파주읍 부곡리 1-5,37.8132749397,126.8386551135,2032.56,젖소,66,2005-04-04,경기도 파주시청,031-940-4914,2026-05-20
이정목장,4060000-033-2005-0215,경기도 파주시 조리읍 둑방길 295-106,경기도 파주시 조리읍 대원리 7-4,37.7314597774,126.8307407421,2832,젖소,120,2005-04-04,경기도 파주시청,031-940-4914,2026-05-20
장수농장,4060000-033-2005-0223,경기도 파주시 파주로 523,경기도 파주시 당하동 240-6,37.738236702,126.7435357292,502.65,한우,41,2005-04-04,경기도 파주시청,031-940-4914,2026-05-20
부원농장,4060000-033-2005-0227,경기도 파주시 광탄면 장지산로 217,경기도 파주시 광탄면 분수리 64-2,37.7533619568,126.8802806077,913.42,돼지,700,2005-04-07,경기도 파주시청,031-940-4914,2026-05-20
이천농장,4060000-033-2005-0233,,경기도 파주시 광탄면 분수리 64-1,37.7533619568,126.8802806077,2070.56,한우,45,2005-04-07,경기도 파주시청,031-940-4914,2026-05-20
한우농장,4060000-033-2005-0234,경기도 파주시 광탄면 양천말길 43-43,경기도 파주시 광탄면 용미리 395,37.743713656,126.8776298554,568.27,한우,67,2005-04-07,경기도 파주시청,031-940-4914,2026-05-20
안나목장,4060000-033-2005-0235,경기도 파주시 광탄면 장지산로432번길 88,경기도 파주시 광탄면 분수리 265,37.7666852936,126.862635606,1729.18,한우,129,2005-04-07,경기도 파주시청,031-940-4914,2026-05-20
효진농장,4060000-033-2005-0239,경기도 파주시 광탄면 장지산로 351-25,경기도 파주시 광탄면 분수리 211,37.7583201643,126.8660563186,4645.7,돼지,3200,2005-04-07,경기도 파주시청,031-940-4914,2026-05-20
성수농장,4060000-033-2005-0240,경기도 파주시 광탄면 장지산로 265,경기도 파주시 광탄면 분수리 98-17,37.7556845118,126.8759659639,1952,육계,35000,2005-04-07,경기도 파주시청,031-940-4914,2026-05-20
용미농장,4060000-033-2005-0247,경기도 파주시 광탄면 혜음로601번길 144,경기도 파주시 광탄면 용미리 608-2,37.7448545725,126.8690952501,1302,한우,88,2005-04-12,경기도 파주시청,031-940-4914,2026-05-20
양지목장,4060000-033-2005-0249,경기도 파주시 광탄면 양지말길 172-25,경기도 파주시 광탄면 용미리 664-1,37.7520702827,126.8628722117,1609.61,젖소,90,2005-04-12,경기도 파주시청,031-940-4914,2026-05-20
민둘이목장,4060000-033-2005-0255,경기도 파주시 광탄면 검전말길 3-74,경기도 파주시 광탄면 방축리 446,37.8070029481,126.8449815691,326.4,한우,5,2005-04-12,경기도 파주시청,031-940-4914,2026-05-20
광연목장,4060000-033-2005-0269,경기도 파주시 법원읍 못말길 371-35,경기도 파주시 법원읍 동문리 324,37.8700281305,126.8574374505,1259.55,젖소,33,2005-04-14,경기도 파주시청,031-940-4914,2026-05-20
