번호,사업장명,주사육업종,소재지전체주소,사육두수,최종수정시점
51,요셉농장,종계/산란계,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호  ,59136 ,2025-11-28
52,호중농장,종계/산란계,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호 외 *필지 ,32000 ,2025-11-28
53,대풍농장,종계/산란계,"충청남도 천안시 동남구 성남면 대흥리 ***번지 *호 외 *필지(***-*, ***-*, ***-*) ",50000 ,2025-11-28
54,일화농장,돼지,충청남도 천안시 서북구 직산읍 부송리 ***번지 *호 외 *필지 ,3100 ,2025-11-28
55,현수농장,돼지,충청남도 천안시 동남구 광덕면 광덕리 ***번지 *호 외 *필지 ,1000 ,2025-11-28
56,가송농장,육계,충청남도 천안시 동남구 풍세면 풍서리 ***번지 *호  ,39246 ,2025-11-28
57,상만농장,육계,충청남도 천안시 동남구 광덕면 보산원리 ***번지 *호  ,38000 ,2025-11-28
58,성록농장,육계,충청남도 천안시 동남구 성남면 신덕리 ***번지 외*필지(***) ,19826 ,2025-11-28
59,대현농장,오리,충청남도 천안시 동남구 병천면 매성리 **번지 외 *필지 ,19560 ,2025-11-28
60,경인농장,종계/산란계,충청남도 천안시 동남구 병천면 도원리 ***번지 *호  ,160000 ,2025-11-28
61,진우농장,오리,"충청남도 천안시 동남구 동면 장송리 **번지 *호 외 *필지(**-*,**-*,**-*) ",20280 ,2025-11-28
62,태림농장,육계,충청남도 천안시 동남구 동면 수남리 ***번지 *호  ,21000 ,2025-11-28
63,화덕농장,육계,충청남도 천안시 동남구 동면 화덕리 **번지 *호 외 *필지 ,58000 ,2025-11-28
64,명은농장,돼지,충청남도 천안시 서북구 직산읍 석곡리 **번지 외 *필지 ,1300 ,2025-11-28
65,성호영농조합법인,돼지,충청남도 천안시 동남구 풍세면 용정리 **번지 *호 외 *필지(**-*) ,2800 ,2025-11-28
66,문화농장,돼지,충청남도 천안시 동남구 목천읍 도장리 ***번지 외 *필지 ,2200 ,2025-11-28
67,강정목장,한우,충청남도 천안시 동남구 풍세면 두남리 **번지 *호  ,35 ,2025-11-28
68,예산목장,한우,"충청남도 천안시 동남구 풍세면 풍서리 **번지 ,** ",50 ,2025-11-28
69,제일농장,한우,충청남도 천안시 동남구 광덕면 매당리 **번지 *호 외 *필지 ,50 ,2025-11-28
70,LG농장,한우,충청남도 천안시 동남구 풍세면 보성리 ***번지  ,22 ,2025-11-28
71,비룡축산,한우,"충청남도 천안시 동남구 북면 용암리 ***번지 **호 ***-**,***-** ",10 ,2025-11-28
72,진선목장,젖소,충청남도 천안시 동남구 북면 은지리 **번지 외 *필지 ,60 ,2025-11-28
73,문성목장,젖소,충청남도 천안시 동남구 북면 사담리 **번지  ,110 ,2025-11-28
74,부현농장,한우,"충청남도 천안시 동남구 북면 사담리 ***번지 , ***-*번지 ",90 ,2025-11-28
75,승리목장,젖소,충청남도 천안시 동남구 북면 납안리 ***번지  ,90 ,2025-11-28
76,흥안목장,젖소,충청남도 천안시 동남구 북면 납안리 산 *번지  ,9 ,2025-11-28
77,대성목장,젖소,충청남도 천안시 동남구 북면 대평리 ***번지 ***외 *필지 ,70 ,2025-11-28
78,김천목장,젖소,충청남도 천안시 동남구 북면 대평리 ***번지  ,95 ,2025-11-28
79,우진목장,젖소,충청남도 천안시 동남구 북면 대평리 ***번지  ,45 ,2025-11-28
80,고재목장,젖소,충청남도 천안시 동남구 북면 대평리 ***번지 *호 외 *필지 ,85 ,2025-11-28
81,황제목장,한우,충청남도 천안시 동남구 북면 대평리 ***번지 *호  ,70 ,2025-11-28
82,대왕목장,한우,충청남도 천안시 동남구 북면 매송리 **번지 *호 외 *필지(**-*) ,20 ,2025-11-28
83,무림목장,젖소,충청남도 천안시 서북구 직산읍 남산리 산 *번지  ,75 ,2025-11-28
84,용환목장,젖소,충청남도 천안시 서북구 직산읍 군동리 **번지  ,69 ,2025-11-28
85,진규목장,젖소,충청남도 천안시 서북구 직산읍 군서리 **번지 *호  ,40 ,2025-11-28
86,프리팜스,종계/산란계,충청남도 천안시 서북구 직산읍 석곡리 **번지 *호  ,27027 ,2025-11-28
87,백곡목장,한우,충청남도 천안시 서북구 성환읍 신가리 ***번지  ,104 ,2025-11-28
88,가야목장,한우,충청남도 천안시 동남구 성남면 대흥리 ***번지 *호  ,350 ,2025-11-28
89,한버들농장,한우,충청남도 천안시 동남구 수신면 백자리 ***번지  ,100 ,2025-11-28
90,한신한우목장,한우,충청남도 천안시 동남구 수신면 백자리 ***번지 *호 ***-*외 *필지 ,55 ,2025-11-28
91,수석농장,한우,충청남도 천안시 동남구 수신면 발산리 ***번지 외 *(***) ,130 ,2025-11-28
92,의환목장,한우,충청남도 천안시 동남구 수신면 백자리 *번지 *호  ,150 ,2025-11-28
93,발산목장,한우,충청남도 천안시 동남구 수신면 백자리 *번지 외 *필지(*-*) ,102 ,2025-11-28
94,광신목장,한우,충청남도 천안시 동남구 수신면 발산리 ***번지 *호  ,101 ,2025-11-28
95,남산농장,한우,충청남도 천안시 동남구 수신면 발산리 ***번지 *호  ,160 ,2025-11-28
96,장산농장,한우,충청남도 천안시 동남구 수신면 장산리 ***번지 *호  ,11 ,2025-11-28
97,하동농장,한우,충청남도 천안시 동남구 수신면 장산리 ***번지 *호  ,39 ,2025-11-28
98,산내들농축,종계/산란계,충청남도 천안시 동남구 수신면 장산리 ***번지  ,55000 ,2025-11-28
99,농업회사법인 주식회사 서연농장,돼지,충청남도 천안시 동남구 수신면 장산리 ***번지 외 *필지 ,2200 ,2025-11-28
100,흑성목장,한우,충청남도 천안시 동남구 목천읍 교천리 ***번지 *호 외 *필지 ,88 ,2025-11-28
101,성준농장,한우,충청남도 천안시 동남구 목천읍 교촌리 *번지 **호 성준농장 ,100 ,2025-11-28
102,희석목장,젖소,충청남도 천안시 동남구 북면 상동리 ***번지 *호  ,85 ,2025-11-28
103,인촌농장,육계,충청남도 천안시 동남구 병천면 관성리 ***번지 *호  ,47916 ,2025-11-28
104,세연농장,육계,충청남도 천안시 동남구 동면 화덕리 ***번지  ,45000 ,2025-11-28
105,대진농장,오리,충청남도 천안시 동남구 병천면 매성리 ***번지 *** ,8498 ,2025-11-28
106,계봉농장,종계/산란계,충청남도 천안시 동남구 수신면 발산리 ***번지 *호 외 *필지 ,30000 ,2025-11-28
107,매산양돈 영농조합법인,돼지,"충청남도 천안시 동남구 병천면 관성리 ***번지 *호 외 *필지(***-*,***-*,***-*,***-*) ",4000 ,2025-11-28
108,희성농장,종계/산란계,충청남도 천안시 동남구 동면 죽계리 ***번지  ,6000 ,2025-11-28
109,용연목장,한우,충청남도 천안시 동남구 목천읍 서흥리 **번지 *호 외 *필지 ,120 ,2025-11-28
110,대한농장,육계,충청남도 천안시 동남구 성남면 대흥리 ***번지 *호  ,30000 ,2025-11-28
111,능골농장,종계/산란계,충청남도 천안시 동남구 성남면 대흥리 ***번지 *호  ,30000 ,2025-11-28
112,유미목장,젖소,충청남도 천안시 서북구 성환읍 율금리 ***번지  ,65 ,2025-11-28
113,한울목장,젖소,충청남도 천안시 서북구 성환읍 율금리 ***번지  ,100 ,2025-11-28
114,총림목장,젖소,"충청남도 천안시 서북구 성환읍 우신리 **번지 *호 ,** ",40 ,2025-11-28
115,백양목장,젖소,충청남도 천안시 서북구 성환읍 어룡리 ***번지 *호 외 *필지 ,42 ,2025-11-28
116,사랑목장,한우,충청남도 천안시 서북구 성환읍 와룡리 ***번지 *호  ,0 ,2025-11-28
117,근묵농장,돼지,충청남도 천안시 동남구 동면 수남리 ***번지  ,900 ,2025-11-28
118,동진목장,젖소,충청남도 천안시 서북구 직산읍 부송리 ***번지  ,112 ,2025-11-28
119,용승목장,한우,충청남도 천안시 서북구 직산읍 마정리 ***번지  ,37 ,2025-11-28
120,설진목장,젖소,충청남도 천안시 서북구 직산읍 남산리 ***번지  ,40 ,2025-11-28
121,새광일목장,젖소,충청남도 천안시 서북구 성환읍 왕림리 **번지  ,60 ,2025-11-28
122,홍석목장,젖소,충청남도 천안시 서북구 성환읍 왕림리 ***번지 *호  ,48 ,2025-11-28
123,미래로목장,젖소,충청남도 천안시 서북구 성환읍 왕림리 ***번지 *호  ,31 ,2025-11-28
124,용락목장,한우,충청남도 천안시 서북구 성환읍 왕림리 ***번지 *호  ,0 ,2025-11-28
125,큰골목장,한우,충청남도 천안시 서북구 성환읍 신방리 ***번지 *호  ,114 ,2025-11-28
126,버들목장,젖소,"충청남도 천안시 서북구 성환읍 양령리 ***번지 *호 , * ",119 ,2025-11-28
127,한성목장,젖소,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호 외 *필지 ,65 ,2025-11-28
128,새물목장,젖소,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,46 ,2025-11-28
129,상동목장,젖소,충청남도 천안시 서북구 성환읍 대홍리 ***번지 *호 외 *(***-*) ,56 ,2025-11-28
130,창대목장,젖소,"충청남도 천안시 서북구 성환읍 대홍리 ***번지 외 *필지(***-*,*,*,*) ",81 ,2025-11-28
131,새별목장,젖소,"충청남도 천안시 서북구 성환읍 수향리 **번지 ***호 , 산**-* ",120 ,2025-11-28
132,감나무목장,젖소,충청남도 천안시 서북구 성환읍 도하리 ***번지 *호 외 *필지 ,55 ,2025-11-28
133,제호목장,한우,충청남도 천안시 서북구 성환읍 성환리 ***번지  ,49 ,2025-11-28
134,남매목장,한우,충청남도 천안시 동남구 풍세면 보성리 ***번지  ,42 ,2025-11-28
135,선진목장,한우,충청남도 천안시 서북구 입장면 신두리 ***번지 *호  ,110 ,2025-11-28
136,교천농장,한우,충청남도 천안시 동남구 목천읍 교천리 **번지 *호  ,95 ,2025-11-28
137,응원목장,한우,충청남도 천안시 동남구 목천읍 응원리 ***번지 *호 ***-* ,40 ,2025-11-28
138,부흥목장,한우,충청남도 천안시 동남구 풍세면 남관리 ***번지  ,69 ,2025-11-28
139,박천농장,한우,충청남도 천안시 동남구 풍세면 풍서리 ***번지  ,40 ,2025-11-28
140,연원농장,육우,충청남도 천안시 동남구 북면 대평리 ***번지 *호  ,55 ,2025-11-28
141,서인농장,한우,충청남도 천안시 동남구 북면 오곡리 ***번지 *호  ,14 ,2025-11-28
142,그린농장,한우,"충청남도 천안시 동남구 북면 상동리 ***번지 외 *필지,***-* ",200 ,2025-11-28
143,종일목장,한우,충청남도 천안시 동남구 성남면 신덕리 ***번지  ,55 ,2025-11-28
144,세아농장,돼지,충청남도 천안시 동남구 병천면 관성리 ***번지 외 *필지 ,1200 ,2025-11-28
145,관성농장,한우,충청남도 천안시 동남구 병천면 관성리 ***번지 외 *필지 ,15 ,2025-11-28
146,부대병천농장,돼지,충청남도 천안시 동남구 병천면 관성리 ***번지 외 **필지 ,6179 ,2025-11-28
147,충성농장,한우,충청남도 천안시 동남구 병천면 매성리 **번지  ,240 ,2025-11-28
148,상현2농장,한우,충청남도 천안시 동남구 병천면 봉항리 ***번지  ,77 ,2025-11-28
149,가나안농장,돼지,충청남도 천안시 동남구 병천면 봉항리 ***번지  ,450 ,2025-11-28
150,성인농장,돼지,"충청남도 천안시 동남구 병천면 봉항리 ***번지 *호 외 *(***-*,***-*,***-*,***,***-*,***,***-*,***,***-*) ",1700 ,2025-11-28
151,덕성농장,오리,충청남도 천안시 동남구 병천면 도원리 ***번지 **호 외*필지 ,11000 ,2025-11-28
152,다산목장,젖소,"충청남도 천안시 동남구 목천읍 교천리 ***번지 *호 외 *필지(***, ***, ***-*) ",55 ,2025-11-28
153,동민농장,한우,충청남도 천안시 서북구 성환읍 우신리 ***번지 *호  ,35 ,2025-11-28
154,풍년농장,종계/산란계,충청남도 천안시 동남구 병천면 관성리 ***번지 *호 외 *필지(***-**) ,45056 ,2025-11-28
155,원화목장,젖소,충청남도 천안시 동남구 병천면 병천리 ***번지  ,70 ,2025-11-28
156,진양목장,젖소,"충청남도 천안시 동남구 병천면 병천리 *번지 *호 ,* ",40 ,2025-11-28
157,송정목장,젖소,"충청남도 천안시 동남구 병천면 송정리 ***번지 *호 외 *필지(***-*, -*, -*, -*, ***-*) ",60 ,2025-11-28
158,준이목장,젖소,충청남도 천안시 동남구 병천면 송정리 **번지  ,40 ,2025-11-28
159,용문목장,젖소,충청남도 천안시 동남구 병천면 송정리 ***번지 *호 외 *필지(***) ,85 ,2025-11-28
160,대성목장,한우,"충청남도 천안시 동남구 병천면 송정리 ***번지 외 *필지(***-*, ***) ",0 ,2025-11-28
161,운성목장,젖소,충청남도 천안시 동남구 풍세면 남관리 ***번지  ,65 ,2025-11-28
162,부성목장,젖소,충청남도 천안시 동남구 풍세면 남관리 ***번지  ,0 ,2025-11-28
163,구억목장,젖소,충청남도 천안시 동남구 풍세면 남관리 ***번지 **호 외 *필지(***-**) ,82 ,2025-11-28
164,준영목장,한우,"충청남도 천안시 동남구 풍세면 남관리 ***번지 **호 외 *필지(***-**,***-**,***-**) ",51 ,2025-11-28
165,대길농장,한우,충청남도 천안시 동남구 풍세면 남관리 ***번지  ,109 ,2025-11-28
166,안성목장,육우,충청남도 천안시 동남구 풍세면 남관리 ***번지 *호  ,15 ,2025-11-28
167,한돌농장,한우,충청남도 천안시 동남구 풍세면 남관리 ***번지 외 *필지(***-*) ,47 ,2025-11-28
168,거산목장,젖소,충청남도 천안시 동남구 풍세면 남관리 ***번지 *호  ,140 ,2025-11-28
169,아람목장,젖소,충청남도 천안시 동남구 풍세면 남관리 ***번지  ,125 ,2025-11-28
170,관우1목장,젖소,충청남도 천안시 동남구 풍세면 남관리 ***번지 *호  ,53 ,2025-11-28
171,관우2목장,한우,충청남도 천안시 동남구 풍세면 남관리 ***번지 *호  ,44 ,2025-11-28
172,큰제일목장,젖소,"충청남도 천안시 동남구 수신면 장산리 **번지 *호 ,**-* 번지 ",70 ,2025-11-28
173,지연목장,젖소,충청남도 천안시 동남구 수신면 장산리 ***번지 *호 외 *필지 ,85 ,2025-11-28
174,한신목장,한우,"충청남도 천안시 동남구 수신면 백자리 ***번지 외 *(***-*,***-*,***) ",90 ,2025-11-28
175,시온목장,한우,충청남도 천안시 동남구 수신면 백자리 ***번지 *호  ,0 ,2025-11-28
176,삼안목장,한우,충청남도 천안시 동남구 수신면 속창리 ***번지 *호  ,32 ,2025-11-28
177,청운목장,젖소,"충청남도 천안시 동남구 동면 수남리 ***번지 *호 외 *필지(***.-*,***,***) ",120 ,2025-11-28
178,수지목장 1농장,젖소,충청남도 천안시 동남구 동면 수남리 **번지 *호 외 *필지(**-*) ,0 ,2025-11-28
179,승연목장,한우,충청남도 천안시 동남구 동면 송연리 ***번지 *호  ,28 ,2025-11-28
180,형제목장,한우,충청남도 천안시 동남구 동면 송연리 ***번지 **호  ,53 ,2025-11-28
181,동선2목장,젖소,충청남도 천안시 동남구 동면 동산리 ***번지 외 *필지 ,90 ,2025-11-28
182,옥천목장,한우,충청남도 천안시 동남구 동면 광덕리 ***번지 *호 외 *필지(***-*) ,66 ,2025-11-28
183,지현목장,젖소,충청남도 천안시 동남구 동면 동산리 ***번지 *호  ,35 ,2025-11-28
184,정산목장,젖소,충청남도 천안시 동남구 동면 광덕리 ***번지 *호  ,50 ,2025-11-28
185,은열목장,젖소,"충청남도 천안시 동남구 동면 구도리 ***번지 외 *필지(***,***,***) ",57 ,2025-11-28
186,은신목장,젖소,충청남도 천안시 동남구 병천면 병천리 **번지 *호  ,40 ,2025-11-28
187,새터목장,젖소,충청남도 천안시 동남구 동면 광덕리 **번지 *호 외 *필지 ,75 ,2025-11-28
188,풍요목장,젖소,충청남도 천안시 동남구 동면 광덕리 **번지 외 *필지 ,76 ,2025-11-28
189,송이목장,젖소,충청남도 천안시 동남구 동면 광덕리 ***번지 *호 외 *(***) ,52 ,2025-11-28
190,덕우목장,젖소,충청남도 천안시 동남구 동면 광덕리 ***번지 *호  ,73 ,2025-11-28
191,덕은목장,한우,충청남도 천안시 동남구 북면 대평리 ***번지  ,77 ,2025-11-28
192,감산2목장,한우,충청남도 천안시 동남구 북면 대평리 ***번지  ,70 ,2025-11-28
193,효성목장,젖소,"충청남도 천안시 동남구 북면 대평리 ***번지 ***,***-* 번지 ",110 ,2025-11-28
194,은석목장,젖소,"충청남도 천안시 동남구 북면 대평리 ***번지 ***,***-*번지 ",90 ,2025-11-28
195,대진목장,젖소,"충청남도 천안시 동남구 동면 죽계리 ***번지 *호 외 *(***-*,***-*) ",145 ,2025-11-28
196,화산목장,젖소,충청남도 천안시 동남구 동면 광덕리 **번지 *호 외*(**) ,60 ,2025-11-28
197,화성목장,젖소,충청남도 천안시 동남구 동면 화계리 **번지 ***번지 ,70 ,2025-11-28
198,한심목장,젖소,충청남도 천안시 동남구 성남면 신사리 **번지 *호  ,60 ,2025-11-28
199,성민농장,한우,충청남도 천안시 동남구 성남면 신사리 **번지 *호 외 *필지 ,90 ,2025-11-28
200,성양목장,육우,충청남도 천안시 동남구 성남면 화성리 ***번지  ,85 ,2025-11-28
201,밤실목장,한우,충청남도 천안시 동남구 성남면 봉양리 ***번지 *호  ,100 ,2025-11-28
202,형재목장,한우,충청남도 천안시 동남구 성남면 봉양리 ***번지 *호  ,60 ,2025-11-28
203,봉양목장,젖소,충청남도 천안시 동남구 성남면 봉양리 ***번지 *호 외 *필지 ,60 ,2025-11-28
204,석수농장,육계,충청남도 천안시 동남구 성남면 봉양리 ***번지 *호  ,30000 ,2025-11-28
205,영수축산,한우,충청남도 천안시 동남구 성남면 석곡리 ***번지 *호  ,60 ,2025-11-28
206,경치농장,육계,충청남도 천안시 동남구 풍세면 보성리 ***번지 *호 외 *필지(산*-*) ,57000 ,2025-11-28
207,하도목장,젖소,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호 외 *필지 ,120 ,2025-11-28
208,삼관목장,한우,"충청남도 천안시 동남구 풍세면 용정리 ***번지 *호 외 *필지(***-*, ***-*, ***-*) ",229 ,2025-11-28
209,영광목장,한우,충청남도 천안시 동남구 풍세면 보성리 ***번지 *호  ,50 ,2025-11-28
210,풍일농원,한우,충청남도 천안시 동남구 목천읍 소사리 **번지  ,240 ,2025-11-28
211,흥성목장,한우,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호  ,75 ,2025-11-28
212,푸른목장,젖소,"충청남도 천안시 동남구 풍세면 삼태리 ***번지 *호 , ***-*번지 ",150 ,2025-11-28
213,두산목장,젖소,충청남도 천안시 동남구 풍세면 보성리 ***번지 외 *필지(***-*) ,89 ,2025-11-28
214,향토목장,젖소,"충청남도 천안시 동남구 광덕면 무학리 **번지 *호 외 *필지(**-*, **-*) ",81 ,2025-11-28
215,명신농장,한우,충청남도 천안시 동남구 광덕면 원덕리 ***번지 *호  ,60 ,2025-11-28
216,평안목장,젖소,"충청남도 천안시 동남구 목천읍 소사리 ***번지 *호 외 *필지(***-*, ***-*) ",70 ,2025-11-28
217,유미목장,젖소,충청남도 천안시 동남구 목천읍 도장리 ***번지  ,30 ,2025-11-28
218,대운목장,한우,충청남도 천안시 동남구 목천읍 응원리 ***번지  ,99 ,2025-11-28
219,주일농장,한우,충청남도 천안시 동남구 목천읍 교천리 ***번지 외 *필지(***) ,40 ,2025-11-28
220,대일농장,한우,"충청남도 천안시 동남구 목천읍 교천리 ***번지 외 *필지(***-*,***-*,***-*) ",5 ,2025-11-28
221,민규목장,젖소,"충청남도 천안시 동남구 북면 납안리 ***번지 외 *필지(***, ***, ***) ",100 ,2025-11-28
222,효덕목장,젖소,충청남도 천안시 동남구 성남면 대흥리 ***번지 외 *필지 ,130 ,2025-11-28
223,천홍목장,한우,"충청남도 천안시 동남구 성남면 봉양리 **번지 *호 외*(**-**, **-*) ",230 ,2025-11-28
224,기린농장,한우,"충청남도 천안시 동남구 병천면 봉항리 *번지 ,*번지 ",12 ,2025-11-28
225,관성농장,한우,충청남도 천안시 동남구 병천면 관성리 ***번지  ,30 ,2025-11-28
226,창섭농장,한우,충청남도 천안시 동남구 병천면 관성리 ***번지  ,15 ,2025-11-28
227,효성농장,돼지,충청남도 천안시 동남구 병천면 관성리 ***번지 *호 외 *필지 ,1600 ,2025-11-28
228,인섭농장,한우,충청남도 천안시 동남구 병천면 관성리 ***번지 *호  ,130 ,2025-11-28
229,매봉농장,한우,충청남도 천안시 동남구 병천면 용두리 ***번지  ,12 ,2025-11-28
230,송정농장,한우,충청남도 천안시 동남구 병천면 송정리 **번지 *호 외 *필지 ,20 ,2025-11-28
231,영일농장,한우,충청남도 천안시 동남구 광덕면 매당리 ***번지  ,24 ,2025-11-28
232,매송농장,한우,충청남도 천안시 동남구 북면 매송리 **번지  ,15 ,2025-11-28
233,청수농장,돼지,충청남도 천안시 서북구 직산읍 마정리 ***번지  ,1000 ,2025-11-28
234,제일농장,돼지,"충청남도 천안시 동남구 동면 장송리 ***번지 *호 외 *(***,***,***-*,***-*,***-*) ",3500 ,2025-11-28
235,일헌농원,돼지,"충청남도 천안시 서북구 성환읍 신방리 ***번지 **호 외**(***-**,**,**,**,**,**,**,**,***,***,***,***) ",1700 ,2025-11-28
236,광열목장,젖소,충청남도 천안시 서북구 입장면 양대리 ***번지 *호  ,100 ,2025-11-28
237,상봉1농장,종계/산란계,충청남도 천안시 동남구 동면 죽계리 ***번지  ,3500 ,2025-11-28
238,상봉2농장,종계/산란계,충청남도 천안시 동남구 동면 덕성리 ***번지  ,1500 ,2025-11-28
239,성훈농장,돼지,"충청남도 천안시 동남구 동면 화계리 ***번지 외 *필지(***,***-*,***-*,***) ",1500 ,2025-11-28
240,무산목장,한우,"충청남도 천안시 동남구 병천면 송정리 ***번지 *호 외*(***-*, ***-*, ***-*, -*) ",219 ,2025-11-28
241,대성농원,돼지,"충청남도 천안시 서북구 성환읍 왕림리 ***번지 외*필지(***-*,*,*,**,**) ",2200 ,2025-11-28
242,예안농장,한우,충청남도 천안시 동남구 목천읍 소사리 ***번지 *호 외 *필지 ,2 ,2025-11-28
