농장명,소재지,상세소재지,축종,데이터 기준일자
희성농장,삼향읍,지산리,오리,2025-11-25
해동축산,삼향읍,왕산리,돼지,2025-11-25
중앙축사,운남면,연리 8,한우,2025-11-25
정암축산,운남면,연리 1,돼지,2025-11-25
저동농장,운남면,연리 1,돼지,2025-11-25
환농장,청계면,상마리,한우,2025-11-25
은평농장,청계면,상마리,한우,2025-11-25
창원축산,청계면,복룡리,돼지,2025-11-25
도대농장,청계면,도대리,한우,2025-11-25
은혜목장,운남면,하묘리,한우,2025-11-25
정헌남축사,운남면,연리 3,한우,2025-11-25
연동축산,운남면,연리 7,한우,2025-11-25
흥원목장,운남면,내리 3,한우,2025-11-25
동암축산,운남면,동암리,한우,2025-11-25
선우농장,청계면,서호리,한우,2025-11-25
대림농장,청계면,서호리,한우,2025-11-25
한우축산,청계면,월선리,한우,2025-11-25
금성농장,청계면,서호리,육계,2025-11-25
민연축산,청계면,서호리,한우,2025-11-25
성무목장,청계면,서호리,한우,2025-11-25
동암농장,청계면,남안리,한우,2025-11-25
전남양계장,청계면,청수리,육계,2025-11-25
가보영농조합법인 무안지점,청계면,복룡리,돼지,2025-11-25
대우농장,청계면,송현리,돼지,2025-11-25
대성농장,청계면,송현리,한우,2025-11-25
윤식농장,해제면,창매리,한우,2025-11-25
문경목장,현경면,해운리,젖소,2025-11-25
현화농장,현경면,현화리,돼지,2025-11-25
네기목장,현경면,동산리,한우,2025-11-25
문주농장,무안읍,성남리,한우,2025-11-25
귀학농장,몽탄면,귀학리,한우,2025-11-25
두레농장,몽탄면,달산리,한우,2025-11-25
갈산농장,몽탄면,당호리,한우,2025-11-25
새순농장,운남면,성내리,돼지,2025-11-25
대박축산,운남면,성내리,돼지,2025-11-25
삼호축산농장,운남면,성내리,돼지,2025-11-25
미영농장,운남면,성내리,돼지,2025-11-25
오선농장,운남면,성내리,돼지,2025-11-25
기선농장,운남면,성내리,돼지,2025-11-25
S-농장,운남면,내리 1,돼지,2025-11-25
신월농장,운남면,내리 1,돼지,2025-11-25
연동축산,운남면,연리 1,돼지,2025-11-25
목섬농장,운남면,동암리,돼지,2025-11-25
바솜농장,무안읍,신학리,오리,2025-11-25
산울농원,현경면,양학리,오리,2025-11-25
두레축산,현경면,평산리,돼지,2025-11-25
수반농장,무안읍,매곡리,오리,2025-11-25
온누리농장,몽탄면,당호리,한우,2025-11-25
일요농장,일로읍,월암리,돼지,2025-11-25
야곱농장,현경면,현화리,오리,2025-11-25
수암농장,현경면,가입리,육계,2025-11-25
학골농장,망운면,피서리,오리,2025-11-25
저두농장,몽탄면,사창리,한우,2025-11-25
금현농장,몽탄면,구산리,한우,2025-11-25
학전농장,몽탄면,당호리,한우,2025-11-25
홍성농장,몽탄면,봉명리,돼지,2025-11-25
삼민농장,몽탄면,봉명리,돼지,2025-11-25
햇빛촌 농원,운남면,연리 1,육계,2025-11-25
대신농장,운남면,연리 2,육계,2025-11-25
죽산축산,운남면,동암리,한우,2025-11-25
덕진농장,운남면,동암리,육계,2025-11-25
청송농장,운남면,동암리,한우,2025-11-25
청솔농장,현경면,송정리,돼지,2025-11-25
에덴농장,현경면,현화리,한우,2025-11-25
승지축산,현경면,용정리,돼지,2025-11-25
이천농원,몽탄면,봉명리,돼지,2025-11-25
서해안 농장,무안읍,성동리,한우,2025-11-25
해권농장,일로읍,산정리,한우,2025-11-25
창성목장,일로읍,의산리,한우,2025-11-25
현철농장,일로읍,광암리,육계,2025-11-25
용포축산,일로읍,복룡리,한우,2025-11-25
죽림농장,삼향읍,맥포리,한우,2025-11-25
월계농장,삼향읍,맥포리,한우,2025-11-25
건국축산,몽탄면,사창리,한우,2025-11-25
몽길농장,몽탄면,다산리,한우,2025-11-25
사천농장,몽탄면,사천리,한우,2025-11-25
윤서농장,몽탄면,달산리,한우,2025-11-25
영성농장,몽탄면,다산리,한우,2025-11-25
학산농장,몽탄면,학산리,한우,2025-11-25
봉명농장,몽탄면,봉명리,한우,2025-11-25
석산농장,몽탄면,달산리,한우,2025-11-25
정일농장,몽탄면,달산리,한우,2025-11-25
한림농장,청계면,도대리,한우,2025-11-25
서호농장,청계면,서호리,육계,2025-11-25
용현농장,무안읍,용월리,한우,2025-11-25
초은농장,현경면,평산리,돼지,2025-11-25
외덕축산,망운면,목서리,한우,2025-11-25
대성농장,운남면,성내리,한우,2025-11-25
목포무안신안축산업협동조합,무안읍,용월리,한우,2025-11-25
수광농장,현경면,동산리,한우,2025-11-25
유선농장,망운면,목서리,한우,2025-11-25
이레농장,몽탄면,봉명리,돼지,2025-11-25
한결축산,망운면,목동리,한우,2025-11-25
농업회사법인 유한회사 희망찬,망운면,목동리,돼지,2025-11-25
경화축산,운남면,하묘리,한우,2025-11-25
고지축산,무안읍,신학리,산양,2025-11-25
가견농장,무안읍,신학리,한우,2025-11-25
다산농장,몽탄면,다산리,한우,2025-11-25
주신축산,현경면,동산리,한우,2025-11-25
현재축산,해제면,천장리,한우,2025-11-25
신정축산,해제면,신정리,한우,2025-11-25
자매농장,망운면,목동리,한우,2025-11-25
우적농장,몽탄면,사천리,한우,2025-11-25
남양농장,일로읍,감돈리,한우,2025-11-25
양규축산,현경면,마산리,한우,2025-11-25
마산농장,현경면,마산리,한우,2025-11-25
천장축산,해제면,양매리,한우,2025-11-25
송현농장,청계면,송현리,한우,2025-11-25
우리축산,현경면,송정리,한우,2025-11-25
영무농장,운남면,연리 7,한우,2025-11-25
덕암농장,몽탄면,사창리,한우,2025-11-25
지현농장,몽탄면,학산리,한우,2025-11-25
견우네농장,일로읍,복룡리,한우,2025-11-25
금성농장,일로읍,감돈리,오리,2025-11-25
우명농장,몽탄면,사창리,한우,2025-11-25
백동농장,해제면,천장리,한우,2025-11-25
도성농장,해제면,용학리,한우,2025-11-25
당호농장,몽탄면,당호리,한우,2025-11-25
일송농장,일로읍,감돈리,한우,2025-11-25
오리농장,일로읍,지장리,오리,2025-11-25
혜민농장,몽탄면,달산리,한우,2025-11-25
기운농장,운남면,내리 9,한우,2025-11-25
연수농장,운남면,내리 9,한우,2025-11-25
소망농장,현경면,해운리,한우,2025-11-25
성혁농장,운남면,연리 1,돼지,2025-11-25
드림농장,삼향읍,맥포리,한우,2025-11-25
서해농장,몽탄면,양장리,한우,2025-11-25
대진농장,몽탄면,봉명리,한우,2025-11-25
성하농장,무안읍,고절리,한우,2025-11-25
대신축산,몽탄면,양장리,한우,2025-11-25
기쁨농장,몽탄면,당호리,한우,2025-11-25
용산농장,몽탄면,당호리,한우,2025-11-25
동주축산,해제면,천장리,한우,2025-11-25
용포농장,삼향읍,용포리,한우,2025-11-25
태양축산,운남면,동암리,돼지,2025-11-25
병수농장,몽탄면,양장리,한우,2025-11-25
새터축산,일로읍,구정리,한우,2025-11-25
전원농장,일로읍,감돈리,한우,2025-11-25
금성사,일로읍,지장리,한우,2025-11-25
안성농장,현경면,마산리,한우,2025-11-25
너물농장,현경면,가입리,한우,2025-11-25
철승농장,몽탄면,구산리,한우,2025-11-25
화원농장,몽탄면,사창리,한우,2025-11-25
대성농장,청계면,남성리,한우,2025-11-25
감동농장,해제면,양매리,한우,2025-11-25
참냉기농장,해제면,만풍리,한우,2025-11-25
금곡축산,해제면,만풍리,한우,2025-11-25
해동 한우 축사,몽탄면,청용리,한우,2025-11-25
동암 축사,청계면,남안리,한우,2025-11-25
바다농장,망운면,송현리,한우,2025-11-25
그린축산,해제면,학송리,한우,2025-11-25
하늘축산,삼향읍,지산리,한우,2025-11-25
신흥목장,몽탄면,당호리,한우,2025-11-25
당호축산,몽탄면,당호리,한우,2025-11-25
상훈축산,몽탄면,명산리,한우,2025-11-25
지장농장,일로읍,지장리,한우,2025-11-25
휘네농장,무안읍,신학리,한우,2025-11-25
양호축산,일로읍,복룡리,한우,2025-11-25
원준축산,일로읍,광암리,한우,2025-11-25
송산농장,삼향읍,맥포리,한우,2025-11-25
산내골농장,삼향읍,맥포리,돼지,2025-11-25
대한농장,망운면,목서리,한우,2025-11-25
회산축산,일로읍,복룡리,한우,2025-11-25
부자축산,일로읍,망월리,한우,2025-11-25
청하농장,삼향읍,지산리,돼지,2025-11-25
성신농장,일로읍,복룡리,한우,2025-11-25
승호농장,일로읍,감돈리,한우,2025-11-25
정옥축산,일로읍,감돈리,한우,2025-11-25
노두농장,몽탄면,당호리,한우,2025-11-25
준 농장,몽탄면,구산리,한우,2025-11-25
장부김해농장,청계면,청계리,한우,2025-11-25
죽산농장,일로읍,죽산리,오리,2025-11-25
현해농장,해제면,임수리,한우,2025-11-25
안성축산,해제면,신정리,한우,2025-11-25
이천농장,일로읍,감돈리,한우,2025-11-25
금성농장,일로읍,지장리,한우,2025-11-25
탁이농장,일로읍,월암리,한우,2025-11-25
능선목장(수양),현경면,수양리,한우,2025-11-25
거북농장,일로읍,의산리,한우,2025-11-25
문성농장,몽탄면,봉명리,한우,2025-11-25
송가네농장,몽탄면,봉명리,한우,2025-11-25
쇠똥구리 농장,몽탄면,명산리,한우,2025-11-25
매실농장,현경면,해운리,한우,2025-11-25
백양축산농장,현경면,현화리,한우,2025-11-25
거기한우,몽탄면,구산리,한우,2025-11-25
자연축산,현경면,마산리,한우,2025-11-25
윤가레농장,현경면,수양리,한우,2025-11-25
야호축산,현경면,평산리,한우,2025-11-25
장군농장,현경면,해운리,한우,2025-11-25
현이농장,청계면,월선리,한우,2025-11-25
이천축산,몽탄면,봉명리,한우,2025-11-25
남곤농장,몽탄면,사천리,한우,2025-11-25
경수축산,일로읍,의산리,한우,2025-11-25
송암축산,일로읍,용산리,한우,2025-11-25
민주농장,무안읍,성남리,한우,2025-11-25
은택농장,무안읍,교촌리,육계,2025-11-25
양학농장,현경면,양학리,한우,2025-11-25
양학농장,현경면,양학리,한우,2025-11-25
복용축산업,삼향면,지산리,한우,2025-11-25
한우나라 농장,일로읍,지장리,한우,2025-11-25
찬열축산,몽탄면,내리 4,한우,2025-11-25
명호농장,몽탄면,봉명리,한우,2025-11-25
진영축산,운남면,하묘리,한우,2025-11-25
정덕축산,일로읍,감돈리,한우,2025-11-25
용리축산,운남면,연리 1,한우,2025-11-25
순자축산,현경면,마산리,한우,2025-11-25
인의농장,일로읍,의산리,한우,2025-11-25
샘물목장,현경면,동산리,한우,2025-11-25
준태목장,무안읍,고절리,한우,2025-11-25
국일농장,현경면,평산리,산양,2025-11-25
현철농장,몽탄면,사창리,한우,2025-11-25
소하천축산,몽탄면,달산리,한우,2025-11-25
희망농장,망운면,목서리,한우,2025-11-25
관호농장,해제면,송석리,한우,2025-11-25
명진축산,운남면,하묘리,한우,2025-11-25
현우축산,청계면,청천리,한우,2025-11-25
홍가농장,일로읍,감돈리,한우,2025-11-25
승달농장,몽탄면,달산리,한우,2025-11-25
요안농장,일로읍,복룡리,오리,2025-11-25
샛별축산,해제면,산길리,한우,2025-11-25
용진농장,몽탄면,당호리,한우,2025-11-25
근순축산,청계면,청계리,한우,2025-11-25
청원농장,청계면,청천리,한우,2025-11-25
장곡제일농장,삼향읍,지산리,한우,2025-11-25
민우축산,현경면,평산리,한우,2025-11-25
현숙농장,일로읍,지장리,한우,2025-11-25
푸름농장,청계면,송현리,한우,2025-11-25
내덕농장,망운면,목서리,한우,2025-11-25
한재농장,몽탄면,대치리,한우,2025-11-25
인의농장,일로읍,의산리,한우,2025-11-25
제일축산,해제면,양매리,한우,2025-11-25
봉암농장,몽탄면,대치리,한우,2025-11-25
형제농장,현경면,외반리,한우,2025-11-25
벌포농장,청계면,서호리,한우,2025-11-25
황금농장,무안읍,고절리,한우,2025-11-25
큰골농장,해제면,만풍리,한우,2025-11-25
서호농장,청계면,서호리,한우,2025-11-25
성원농장,무안읍,고절리,한우,2025-11-25
수정목장,청계면,월선리,한우,2025-11-25
명심축산,망운면,송현리,한우,2025-11-25
성운농장,청계면,청계리,한우,2025-11-25
죽림농장,삼향읍,맥포리,한우,2025-11-25
성욱목장,무안읍,고절리,한우,2025-11-25
보배농장,몽탄면,명산리,한우,2025-11-25
인창농장,청계면,송현리,한우,2025-11-25
일광농장,일로읍,광암리,한우,2025-11-25
양원농장,삼향읍,맥포리,한우,2025-11-25
선대농장,운남면,동암리,한우,2025-11-25
유성농장,청계면,송현리,한우,2025-11-25
청포농장,일로읍,죽산리,한우,2025-11-25
남성축산,청계면,남성리,한우,2025-11-25
화정농장,몽탄면,구산리,한우,2025-11-25
운영농장,청계면,사마리,한우,2025-11-25
찬호축산,현경면,마산리,한우,2025-11-25
기호농장,운남면,동암리,한우,2025-11-25
복남이보리농장,일로읍,감돈리,한우,2025-11-25
하묘농장,운남면,하묘리,한우,2025-11-25
승전축산,해제면,학송리,한우,2025-11-25
인천농장,일로읍,복룡리,한우,2025-11-25
세준농장,망운면,피서리,한우,2025-11-25
고절축산,무안읍,고절리,한우,2025-11-25
성창축산,삼향읍,왕산리,한우,2025-11-25
신촌신흥농장,해제면,양월리,한우,2025-11-25
신현축산,해제면,광산리,한우,2025-11-25
전우성농장,해제면,석룡리,한우,2025-11-25
양선농장,현경면,양학리,한우,2025-11-25
ok목장,현경면,외반리,한우,2025-11-25
진양농장,무안읍,고절리,한우,2025-11-25
인호농장,무안읍,고절리,한우,2025-11-25
청림농장,무안읍,교촌리,한우,2025-11-25
준태농장,청계면,청천리,한우,2025-11-25
임마누엘승리 농장,청계면,서호리,한우,2025-11-25
항길농장,무안읍,고절리,한우,2025-11-25
비로촌농장,일로읍,망월리,한우,2025-11-25
삼민농장,청계면,복길리,한우,2025-11-25
무룡축산,일로읍,의산리,한우,2025-11-25
재웅축사,일로읍,구정리,한우,2025-11-25
성남농장,일로읍,지장리,한우,2025-11-25
쌍둥이농장,몽탄면,봉명리,한우,2025-11-25
걸치기농장,해제면,창매리,한우,2025-11-25
마산농장,현경면,마산리,한우,2025-11-25
은성축산,해제면,신정리,한우,2025-11-25
성포농장,해제면,광산리,한우,2025-11-25
세문축산,일로읍,복룡리,한우,2025-11-25
수암농장,해제면,유월리,한우,2025-11-25
성일농장,몽탄면,달산리,한우,2025-11-25
신성농장,운남면,성내리,돼지,2025-11-25
호야농장,일로읍,지장리,한우,2025-11-25
성진농장,몽탄면,대치리,한우,2025-11-25
동학농장,해제면,석룡리,한우,2025-11-25
대풍농장,일로읍,감돈리,한우,2025-11-25
정희농장,무안읍,신학리,한우,2025-11-25
영실농장,삼향읍,맥포리,한우,2025-11-25
샤론농장,운남면,동암리,한우,2025-11-25
장터축사,무안읍,성남리,한우,2025-11-25
청호농장,일로읍,청호리,한우,2025-11-25
표준축산,삼향읍,왕산리,한우,2025-11-25
현화벌꿀농장,현경면,현화리,한우,2025-11-25
가입축산,현경면,가입리,한우,2025-11-25
사내농장,몽탄면,사천리,한우,2025-11-25
상훈농장,현경면,해운리,한우,2025-11-25
노무내농장,해제면,만풍리,한우,2025-11-25
보람농장,몽탄면,사천리,한우,2025-11-25
현경농장,현경면,평산리,한우,2025-11-25
정은축산,몽탄면,사천리,돼지,2025-11-25
약곡농장,몽탄면,약곡리,한우,2025-11-25
만수농장,삼향읍,용포리,한우,2025-11-25
정규농장,몽탄면,양장리,한우,2025-11-25
청호축산,일로읍,청호리,한우,2025-11-25
계두한우농장,삼향읍,용포리,한우,2025-11-25
고절농장,무안읍,고절리,한우,2025-11-25
용학농장,망운면,피서리,한우,2025-11-25
희망농장,무안읍,고절리,한우,2025-11-25
내화농장,운남면,연리 9,한우,2025-11-25
초당축산,몽탄면,사창리,한우,2025-11-25
으뜸농장,삼향읍,맥포리,한우,2025-11-25
신정농장,해제면,신정리,한우,2025-11-25
성덕축산,청계면,월선리,한우,2025-11-25
해변농장,삼향읍,왕산리,한우,2025-11-25
초원농장,현경면,가입리,한우,2025-11-25
정진축산,몽탄면,양장리,한우,2025-11-25
평산농장,현경면,평산리,한우,2025-11-25
기태농장,몽탄면,봉명리,한우,2025-11-25
초당농장,몽탄면,사창리,한우,2025-11-25
인평농장,몽탄면,다산리,한우,2025-11-25
태선농장,현경면,오류리,한우,2025-11-25
선진목장,무안읍,고절리,한우,2025-11-25
청용농장,몽탄면,청용리,한우,2025-11-25
아름농장,무안읍,용월리,한우,2025-11-25
연동농장,운남면,연리 3,한우,2025-11-25
고향자녀농장,청계면,태봉리,한우,2025-11-25
덕정농장,일로읍,지장리,한우,2025-11-25
한주농장,몽탄면,사창리,한우,2025-11-25
홍익농장,일로읍,감돈리,한우,2025-11-25
복룡농장,삼향읍,지산리,돼지,2025-11-25
정월동축산,일로읍,죽산리,한우,2025-11-25
정문농장,몽탄면,사천리,한우,2025-11-25
튼튼농장,몽탄면,사천리,한우,2025-11-25
꼬꼬네농장,삼향읍,맥포리,한우,2025-11-25
창근농장,일로읍,죽산리,한우,2025-11-25
후동목장,현경면,해운리,한우,2025-11-25
삼호농장,삼향읍,용포리,한우,2025-11-25
홍서농장,일로읍,감돈리,육계,2025-11-25
용호축산,일로읍,복룡리,한우,2025-11-25
덕규농장,망운면,피서리,한우,2025-11-25
박실농장,몽탄면,약곡리,한우,2025-11-25
봉산농장,몽탄면,봉산리,한우,2025-11-25
준식축산,일로읍,감돈리,한우,2025-11-25
순옥농장,몽탄면,달산리,한우,2025-11-25
평산축산,현경면,평산리,한우,2025-11-25
보은농장,일로읍,청호리,한우,2025-11-25
송희목장,무안읍,평용리,한우,2025-11-25
복수농장,무안읍,고절리,한우,2025-11-25
은성농장,몽탄면,귀학리,한우,2025-11-25
오룡농장,일로읍,복룡리,한우,2025-11-25
용정농장,현경면,용정리,한우,2025-11-25
화서농장,무안읍,평용리,한우,2025-11-25
