사업장명칭,주사육업종,사육두수,사업장소재지(도로명),사업장소재지(지번),전화,데이터기준일
두지농장,한우,20,전라북도 순창군 풍산면 풍산로 600-18,전라북도 순창군 풍산면 두승리 909번지 6호  ,,2022-11-10
내척농장,돼지,1900,전라북도 순창군 쌍치면 석동암로 187-15,전라북도 순창군 쌍치면 전암리  ,,2022-11-10
영일농장,한우,114,,전라북도 순창군 인계면 도룡리 96번지 5호  ,063-652-8800,2022-11-10
한우,한우,42,전라북도 순창군 적성면 신월길 42-23,전라북도 순창군 적성면 괴정리 557번지  ,063-652-3398,2022-11-10
한별농장,돼지,1600,전라북도 순창군 인계면 세심로 315-7,전라북도 순창군 인계면 심초리 440번지  ,063-653-4979,2022-11-10
샘골농장,돼지,600,전라북도 순창군 동계면 성전길 37-44,전라북도 순창군 동계면 신흥리 710번지 2호  ,063-653-9234,2022-11-10
금호농장,육계,80000,,전라북도 순창군 동계면 수정리 451번지 4호 459-3번지 ,063-652-4201,2022-11-10
현인농장,한우,70,,전라북도 순창군 유등면 무수리 1507번지 1720-2번지 ,063-652-3670,2022-11-10
규종,한우,7,전라북도 순창군 유등면 유적로 134,전라북도 순창군 유등면 무수리 298번지  ,063-652-3070,2022-11-10
강천축산,오리,40000,,전라북도 순창군 금과면 내동리 366번지 4호  ,1577-1127,2022-11-10
동운농장,한우,28,전라북도 순창군 금과면 금풍로 87-49,전라북도 순창군 금과면 방축리 204번지  ,063-652-6591,2022-11-10
푸루미농장,육계,70000,전라북도 순창군 금과면 서암로 87-22,전라북도 순창군 금과면 목동리 353번지  ,,2022-11-10
재영농장,한우,20,전라북도 순창군 복흥면 추령로 1512-39,전라북도 순창군 복흥면 동산리 689번지 1호  ,063-653-9910,2022-11-10
우리농장,한우,100,전라북도 순창군 복흥면 가인로 37-107,전라북도 순창군 복흥면 정산리 956번지 1호  ,063-652-7680,2022-11-10
석만농장,한우,22,,전라북도 순창군 복흥면 정산리 866번지  ,063-652-7418,2022-11-10
양원농장,한우,52,,전라북도 순창군 복흥면 산정리 776번지 778 ,063-652-7954,2022-11-10
시형농장,한우,120,전라북도 순창군 복흥면 가인로 456-37,전라북도 순창군 복흥면 답동리 576번지 1호  ,,2022-11-10
상기농장,한우,300,,전라북도 순창군 복흥면 상송리 196번지  ,063-653-6632,2022-11-10
양일농장,한우,70,,전라북도 순창군 복흥면 상송리 269번지 3호  ,063-653-7212,2022-11-10
동서목장,한우,10,전라북도 순창군 복흥면 정산1길 17-2,전라북도 순창군 복흥면 정산리 10번지  ,063-652-7858,2022-11-10
옥곤농장,한우,15,전라북도 순창군 동계면 동계로 551-42,전라북도 순창군 동계면 수장리 162번지  ,,2022-11-10
돈스타농장,돼지,2000,전라북도 순창군 동계면 마상길 74 (및 적성면 괴정리 730번지),전라북도 순창군 동계면 현포리 861번지 및 적성면 괴정리 730번지 ,,2022-11-10
동영한우농장,한우,30,전라북도 순창군 동계면 수장3길 56-24,전라북도 순창군 동계면 수장리 75번지 3호  ,063-652-3985,2022-11-10
인식농장,육계,80040,전라북도 순창군 적성면 우계길 24-360,전라북도 순창군 적성면 내월리 205번지  ,,2022-11-10
동평농장,육계,63000,전라북도 순창군 적성면 충효로 152,전라북도 순창군 적성면 괴정리 1070번지  ,063-653-7187,2022-11-10
체계산 산돼지 농장,돼지,15,,전라북도 순창군 적성면 내월리 246번지 1호  ,063-652-8660,2022-11-10
기홍,염소,100,전라북도 순창군 팔덕면 광덕로 949,전라북도 순창군 팔덕면 월곡리 141번지 1호  ,063-652-5695,2022-11-10
새샘농장,한우,70,,전라북도 순창군 팔덕면 용산리 133번지 1호  ,063-652-8356,2022-11-10
영호농장,한우,69,"전라북도 순창군 복흥면 화양로 120-7 (,271번지)","전라북도 순창군 복흥면 화양리 158번지 1호 ,271번지 ",063-652-8077,2022-11-10
복흥 초원목장,한우,60,,전라북도 순창군 복흥면 농암리 산 36번지 4호 지선리 1-1 외 1필지 ,063-653-0246,2022-11-10
문필농장,한우,100,,전라북도 순창군 복흥면 금월리 861번지 외 1필지 ,,2022-11-10
현숙농장,한우,80,,전라북도 순창군 복흥면 서마리 862번지  ,063-652-5053,2022-11-10
광기목장,한우,39,,전라북도 순창군 구림면 금창리 380번지 381번지 ,063-652-8953,2022-11-10
신흥한우목장,한우,65,전라북도 순창군 동계면 충효로 584,전라북도 순창군 동계면 신흥리 601번지  ,063-652-4160,2022-11-10
강천축산,육계,22600,,전라북도 순창군 구림면 화암리 1390번지  ,,2022-11-10
청호농장,한우,38,,전라북도 순창군 동계면 수정리 551번지  ,063-652-4598,2022-11-10
창주농장,한우,55,전라북도 순창군 동계면 창주길 18-31,전라북도 순창군 동계면 서호리 115번지 1호  ,063-652-4310,2022-11-10
기동농장,한우,25,전라북도 순창군 구림면 새터길 42-6,"전라북도 순창군 구림면 구산리 138번지 구산리 136, 139, 146, 149 ",063-653-0166,2022-11-10
정성농장,한우,72,"전라북도 순창군 유등면 유적로 152, 153번지",전라북도 순창군 유등면 무수리 293번지 1호  ,063-652-3559,2022-11-10
탑리농장,한우,27,전라북도 순창군 인계면 탑리길 86-18,전라북도 순창군 인계면 탑리 255번지  ,063-652-7031,2022-11-10
경주목장,한우,30,전라북도 순창군 유등면 유등로 407-10,전라북도 순창군 유등면 외이리 584번지  ,063-652-0049,2022-11-10
부자농장,한우,20,전라북도 순창군 유등면 건곡2길 13,전라북도 순창군 유등면 건곡리 1207번지  ,063-653-0345,2022-11-10
무수농장,한우,30,전라북도 순창군 유등면 무수길 38,전라북도 순창군 유등면 무수리 1054번지  ,063-652-3214,2022-11-10
평지농장,한우,120,전라북도 순창군 팔덕면 창덕로 40-25,전라북도 순창군 팔덕면 창덕리 855번지  ,063-652-5259,2022-11-10
태림농장,종계/산란계,250000,전라북도 순창군 유등면 유등로 587-54,전라북도 순창군 유등면 오교리  ,,2022-11-10
유정농장,돼지,950,전라북도 순창군 풍산면 유정길 14-84,전라북도 순창군 풍산면 유정리 448번지  ,063-652-9595,2022-11-10
덕영목원,한우,12,전라북도 순창군 적성면 충효로 134-17,전라북도 순창군 적성면 괴정리 772번지 4호  ,063-653-9472,2022-11-10
늘푸른 목장,젖소,97,,전라북도 순창군 적성면 내월리 산 3번지 6호  ,063-652-3753,2022-11-10
성안농장,한우,60,전라북도 순창군 적성면 충효로 190-5,전라북도 순창군 적성면 괴정리 914번지 2호  ,063-653-4760,2022-11-10
인계자립영농조합법인,한우,100,전라북도 순창군 인계면 은행길 3-4,전라북도 순창군 인계면 중산리 330번지 3호  ,063-652-9572,2022-11-10
명회농장,한우,72,전라북도 순창군 적성면 신월길 32-11,전라북도 순창군 적성면 괴정리 553번지 4호  ,063-652-4637,2022-11-10
푸른농장,돼지,2000,전라북도 순창군 인계면 세심로 283-2,전라북도 순창군 인계면 심초리 104번지 1호  ,,2022-11-10
신촌농장,육계,25000,,전라북도 순창군 순창읍 백산리 86번지 1호  ,063-653-3415,2022-11-10
만금농장,한우,24,전라북도 순창군 유등면 정동마을길 4-6,전라북도 순창군 유등면 창신리 578번지  ,,2022-11-10
봉영농장,한우,87,,"전라북도 순창군 인계면 중산리 368번지 1호 369-1번지, 72번지 ",063-652-3356,2022-11-10
대건농장,한우,70,전라북도 순창군 유등면 건곡로 197,전라북도 순창군 유등면 건곡리 757번지 1호  ,063-653-3895,2022-11-10
오성농장,육계,50000,,전라북도 순창군 순창읍 복실리 850번지 1호 850-2번지 ,063-653-3263,2022-11-10
암봉농장,한우,23,,전라북도 순창군 순창읍 백산리 152번지  ,063-653-2457,2022-11-10
용만농장,한우,50,,"전라북도 순창군 순창읍 신남리 387번지 31호 , 4호 ",063-652-0598,2022-11-10
기연농장,한우,40,전라북도 순창군 풍산면 대가1길 25-39,전라북도 순창군 풍산면 대가리 1044번지  ,063-652-0262,2022-11-10
봉호,한우,60,전라북도 순창군 팔덕면 광덕로 700,전라북도 순창군 팔덕면 청계리 868번지 1호  ,063-652-4300,2022-11-10
운남농장,한우,41,전라북도 순창군 구림면 방화로 84-29,전라북도 순창군 구림면 방화리 19번지  ,063-652-9322,2022-11-10
추섭,한우,25,,전라북도 순창군 구림면 방화리 79번지  ,063-652-8420,2022-11-10
조섭,한우,130,,전라북도 순창군 구림면 구산리 690번지 1호  ,,2022-11-10
귀순농장,한우,185,,전라북도 순창군 구림면 운남리 1675번지  ,,2022-11-10
경수,한우,65,전라북도 순창군 구림면 방화2길 9-8,전라북도 순창군 구림면 방화리 193번지  ,063-652-9162,2022-11-10
유진농장,한우,18,,전라북도 순창군 구림면 방화리 17번지  ,,2022-11-10
병홍농장,한우,25,,전라북도 순창군 구림면 방화리 166번지  ,063-652-7873,2022-11-10
원섭농장,한우,120,전라북도 순창군 구림면 방화로 124-35,전라북도 순창군 구림면 방화리 961번지  ,,2022-11-10
공금농장,한우,39,,전라북도 순창군 구림면 방화리 210번지 8호  ,063-652-8870,2022-11-10
상기농장,한우,35,,전라북도 순창군 구림면 구곡리 65번지  ,063-653-4709,2022-11-10
동조농장,한우,42,전라북도 순창군 구림면 구곡로 354-34,전라북도 순창군 구림면 구곡리 8번지  ,063-652-8441,2022-11-10
섬진축산유통,한우,40,전라북도 순창군 구림면 방화로 214-6,전라북도 순창군 구림면 방화리 289번지 6호  ,063-652-9278,2022-11-10
용운농장,한우,30,전라북도 순창군 구림면 방화1길 35-17,전라북도 순창군 구림면 방화리 1058번지 1호  ,063-653-6035,2022-11-10
웅기농장,한우,50,,전라북도 순창군 구림면 방화리 산 208번지  ,063-653-4631,2022-11-10
방환농장,한우,41,,전라북도 순창군 구림면 방화리 353번지  ,063-652-1255,2022-11-10
장금농장,한우,27,,전라북도 순창군 구림면 방화리 643번지 1호  ,063-652-9131,2022-11-10
구해농원(장),한우,20,,전라북도 순창군 구림면 구암리 2번지 1호  ,063-652-8778,2022-11-10
대문농장,한우,110,,전라북도 순창군 구림면 구곡리 802번지  ,063-653-8627,2022-11-10
신성농장,한우,20,전라북도 순창군 구림면 광암로 563,"전라북도 순창군 구림면 구산리 산 113번지 구산리 710-3, 710-4 ",,2022-11-10
밤디농장,한우,15,,"전라북도 순창군 구림면 율북리 809번지 807, 812번지 ",063-652-9360,2022-11-10
단풍농장,한우,11,,전라북도 순창군 구림면 운북리 337번지 1호  ,063-652-8978,2022-11-10
남기농장,한우,43,전라북도 순창군 구림면 구림로 318-30,전라북도 순창군 구림면 운남리 1455번지  ,063-652-8149,2022-11-10
영성농장,한우,70,,"전라북도 순창군 구림면 운남리 498번지 6호 ,498-8번지 ",063-652-5806,2022-11-10
동구농장,한우,100,,"전라북도 순창군 구림면 구산리 595번지 15호 745-9번지, 749-1번지 ",063-652-8584,2022-11-10
동촌한우농장,한우,53,전라북도 순창군 인계면 동촌길 42-9,전라북도 순창군 인계면 노동리 69번지 1호  ,063-652-1085,2022-11-10
용주농장,한우,45,,"전라북도 순창군 구림면 금창리 333번지 외 2필지(167-1, 196) ",063-652-9006,2022-11-10
정완농장,한우,50,,전라북도 순창군 구림면 금창리 350번지 1호  ,063-652-8524,2022-11-10
재복농장,한우,15,,전라북도 순창군 인계면 도룡리 644번지  ,063-653-8806,2022-11-10
상문농장,한우,121,"전라북도 순창군 인계면 용암길 40-11 (,537-3번지)","전라북도 순창군 인계면 도룡리 538번지 ,537-3번지 ",063-652-7236,2022-11-10
하나농장,한우,5,,"전라북도 순창군 구림면 운북리 52번지 번지, 53번지 ",,2022-11-10
찬누리농장,육계,30000,,전라북도 순창군 팔덕면 산동리 20번지 4호 외 3필지 ,,2022-11-10
기수농장,한우,23,전라북도 순창군 인계면 인성로 30-24,전라북도 순창군 인계면 갑동리 912번지  ,,2022-11-10
철희농장,한우,50,,전라북도 순창군 구림면 구산리 696번지 1호  ,063-652-9197,2022-11-10
춘중농장,한우,42,,전라북도 순창군 팔덕면 월곡리 1403번지  ,063-652-5399,2022-11-10
기문농장,한우,100,전라북도 순창군 풍산면 풍산로 223-3,전라북도 순창군 풍산면 우곡리 113번지  ,063-652-5794,2022-11-10
영보농장,한우,45,,"전라북도 순창군 풍산면 대가리 564번지 2호 1557-1,3.4번지 ",,2022-11-10
칠호농장,한우,45,,"전라북도 순창군 풍산면 두승리 992번지 992-2번지, 993번지 ",063-653-0142,2022-11-10
무량축산,한우,20,전라북도 순창군 동계면 충효로 492,전라북도 순창군 동계면 관전리 33번지 1호  ,063-652-4009,2022-11-10
장연양계,종계/산란계,300000,전라북도 순창군 동계면 유산길 94-74,전라북도 순창군 동계면 유산리 339번지 2호  ,,2022-11-10
한우축사,한우,90,전라북도 순창군 동계면 수장2길 11,전라북도 순창군 동계면 수장리 456번지 3호  ,063-652-4114,2022-11-10
한땀목장,젖소,30,전라북도 순창군 동계면 오동길 7-37,전라북도 순창군 동계면 동심리 285번지  ,,2022-11-10
드림농장,육계,15000,전라북도 순창군 동계면 충효로 566-23,전라북도 순창군 동계면 신흥리 610번지 15호  ,,2022-11-10
황금축산영농조합법인,종계/산란계,25000,,전라북도 순창군 동계면 신흥리 581번지 1  호  ,063-652-4083,2022-11-10
완평농장,한우,120,,전라북도 순창군 동계면 수장리 544번지  ,063-652-4386,2022-11-10
순정축산업협동조합생장물사업장,한우,1279,전라북도 순창군 인계면 세심로 265-66,전라북도 순창군 인계면 심초리 산 193번지  ,063-653-0441,2022-11-10
경식농장,한우,55,전라북도 순창군 인계면 도사1길 12,전라북도 순창군 인계면 도룡리 994번지 1호  ,063-652-7017,2022-11-10
장동양계장,종계/산란계,26000,전라북도 순창군 동계면 충효로 689-14,전라북도 순창군 동계면 신흥리 803번지  ,,2022-11-10
식균농장,한우,5,전라북도 순창군 동계면 수장3길 56-31,전라북도 순창군 동계면 수장리 88번지  ,063-652-4797,2022-11-10
빗바위농장,한우,104,,전라북도 순창군 인계면 쌍암리 199번지 외 5필지 ,,2022-11-10
신영축산,한우,110,전라북도 순창군 동계면 연산길 71,전라북도 순창군 동계면 현포리 200번지  ,,2022-11-10
신촌농장농업회사법인유한회사,종계/산란계,50000,전라북도 순창군 동계면 동계로 136-1,전라북도 순창군 동계면 현포리 105번지  ,,2022-11-10
청주농장,한우,90,,전라북도 순창군 팔덕면 산동리 373번지 1호  ,063-652-5508,2022-11-10
유정목장,젖소,80,,"전라북도 순창군 풍산면 유정리 639번지 1호 번지, 693-3번지 ",063-653-1523,2022-11-10
희나리농장,젖소,67,전라북도 순창군 적성면 충효로 146-15,전라북도 순창군 적성면 괴정리 884번지 3호  ,063-652-4908,2022-11-10
도실농장,젖소,60,전라북도 순창군 팔덕면 용두길 163,전라북도 순창군 팔덕면 덕천리 607번지  ,063-652-5663,2022-11-10
신흥목장,젖소,50,전라북도 순창군 동계면 충효로 576-6,전라북도 순창군 동계면 신흥리 600번지 3호  ,063-653-5287,2022-11-10
솔밭농장,육계,30000,,전라북도 순창군 팔덕면 구룡리 365번지 365-1번지 ,063-653-3415,2022-11-10
오작목장,젖소,80,전라북도 순창군 동계면 충효로 235-38,전라북도 순창군 동계면 서호리 501번지  ,063-653-7251,2022-11-10
광주목장,젖소,100,전라북도 순창군 금과면 담순로 745-40,전라북도 순창군 금과면 고례리 576번지  ,063-653-2366,2022-11-10
신신목장,젖소,80,전라북도 순창군 풍산면 용내길 23,전라북도 순창군 풍산면 용내리 176번지  ,063-653-5561,2022-11-10
정만농장,한우,60,,전라북도 순창군 구림면 화암리 1386번지  ,063-652-8588,2022-11-10
동주농장,한우,22,,전라북도 순창군 구림면 화암리 1344번지  ,063-652-8685,2022-11-10
병열농장,한우,102,,전라북도 순창군 구림면 구곡리 28번지  ,,2022-11-10
길수농장,한우,20,전라북도 순창군 구림면 방화로 37-19,전라북도 순창군 구림면 운남리 372번지  ,063-653-6388,2022-11-10
송죽농장,한우,70,전라북도 순창군 금과면 발산길 80-37,전라북도 순창군 금과면 발산리 산 3번지  ,,2022-11-10
초원목장,한우,118,,전라북도 순창군 순창읍 가남리 14번지  ,,2022-11-10
정식농장,한우,20,,전라북도 순창군 순창읍 신남리 741번지  ,063-653-2258,2022-11-10
종엽농장,한우,70,,"전라북도 순창군 쌍치면 종곡리 188번지 1호 198번지, 중안리 95번지 ",063-652-2828,2022-11-10
기복농장,한우,25,전라북도 순창군 쌍치면 방산1길 88-6,전라북도 순창군 쌍치면 방산리 424번지 1호  ,063-652-2453,2022-11-10
수영농장,한우,22,,전라북도 순창군 쌍치면 운암리 251번지 1호  ,063-652-2145,2022-11-10
영호농장,한우,30,,전라북도 순창군 쌍치면 종곡리 286번지  ,063-652-7533,2022-11-10
옥산농장,한우,12,전라북도 순창군 쌍치면 옥산길 46,"전라북도 순창군 쌍치면 옥산리 1180번지 1호 , 1180-2 ",063-652-8964,2022-11-10
순창농장,돼지,2700,,"전라북도 순창군 인계면 노동리 484번지 1호 482-5,482-6,484,484-2,484-7,484-9,484-13,484-14,485-6 ",,2022-11-10
신엽농장,한우,6,전라북도 순창군 풍산면 향가로 248-4,전라북도 순창군 풍산면 상촌리 393번지 5호  ,,2022-11-10
금호농장,한우,40,전라북도 순창군 동계면 아동길 39-41,전라북도 순창군 동계면 동심리 1523번지  ,,2022-11-10
무량한우농장,한우,45,,전라북도 순창군 동계면 동심리 1003번지  ,063-652-4739,2022-11-10
성균농장,한우,20,전라북도 순창군 인계면 인덕로 211,전라북도 순창군 인계면 도룡리 963번지 1호  ,063-652-7019,2022-11-10
윤규농장,한우,180,,전라북도 순창군 인계면 노동리 113번지 1호  ,063-653-3201,2022-11-10
완택농장,한우,12,,전라북도 순창군 구림면 율북리 350번지 1호  ,063-652-8586,2022-11-10
신기농장,한우,15,전라북도 순창군 순창읍 신기길 19-2,전라북도 순창군 순창읍 복실리 259번지  ,,2022-11-10
농업회사법인 유한회사 성동,돼지,2500,전라북도 순창군 동계면 충효로 592-29,전라북도 순창군 동계면 신흥리 538번지 2호  ,,2022-11-10
인식농장,젖소,70,,전라북도 순창군 인계면 노동리 599번지 12호  ,063-653-1398,2022-11-10
창영농장,한우,20,,전라북도 순창군 풍산면 삼촌리 331번지  ,063-653-3574,2022-11-10
유등농장,육계,120000,전라북도 순창군 유등면 외이3길 29-160 (~1143번지),전라북도 순창군 유등면 외이리 1140번지 ~1143번지 ,,2022-11-10
혜현목장,젖소,11,,전라북도 순창군 유등면 외이리 992번지 외 3필지 ,063-653-6409,2022-11-10
승광농장,돼지,2200,전라북도 순창군 인계면 인성로 589-10,전라북도 순창군 인계면 세룡리 210번지 1호  ,063-653-9968,2022-11-10
형래농장,한우,50,,전라북도 순창군 팔덕면 서흥리 30번지  ,063-653-5349,2022-11-10
씨알농장,돼지,3000,,전라북도 순창군 구림면 월정리 493번지  ,063-652-3814,2022-11-10
축의보감,육계,43500,,"전라북도 순창군 풍산면 한내리 890번지 2호 890-1, 890-11번지 ",063-653-0811,2022-11-10
금상농장,한우,20,,"전라북도 순창군 구림면 금창리 366번지 375번지, 376번지, 381번지, 381-1번지 ",063-653-8983,2022-11-10
대명농장,한우,50,전라북도 순창군 풍산면 죽곡2길 67-1,전라북도 순창군 풍산면 죽곡리 630번지 1호  ,063-652-5175,2022-11-10
일남농장,한우,30,전라북도 순창군 쌍치면 방산1길 63-14,전라북도 순창군 쌍치면 방산리 297번지 1호  ,063-652-2672,2022-11-10
상훈농장,한우,50,전라북도 순창군 팔덕면 광덕로 955,전라북도 순창군 팔덕면 월곡리 119번지  ,063-652-2762,2022-11-10
창의농장,한우,36,전라북도 순창군 팔덕면 백암길 55-41,전라북도 순창군 팔덕면 서흥리 834번지  ,063-652-5345,2022-11-10
일근농장,한우,29,,전라북도 순창군 쌍치면 금성리 927번지 927-2 ,,2022-11-10
다솜농장,육계,200000,전라북도 순창군 쌍치면 청정로 823-20,전라북도 순창군 쌍치면 오봉리 242번지 5호  ,,2022-11-10
원옥농장,한우,40,전라북도 순창군 쌍치면 운암길 97-26,전라북도 순창군 쌍치면 운암리 483번지  ,,2022-11-10
종길농장,한우,30,,전라북도 순창군 팔덕면 서흥리 396번지  ,,2022-11-10
둥이농장,한우,30,전라북도 순창군 인계면 인성로 20,"전라북도 순창군 인계면 도룡리 945번지 , 948 외 1필지 ",,2022-11-10
지산농장,돼지,980,,"전라북도 순창군 인계면 지산리 589번지 외 3필지(590-4, 626, 627) ",,2022-11-10
내척농장,돼지,1500,전라북도 순창군 동계면 아동길 86-9,전라북도 순창군 동계면 동심리 197번지  ,,2022-11-10
윤규농장,한우,85,전라북도 순창군 인계면 팔학길 17,"전라북도 순창군 인계면 도룡리 694번지 1호 688-3, 689-1, 689-2, 1180-11번지 ",063-652-7133,2022-11-10
화룡농장,한우,23,,전라북도 순창군 복흥면 산정리 728번지  ,063-652-8264,2022-11-10
봉춘농장,한우,16,전라북도 순창군 적성면 우계길 24-412,전라북도 순창군 적성면 내월리 214번지 8호  ,063-652-3084,2022-11-10
준호농장,한우,20,전라북도 순창군 쌍치면 방산2길 9-21,전라북도 순창군 쌍치면 방산리 360번지  ,,2022-11-10
명환농장,한우,29,전라북도 순창군 구림면 방화로 303,전라북도 순창군 구림면 방화리 641번지  ,063-652-9337,2022-11-10
양석농장,한우,45,,전라북도 순창군 구림면 율북리 176번지 176-2번지 ,063-652-9217,2022-11-10
형제농장,한우,93,,전라북도 순창군 구림면 구산리 12번지 5호 외 1필지 ,063-653-4568,2022-11-10
한길목장,젖소,93,전라북도 순창군 풍산면 용내길 20-52,전라북도 순창군 풍산면 용내리 332번지 8호  ,063-653-9633,2022-11-10
회문산농장,한우,21,,전라북도 순창군 구림면 구산리 566번지  ,,2022-11-10
청비농장,한우,100,전라북도 순창군 구림면 구림로 318-30,전라북도 순창군 구림면 운남리 1455번지 구림면 운남리 1453 ,063-652-8149,2022-11-10
금이농장,한우,11,,전라북도 순창군 구림면 운남리 866번지 1호  ,,2022-11-10
회문산한우농장,한우,40,전라북도 순창군 구림면 산내길 217,전라북도 순창군 구림면 안정리 681번지 4호  ,063-652-8925,2022-11-10
연호농장,한우,84,,"전라북도 순창군 구림면 방화리 306번지 1호 306-6, 306-8번지 ",063-653-9746,2022-11-10
한순농장,한우,30,,전라북도 순창군 구림면 방화리  ,063-652-2596,2022-11-10
부운농장,한우,60,,전라북도 순창군 구림면 운남리 951번지 1호  ,,2022-11-10
경희농장,한우,87,,전라북도 순창군 유등면 건곡리 762번지  ,,2022-11-10
갑진농장,한우,85,,전라북도 순창군 팔덕면 서흥리 735번지  ,063-653-5268,2022-11-10
영덕,한우,50,,전라북도 순창군 구림면 금창리 685번지 3호  ,063-652-8523,2022-11-10
현규,한우,40,전라북도 순창군 구림면 봉곡1길 80,전라북도 순창군 구림면 구암리 1208번지  ,063-652-8562,2022-11-10
남주,한우,10,전라북도 순창군 구림면 성곡로 1-39,전라북도 순창군 구림면 구암리 987번지  ,063-652-9015,2022-11-10
신기농장,한우,28,,전라북도 순창군 복흥면 답동리 298번지 1호  ,,2022-11-10
희망농장,한우,11,,전라북도 순창군 풍산면 죽곡리 607번지  ,063-652-9604,2022-11-10
천지농장,한우,77,전라북도 순창군 팔덕면 광덕로 768-22,전라북도 순창군 팔덕면 청계리 608번지  ,063-652-5344,2022-11-10
명식,한우,46,,전라북도 순창군 구림면 성곡리 491번지 1호 491-3 ,,2022-11-10
순창한우,한우,114,전라북도 순창군 금과면 발산길 105-38,"전라북도 순창군 금과면 발산리 산 136번지 1호 , 139번지 ",,2022-11-10
호남농장,한우,25,,전라북도 순창군 팔덕면 월곡리 214번지 5호  ,063-652-4993,2022-11-10
막쌍골 농장,한우,25,전라북도 순창군 팔덕면 광암로 348-7,전라북도 순창군 팔덕면 광암리 390번지 1호  ,063-652-4914,2022-11-10
장수목장,한우,40,전라북도 순창군 풍산면 금탄로 29-33,전라북도 순창군 풍산면 두승리 271번지  ,,2022-11-10
우성목장,한우,20,전라북도 순창군 동계면 오동길 7-30,전라북도 순창군 동계면 동심리 335번지  ,063-652-4470,2022-11-10
주영농장,한우,270,전라북도 순창군 팔덕면 신덕길 44-53,전라북도 순창군 팔덕면 장안리 778번지  ,063-652-3026,2022-11-10
우란농장,한우,13,전라북도 순창군 구림면 회문산로 252-38,전라북도 순창군 구림면 안정리 223번지  ,063-652-8466,2022-11-10
아미산농장,한우,28,전라북도 순창군 풍산면 아미로 594-9,전라북도 순창군 풍산면 죽곡리 719번지  ,063-653-5592,2022-11-10
용두목장,한우,20,전라북도 순창군 팔덕면 용두길 45-7,전라북도 순창군 팔덕면 덕천리 76번지 18호  ,063-653-2534,2022-11-10
광산축산,한우,15,전라북도 순창군 팔덕면 팔왕길 47-4,전라북도 순창군 팔덕면 산동리 448번지 2호  ,063-652-5170,2022-11-10
강부자 농장,한우,25,,전라북도 순창군 팔덕면 산동리 715번지 10호  ,063-652-5623,2022-11-10
박씨축산,한우,15,,전라북도 순창군 팔덕면 월곡리 235번지  ,063-652-7377,2022-11-10
명성농장,한우,25,,전라북도 순창군 팔덕면 월곡리 904번지  ,063-652-5122,2022-11-10
경종농장,한우,15,전라북도 순창군 팔덕면 구곡로 91-34,전라북도 순창군 팔덕면 월곡리 868번지 1호  ,,2022-11-10
