농가명,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육두수,데이터 기준일자
상호농장,한우,경상북도 포항시 남구 호미곶면 강사리 820번지 2호  ,경상북도 포항시 남구 호미곶면 호미로1133번길 53,85,2025-08-14
진영목장,한우,경상북도 포항시 남구 호미곶면 강사리 820번지 4호 외 1필지 ,경상북도 포항시 남구 호미곶면 호미로1133번길 49 (외 1필지),97,2025-08-14
유원축산,한우,경상북도 포항시 남구 호미곶면 강사리 820번지 9호  ,경상북도 포항시 남구 호미곶면 호미로1133번길 41,40,2025-08-14
진태목장,한우,경상북도 포항시 남구 호미곶면 강사리 828번지  ,경상북도 포항시 남구 호미곶면 호미로1111번길 48,33,2025-08-14
명월목장,한우,경상북도 포항시 남구 호미곶면 강사리 1031번지 6호  ,경상북도 포항시 남구 호미곶면 명월길 289,64,2025-08-14
대천목장,한우,경상북도 포항시 남구 호미곶면 대보리 95번지 1호  ,경상북도 포항시 남구 호미곶면 대천길 9-19,20,2025-08-14
보천목장,젖소,경상북도 포항시 남구 호미곶면 대보리 499번지 2호  ,경상북도 포항시 남구 호미곶면 해맞이로125번길 81,50,2025-08-14
성원목장,한우,경상북도 포항시 북구 기계면 성계리 992번지  ,경상북도 포항시 북구 기계면 성계길128번길 32,179,2025-08-14
한별목장,젖소,경상북도 포항시 북구 신광면 사정리 60번지 1호  ,경상북도 포항시 북구 신광면 신흥로 230-17,55,2025-08-14
대미농장,돼지,경상북도 포항시 북구 기계면 성계리 925번지  ,경상북도 포항시 북구 기계면 성계길128번길 34,1,2025-08-14
시골농장,종계/산란계,경상북도 포항시 북구 흥해읍 성곡리 160번지  ,경상북도 포항시 북구 흥해읍 성곡길182번길 36-1,4000,2025-08-14
성곡농장,종계/산란계,경상북도 포항시 북구 흥해읍 성곡리 170번지 1호  ,경상북도 포항시 북구 흥해읍 성곡길182번길 80,10000,2025-08-14
신계목장,한우,경상북도 포항시 남구 장기면 신계리 67번지  ,경상북도 포항시 남구 장기면 학삼길11번길 66,0,2025-08-14
대성농장,한우,경상북도 포항시 남구 장기면 방산리 522번지 1호  ,경상북도 포항시 남구 장기면 방산로 267,27,2025-08-14
대성농장,한우,경상북도 포항시 남구 장기면 방산리 528번지 2호  ,경상북도 포항시 남구 장기면 방산로 283,60,2025-08-14
만석목장,젖소,경상북도 포항시 북구 신광면 만석리 492번지  ,경상북도 포항시 북구 신광면 비학로1098번길 58-64,48,2025-08-14
농가월령가,한우,경상북도 포항시 북구 신광면 안덕리 864번지 1호  ,경상북도 포항시 북구 신광면 안덕길55번길 57-31,115,2025-08-14
반곡농장,한우,경상북도 포항시 북구 신광면 반곡리 181번지 2호  ,경상북도 포항시 북구 신광면 기반길106번길 22,24,2025-08-14
터일목장,한우,경상북도 포항시 북구 신광면 기일리 331번지  ,경상북도 포항시 북구 신광면 기반길 443-12,48,2025-08-14
거산농장,육우,경상북도 포항시 북구 기북면 율산리 64번지 1호  ,경상북도 포항시 북구 기북면 율산북길 184,40,2025-08-14
해돋이농장,한우,경상북도 포항시 남구 호미곶면 강사리 828번지 4호  ,경상북도 포항시 남구 호미곶면 호미로1111번길 44,23,2025-08-14
김명돌목장,한우,경상북도 포항시 북구 신광면 기일리 304번지 3호  ,경상북도 포항시 북구 신광면 기반길 443,30,2025-08-14
뫼뿌리농장,한우,경상북도 포항시 북구 기북면 율산리 943번지  ,경상북도 포항시 북구 기북면 율산남길 93-14,6,2025-08-14
물밤농장,한우,경상북도 포항시 북구 기북면 율산리 1062번지 7호  ,경상북도 포항시 북구 기북면 기북로416번길 45-6,5,2025-08-14
풍산농산,돼지,경상북도 포항시 북구 청하면 유계리 502번지  ,경상북도 포항시 북구 청하면 비학로 1739,3500,2025-08-14
최원식농장,한우,경상북도 포항시 북구 기북면 율산리 1064번지  ,경상북도 포항시 북구 기북면 율산남길 45,50,2025-08-14
포항축산업협동조합 생축장,한우,경상북도 포항시 북구 청하면 고현리 252번지 7호  ,경상북도 포항시 북구 청하면 고현길49번길 23-1,80,2025-08-14
기계한우농장,한우,경상북도 포항시 북구 기계면 문성리 196번지  ,경상북도 포항시 북구 기계면 새마을발상지길116번길 54,158,2025-08-14
남수농장,한우,경상북도 포항시 북구 기계면 현내리 146번지 1호  ,경상북도 포항시 북구 기계면 기동지길 55-80,30,2025-08-14
상만농장,한우,경상북도 포항시 북구 기계면 지가리 1089번지 56호  ,경상북도 포항시 북구 기계면 기계로 307,30,2025-08-14
오진농장,한우,경상북도 포항시 북구 기계면 내단리 1075번지 2호 외 1필지 ,경상북도 포항시 북구 기계면 내단길39번길 18-20,35,2025-08-14
해송목장,한우,경상북도 포항시 남구 호미곶면 대보리 620번지 3호  ,경상북도 포항시 남구 호미곶면 송림촌길 6,72,2025-08-14
명호농장,한우,경상북도 포항시 북구 기계면 현내리 142번지 3호  ,경상북도 포항시 북구 기계면 기동지길 55-77,40,2025-08-14
흥남목장,한우,경상북도 포항시 남구 장기면 창지리 558번지 1호 558-2 ,경상북도 포항시 남구 장기면 장기로781번길 33-7,46,2025-08-14
일구목장,한우,경상북도 포항시 남구 장기면 창지리 503번지  ,경상북도 포항시 남구 장기면 장기로781번길 20,19,2025-08-14
광명농장,한우,경상북도 포항시 남구 오천읍 세계리 412번지 외5필지 ,경상북도 포항시 남구 오천읍 장기로1479번길 22 (외5필지),400,2025-08-14
동은목장,젖소,경상북도 포항시 북구 기계면 현내리 1158번지 65호  ,,45,2025-08-14
하늘아래목장,젖소,경상북도 포항시 북구 기계면 지가리 1055번지 1호  ,경상북도 포항시 북구 기계면 기남길 310,40,2025-08-14
남송목장,한우,경상북도 포항시 북구 흥해읍 남송리 664번지  ,경상북도 포항시 북구 흥해읍 삼흥로502번길 16-46,30,2025-08-14
규석농장,산양,경상북도 포항시 북구 흥해읍 남송리 516번지  ,경상북도 포항시 북구 흥해읍 삼흥로502번길 86,40,2025-08-14
상완목장,젖소,경상북도 포항시 남구 장기면 신계리 505번지 1호  ,,30,2025-08-14
하정농장,한우,경상북도 포항시 남구 장기면 정천리 168번지  ,경상북도 포항시 남구 장기면 장기로1178번길 28,20,2025-08-14
성산농장,한우,경상북도 포항시 남구 장기면 방산리 373번지  ,경상북도 포항시 남구 장기면 방산로312번길 43,70,2025-08-14
베델목장,젖소,경상북도 포항시 북구 신광면 만석리 산 33번지  ,경상북도 포항시 북구 신광면 비학로1241번길 9-79,40,2025-08-14
성민목장,한우,경상북도 포항시 북구 흥해읍 성곡리 752번지 1호  ,경상북도 포항시 북구 흥해읍 동해대로1392번길 66-2,9,2025-08-14
옥종농장,돼지,경상북도 포항시 북구 기계면 계전리 176번지 외 3필지 ,경상북도 포항시 북구 기계면 계전길 145 (외 3필지),2000,2025-08-14
양백목장,젖소,경상북도 포항시 북구 흥해읍 덕성리 274번지  ,경상북도 포항시 북구 흥해읍 덕실마을길 351,90,2025-08-14
덕성목장,육우,경상북도 포항시 북구 흥해읍 덕성리 50번지  ,경상북도 포항시 북구 흥해읍 덕실마을길 301,38,2025-08-14
용곡농장,젖소,경상북도 포항시 북구 흥해읍 용전리 732번지  ,경상북도 포항시 북구 흥해읍 용연길 215-56,50,2025-08-14
한성농장,육우,경상북도 포항시 북구 흥해읍 양백리 산 31번지  ,경상북도 포항시 북구 흥해읍 용연길162번길 16-12,65,2025-08-14
진인목장,젖소,경상북도 포항시 북구 흥해읍 북송리 208번지 67호  ,경상북도 포항시 북구 흥해읍 북송길 96,71,2025-08-14
광명목장,젖소,경상북도 포항시 북구 흥해읍 학천리 600번지  ,경상북도 포항시 북구 흥해읍 도음로 733-10,60,2025-08-14
절골농장,젖소,경상북도 포항시 북구 흥해읍 학천리 596번지  ,경상북도 포항시 북구 흥해읍 도음로 733-7,48,2025-08-14
수정목장,젖소,"경상북도 포항시 북구 기계면 현내리 139번지 , 140 ",,50,2025-08-14
호골농장,젖소,경상북도 포항시 북구 기계면 현내리 4번지 1호  ,경상북도 포항시 북구 기계면 새마을로 1532,125,2025-08-14
더불농장,한우,경상북도 포항시 남구 구룡포읍 석병리 686번지 3호  ,경상북도 포항시 남구 구룡포읍 땅끝마을길 18,150,2025-08-14
윤식농장,육우,경상북도 포항시 남구 오천읍 세계리 534번지  ,,213,2025-08-14
정천농장,젖소,경상북도 포항시 남구 장기면 정천리 425번지 1호  ,경상북도 포항시 남구 장기면 장기로1287번길 16-42,43,2025-08-14
택이목장,한우,경상북도 포항시 남구 장기면 정천리 302번지  ,경상북도 포항시 남구 장기면 장기로1229번길 53,13,2025-08-14
마을농장,한우,경상북도 포항시 북구 신광면 흥곡리 697번지  ,경상북도 포항시 북구 신광면 흥곡길61번길 51,30,2025-08-14
하늘농장,한우,경상북도 포항시 북구 신광면 흥곡리 694번지  ,경상북도 포항시 북구 신광면 흥곡길61번길 31,40,2025-08-14
주명농장,종계/산란계,경상북도 포항시 북구 신광면 흥곡리 120번지 3호 외 3필지 ,경상북도 포항시 북구 신광면 비학로519번길 21 (외 3필지),0,2025-08-14
우각농장,한우,경상북도 포항시 북구 신광면 우각리 636번지 1호  ,경상북도 포항시 북구 신광면 비학로 668,60,2025-08-14
한우농장,한우,경상북도 포항시 북구 신광면 우각리 636번지  ,경상북도 포항시 북구 신광면 비학로 668,70,2025-08-14
지영농장,한우,경상북도 포항시 북구 신광면 우각리 662번지  ,경상북도 포항시 북구 신광면 비학로 668-8,34,2025-08-14
창규농장,한우,경상북도 포항시 북구 신광면 우각리 660번지  ,경상북도 포항시 북구 신광면 비학로 668-14,3,2025-08-14
대풍농원,젖소,경상북도 포항시 북구 신광면 냉수리 546번지 1호  ,경상북도 포항시 북구 신광면 비학로 494-10,80,2025-08-14
한솔농장,한우,경상북도 포항시 북구 신광면 죽성리 12번지  ,경상북도 포항시 북구 신광면 비학로 847,30,2025-08-14
토성농장,한우,경상북도 포항시 북구 신광면 상읍리 173번지 4호  ,경상북도 포항시 북구 신광면 비학로855번길 6,14,2025-08-14
청솔농장,돼지,경상북도 포항시 북구 신광면 안덕리 179번지  ,경상북도 포항시 북구 신광면 비학로963번길 42,300,2025-08-14
행운농장,한우,"경상북도 포항시 북구 신광면 상읍리 3번지 외 1필지, 4 외 1필지, 4-2 외 3필지 ","경상북도 포항시 북구 신광면 비학로963번길 50-11, 행운농장",99,2025-08-14
용산 농장,한우,경상북도 포항시 북구 기계면 내단리 672번지  ,경상북도 포항시 북구 기계면 내단길 63,10,2025-08-14
이인석 농장,한우,경상북도 포항시 북구 기계면 내단리 464번지  ,경상북도 포항시 북구 기계면 새마을로 1380,45,2025-08-14
인정 농장,한우,경상북도 포항시 북구 기계면 내단리 1088번지 44호  ,,35,2025-08-14
문성 농장,젖소,경상북도 포항시 북구 기계면 문성리 215번지  ,,49,2025-08-14
정가네농장,한우,경상북도 포항시 북구 기계면 인비리 432번지 1호  ,경상북도 포항시 북구 기계면 기남길 519-27,39,2025-08-14
조승희 농장,한우,경상북도 포항시 북구 기계면 인비리 237번지 1호 외 2필지 ,경상북도 포항시 북구 기계면 기남길523번길 33-12,28,2025-08-14
해동 농장,돼지,경상북도 포항시 북구 기북면 탑정리 343번지 2호  ,경상북도 포항시 북구 기북면 비학산길 164-13,3000,2025-08-14
가나안 목장,젖소,"경상북도 포항시 북구 신광면 우각리 606번지 3호 ,614 ",경상북도 포항시 북구 신광면 비학로720번길 39-5,60,2025-08-14
뜰농장,한우,경상북도 포항시 북구 신광면 냉수리 416번지  ,경상북도 포항시 북구 신광면 비학로438번길 77-41,62,2025-08-14
우촌 농장,한우,경상북도 포항시 북구 신광면 상읍리 5번지 2호  ,경상북도 포항시 북구 신광면 비학로963번길 34,80,2025-08-14
들판의추억목장,육우,경상북도 포항시 북구 신광면 냉수리 449번지 1호  ,경상북도 포항시 북구 신광면 비학로438번길 77-60,30,2025-08-14
은상농장,한우,경상북도 포항시 북구 청하면 필화리 285번지 1호  ,경상북도 포항시 북구 청하면 미남길 93-27,59,2025-08-14
미남농장,한우,경상북도 포항시 북구 청하면 미남리 13번지 6호  ,경상북도 포항시 북구 청하면 미남길 80,55,2025-08-14
진생농장,한우,경상북도 포항시 북구 죽장면 두마리 783번지  ,경상북도 포항시 북구 죽장면 면봉산길 806-40,36,2025-08-14
안동농원,한우,경상북도 포항시 북구 기북면 율산리 45번지  ,,11,2025-08-14
이삭농장,종계/산란계,경상북도 포항시 북구 기계면 내단리 720번지  ,경상북도 포항시 북구 기계면 새마을로 1444-28,35000,2025-08-14
봉계목장,한우,경상북도 포항시 북구 기계면 봉계리 257번지 3호  ,경상북도 포항시 북구 기계면 봉계길 82,48,2025-08-14
미영농장,한우,경상북도 포항시 북구 기계면 학야리 186번지 1호  ,경상북도 포항시 북구 기계면 학야길 177,50,2025-08-14
성진농장,한우,경상북도 포항시 북구 기계면 학야리 187번지  ,경상북도 포항시 북구 기계면 학야길215번길 7-27,15,2025-08-14
연관목장,한우,경상북도 포항시 북구 기계면 학야리 297번지 2호  ,경상북도 포항시 북구 기계면 학야길126번길 12,0,2025-08-14
대림농장,육우,경상북도 포항시 북구 기계면 현내리 605번지  ,경상북도 포항시 북구 기계면 새마을발상지길 41-10,35,2025-08-14
삼봉농장,한우,경상북도 포항시 북구 기계면 화대리 631번지 9호  ,경상북도 포항시 북구 기계면 기동지길 137-35,30,2025-08-14
하나농장,한우,경상북도 포항시 북구 기계면 현내리 1095번지 2호  ,경상북도 포항시 북구 기계면 기계로212번길 36,33,2025-08-14
장동농장,한우,경상북도 포항시 북구 흥해읍 금장리 438번지 1호 외 1필지 ,경상북도 포항시 북구 흥해읍 용금길 183-39 (외 1필지),70,2025-08-14
갑을농장,한우,경상북도 포항시 북구 신광면 우각리 454번지  ,경상북도 포항시 북구 신광면 비학로 742,100,2025-08-14
세천농장,한우,경상북도 포항시 북구 신광면 죽성리 42번지  ,경상북도 포항시 북구 신광면 비학로 823,94,2025-08-14
죽성농장,한우,경상북도 포항시 북구 신광면 죽성리 76번지 5호  ,경상북도 포항시 북구 신광면 죽성길 23,65,2025-08-14
황제농장,한우,경상북도 포항시 북구 청하면 서정리 707번지 9호  ,,17,2025-08-14
명암축산,돼지,경상북도 포항시 북구 청하면 명안리 274번지 1호  ,경상북도 포항시 북구 청하면 비학로 1614,1000,2025-08-14
은혜목장,젖소,경상북도 포항시 북구 송라면 하송리 146번지 39호  ,경상북도 포항시 북구 송라면 동해대로2732번길 49,48,2025-08-14
영일목장,젖소,경상북도 포항시 북구 기계면 성계리 819번지  ,,50,2025-08-14
우창축산,육계,"경상북도 포항시 남구 장기면 학계리 234번지 , 237 ",경상북도 포항시 남구 장기면 학삼길217번길 46,83071,2025-08-14
퉁기미농장,한우,경상북도 포항시 남구 장기면 정천리 261번지 1호  ,경상북도 포항시 남구 장기면 장기로1288번길 35,40,2025-08-14
영진목장,한우,경상북도 포항시 남구 장기면 대곡리 380번지 1호  ,경상북도 포항시 남구 장기면 장기로943번길 52,24,2025-08-14
신평농장,한우,경상북도 포항시 남구 장기면 신창리 637번지  ,경상북도 포항시 남구 장기면 읍내길16번길 197-1,6,2025-08-14
오남매농장,한우,경상북도 포항시 남구 장기면 읍내리 361번지 105호  ,경상북도 포항시 남구 장기면 읍내길77번길 71,29,2025-08-14
장기농장,한우,경상북도 포항시 남구 장기면 읍내리 331번지  ,경상북도 포항시 남구 장기면 읍내길77번길 83,150,2025-08-14
토성농장,한우,경상북도 포항시 북구 신광면 토성리 516번지  ,경상북도 포항시 북구 신광면 신흥로 61-18,30,2025-08-14
성은농장,한우,경상북도 포항시 북구 신광면 토성리 84번지  ,경상북도 포항시 북구 신광면 신흥로 86,36,2025-08-14
우각농장,한우,경상북도 포항시 북구 신광면 우각리 857번지  ,경상북도 포항시 북구 신광면 비학로 558-22,20,2025-08-14
기일목장,한우,경상북도 포항시 북구 신광면 기일리 299번지 1호  ,경상북도 포항시 북구 신광면 기반길 433-5,20,2025-08-14
용기농장,육우,경상북도 포항시 북구 기북면 용기리 128번지  ,,11,2025-08-14
우복농장,한우,경상북도 포항시 남구 연일읍 우복리 335번지 1호  ,경상북도 포항시 남구 연일읍 남성길1번길 125-17,62,2025-08-14
연우꼴 농장,한우,경상북도 포항시 남구 연일읍 우복리 479번지  ,경상북도 포항시 남구 연일읍 연일로360번길 95-9,100,2025-08-14
택배농장,한우,경상북도 포항시 남구 장기면 산서리 1030번지  ,경상북도 포항시 남구 장기면 산서길209번길 91,26,2025-08-14
장동농장,한우,경상북도 포항시 남구 대송면 장동리 591번지 1호  ,경상북도 포항시 남구 대송면 장동홍계길 246-6,24,2025-08-14
장수농원,한우,경상북도 포항시 북구 신광면 사정리 306번지 3호  ,,48,2025-08-14
동해농장,한우,경상북도 포항시 남구 구룡포읍 성동리 210번지  ,경상북도 포항시 남구 구룡포읍 정동길 133-53,37,2025-08-14
대림목장,한우,경상북도 포항시 남구 구룡포읍 삼정리 865번지  ,경상북도 포항시 남구 구룡포읍 공개산길 134-10,16,2025-08-14
삼정농장,한우,경상북도 포항시 남구 구룡포읍 삼정리 136번지  ,경상북도 포항시 남구 구룡포읍 일출로 103-20,10,2025-08-14
구평농장,한우,경상북도 포항시 남구 구룡포읍 구평리 1125번지 2호  ,경상북도 포항시 남구 구룡포읍 동해안로4287번길 219,20,2025-08-14
창신농장,한우,경상북도 포항시 남구 동해면 상정리 284번지  ,경상북도 포항시 남구 동해면 상정길 3-19,24,2025-08-14
비학농장,한우,경상북도 포항시 북구 청하면 서정리 산 54번지  ,,60,2025-08-14
명안농장,한우,경상북도 포항시 북구 청하면 명안리 540번지  ,,50,2025-08-14
청하 에그린,종계/산란계,경상북도 포항시 북구 청하면 고현리 25번지 1호  ,경상북도 포항시 북구 청하면 동해대로 2255,0,2025-08-14
내단농장,한우,경상북도 포항시 북구 기계면 내단리 1088번지 415호  ,경상북도 포항시 북구 기계면 새마을로1525번길 121-13,35,2025-08-14
류림농장,한우,경상북도 포항시 북구 기계면 미현리 217번지 4호  ,경상북도 포항시 북구 기계면 기동지길 644,19,2025-08-14
대왕목장,젖소,경상북도 포항시 북구 기계면 고지리 510번지 2호  ,경상북도 포항시 북구 기계면 기남길149번길 52-47,100,2025-08-14
대왕목장,젖소,경상북도 포항시 북구 기계면 고지리 428번지  ,경상북도 포항시 북구 기계면 기남길149번길 52-57,18,2025-08-14
정자농장,한우,경상북도 포항시 북구 죽장면 정자리 388번지  ,경상북도 포항시 북구 죽장면 새마을로2940번길 25,24,2025-08-14
월평농장,한우,경상북도 포항시 북구 죽장면 월평리 240번지  ,경상북도 포항시 북구 죽장면 새마을로 4121,17,2025-08-14
흥곡목장,한우,경상북도 포항시 북구 흥해읍 곡강리 977번지  ,경상북도 포항시 북구 흥해읍 한동로592번길 7,33,2025-08-14
우리농장,돼지,경상북도 포항시 남구 구룡포읍 성동리 549번지 외1필지 ,경상북도 포항시 남구 구룡포읍 정동길 133-50,900,2025-08-14
활농장,한우,경상북도 포항시 북구 신광면 우각리 477번지  ,경상북도 포항시 북구 신광면 비학로 730,65,2025-08-14
무진농장,한우,경상북도 포항시 북구 기계면 화대리 650번지 26호  ,경상북도 포항시 북구 기계면 기동지길 155,11,2025-08-14
덕성농장,한우,경상북도 포항시 북구 기계면 화대리 650번지 10호 외1필지 ,경상북도 포항시 북구 기계면 기동지길 147,0,2025-08-14
무수농장,한우,경상북도 포항시 북구 기계면 화대리 123번지  ,경상북도 포항시 북구 기계면 화대길114번길 30,50,2025-08-14
태야농장,한우,경상북도 포항시 북구 기계면 인비리 68번지  ,경상북도 포항시 북구 기계면 새마을로 2188,24,2025-08-14
세종농장,한우,경상북도 포항시 북구 기계면 인비리 440번지 12호  ,경상북도 포항시 북구 기계면 기남길 519-30,37,2025-08-14
금곡농장,한우,경상북도 포항시 남구 장기면 금곡리 422번지  ,경상북도 포항시 남구 장기면 신창길191번길 67,100,2025-08-14
송골농장,한우,경상북도 포항시 남구 장기면 금곡리 590번지  ,경상북도 포항시 남구 장기면 신창길191번길 109-13,30,2025-08-14
동원목장,한우,경상북도 포항시 남구 장기면 창지리 551번지 2호  ,경상북도 포항시 남구 장기면 장기로781번길 9-14,28,2025-08-14
신흥농장,한우,경상북도 포항시 남구 호미곶면 강사리 739번지  ,경상북도 포항시 남구 호미곶면 호미로1111번길 29,30,2025-08-14
해돋이 농장II,한우,경상북도 포항시 남구 호미곶면 강사리 738번지  ,경상북도 포항시 남구 호미곶면 호미로1111번길 33,50,2025-08-14
