농장명,축종,농장주소, 사육두수 ,사업장 위도,사업장 경도
정정광농장,한우,강원도 양양군 현북면 중광정리 356, 3 ,,
엄기창농장,한우,강원도 양양군 현북면 중광정리 131-25, 14 ,38.0335642864,128.7048843932
함정호농장,한우,강원도 양양군 손양면 가평리 215-1, 19 ,38.0951277414,128.6469069090
박용후농장,한우,강원도 양양군 손양면 금강리 100, 2 ,38.0855685484,128.6481652773
김기석농장,한우,강원도 양양군 손양면 상양혈리 169-4, 7 ,,
최미현농장,한우,강원도 양양군 손양면 상왕도리 623-1, 18 ,,
김남형농장,한우,강원도 양양군 손양면 송현리 354-10, 4 ,,
김종길농장,한우,강원도 양양군 손양면 우암리 67-6, 6 ,,
진상복농장,한우,강원도 양양군 손양면 주리 450, 3 ,38.0376194335,128.6435798657
진상준농장,한우,강원도 양양군 손양면 주리 437-1, 4 ,38.0367880362,128.6420923292
윤길희농장,한우,강원도 양양군 손양면 주리 437-1, 9 ,38.0367880362,128.6420923292
홍성준농장,한우,강원도 양양군 손양면 하양혈리 242-1, 1 ,38.0384385560,128.6745009998
김종환농장,한우,강원도 양양군 손양면 하왕도리 213, 3 ,,
맹순이농장,한우,강원도 양양군 강현면 정암리 448-83, 4 ,38.1482894092,128.6085740636
서아목장,한우,강원도 양양군 강현면 강선리 762  , 108 ,38.1552086885,128.5876733573
송우목장,한우,강원도 양양군 강현면 강선리 123-6, 9 ,38.1527495014,128.5980749728
수호목장,한우,강원도 양양군 강현면 하복리 600, 6 ,,
정보목장,한우,강원도 양양군 강현면 강선리 144-12, 6 ,38.1540254056,128.5953934985
강선목장,한우,강원도 양양군 강현면 강선리 53-1, 2 ,,
금풍목장,한우,강원도 양양군 강현면 금풍리 145, 6 ,38.1083070706,128.6053774849
금풍목장,한우,강원도 양양군 강현면 금풍리 231-1, 2 ,38.1086930391,128.5988412528
상만목장,한우,강원도 양양군 강현면 석교리 150, 7 ,,
영웅목장,한우,강원도 양양군 강현면 석교리 86, 7 ,38.1250128192,128.5738474563
진환목장,한우,강원도 양양군 강현면 석교리 11, 2 ,,
용균목장,한우,강원도 양양군 강현면 석교리 77, 4 ,38.1253644771,128.5728339184
상길목장,한우,강원도 양양군 강현면 석교리 208, 3 ,38.1254901961,128.5717869018
김완달목장,한우,강원도 양양군 강현면 장산리 483-4, 3 ,38.1362320049,128.5881670428
정재목장,한우,강원도 양양군 강현면 장산리 178-10, 5 ,38.1402263195,128.5924137551
소목장,한우,강원도 양양군 강현면 주청리 78-2, 7 ,,
연혁목장,한우,강원도 양양군 강현면 침교리 151-2, 32 ,38.1239028520,128.5869867791
김종범목장,한우,강원도 양양군 강현면 회룡리 184-4, 7 ,38.1360650565,128.5782993705
덕모목장,한우,강원도 양양군 강현면 회룡리 232-5, 4 ,38.1350754801,128.5756104834
이기한농장,한우,강원도 양양군 양양읍 감곡리 189, 4 ,38.0971965585,128.6086082690
석병구농장,한우,강원도 양양군 양양읍 내곡리 86-2, 2 ,38.0758052065,128.6099406218
강찬규농장,한우,강원도 양양군 양양읍 조산리 484-1, 2 ,,
박흥기농장,한우,강원도 양양군 양양읍 청곡리 396-2, 14 ,38.0828658612,128.6213961067
김동석농가,한우,강원도 양양군 양양읍 포월리 165-1, 6 ,38.1037620682,128.6279835292
김용운농장,한우,강원도 양양군 양양읍 화일리 327, 4 ,38.1015840073,128.5712375823
정암토종닭,한우,강원도 양양군 강현면 정암리 199-2, 5 ,38.1326006741,128.6111242307
양양한우고급육생산단지,한우,강원도 양양군 서면 상평리 715, 4 ,,
진평목장,한우,강원도 양양군 강현면 정암리 908-1, 32 ,38.1429394967,128.6085163323
정승농장,한우,강원도 양양군 강현면 중복리 79-5, 13 ,38.1375093366,128.5704047256
목부원우리농장,한우,강원도 양양군 서면 논화리 253, 10 ,38.0657426012,128.5642948642
오성남농장,한우,강원도 양양군 현북면 장리 105-1, 19 ,37.9996425804,128.6413505744
송아지 생산 기지화 사업장,한우,강원도 양양군 손양면 삽존리 52-3, 239 ,38.0282169428,128.6379028810
김기현농장,한우,강원도 양양군 강현면 정암리 448-65, 2 ,38.1484429297,128.6085594124
대명농장,한우,강원도 양양군 손양면 주리 448, 2 ,38.0371420197,128.6436229537
청산목장1,한우,강원도 양양군 양양읍 감곡리 6, 100 ,38.0939524056,128.6206290829
우영목장,한우,강원도 양양군 양양읍 감곡리 455, 5 ,38.0982502082,128.5955061419
안골농장,한우,강원도 양양군 강현면 침교리 41-4, 3 ,38.1182136355,128.5919556667
이화농장,한우,강원도 양양군 서면 용천리 438-7, 3 ,38.0532965695,128.6017166350
홍가네농장,한우,강원도 양양군 손양면 수여리 291-1, 3 ,38.0744799914,128.6496870044
근화농장,한우,강원도 양양군 손양면 우암리 68, 2 ,38.0405752011,128.6417462467
고노골농장,한우,강원도 양양군 손양면 상왕도리 618-4, 2 ,,
오색령농장,한우,강원도 양양군 현남면 죽리 258-2, 2 ,37.9753156322,128.7392408438
순찬농장,한우,강원도 양양군 현남면 광진리 109, 5 ,37.9519805695,128.7656184122
손양목장,한우,강원도 양양군 손양면 상왕도리 620, 3 ,38.0561825896,128.6267421061
하늘농장,한우,강원도 양양군 강현면 회룡리 598-6, 5 ,38.1314413880,128.5676515961
드림농장,한우,강원도 양양군 강현면 장산리 710, 4 ,38.1433911272,128.5941111808
초송전,한우,강원도 양양군 강현면 회룡리 598-6, 4 ,38.1314413880,128.5676515961
복골농장1,한우,강원도 양양군 강현면 침교리 607, 94 ,38.1228234713,128.5823871459
목우원 우리농장,한우,강원도 양양군 서면 논화리 335, 10 ,38.0722737467,128.5603800421
황시헌농장,한우,강원도 양양군 서면 영덕리 436, 6 ,38.0051749828,128.5406431198
말곡농장(장경철),한우,강원도 양양군 현북면 말곡리 17-3, 90 ,38.0276028791,128.6934741047
한우사랑1농장(김남곤),한우,강원도 양양군 현북면 말곡리 158  , 80 ,,
설악한우2,한우,강원도 양양군 현남면 죽리 258-3, 80 ,37.9753156322,128.7392408438
설악한우5,한우,강원도 양양군 현남면 죽리 258-2, 50 ,37.9753156322,128.7392408438
설악한우4,한우,강원도 양양군 현남면 죽리 258-4  , 50 ,,
상운농장,한우,강원도 양양군 손양면 상운리 371-3, 2 ,38.0416315754,128.6853643559
대흥농장2,한우,강원도 양양군 양양읍 송암리 463  , 9 ,38.0920528712,128.6340036952
강산농장,한우,강원도 양양군 강현면 장산리 100-1, 15 ,38.1461184912,128.5968605261
우암농장,한우,강원도 양양군 손양면 상왕도리 253-1, 2 ,38.0403183007,128.6378386079
상복농장,한우,강원도 양양군 강현면 상복리 460, 6 ,,
강개농장2,한우,강원도 양양군 강현면 정암리 936-8  , 92 ,,
대흥농장2,한우,강원도 양양군 양양읍 송암리 469, 5 ,38.0920528712,128.6340036952
김정웅,한우,강원도 양양군 강현면 회룡리 184-3, 12 ,38.1360650565,128.5782993705
유영한우,한우,강원도 양양군 서면 용천리 400-1, 20 ,,
설악한우3,한우,강원도 양양군 현남면 죽리 270-2, 6 ,37.9740904708,128.7368963187
설악한우1,한우,강원도 양양군 현남면 죽리 262, 200 ,,
미래농장 2.0,한우,강원도 양양군 강현면 장산리 784-2(주1), 5 ,,
하은농장,한우,강원도 양양군 강현면 장산리 139-1, 6 ,,
산골농장,한우,강원도 양양군 강현면 정암리 261, 100 ,,
목부원우리농장2,한우,강원도 양양군 서면 논화리 335-2, 10 ,,
금풍농장,한우,강원도 양양군 강현면 금풍리 170, 12 ,,
실론농장2,한우,강원도 양양군 손양면 주리 246(다동), 4 ,38.0376362042,128.6520989291
성원농장,한우,"강원도 양양군 양양읍 청곡리 131,  ", 15 ,38.0874613787,128.6224251789
황태골농장,한우,강원도 양양군 현남면 후포매리 37, 20 ,37.9497100638,128.7566331501
공수전마을회(정철희),한우,강원도 양양군 서면 공수전리 60-1, 58 ,38.0397505563,128.5572273479
벽실농장,한우,강원도 양양군 서면 논화리 288, 3 ,38.0715402372,128.5627493925
포월농장,한우,강원도 양양군 양양읍 포월리 207-4, 32 ,,
소목원2농장,한우,강원도 양양군 손양면 여운포리 149, 25 ,38.0311214766,128.6896586386
조산목장,한우,강원도 양양군 양양읍 조산리 725-15, 35 ,38.1026490194,128.6385502086
설악한우Ⅲ,한우,강원도 양양군 현남면 죽리 270-2, 100 ,37.9740904708,128.7368963187
김용월농장,한우,강원도 양양군 강현면 강선리 151-1, 2 ,38.1543357668,128.5971011110
방축골농장,한우,강원도 양양군 현남면 지리 84-6, 8 ,,
뉴금풍농장,한우,강원도 양양군 강현면 금풍리 19-2, 12 ,,
도평뜰농장,한우,강원도 양양군 양양읍 조산리 725-7, 12 ,38.1030284411,128.6376462157
호수농장2,한우,강원도 양양군 서면 영덕리 459, 24 ,,
대영농장,한우,강원도 양양군 강현면 강선리 115, 2 ,38.1528799747,128.5976289167
설악한우6,한우,강원도 양양군 현남면 죽리 258-4, 30 ,,
전상민농장,한우,강원도 양양군 현남면 인구리 463-1, 5 ,37.9647856027,128.7483312156
왕진성농장,한우,강원도 양양군 양양읍 화일리 280-1, 3 ,,
미래농장,한우,강원도 양양군 강현면 정암리 562-31, 73 ,38.1479886821,128.5992838170
조산목장,돼지,강원도 양양군 양양읍 포월리 205, 700 ,38.1078459042,128.6279356604
채움농장2,돼지,강원도 양양군 손양면 삽존리 26," 1,100 ",38.0223308278,128.6353767682
채움농장,돼지,강원도 양양군 손양면 삽존리 27," 2,080 ",38.0220475799,128.6367119296
농업회사법인주식회사돈이월드,돼지,강원도 양양군 손양면 삽존리 7  ," 7,393 ",38.0248594398,128.6435177983
단성축산,돼지,강원도 양양군 손양면 삽존리 38, 800 ,38.0233066272,128.6411093214
우정피그몰,돼지,강원도 양양군 손양면 삽존리 29-1," 2,200 ",38.0219450182,128.6391591148
양지농장,돼지,강원도 양양군 손양면 삽존리 13," 1,800 ",38.0204674282,128.6434008855
지훈농장,돼지,강원도 양양군 손양면 삽존리 33," 1,500 ",38.0222793947,128.6408583106
지훈농장2,돼지,강원도 양양군 손양면 삽존리 33, 800 ,38.0222793947,128.6408583106
이언농장,돼지,강원도 양양군 손양면 삽존리 24," 2,000 ",38.0216048488,128.6392828332
골짜구니 농장,산양,강원도 양양군 서면 서림리 353-1, 100 ,37.9639746501,128.5159793877
벽실농장,산양,강원도 양양군 강현면 하복리 630, 200 ,38.1562652009,128.5739811659
임호흑염소농장,산양,강원도 양양군 현남면 임호정리 336, 900 ,,
황경근농장,사슴,강원도 양양군 서면 논화리 55, 90 ,,
고인돌농원,산양,강원도 양양군 서면 범부리 366-1, 30 ,38.0526921227,128.5797661323
장수장목반,산양,강원도 양양군 양양읍 거마리 160, 2 ,38.0840112070,128.5881332366
골짜구니농장,염소,강원도 양양군 서면 서림리 368-6, 150 ,,
김종문농장,염소,강원도 양양군 손양면 상양혈리 169-5, 20 ,,
설악농장2,염소,강원도 양양군 강현면 하복리 113, 60 ,38.1376739900,128.5783152137
농업회사법인양떼구름(주),산양,강원도 양양군 강현면 적은리 84, 4 ,38.1190305337,128.5965861441
염소농장,염소,강원도 양양군 현남면 주리 산 133-1, 50 ,,
서가네염소농장,염소,강원도 양양군 현남면 남애리 306-3, 30 ,,
솔밭농장,산양,강원도 양양군 손양면 수여리 290, 100 ,38.0744252497,128.6512113164
준농장,염소,강원도 양양군 양양읍 포월리 38-1, 21 ,,
상월천농장,염소,강원도 양양군 현남면 상월천리 166, 35 ,,
광산목장,염소,강원도 양양군 손양면 삽존리 53-1, 25 ,38.0297017996,128.6384709949
