연번,사업장명,축종,주소,사육두수,오폐수처리시설
59,전원농장,돼지,경상북도 영천시 청통면 금송로 85725,4018,자원화시설 정화시설 위탁처리
60,태하축산,돼지,경상북도 영천시 화북면  자천리 23007,819,자원화시설 위탁처리 
61,환희농장,돼지,경상북도 영천시 화북면 연지안길 1921,1495,자원화시설 위탁처리 
62,새우리농장,돼지,경상북도 영천시 임고면 운주로 242113,3158,자원화시설 위탁처리
63,석산3농장,돼지,경상북도 영천시 고경면 호국로 575262,4711,자원화시설 위탁처리 
64,더불어농장,돼지,경상북도 영천시 고경면 모시밭길 118,2357,자원화시설 위탁처리
65,청산농장,돼지,경상북도 영천시 고경면 청정길 1187,2263,차원화시설 위탁처리
66,용천농장,돼지,경상북도 영천시 청통면 용내길 21525,947,자원화시설 위탁처리
67,장원농장,돼지,경상북도 영천시 청통면 용천리 201,6229,자원화시설 정화시설 위탁처리 
68,G farm CS,돼지,경상북도 영천시 청통면 금송로 71119,2581,자원화시설 위탁처리
69,민지농장,돼지,경상북도 영천시 신녕면 가천리 50102,1040,자원화시설 
70,농업회사법인 주식회사 산수골 영천지점,돼지,경상북도 영천시 화남면 월곡길 280,  ,정화시설 위탁처리 
71,성실농장,돼지,경상북도 영천시 금호읍 거여로 36085,9229,자원화시설 정화시설 위탁처리 
72,육일농장,돼지,경상북도 영천시 대창면 성갈길 59,2826,자원화시설
73,신대농장,돼지,경상북도 영천시 북안면 운북로 158834,845,자원화시설 위탁처리 
74,석산농장,돼지,경상북도 영천시 고경면 상계로 129,1290,자원화시설 위탁처리 
75,푸르담농장,돼지,경상북도 영천시 고경면 거곡로 287,1216,자원화시설 
76,계명농장,돼지,경상북도 영천시 청통면 신덕길 62,330,자원화시설 위탁처리
77,(주)새빛농장,돼지,경상북도 영천시 대창면 영지길 12795,5513,자원화시설
78,대성농장,돼지,경상북도 영천시 고경면 창상리 18417,900,자원화시설 위탁처리
79,미래농장,돼지,경상북도 영천시 청통면 애련길 12034,200,자원화시설 위탁처리
