농장명,행정동명,소재지주소,축종,사육두수,관리기관명,데이터기준일자
농장,양촌면,충청남도 논산시 양촌면 반암리 160-2,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 명암리 237,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 장전리 410-1,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 대명리 751-2,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 삼전리 275,한우,3,충청남도 논산시 축수산과,2024-09-30
김** 축사,양촌면,충청남도 논산시 양촌면 신기리 46-4,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 장구리 57,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 항월리 383-1,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 반곡리 184-1,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 원봉리 323,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 두사리 75-23,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 양촌리 314-2,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 거사리 97,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 마산리 122,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 안심리 403-10,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 정지리 349-1,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 죽림리 73-1,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 외성리 248번지,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 반송리 182,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,벌곡면,충청남도 논산시 벌곡면 대덕리 475,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 마산리 200-10,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 도평리 265-2,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 양촌리 324,한우,4,충청남도 논산시 축수산과,2024-09-30
까치목장,성동면,충청남도 논산시 성동면 병촌리 240-1,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,채운면,충청남도 논산시 채운면 장화리 114-2,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 외성리 217,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,벌곡면,충청남도 논산시 벌곡면 도산리 177번-1,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 원남리 939-6,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 신당리 188-4,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 육곡리 11,한우,4,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 두사리 16-10,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 산직리 142-3,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 등리 324-2,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 황화정리 570-37,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 정지리 183-2,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 정지리 118-9,한우,5,충청남도 논산시 축수산과,2024-09-30
버섯한우,연산면,충청남도 논산시 연산면 덕암리 303,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 덕평리 331,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 고내리 1098,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 임리 60,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 황화정리 산26-10,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 교촌리 118-2,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 삼전리 194-4,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 강청리 371,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 소룡리 491-2,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 정지리 265,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 학당리 288-4,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 상도리 332번지 1,한우,5,충청남도 논산시 축수산과,2024-09-30
석정이네 한우,연산면,충청남도 논산시 연산면 송산리 534-15,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 임리 57-1,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 원남리 734,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 양촌리 386,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 반암리 157-1,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 반암리 76-1,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 백석리 159,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 등리 381,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 가곡리 310,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 오강리 228,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 야촌리 262-4,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 두사리 75-17,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 중산리 93,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 교촌리 40,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 야촌리 401-4,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 마산리 505-32,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 반송리 479-8,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 중산리 785-2,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 신당리 29-1,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 임리 300,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 중리 110-15,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 원북리 363,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 동산리 562,한우,5,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 신충리 산11-6,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 우곤리 302-1,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 황화정리 200-46,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 아호리 167-1,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 병사리 399,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 안심리 235,산양,6,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 충곡리 23번지 4,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 신교리 577번지,한우,6,충청남도 논산시 축수산과,2024-09-30
김** 축사,광석면,충청남도 논산시 광석면 득윤리 500-7,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,벌곡면,충청남도 논산시 벌곡면 검천리 401,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 임화리 592,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 명암리 349-1,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 장구리 84-10,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 외성리 497-30,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 육곡리 388,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 왕암리 140-4,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,은진면,충청남도 논산시 은진면 와야리 56-2,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 신당리 473,한우,6,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 등리 335,한우,7,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 장전리 615,한우,7,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 우곤리 441-1,한우,7,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 육곡리 356-6,한우,7,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 덕암리 135-1,한우,7,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 반암리 366-6,한우,7,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 왕암리 333-1,한우,7,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 원북리 557,한우,7,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 덕평리 245,한우,7,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 대명리 44번지,한우,7,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 석종리 260번지 16,한우,7,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 아호리 700-1,한우,7,충청남도 논산시 축수산과,2024-09-30
청룡축산,광석면,충청남도 논산시 광석면 산동리 68-1,한우,7,충청남도 논산시 축수산과,2024-09-30
에벤에셀 축사,연무읍,충청남도 논산시 연무읍 신화리 1352-2,한우,7,충청남도 논산시 축수산과,2024-09-30
까치목장,성동면,충청남도 논산시 성동면 병촌리 225-2,한우,7,충청남도 논산시 축수산과,2024-09-30
윤** 축사,노성면,충청남도 논산시 노성면 송당리 257-5,한우,7,충청남도 논산시 축수산과,2024-09-30
이** 축사,상월면,충청남도 논산시 상월면 상도리 161-3,염소,7,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 신양리 466-1,한우,7,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 이사리 250-5,한우,7,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 오산리 189-1,한우,7,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 명암리 404-2,한우,7,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 고정리 85-1,한우,8,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 원봉리 504-1,한우,8,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 야촌리 47-1,한우,8,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 고내리 1113-2,한우,8,충청남도 논산시 축수산과,2024-09-30
농장,강경읍,충청남도 논산시 강경읍 채운리 216,산양,8,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 월성리 320,한우,8,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 외성리 373번지 1,한우,8,충청남도 논산시 축수산과,2024-09-30
농장,벌곡면,충청남도 논산시 벌곡면 수락리 79-2,한우,8,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 양촌리 398,한우,8,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 임화리 609-4,한우,8,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 반암리 119,한우,8,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 인천리 389-1,한우,8,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 이사리 226-13,한우,8,충청남도 논산시 축수산과,2024-09-30
김** 축사,벌곡면,충청남도 논산시 벌곡면 어곡리 213-1,한우,8,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 대명리 345,한우,8,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 원북리 129,한우,9,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 율리 141-4,한우,9,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 양촌리 207,한우,9,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 임화리 396,한우,9,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 마구평리 384-1,한우,9,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 황화정리 570-18,한우,9,충청남도 논산시 축수산과,2024-09-30
고향건강원,가야곡면,충청남도 논산시 가야곡면 목곡리 81,사슴,9,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 화곡리 169,한우,9,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 금곡리 242-2,한우,9,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 죽림리 산35-34,한우,9,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 마전리 886번,한우,10,충청남도 논산시 축수산과,2024-09-30
신화목장,연무읍,충청남도 논산시 연무읍 신화리 109-2,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 정지리 124,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,지산동,충청남도 논산시 지산동 718-1,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 양촌리 276,한우,10,충청남도 논산시 축수산과,2024-09-30
대둔산목장,벌곡면,충청남도 논산시 벌곡면 도산리 110,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 황화정리 670-1,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 정지리 374,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 탑정리 126-1,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 학당리 375-7,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 한천리 68-12,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 화악리 228-3,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 반암리 378-3,사슴,10,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 정지리 330-4,한우,10,충청남도 논산시 축수산과,2024-09-30
농장,채운면,충청남도 논산시 채운면 심암리 261-2,한우,10,충청남도 논산시 축수산과,2024-09-30
