시군구명,사업장명칭,소재지주소(사업장),영업상태,영업상태코드,주사육업종,등록허가구분,시설면적(제곱미터),데이터기준일자
무주군,대불리목장,전북특별자치도 무주군 설천면 대불리 351번지 외 1필지 ,정상,1,한우,허가,357.6,2026-01-05
무주군,무주농장,전북특별자치도 무주군 적상면 삼가리 379번지  ,정상,1,돼지,허가,3841.53,2026-01-05
무주군,윤ㅇㅇ목장,전북특별자치도 무주군 적상면 사산리 964번지 1호  ,폐업,3,한우,등록 ,528,2026-01-05
무주군,사기정골목장,전북특별자치도 무주군 적상면 삼가리 1814번지  ,정상,1,한우,허가,448,2026-01-05
무주군,삼유목장,전북특별자치도 무주군 적상면 삼유리 574번지 1  호  ,정상,1,젖소,등록 ,1284,2026-01-05
무주군,금평양계농장,전북특별자치도 무주군 안성면 금평리 2134번지 5호  ,정상,1,육계,허가,1791,2026-01-05
무주군,이ㅇㅇ목장,전북특별자치도 무주군 무주읍 가옥리 299번지  ,정상,1,한우,허가,542.56,2026-01-05
무주군,신ㅇㅇ목장,전북특별자치도 무주군 적상면 삼가리 522번지 1호  ,정상,1,한우,등록 ,725,2026-01-05
무주군,동순목장,전북특별자치도 무주군 무풍면 철목리 314번지 3호  ,폐업,3,한우,등록 ,468,2026-01-05
무주군,대원농장,전북특별자치도 무주군 적상면 삼가리  ,정상,1,돼지,허가,2839.23,2026-01-05
무주군,아란농장,"전북특별자치도 무주군 안성면 공진리 608번지 1호 608-3,709-1,704-7 ",폐업,3,돼지,허가,1205.83,2026-01-05
무주군,소희목장,전북특별자치도 무주군 무주읍 당산리 789번지  ,정상,1,한우,허가,445.5,2026-01-05
무주군,김ㅇㅇ목장,전북특별자치도 무주군 무주읍 내도리 2193번지  ,휴업,2,한우,등록 ,441,2026-01-05
무주군,문ㅇㅇ 목장,전북특별자치도 무주군 무주읍 당산리 602번지  ,폐업,3,한우,등록 ,530,2026-01-05
무주군,최ㅇㅇ 목장,전북특별자치도 무주군 적상면 사천리 948번지  ,정상,1,한우,등록 ,390,2026-01-05
무주군,이ㅇㅇ 목장,전북특별자치도 무주군 적상면 사산리 1104번지  ,정상,1,한우,등록 ,403,2026-01-05
무주군,전ㅇㅇ 목장,전북특별자치도 무주군 적상면 삼가리 1104번지  ,정상,1,한우,등록 ,390,2026-01-05
무주군,이ㅇㅇ 목장,전북특별자치도 무주군 적상면 사산리 산 229번지  ,폐업,3,한우,등록 ,948,2026-01-05
무주군,임ㅇㅇ 목장,전북특별자치도 무주군 적상면 삼가리 313번지 2호  ,정상,1,한우,등록 ,1187,2026-01-05
무주군,우성 농장,전북특별자치도 무주군 적상면 삼가리 1113번지  ,정상,1,한우,등록 ,1199,2026-01-05
무주군,박ㅇㅇ 목장,전북특별자치도 무주군 적상면 삼가리 257번지  ,정상,1,한우,등록 ,558,2026-01-05
무주군,권ㅇㅇ 목장,전북특별자치도 무주군 적상면 사산리 677번지  ,정상,1,한우,등록 ,754,2026-01-05
무주군,박ㅇㅇ 목장,"전북특별자치도 무주군 안성면 덕산리 1387번지 , 1368 ",정상,1,한우,허가,1223.15,2026-01-05
무주군,강ㅇㅇ 목장,전북특별자치도 무주군 안성면 금평리 1992번지 1호  ,정상,1,한우,허가,350,2026-01-05
무주군,희수 목장,전북특별자치도 무주군 안성면 공진리 284번지 1호  ,폐업,3,한우,등록 ,330,2026-01-05
무주군,영석 목장,전북특별자치도 무주군 안성면 사전리 1391번지 15호  ,폐업,3,한우,등록 ,1290,2026-01-05
무주군,임ㅇㅇ 목장,전북특별자치도 무주군 안성면 진도리 348번지 8호 342 ,정상,1,한우,허가,926.78,2026-01-05
무주군,최ㅇㅇ 목장,전북특별자치도 무주군 안성면 장기리 661번지  ,정상,1,한우,등록 ,352.8,2026-01-05
무주군,장ㅇㅇ 목장,전북특별자치도 무주군 안성면 죽천리 228번지  ,정상,1,한우,허가,656.89,2026-01-05
무주군,신ㅇㅇ 목장,전북특별자치도 무주군 안성면 장기리 241번지 1호  ,폐업,3,한우,등록 ,676,2026-01-05
무주군,박ㅇㅇ 목장,전북특별자치도 무주군 안성면 사전리 1392번지  ,폐업,3,한우,등록 ,838.5,2026-01-05
무주군,진아농장,전북특별자치도 무주군 안성면 사전리 1393번지 7호  ,정상,1,한우,등록 ,1170.2,2026-01-05
무주군,허ㅇㅇ 목장,전북특별자치도 무주군 안성면 덕산리 1676번지 2호  ,폐업,3,한우,등록 ,378,2026-01-05
무주군,분홍 농장,전북특별자치도 무주군 안성면 사전리 432번지  ,정상,1,한우,허가,959.94,2026-01-05
무주군,박ㅇㅇ 목장,전북특별자치도 무주군 안성면 사전리 1394번지 7호  ,정상,1,한우,등록 ,922,2026-01-05
무주군,박ㅇㅇ 목장,전북특별자치도 무주군 안성면 덕산리 1675번지  ,정상,1,한우,허가,396,2026-01-05
무주군,형제 농장,전북특별자치도 무주군 적상면 삼가리 541번지  ,휴업,2,돼지,등록 ,1129,2026-01-05
무주군,박ㅇㅇ 목장,전북특별자치도 무주군 안성면 금평리 946번지 2호  ,정상,1,육우,허가,1793,2026-01-05
무주군,공진목장,전북특별자치도 무주군 안성면 공진리 807번지 2호  ,정상,1,젖소,허가,2402.84,2026-01-05
무주군,최ㅇㅇ 목장,전북특별자치도 무주군 안성면 진도리 355번지 1호  ,정상,1,한우,허가,716.39,2026-01-05
무주군,백운산 목장,전북특별자치도 무주군 설천면 두길리 산 54번지 2호  ,폐업,3,한우,등록 ,205,2026-01-05
무주군,무진장축협무주지점생축장,전북특별자치도 무주군 설천면 기곡리 19번지 1호 외 2필지 ,정상,1,한우,허가,3304.5,2026-01-05
무주군,갈ㅇ향목장,전북특별자치도 무주군 설천면 소천리 209번지 2호  ,폐업,3,한우,등록 ,1000,2026-01-05
무주군,황ㅇㅇ 목장,전북특별자치도 무주군 적상면 사산리 617번지  ,폐업,3,한우,등록 ,378,2026-01-05
무주군,정ㅇㅇ목장,전북특별자치도 무주군 안성면 진도리 453번지 1호  ,정상,1,한우,허가,305.86,2026-01-05
무주군,마산목장,전북특별자치도 무주군 적상면 사산리 673번지  ,정상,1,한우,등록 ,856,2026-01-05
무주군,유리팜,전북특별자치도 무주군 무풍면 철목리 248번지  ,폐업,3,돼지,등록 ,2685.8,2026-01-05
무주군,전ㅇㅇ목장,전북특별자치도 무주군 적상면 삼가리 523번지 1호  ,정상,1,한우,허가,895.2,2026-01-05
무주군,이ㅇㅇ목장,전북특별자치도 무주군 안성면 공정리 1761번지  ,정상,1,한우,허가,309.76,2026-01-05
무주군,황금 목장,전북특별자치도 무주군 무주읍 내도리 797번지  ,정상,1,한우,등록 ,400,2026-01-05
무주군,오ㅇㅇ 목장,전북특별자치도 무주군 무주읍 당산리 986번지  ,폐업,3,한우,등록 ,565,2026-01-05
무주군,김ㅇㅇ 목장,전북특별자치도 무주군 안성면 공진리 625번지  ,정상,1,한우,등록 ,366,2026-01-05
무주군,금호농장,전북특별자치도 무주군 무주읍 당산리 655번지  ,폐업,3,돼지,허가,1385,2026-01-05
무주군,반햇소농장,전북특별자치도 무주군 적상면 사천리 758번지  ,정상,1,한우,허가,1415.17,2026-01-05
무주군,홍삼토종닭농장,전북특별자치도 무주군 부남면 가당리 782번지  ,폐업,3,육계,등록 ,416,2026-01-05
무주군,순동목장,전북특별자치도 무주군 설천면 대불리 283번지  ,정상,1,한우,등록 ,300,2026-01-05
무주군,남형농장,전북특별자치도 무주군 무풍면 은산리 667번지  ,정상,1,한우,허가,3155.2,2026-01-05
무주군,옥희농장,전북특별자치도 무주군 적상면 삼가리 356번지 11호  ,정상,1,한우,허가,1180,2026-01-05
무주군,대덕산삼형제농장,전북특별자치도 무주군 무풍면 금평리 산 172번지 7호  ,폐업,3,한우,허가,1075.2,2026-01-05
무주군,대덕산삼형제농장,전북특별자치도 무주군 무풍면 금평리 1324번지 2호  ,정상,1,한우,허가,403,2026-01-05
무주군,장안목장,전북특별자치도 무주군 부남면 장안리 1278번지 1호  ,정상,1,한우,허가,432,2026-01-05
무주군,희망목장,전북특별자치도 무주군 무주읍 오산리 561번지 1호  ,폐업,3,한우,등록 ,304,2026-01-05
무주군,활공농장,전북특별자치도 무주군 무주읍 대차리 1664번지 3호  ,정상,1,한우,허가,729,2026-01-05
무주군,산옥농장,전북특별자치도 무주군 무주읍 오산리 255번지  ,정상,1,한우,등록 ,386.78,2026-01-05
무주군,상이목목장,전북특별자치도 무주군 안성면 장기리 532번지  ,정상,1,한우,등록 ,525.6,2026-01-05
무주군,상산농장,전북특별자치도 무주군 안성면 덕산리 1361번지 1호  ,정상,1,한우,등록 ,454,2026-01-05
무주군,한우농장,전북특별자치도 무주군 안성면 공정리 1598번지  ,휴업,2,한우,등록 ,500,2026-01-05
무주군,산내들농장,전북특별자치도 무주군 설천면 소천리 921번지  ,정상,1,한우,등록 ,325,2026-01-05
무주군,최덕만목장,전북특별자치도 무주군 적상면 사산리 654번지  ,정상,1,한우,등록 ,396,2026-01-05
무주군,철희 목장,전북특별자치도 무주군 안성면 덕산리 255번지  ,폐업,3,한우,등록 ,330,2026-01-05
무주군,진원농장,전북특별자치도 무주군 안성면 진도리 359번지 1호  ,폐업,3,한우,등록 ,420,2026-01-05
무주군,닭마을,전북특별자치도 무주군 안성면 금평리 1492번지  ,폐업,3,육계,등록 ,610,2026-01-05
무주군,영석농장,전북특별자치도 무주군 안성면 공정리 48번지 1호  ,폐업,3,한우,등록 ,1680,2026-01-05
무주군,형제농장,전북특별자치도 무주군 안성면 사전리 886번지 1호  ,정상,1,한우,허가,244,2026-01-05
무주군,설종만목장,전북특별자치도 무주군 무주읍 오산리 502번지  ,정상,1,한우,등록 ,467,2026-01-05
무주군,평지농장,전북특별자치도 무주군 설천면 소천리 262번지 6호  ,폐업,3,한우,등록 ,536,2026-01-05
무주군,우근농장,전북특별자치도 무주군 안성면 덕산리 134번지 1호  ,폐업,3,한우,등록 ,312,2026-01-05
무주군,알프스 농장,전북특별자치도 무주군 무주읍 대차리 193번지 1호  ,정상,1,한우,등록 ,425,2026-01-05
무주군,정환목장,전북특별자치도 무주군 안성면 장기리 475번지 1호  ,정상,1,한우,허가,154.27,2026-01-05
무주군,평장농장,전북특별자치도 무주군 안성면 죽천리 1747번지 5호  ,폐업,3,한우,등록 ,500,2026-01-05
무주군,상수목장,전북특별자치도 무주군 안성면 덕산리 1539번지 2호  ,정상,1,한우,허가,353.48,2026-01-05
무주군,강ㅇㅇ목장,전북특별자치도 무주군 무주읍 당산리 1395번지  ,정상,1,한우,등록 ,301,2026-01-05
무주군,진원목장,전북특별자치도 무주군 안성면 진도리 430번지  ,폐업,3,한우,등록 ,450,2026-01-05
무주군,정ㅇㅇ목장,전북특별자치도 무주군 무주읍 당산리 186번지 7호  ,휴업,2,한우,허가,364.5,2026-01-05
무주군,덕유산농원,전북특별자치도 무주군 안성면 죽천리 48번지  ,휴업,2,젖소,등록 ,1155,2026-01-05
무주군,청계농장,전북특별자치도 무주군 안성면 진도리 968번지 5호  ,폐업,3,한우,등록 ,350,2026-01-05
무주군,하가농장,전북특별자치도 무주군 적상면 삼가리 991번지 2호  ,정상,1,한우,등록 ,400,2026-01-05
무주군,자하동목장,전북특별자치도 무주군 적상면 북창리 509번지  ,폐업,3,한우,등록 ,415,2026-01-05
무주군,김ㅇㅇ목장,전북특별자치도 무주군 적상면 북창리 417번지  ,정상,1,한우,허가,404,2026-01-05
무주군,찰스빈팜,전북특별자치도 무주군 안성면 사전리 1072번지  ,폐업,3,한우,등록 ,423,2026-01-05
무주군,보람농장,전북특별자치도 무주군 안성면 금평리 산 2번지 7호  ,폐업,3,한우,등록 ,1892,2026-01-05
무주군,한우목장,전북특별자치도 무주군 안성면 금평리 2129번지 4호  ,정상,1,한우,등록 ,640,2026-01-05
무주군,반딧불우리목장,전북특별자치도 무주군 안성면 장기리 100번지  ,폐업,3,한우,등록 ,530,2026-01-05
무주군,아연농장,전북특별자치도 무주군 안성면 금평리 1708번지 6호  ,정상,1,한우,등록 ,325,2026-01-05
무주군,청류농장,전북특별자치도 무주군 안성면 금평리 903번지  ,폐업,3,한우,등록 ,66,2026-01-05
무주군,영원목장,전북특별자치도 무주군 안성면 금평리 689번지 1호  ,폐업,3,한우,등록 ,600,2026-01-05
무주군,돈당목장,전북특별자치도 무주군 안성면 공정리 2547번지  ,휴업,2,한우,등록 ,174,2026-01-05
무주군,하운농장,전북특별자치도 무주군 안성면 덕산리 1754번지 1호  ,정상,1,한우,허가,729,2026-01-05
무주군,성호농장,전북특별자치도 무주군 안성면 사전리 430번지 1호  ,폐업,3,한우,허가,199.59,2026-01-05
무주군,덕유농장,전북특별자치도 무주군 안성면 장기리 1044번지 3호  ,정상,1,한우,등록 ,384,2026-01-05
무주군,사철농장,전북특별자치도 무주군 안성면 공진리 702번지 2호  ,정상,1,한우,등록 ,336,2026-01-05
무주군,무주반디농장,전북특별자치도 무주군 무주읍 당산리 784번지 1호  ,정상,1,한우,등록 ,660,2026-01-05
무주군,영신목장,전북특별자치도 무주군 무주읍 오산리 46번지 1호  ,폐업,3,한우,등록 ,338,2026-01-05
무주군,늘갓농장,전북특별자치도 무주군 적상면 삼가리 1561번지  ,정상,1,한우,허가,438,2026-01-05
무주군,재진농장,전북특별자치도 무주군 안성면 사전리 881번지  ,폐업,3,한우,등록 ,480,2026-01-05
무주군,김ㅇㅇ농장,전북특별자치도 무주군 안성면 공진리 703번지 3호  ,휴업,2,한우,등록 ,264,2026-01-05
무주군,김ㅇㅇ목장,전북특별자치도 무주군 안성면 진도리 475번지 1호  ,폐업,3,한우,등록 ,224,2026-01-05
무주군,청우농장,전북특별자치도 무주군 안성면 금평리 1045번지 3호  ,폐업,3,한우,등록 ,216,2026-01-05
무주군,상조농장,전북특별자치도 무주군 적상면 괴목리 779번지 6호  ,폐업,3,한우,등록 ,476,2026-01-05
무주군,일일오농장,전북특별자치도 무주군 안성면 금평리 115번지  ,폐업,3,한우,등록 ,198,2026-01-05
무주군,일일오 농장,전북특별자치도 무주군 안성면 금평리 512번지 1호  ,폐업,3,한우,등록 ,288,2026-01-05
무주군,평장농장,전북특별자치도 무주군 안성면 죽천리 1352번지  ,정상,1,한우,등록 ,167,2026-01-05
무주군,무주양계농장,전북특별자치도 무주군 무주읍 용포리 612번지 4호  ,정상,1,육계,허가,1980,2026-01-05
무주군,반디한우농장,전북특별자치도 무주군 무풍면 은산리 297번지  ,정상,1,한우,허가,700,2026-01-05
무주군,반디농장,전북특별자치도 무주군 안성면 장기리 628번지 2호  ,정상,1,한우,등록 ,420,2026-01-05
무주군,하이목우사,전북특별자치도 무주군 안성면 장기리 821번지 2호  ,정상,1,한우,허가,112,2026-01-05
무주군,장내목장,전북특별자치도 무주군 안성면 공정리 1746번지 2호  ,정상,1,한우,등록 ,871.2,2026-01-05
무주군,덕유산농장,전북특별자치도 무주군 안성면 덕산리 949번지  ,폐업,3,한우,등록 ,410,2026-01-05
무주군,하두농장,전북특별자치도 무주군 설천면 두길리 1220번지  ,폐업,3,한우,등록 ,711,2026-01-05
무주군,미묘해농원,전북특별자치도 무주군 부남면 가당리 1165번지 1호  ,폐업,3,염소,등록 ,673.2,2026-01-05
무주군,진원목장,전북특별자치도 무주군 안성면 진도리 323번지  ,정상,1,한우,허가,1132.5,2026-01-05
무주군,경춘농장,전북특별자치도 무주군 안성면 장기리 586번지  ,정상,1,한우,등록 ,148,2026-01-05
무주군,태진농장,전북특별자치도 무주군 안성면 장기리 396번지  ,정상,1,한우,허가,322.56,2026-01-05
무주군,갈복향목장,전북특별자치도 무주군 설천면 장덕리 630번지 2호  ,정상,1,한우,허가,990,2026-01-05
무주군,선진목장,전북특별자치도 무주군 무주읍 장백리 157번지  ,정상,1,한우,허가,2230.06,2026-01-05
무주군,나경농장,전북특별자치도 무주군 안성면 공진리 58번지 3호  ,폐업,3,오리,등록 ,2893.6,2026-01-05
무주군,현준목장,전북특별자치도 무주군 무주읍 대차리 1675번지 2호  ,정상,1,한우,허가,943.78,2026-01-05
무주군,황ㅇㅇ목장,전북특별자치도 무주군 적상면 사산리 346번지  ,정상,1,한우,허가,1215.85,2026-01-05
무주군,늘갓농장,전북특별자치도 무주군 적상면 삼가리 1870번지  ,정상,1,한우,허가,721.8,2026-01-05
무주군,삼현농장,전북특별자치도 무주군 안성면 장기리 1631번지 2호  ,정상,1,한우,허가,648,2026-01-05
무주군,대현농장,전북특별자치도 무주군 안성면 사전리 1383번지 7호  ,정상,1,한우,허가,576,2026-01-05
무주군,하남농장,전북특별자치도 무주군 안성면 사전리 1383번지 13호  ,정상,1,한우,허가,648,2026-01-05
무주군,진원목장,전북특별자치도 무주군 안성면 진도리 444번지  ,정상,1,한우,등록 ,324,2026-01-05
무주군,유리팜,전북특별자치도 무주군 무풍면 철목리  ,정상,1,돼지,허가,2685,2026-01-05
무주군,반딧불 한우목장,전북특별자치도 무주군 무주읍 대차리 1672번지 1호  ,폐업,3,한우,등록 ,324,2026-01-05
무주군,농업회사법인 무주반딧불복지농장(주),전북특별자치도 무주군 부남면 장안리 1286번지 1호  ,폐업,3,종계/산란계,등록 ,1553,2026-01-05
무주군,푸른 농장,전북특별자치도 무주군 무풍면 철목리 693번지 1호  ,정상,1,젖소,허가,1345.5,2026-01-05
무주군,대촌농장,전북특별자치도 무주군 적상면 사산리 652번지 3호  ,정상,1,한우,등록 ,670,2026-01-05
무주군,최ㅇㅇ농장,전북특별자치도 무주군 적상면 사산리 709번지 1호  ,폐업,3,한우,등록 ,243,2026-01-05
무주군,훈이농장,전북특별자치도 무주군 안성면 사전리 1384번지 9호  ,정상,1,한우,허가,1297.4,2026-01-05
무주군,부부농장,전북특별자치도 무주군 무주읍 오산리 561번지 4호  ,정상,1,한우,등록 ,384,2026-01-05
무주군,박ㅇㅇ축사,전북특별자치도 무주군 안성면 사전리 436번지 1호  ,정상,1,한우,등록 ,324,2026-01-05
무주군,이ㅇㅇ축사,전북특별자치도 무주군 안성면 사전리 1394번지 2호  ,정상,1,한우,허가,2607,2026-01-05
무주군,이ㅇㅇ축사,전북특별자치도 무주군 안성면 장기리 2030번지 13호  ,정상,1,한우,허가,324,2026-01-05
무주군,정ㅇㅇ축사,전북특별자치도 무주군 안성면 진도리 1684번지 2호  ,폐업,3,한우,등록 ,648,2026-01-05
무주군,김ㅇㅇ축사,전북특별자치도 무주군 안성면 장기리 1959번지 1호  ,정상,1,한우,허가,1137.79,2026-01-05
무주군,한ㅇㅇ축사,전북특별자치도 무주군 안성면 공정리 1062번지 5호  ,정상,1,한우,등록 ,350,2026-01-05
무주군,김ㅇㅇ축사,전북특별자치도 무주군 안성면 덕산리 1765번지  ,정상,1,한우,등록 ,700,2026-01-05
무주군,손ㅇㅇ축사,전북특별자치도 무주군 안성면 공진리 63번지  ,정상,1,한우,허가,350,2026-01-05
무주군,김ㅇㅇ축사,전북특별자치도 무주군 안성면 사전리 1391번지 11호  ,정상,1,한우,허가,2370,2026-01-05
무주군,장ㅇㅇ축사,전북특별자치도 무주군 안성면 덕산리 1763번지 3호  ,폐업,3,한우,허가,750,2026-01-05
무주군,이ㅇㅇ축사,전북특별자치도 무주군 적상면 삼가리 2380번지 2호  ,정상,1,한우,등록 ,700,2026-01-05
무주군,김ㅇㅇ축사,전북특별자치도 무주군 안성면 공진리 1826번지  ,정상,1,한우,등록 ,455,2026-01-05
무주군,아란 농장,전북특별자치도 무주군 안성면 공진리 1801번지  ,정상,1,한우,등록 ,800,2026-01-05
무주군,김ㅇㅇ축사,전북특별자치도 무주군 적상면 삼가리 1825번지  ,정상,1,한우,등록 ,504,2026-01-05
무주군,최ㅇㅇ축사,전북특별자치도 무주군 안성면 금평리 1645번지  ,정상,1,한우,허가,1040,2026-01-05
무주군,김ㅇㅇ축사,전북특별자치도 무주군 무주읍 당산리 1427번지  ,휴업,2,한우,허가,705.5,2026-01-05
무주군,정ㅇㅇ축사,전북특별자치도 무주군 안성면 공진리 86번지 2호  ,폐업,3,한우,등록 ,943.2,2026-01-05
무주군,이ㅇㅇ축사,전북특별자치도 무주군 적상면 삼유리 385번지 2호  ,폐업,3,한우,등록 ,648,2026-01-05
무주군,신ㅇㅇ축사,전북특별자치도 무주군 무주읍 대차리 1670번지 6호  ,정상,1,한우,허가,1030.4,2026-01-05
무주군,임ㅇㅇ축사,전북특별자치도 무주군 무주읍 대차리 461번지  ,정상,1,한우,등록 ,324,2026-01-05
무주군,신ㅇㅇ축사,전북특별자치도 무주군 무주읍 대차리 1670번지 7호  ,폐업,3,한우,등록 ,942.3,2026-01-05
무주군,길ㅇㅇ축사,전북특별자치도 무주군 안성면 공진리 696번지  ,정상,1,한우,허가,324,2026-01-05
무주군,길ㅇㅇ축사,전북특별자치도 무주군 안성면 공진리 700번지  ,정상,1,한우,허가,1251.6,2026-01-05
무주군,정ㅇㅇ축사,전북특별자치도 무주군 무주읍 장백리 414번지  ,폐업,3,한우,허가,1019,2026-01-05
무주군,강ㅇㅇ축사,전북특별자치도 무주군 무주읍 당산리 1395번지  ,정상,1,한우,등록 ,324,2026-01-05
무주군,자하동목장,전북특별자치도 무주군 무주읍 당산리 255번지 3호  ,정상,1,한우,허가,324,2026-01-05
무주군,김ㅇㅇ축사,전북특별자치도 무주군 적상면 사산리 708번지  ,정상,1,한우,허가,810,2026-01-05
무주군,김ㅇㅇ축사,전북특별자치도 무주군 안성면 죽천리 2136번지 2호  ,정상,1,한우,등록 ,648,2026-01-05
무주군,정ㅇ축사,전북특별자치도 무주군 무주읍 장백리 165번지  ,폐업,3,한우,등록 ,1104,2026-01-05
무주군,푸른꿈농장,전북특별자치도 무주군 무주읍 장백리 412번지  ,폐업,3,한우,등록 ,324,2026-01-05
무주군,박ㅇㅇ축사,전북특별자치도 무주군 적상면 삼가리 2388번지 2호  ,정상,1,한우,허가,400,2026-01-05
무주군,박ㅇㅇ축사,전북특별자치도 무주군 적상면 삼가리 1623번지  ,정상,1,한우,등록 ,324,2026-01-05
무주군,가옥농장,전북특별자치도 무주군 무주읍 가옥리 299번지  ,폐업,3,한우,허가,652.56,2026-01-05
무주군,이ㅇㅇ축사,전북특별자치도 무주군 무주읍 대차리 972번지  ,폐업,3,한우,등록 ,90,2026-01-05
무주군,양ㅇㅇ축사,전북특별자치도 무주군 무주읍 오산리 130번지 1호  ,정상,1,한우,등록 ,90,2026-01-05
무주군,명동축사,"전북특별자치도 무주군 무주읍 당산리 1431번지 3호 , 1436 ",정상,1,한우,허가,399,2026-01-05
무주군,라ㅇㅇ축사,전북특별자치도 무주군 무주읍 장백리 412번지  ,정상,1,한우,허가,324,2026-01-05
무주군,김ㅇㅇ축사,전북특별자치도 무주군 무풍면 은산리 581번지  ,정상,1,한우,등록 ,90,2026-01-05
무주군,원ㅇㅇ축사,전북특별자치도 무주군 안성면 공진리 309번지  ,정상,1,한우,허가,480,2026-01-05
무주군,대신목장,전북특별자치도 무주군 안성면 장기리 628번지  ,폐업,3,한우,허가,283.27,2026-01-05
