사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),데이터기준일자
장군농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 설장로,2026-02-25
시온농장,돼지,경기도 이천시 설성면 ,,2026-02-25
새우리농장,돼지,경기도 이천시 백사면 ,경기도 이천시 백사면 청백리로,2026-02-25
가보영농조합법인,돼지,경기도 이천시 부발읍 ,경기도 이천시 부발읍 부발중앙,2026-02-25
주민농장,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 나래천,2026-02-25
송산농장,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 서동대,2026-02-25
석강농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대월로,2026-02-25
유원Farmland,돼지,경기도 이천시 호법면 ,경기도 이천시 호법면 이섭대천,2026-02-25
동산농장,돼지,경기도 이천시 호법면 ,경기도 이천시 호법면 동산로,2026-02-25
새서울농장(2),돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 복숭아,2026-02-25
오성농장,돼지,경기도 이천시 모가면 ,,2026-02-25
대풍농장,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 진상미로,2026-02-25
엔도르핀농장,돼지,경기도 이천시 백사면 ,경기도 이천시 백사면 청백리로,2026-02-25
초월농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대평로,2026-02-25
태영농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대평로,2026-02-25
하나농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대월로,2026-02-25
행진농장,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 경충대,2026-02-25
장원농장,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 이풍로,2026-02-25
영진농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 진상미로,2026-02-25
보은농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 원설로,2026-02-25
오금영농조합법인,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 자석로,2026-02-25
부부농장,돼지,경기도 이천시 마장면 ,,2026-02-25
(사)대한한돈협회 제1검정소,돼지,경기도 이천시 마장면 ,경기도 이천시 마장면 서이천로,2026-02-25
용회농장,돼지,경기도 이천시 모가면 ,,2026-02-25
농업회사법인 주식회사 대원,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 대월로,2026-02-25
성지축산,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 진상미로,2026-02-25
대지농장(1),돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 공원로 ,2026-02-25
이천농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대장로,2026-02-25
호산나농장,돼지,경기도 이천시 부발읍 ,경기도 이천시 부발읍 죽당로,2026-02-25
농업회사법인(주)선진한마을 제일종축(2),돼지,경기도 이천시 부발읍 ,경기도 이천시 부발읍 중부대로,2026-02-25
농업회사법인 주식회사 팜스월드 대덕팜,돼지,경기도 이천시 호법면 ,경기도 이천시 호법면 대덕산로,2026-02-25
송갈농장,돼지,경기도 이천시 호법면 ,경기도 이천시 호법면 대덕산로,2026-02-25
설호농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 신암로 ,2026-02-25
으뜸농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 서동대로,2026-02-25
엘림농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 서동대로,2026-02-25
누리농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 신암로,2026-02-25
설성농장,돼지,경기도 이천시 설성면 ,,2026-02-25
태기농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 원설로,2026-02-25
황돈농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 설가로 ,2026-02-25
매일R&D,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 설가로 ,2026-02-25
천호농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 대죽로 ,2026-02-25
대한농장,돼지,경기도 이천시 마장면 ,경기도 이천시 마장면 서이천로,2026-02-25
새신원농장,돼지,경기도 이천시 부발읍 ,경기도 이천시 부발읍 중부대로,2026-02-25
농업회사법인 주식회사 제일,돼지,경기도 이천시 율면 월,경기도 이천시 율면 고월로,2026-02-25
돼지보러오면돼지,돼지,경기도 이천시 율면 월,경기도 이천시 율면 임오산로,2026-02-25
도암농장,돼지,경기도 이천시 신둔면 ,경기도 이천시 신둔면 석동로 ,2026-02-25
태화농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 다솔로,2026-02-25
피그넷,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 진상미로,2026-02-25
백사농장,돼지,경기도 이천시 백사면 ,경기도 이천시 백사면 지읍로,2026-02-25
백영목장,돼지,경기도 이천시 백사면 ,경기도 이천시 백사면 청백리로,2026-02-25
진기농장,돼지,경기도 이천시 백사면 ,경기도 이천시 백사면 이여로,2026-02-25
삼일농장,돼지,경기도 이천시 백사면 ,경기도 이천시 백사면 원적로,2026-02-25
울안농장,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 설장로,2026-02-25
영현농장,돼지,경기도 이천시 장호원읍,,2026-02-25
진배농장,돼지,경기도 이천시 장호원읍,,2026-02-25
통미농장,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 나래천로,2026-02-25
하경농장,돼지,경기도 이천시 백사면 ,,2026-02-25
현덕농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 설장로,2026-02-25
지성농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 설가로 ,2026-02-25
형제농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 대죽로,2026-02-25
샛말농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 대죽로,2026-02-25
혜성농장,돼지,경기도 이천시 설성면 ,,2026-02-25
옥황농장(1),돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 설장로,2026-02-25
신송암농장,돼지,경기도 이천시 율면 월,경기도 이천시 율면 고월로,2026-02-25
상승농장,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 공원로,2026-02-25
영길농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 양녕로 ,2026-02-25
선옥농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 진상미로,2026-02-25
도영농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대월로,2026-02-25
꿀꿀이농장,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 어석로,2026-02-25
기범농장,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 설장로,2026-02-25
송원농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 신암로,2026-02-25
거성농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 설성로,2026-02-25
대지영농조합법인,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 설장로 ,2026-02-25
동양축산,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 경충대,2026-02-25
참존농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 대죽로,2026-02-25
설봉영농조합법인,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대월로 ,2026-02-25
만수농장,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 대월로,2026-02-25
편안농장,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 진상미로,2026-02-25
영성팜,돼지,경기도 이천시 율면 본,경기도 이천시 율면 주래본죽로,2026-02-25
진환농장,돼지,경기도 이천시 율면 신,,2026-02-25
해진농장,돼지,경기도 이천시 호법면 ,경기도 이천시 호법면 이섭대천,2026-02-25
이드로농장,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 사실로,2026-02-25
실로암농장,돼지,경기도 이천시 모가면 ,,2026-02-25
유원농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 진상미로,2026-02-25
초월농장(2),돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대평로,2026-02-25
대지대삼농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 설장로,2026-02-25
소담농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대장로,2026-02-25
한아름농장,돼지,경기도 이천시 율면 ,경기도 이천시 율면 임오산로,2026-02-25
청지기농장,돼지,경기도 이천시 모가면 ,,2026-02-25
경인농장,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 진상미로,2026-02-25
송암농장(2),돼지,경기도 이천시 호법면 ,경기도 이천시 호법면 대덕산로,2026-02-25
농업회사법인 주식회사 팜스코바이오인티,돼지,경기도 이천시 부발읍 ,경기도 이천시 부발읍 부흥로,2026-02-25
상승농장2,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 사실로 ,2026-02-25
행진농장2농장,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 경충대,2026-02-25
에스디팜,돼지,경기도 이천시 모가면 ,,2026-02-25
참살이 농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대월로,2026-02-25
동그라미,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대월로 ,2026-02-25
신청봉농장 선읍지점,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 경충대,2026-02-25
신세계농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 대죽로,2026-02-25
신세계농장(1),돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 대죽로 ,2026-02-25
피그애팜,돼지,경기도 이천시 부발읍 ,경기도 이천시 부발읍 황무로,2026-02-25
단천리농장,돼지,경기도 이천시 호법면 ,,2026-02-25
하늘농장,돼지,경기도 이천시 설성면 ,,2026-02-25
뉴서울농장2,돼지,경기도 이천시 율면 월,경기도 이천시 율면 고월로 ,2026-02-25
세은농장,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 설장로,2026-02-25
다솜농장,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 이풍로,2026-02-25
다온팜스,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 진상미로,2026-02-25
펠릭스팜,돼지,경기도 이천시 대월면 ,,2026-02-25
이천미래팜,돼지,경기도 이천시 호법면 ,경기도 이천시 호법면 이섭대천,2026-02-25
에이치알 농장,돼지,경기도 이천시 호법면 ,경기도 이천시 호법면 대덕산로,2026-02-25
리치팜제2농장,돼지,경기도 이천시 율면 고,경기도 이천시 율면 고월로 ,2026-02-25
석강양평농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대월로,2026-02-25
수정농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 원설로,2026-02-25
더드림 농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대월로,2026-02-25
일우농장,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 사실로 ,2026-02-25
주식회사 엠젠솔루션,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 경충대,2026-02-25
피그애플,돼지,경기도 이천시 신둔면 ,,2026-02-25
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
