사업장명칭,주사육업종,사업장소재지(지번),사육두수
호빈네축산,한우,전라남도 완도군 고금면 회룡리,167
소풍농장,한우,전라남도 완도군 고금면 청용리,30
정용진축사,한우,전라남도 완도군 고금면 가교리,7
현대축산,한우,전라남도 완도군 고금면 청용리,30
대영축산,한우,전라남도 완도군 고금면 농상리,85
남동축사,한우,전라남도 완도군 고금면 덕암리,20
대경농장,돼지,전라남도 완도군 노화읍 등산리,23
부광농장,한우,전라남도 완도군 금일읍 신구리,12
보성축사,한우,전라남도 완도군 금일읍 신구리,43
동일축산,한우,전라남도 완도군 군외면 원동리,90
이미순축사,한우,전라남도 완도군 고금면 농상리,40
방극천축사,한우,전라남도 완도군 약산면 해동리,2
김정생축사,한우,전라남도 완도군 약산면 장용리,12
강대택축사,한우,전라남도 완도군 약산면 관산리,37
이봉석축사,한우,전라남도 완도군 약산면 우두리,4
박경식축사,한우,전라남도 완도군 약산면 해동리,5
김종군축사,한우,전라남도 완도군 약산면 장용리,2
정효선축사,한우,전라남도 완도군 약산면 장용리,4
엘축사,한우,전라남도 완도군 약산면 해동리,2
한우막사,한우,전라남도 완도군 약산면 장용리,5
노정남축사,산양,전라남도 완도군 약산면 우두리,30
이충식축사,한우,전라남도 완도군 고금면 도남리,15
대산축산,한우,전라남도 완도군 고금면 세동리,36
조신자축사,돼지,전라남도 완도군 고금면 덕암리,300
토종돼지농장,돼지,전라남도 완도군 완도읍 중도리,165
배재운축사,한우,전라남도 완도군 완도읍 화흥리,20
최철주축사,한우,전라남도 완도군 완도읍 화흥리,20
이천열축사,염소,전라남도 완도군 약산면 해동리,120
김성철축사,한우,전라남도 완도군 약산면 득암리,4
신현성축사,한우,전라남도 완도군 약산면 해동리,7
임덕길축사,염소,전라남도 완도군 약산면 관산리,90
황인준축사,한우,전라남도 완도군 약산면 관산리,5
박상연축사,한우,전라남도 완도군 약산면 관산리,4
우정축산,한우,전라남도 완도군 약산면 우두리,2
김정권축사,한우,전라남도 완도군 고금면 덕암리,18
이양화축사,한우,전라남도 완도군 고금면 회룡리,11
박종현축사,한우,전라남도 완도군 고금면 도남리,20
최호선축사,한우,전라남도 완도군 고금면 덕암리,15
채종삼축사,한우,전라남도 완도군 약산면 장용리,3
경기농장,한우,전라남도 완도군 약산면 득암리,30
김선곤축사,한우,전라남도 완도군 완도읍 중도리,93
김성일축사,한우,전라남도 완도군 약산면 장용리,40
최문학축사,한우,전라남도 완도군 완도읍 대신리,7
대야학림농원,한우,전라남도 완도군 완도읍 대야리,100
삼두축사,한우,전라남도 완도군 군외면 삼두리,30
삼두축사,한우,전라남도 완도군 군외면 삼두리,38
창록축산,한우,전라남도 완도군 신지면 동고리,0
용남축산,한우,전라남도 완도군 신지면 신상리,17
치봉축산,한우,전라남도 완도군 신지면 신상리,0
완철축산,한우,전라남도 완도군 신지면 대곡리,0
153한우농장,한우,전라남도 완도군 신지면 대곡리,90
광호축산,한우,전라남도 완도군 신지면 월양리,30
윤오축산,한우,전라남도 완도군 신지면 신상리,7
우연구축사,한우,전라남도 완도군 신지면 신상리,0
서종훈축사,한우,전라남도 완도군 신지면 대곡리,0
으뜸농장,돼지,전라남도 완도군 군외면 삼두리,600
고대범농장,돼지,전라남도 완도군 노화읍 도청리,100
김성균축사,한우,전라남도 완도군 완도읍 화흥리,38
이제갑축사,한우,전라남도 완도군 고금면 회룡리,5
늘푸른농장,한우,전라남도 완도군 완도읍 중도리,133
승관농장,한우,전라남도 완도군 완도읍 대신리,17
강현호농장,한우,전라남도 완도군 완도읍 화흥리,16
손영미축사,한우,전라남도 완도군 약산면 우두리,11
일선축산,한우,전라남도 완도군 신지면 월양리,11
금자농장,한우,전라남도 완도군 금일읍 월송리,13
권이네농장,한우,전라남도 완도군 약산면 장용리,6
야자수축산,한우,전라남도 완도군 신지면 신상리,6
약산흑염소사랑,염소,전라남도 완도군 약산면 해동리,22
승규축사,한우,전라남도 완도군 고금면 덕암리,45
에덴축산,한우,전라남도 완도군 고금면 회룡리,36
스마일축산,한우,전라남도 완도군 고금면 회룡리,45
옥희축사,한우,전라남도 완도군 고금면 도남리,40
금식축사,한우,전라남도 완도군 고금면 세동리,28
광선축사,한우,전라남도 완도군 고금면 덕암리,12
석규축산,한우,전라남도 완도군 고금면 도남리,13
준열축산,한우,전라남도 완도군 고금면 농상리,21
소은축산,한우,전라남도 완도군 고금면 농상리,30
동석축산,한우,전라남도 완도군 고금면 농상리,20
반도축사,한우,전라남도 완도군 고금면 회룡리,80
한우축산,한우,전라남도 완도군 고금면 덕암리,20
복남축사,한우,전라남도 완도군 군외면 불목리,6
양지축산,한우,전라남도 완도군 신지면 월양리,30
재운축산,한우,전라남도 완도군 군외면 원동리,7
영일축산,한우,전라남도 완도군 고금면 농상리,120
청해농장,한우,전라남도 완도군 신지면 신리 ,304
다원축산,한우,전라남도 완도군 완도읍 화흥리,17
자연한우농장,한우,전라남도 완도군 완도읍 화흥리,60
찬경축산,한우,전라남도 완도군 완도읍 화흥리,49
종광축산,한우,전라남도 완도군 고금면 회룡리,25
청해농원,한우,전라남도 완도군 고금면 세동리,50
종복축사,한우,전라남도 완도군 고금면 회룡리,44
축산농장,한우,전라남도 완도군 청산면 당락리,22
태영농장,한우,전라남도 완도군 완도읍 대신리,16
한우농장,한우,전라남도 완도군 완도읍 중도리,17
위영숙 축사,한우,전라남도 완도군 완도읍 대야리,96
은식농장,한우,전라남도 완도군 완도읍 화흥리,25
순규농장,한우,전라남도 완도군 완도읍 화흥리,10
다온축사,한우,전라남도 완도군 고금면 농상리,25
석곤축사,한우,전라남도 완도군 고금면 농상리,16
동영농장,한우,전라남도 완도군 완도읍 망석리,9
우민축사,한우,전라남도 완도군 고금면 회룡리,20
바람골농장,한우,전라남도 완도군 노화읍 신양리,11
양훈축사,한우,전라남도 완도군 고금면 세동리,10
권익축산,한우,전라남도 완도군 완도읍 화흥리,10
동순축사,한우,전라남도 완도군 금일읍 신구리,23
수정축산,한우,전라남도 완도군 고금면 덕암리,25
동래농장,한우,전라남도 완도군 신지면 월양리,23
동간축사,한우,전라남도 완도군 약산면 득암리,21
도락농장,한우,전라남도 완도군 청산면 당락리,17
해광축산,한우,전라남도 완도군 완도읍 대신리,8
석봉축산,한우,전라남도 완도군 신지면 월양리,17
박귀복축사,한우,전라남도 완도군 고금면 세동리,8
충원축사,한우,전라남도 완도군 고금면 세동리,11
용오농장,한우,전라남도 완도군 완도읍 가용리,21
가옥축산,한우,전라남도 완도군 완도읍 화흥리,12
현희축산,한우,전라남도 완도군 약산면 관산리,11
한섭축산,한우,전라남도 완도군 약산면 해동리,30
상로축산,한우,전라남도 완도군 약산면 우두리,15
해태축산,한우,전라남도 완도군 완도읍 가용리,25
안석축사,한우,전라남도 완도군 신지면 월양리,20
명금축산,한우,전라남도 완도군 약산면 장용리,9
병오농장,한우,전라남도 완도군 고금면 도남리,42
동기농장,한우,전라남도 완도군 고금면 농상리,20
화순농장,한우,전라남도 완도군 완도읍 대신리,24
안식축사,한우,전라남도 완도군 고금면 도남리,28
상권축사,한우,전라남도 완도군 고금면 세동리,56
강옥축사,한우,전라남도 완도군 신지면 월양리,27
이철농장,한우,전라남도 완도군 고금면 청용리,13
장윤수축사,한우,전라남도 완도군 고금면 도남리,47
만단축사,한우,전라남도 완도군 신지면 월양리,60
황금농장,한우,전라남도 완도군 금일읍 화목리,23
청계농장,한우,전라남도 완도군 청산면 청계리,18
희수네축사,한우,전라남도 완도군 약산면 관산리,9
덕현농장,한우,전라남도 완도군 완도읍 중도리,8
덕우축산,한우,전라남도 완도군 고금면 가교리,4
희망축산,한우,전라남도 완도군 고금면 덕암리,50
성철축사,한우,전라남도 완도군 고금면 청용리,18
수열농장,한우,전라남도 완도군 약산면 장용리,20
완도한우목장,한우,전라남도 완도군 고금면 농상리,20
종섭축사,한우,전라남도 완도군 약산면 관산리,10
성일 농장,한우,전라남도 완도군 고금면 회룡리,30
정우농장,한우,전라남도 완도군 완도읍 대신리,10
부성2농장,한우,전라남도 완도군 고금면 농상리,100
민희농장,한우,전라남도 완도군 고금면 도남리,20
재일농장,한우,전라남도 완도군 고금면 회룡리,35
강정석축사,한우,전라남도 완도군 군외면 황진리,11
청해축산,한우,전라남도 완도군 고금면 회룡리,100
한우축산농장,한우,전라남도 완도군 고금면 덕암리,40
대섭농장,한우,전라남도 완도군 금일읍 월송리,15
다산농장,한우,전라남도 완도군 고금면 회룡리,21
공엽농장,한우,전라남도 완도군 고금면 청용리,20
박영윤,한우,전라남도 완도군 군외면 신학리,0
이동호,한우,전라남도 완도군 신지면 월양리,33
차희용,한우,전라남도 완도군 완도읍 대신리,30
약산 흑염소,염소,전라남도 완도군 약산면 해동리,0
김상권 축사,한우,전라남도 완도군 고금면 세동리,28
토부농장,한우,전라남도 완도군 금일읍 월송리,85
성순농장,한우,전라남도 완도군 고금면 가교리,46
세름 농장,한우,전라남도 완도군 신지면 송곡리,0
협동농장,한우,전라남도 완도군 약산면 우두리,15
정승규 축사,한우,전라남도 완도군 신지면 월양리,0
대륙축사,한우,전라남도 완도군 완도읍 망석리,10
호정농장,한우,전라남도 완도군 고금면 덕암리,100
봉명농장,한우,전라남도 완도군 고금면 봉명리,10
청용농장,한우,전라남도 완도군 고금면 청용리,0
뒷골산장 축사,염소,전라남도 완도군 신지면 송곡리,30
삼두 축사,한우,전라남도 완도군 군외면 삼두리,19
현대농장,한우,전라남도 완도군 고금면 가교리,280
대곡축산,한우,전라남도 완도군 신지면 대곡리,6
배정현 축산,한우,전라남도 완도군 완도읍 중도리,18
은선축산,한우,전라남도 완도군 군외면 불목리,34
효일축산,한우,전라남도 완도군 신지면 대곡리,13
화흥축산,한우,전라남도 완도군 완도읍 화흥리,20
재식축산,한우,전라남도 완도군 군외면 불목리,8
삼두축산,한우,전라남도 완도군 군외면 삼두리,39
늘푸른 농장,한우,전라남도 완도군 완도읍 중도리,30
미래농장,한우,전라남도 완도군 약산면 관산리,7
황보축산,한우,전라남도 완도군 완도읍 중도리,85
서부흑염소,산양,전라남도 완도군 완도읍 대신리,70
규재축사,한우,전라남도 완도군 고금면 덕암리,32
약성흑염소농장,염소,전라남도 완도군 약산면 장용리,140
약산흑염소삼문산농장,염소,전라남도 완도군 약산면 득암리,0
약산흑염소솔중매농장,산양,전라남도 완도군 약산면 득암리,350
약산흑염소우두농장,염소,전라남도 완도군 약산면 우두리,150
약산흑비농장,염소,전라남도 완도군 약산면 관산리,50
장수농장,돼지,전라남도 완도군 신지면 대곡리,40
약산약초흑염소목장원,염소,전라남도 완도군 약산면 득암리,200
약산땅골흑염소농장,염소,전라남도 완도군 약산면 우두리,67
약산해동흑염소,염소,전라남도 완도군 약산면 해동리,100
거돈축산,돼지,전라남도 완도군 신지면 동고리,21
한마음농장,한우,전라남도 완도군 고금면 농상리,70
성보농장,한우,전라남도 완도군 군외면 불목리,15
차을식축사,한우,전라남도 완도군 신지면 신리 ,1
신농장,한우,전라남도 완도군 신지면 신리 ,2
추장목장,염소,전라남도 완도군 생일면 금곡리,120
대은목장,한우,전라남도 완도군 금당면 차우리,2
규현목장,한우,전라남도 완도군 금당면 육산리,2
영호농장,한우,전라남도 완도군 약산면 해동리,30
빅토리농장,한우,전라남도 완도군 고금면 청용리,44
김광국축사,염소,전라남도 완도군 생일면 금곡리,0
기눈목장,염소,전라남도 완도군 생일면 유서리,23
생일농장,염소,전라남도 완도군 생일면 금곡리,200
약산흑염소종축장,염소,전라남도 완도군 약산면 득암리,200
천정임축사,한우,전라남도 완도군 고금면 청용리,21
승완축사,한우,전라남도 완도군 완도읍 화흥리,100
풀천지농장,종계/산란계,전라남도 완도군 완도읍 화흥리,250
섯등축산,한우,전라남도 완도군 고금면 덕암리,60
청해농장,한우,전라남도 완도군 고금면 청용리,80
대영농장,한우,전라남도 완도군 고금면 덕암리,15
동명농장,한우,전라남도 완도군 군외면 원동리,47
서현농장,한우,전라남도 완도군 고금면 가교리,23
시은농장,한우,전라남도 완도군 약산면 장용리,12
늘푸른 농장,한우,전라남도 완도군 고금면 세동리,20
연수농장,한우,전라남도 완도군 완도읍 가용리,19
해동농장,한우,전라남도 완도군 약산면 해동리,11
흑염소와 약초농장,염소,전라남도 완도군 약산면 장용리,650
푸른농장,한우,전라남도 완도군 고금면 회룡리,26
현지농장,한우,전라남도 완도군 고금면 농상리,0
박영인,한우,전라남도 완도군 고금면 청용리,0
보룡축산,한우,전라남도 완도군 고금면 청용리,3
제일축산,한우,전라남도 완도군 고금면 가교리,0
최광춘,한우,전라남도 완도군 완도읍 중도리,69
대야농장,사슴,전라남도 완도군 완도읍 대야리,80
남도 청용 축산,한우,전라남도 완도군 고금면 청용리,1
애경농장,한우,전라남도 완도군 금일읍 화목리,18
김태순,한우,전라남도 완도군 고금면 회룡리,55
대곡농장,한우,전라남도 완도군 고금면 농상리,16
박설희,한우,전라남도 완도군 군외면 대문리,8
새벽농장,한우,전라남도 완도군 고금면 봉명리,2
그린축사,한우,전라남도 완도군 고금면 가교리,12
조금숙,한우,전라남도 완도군 완도읍 대신리,37
조율농장,한우,전라남도 완도군 금당면 육산리,24
유현 축사,한우,전라남도 완도군 완도읍 대신리,30
동연농장,한우,전라남도 완도군 고금면 청용리,15
한우축사,한우,전라남도 완도군 신지면 대곡리,12
황정삼 축사,한우,전라남도 완도군 완도읍 군내리,21
신광운 농장,돼지,전라남도 완도군 노화읍 신양리,5
푸른농원,한우,전라남도 완도군 완도읍 대야리,45
경찬축산,한우,전라남도 완도군 완도읍 화흥리,77
제주댁 농장,한우,전라남도 완도군 고금면 덕암리,85
서현농장,한우,전라남도 완도군 고금면 가교리,60
양금숙축사,한우,전라남도 완도군 약산면 관산리,30
황금태 축사,한우,전라남도 완도군 고금면 청용리,35
홍진희 축사,한우,전라남도 완도군 약산면 해동리,136
황춘동 축사,한우,전라남도 완도군 고금면 세동리,38
고인돌농장,한우,전라남도 완도군 청산면 읍리 ,17
진우축사,한우,전라남도 완도군 고금면 도남리,8
양광채축사,한우,전라남도 완도군 청산면 읍리 ,9
차지현축사,한우,전라남도 완도군 약산면 우두리,4
나눔축사,한우,전라남도 완도군 신지면 신상리,1
지안축사,한우,전라남도 완도군 고금면 세동리,1
청해농원,한우,전라남도 완도군 고금면 세동리,27
흥일축사,한우,전라남도 완도군 완도읍 화흥리,1
승희축사,한우,전라남도 완도군 완도읍 화흥리,2
남양축사,한우,전라남도 완도군 고금면 세동리,12
달뜨기흑염소목장,염소,전라남도 완도군 약산면 득암리,203
박성복축사,한우,전라남도 완도군 청산면 상동리,18
여서축산,한우,전라남도 완도군 청산면 여서리,3
맑은산 한우농장,한우,전라남도 완도군 완도읍 화흥리,1
해우소(바다에서키운소),한우,전라남도 완도군 약산면 해동리,159
막래축산,한우,전라남도 완도군 군외면 불목리,7
삼미농장,한우,전라남도 완도군 고금면 세동리,6
부자농장,한우,전라남도 완도군 완도읍 장좌리,62
은희농장,한우,전라남도 완도군 고금면 봉명리,36
준혁농장,한우,전라남도 완도군 약산면 관산리,0
진우축산,한우,전라남도 완도군 고금면 덕암리,0
백두목장 영농조합법인,한우,전라남도 완도군 완도읍 군내리,15
새원축사,한우,전라남도 완도군 고금면 농상리,50
챔피언농장,한우,전라남도 완도군 고금면 덕암리,0
철민농장,한우,전라남도 완도군 금당면 육산리,0
도도한우,한우,전라남도 완도군 고금면 회룡리,0
연우농장,한우,전라남도 완도군 고금면 덕암리,0
유선축산,한우,전라남도 완도군 고금면 농상리,0
빅토리농장 2호,한우,전라남도 완도군 고금면 덕암리,0
기량축산,한우,전라남도 완도군 신지면 신상리,84
고산목장,염소,전라남도 완도군 약산면 해동리,0
약산흑염소영농조합 임효상,산양,전라남도 완도군 약산면 관산리,0
봉명축사,한우,전라남도 완도군 고금면 봉명리,0
