사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수(계),면적(계),데이터기준일자
주남영농조합법인,돼지,강원특별자치도 강릉시 강동면 임곡리 72번지  ,강원특별자치도 강릉시 강동면 임곡로 651-10,3500,4,3231.86 ,2023-12-08
상술농장,한우,강원특별자치도 강릉시 박월동 591번지  ,강원특별자치도 강릉시 박월길 141-11 (박월동),2,1,755.32 ,2023-12-08
장작골농장,한우,강원특별자치도 강릉시 강동면 언별리 265번지  ,강원특별자치도 강릉시 강동면 윗장작골길 185,20,1,300.00 ,2023-12-08
큰솔농장,한우,강원특별자치도 강릉시 구정면 금광리 771번지 4호  ,강원특별자치도 강릉시 구정면 수골길 55,58,5,940.20 ,2023-12-08
마암터농장,한우,강원특별자치도 강릉시 연곡면 신왕리 310번지 1호 외 1필지 (신왕리 310-6) ,,53,2,1033.50 ,2023-12-08
지재농장,한우,강원특별자치도 강릉시 사천면 산대월리 459번지 3호  ,강원특별자치도 강릉시 사천면 하남길 2-8,26,2,343.00 ,2023-12-08
풍호농장,한우,강원특별자치도 강릉시 강동면 하시동리 739번지 6호 외 3필지 ,강원특별자치도 강릉시 강동면 풍호길 245-10,70,2,845.91 ,2023-12-08
대우농장,한우,강원특별자치도 강릉시 강동면 하시동리 660번지  ,강원특별자치도 강릉시 강동면 풍호안길 114-15,90,1,689.20 ,2023-12-08
황금한우농장,한우,강원특별자치도 강릉시 성산면 산북리 204번지  ,강원특별자치도 강릉시 성산면 칠봉로 207-20,33,2,331.00 ,2023-12-08
토담목장,한우,강원특별자치도 강릉시 주문진읍 향호리 1390번지  ,강원특별자치도 강릉시 주문진읍 원고개길 91-31,30,1,353.23 ,2023-12-08
성국목장,한우,강원특별자치도 강릉시 주문진읍 향호리 511번지 9호  ,강원특별자치도 강릉시 주문진읍 참샘길 149-95,19,1,237.60 ,2023-12-08
이덕희농장,한우,강원특별자치도 강릉시 주문진읍 삼교리 287번지  ,,26,2,322.80 ,2023-12-08
우림농장,한우,강원특별자치도 강릉시 구정면 학산리 656번지 148호  ,강원특별자치도 강릉시 구정면 학산중길 38-5,20,1,200.00 ,2023-12-08
유성농장,돼지,강원특별자치도 강릉시 구정면 어단리 472번지 52호  ,강원특별자치도 강릉시 구정면 칠성로 116,1600,7,2880.00 ,2023-12-08
태화 목장,한우,강원특별자치도 강릉시 주문진읍 향호리 861번지  ,강원특별자치도 강릉시 주문진읍 향호안길 24-2,42,2,972.00 ,2023-12-08
참샘농장,한우,강원특별자치도 강릉시 주문진읍 향호리 496번지 외 2필지 ,,30,1,566.00 ,2023-12-08
고향산천농장,한우,강원특별자치도 강릉시 연곡면 삼산리 391번지  ,강원특별자치도 강릉시 연곡면 소금강길 245,30,2,340.00 ,2023-12-08
청솔목장,한우,강원특별자치도 강릉시 구정면 구정리 376번지  ,강원특별자치도 강릉시 구정면 삼정1길 11,50,2,528.92 ,2023-12-08
어망골농장,한우,강원특별자치도 강릉시 성산면 송암리 60번지  ,강원특별자치도 강릉시 성산면 송두길 223-51,20,1,320.00 ,2023-12-08
순이네농장,한우,강원특별자치도 강릉시 성산면 보광리 1063번지 1호  ,,48,1,336.00 ,2023-12-08
조영래농장,한우,강원특별자치도 강릉시 성산면 위촌리 785번지  ,강원특별자치도 강릉시 성산면 양지말길 94-16,12,2,158.00 ,2023-12-08
현and덕 농장,한우,강원특별자치도 강릉시 연곡면 동덕리 615번지  ,강원특별자치도 강릉시 연곡면 도방길 75-14,60,3,621.00 ,2023-12-08
계림농장,사슴,강원특별자치도 강릉시 강동면 정동진리 51번지 23호  ,강원특별자치도 강릉시 강동면 헌화로 903,8,1,176.00 ,2023-12-08
백봉령 농장,한우,강원특별자치도 강릉시 옥계면 남양리 1623번지 1623-1 ,강원특별자치도 강릉시 옥계면 남양2길 179,21,2,399.00 ,2023-12-08
태승농장,한우,강원특별자치도 강릉시 연곡면 동덕리 1436번지  ,강원특별자치도 강릉시 연곡면 남평길 44-23,48,1,957.48 ,2023-12-08
피밀농장,한우,강원특별자치도 강릉시 옥계면 남양리 1632번지 4호 외 1필지(남양리 1632-1) ,,19,2,452.00 ,2023-12-08
골말농장,육계,강원특별자치도 강릉시 강동면 산성우리 산 256번지  ,강원특별자치도 강릉시 강동면 오이골말길 83,1000,3,52.00 ,2023-12-08
구라미농장,돼지,강원특별자치도 강릉시 사천면 석교리 757번지 6호  ,강원특별자치도 강릉시 사천면 구라미길 319,2200,5,2932.00 ,2023-12-08
승락농장,한우,강원특별자치도 강릉시 옥계면 산계리 685번지 2호  ,강원특별자치도 강릉시 옥계면 산계길 645-15,40,1,755.50 ,2023-12-08
용현농장,한우,강원특별자치도 강릉시 사천면 사기막리 190번지 4호 외 1필지 ,,30,3,497.98 ,2023-12-08
수목농장,한우,강원특별자치도 강릉시 사천면 석교리 404번지 1호  ,강원특별자치도 강릉시 사천면 돌다리길 91-32,48,2,400.00 ,2023-12-08
사기막 농장,한우,강원특별자치도 강릉시 사천면 사기막리 558번지  ,강원특별자치도 강릉시 사천면 중앙서로 515-14,2,1,45.00 ,2023-12-08
주문진희망농장,돼지,강원특별자치도 강릉시 주문진읍 향호리 821번지 2호  ,강원특별자치도 강릉시 주문진읍 거문동길 298-39,1500,7,1526.99 ,2023-12-08
하슬라농장,돼지,강원특별자치도 강릉시 강동면 모전리 268번지 1호  ,강원특별자치도 강릉시 강동면 아래장작골길 14-19,2000,5,2080.50 ,2023-12-08
이향용,한우,강원특별자치도 강릉시 사천면 사기막리 183번지  ,강원특별자치도 강릉시 사천면 중앙서로 613,7,1,69.30 ,2023-12-08
송화농장,한우,강원특별자치도 강릉시 연곡면 송림리 370번지 18호  ,강원특별자치도 강릉시 연곡면 송림가마골길 38-1,71,2,956.00 ,2023-12-08
김동섭향호목장,한우,강원특별자치도 강릉시 주문진읍 향호리 1393번지  ,,41,1,392.00 ,2023-12-08
명산목장,한우,강원특별자치도 강릉시 성산면 산북리 123번지 1호  ,,75,2,640.00 ,2023-12-08
진수농장,한우,강원특별자치도 강릉시 왕산면 도마리 60번지  ,,42,3,421.00 ,2023-12-08
진선목장,한우,강원특별자치도 강릉시 성산면 관음리 645번지  ,강원특별자치도 강릉시 성산면 괴일길 261,85,3,840.00 ,2023-12-08
숲실농장,한우,강원특별자치도 강릉시 강동면 임곡리 195번지 3호 외 2필지 ,강원특별자치도 강릉시 강동면 임곡로 697-66,27,1,184.60 ,2023-12-08
태봉한우농장,한우,강원특별자치도 강릉시 주문진읍 교항리 943번지  ,,55,3,1028.00 ,2023-12-08
정동진 성림농장,육계,강원특별자치도 강릉시 강동면 정동진리 50번지 17호  ,,800,2,311.00 ,2023-12-08
칠봉산 농장,한우,강원특별자치도 강릉시 구정면 제비리 725번지  ,,78,2,512.00 ,2023-12-08
말미골농장,염소,강원특별자치도 강릉시 구정면 여찬리 666번지 1호  ,,40,1,300.00 ,2023-12-08
상원목장,한우,강원특별자치도 강릉시 연곡면 동덕리 1614번지 1호  ,강원특별자치도 강릉시 연곡면 해안로 1233,12,1,117.00 ,2023-12-08
홍가네농장,돼지,강원특별자치도 강릉시 주문진읍 장덕리 46번지  ,강원특별자치도 강릉시 주문진읍 장덕고개길 272-50,1750,5,1650.00 ,2023-12-08
손가네 농장,한우,강원특별자치도 강릉시 연곡면 동덕리 1524번지  ,,137,5,2226.20 ,2023-12-08
버들농장,한우,강원특별자치도 강릉시 연곡면 유등리 72번지  ,,23,1,270.00 ,2023-12-08
초시농장,한우,강원특별자치도 강릉시 연곡면 송림리 587번지 1호  ,강원특별자치도 강릉시 연곡면 초시길 349-8,28,3,702.00 ,2023-12-08
향호리원고개농장,한우,강원특별자치도 강릉시 주문진읍 향호리 38번지 1호  ,강원특별자치도 강릉시 주문진읍 원고개길 79-21,11,1,306.90 ,2023-12-08
석화동굴 농장,한우,강원특별자치도 강릉시 옥계면 산계리 1307번지 1호  ,,16,1,396.00 ,2023-12-08
신길선농장,한우,강원특별자치도 강릉시 옥계면 남양리 1684번지 1호  ,강원특별자치도 강릉시 옥계면 남양2길 214,7,1,41.25 ,2023-12-08
옥계농장,한우,강원특별자치도 강릉시 옥계면 금진리 948번지  ,,15,1,60.00 ,2023-12-08
이상백농장,한우,강원특별자치도 강릉시 옥계면 낙풍리 294번지 1호  ,강원특별자치도 강릉시 옥계면 낙풍음촌길 47-28,7,1,40.00 ,2023-12-08
임영순농장,한우,강원특별자치도 강릉시 옥계면 산계리 324번지  ,,6,1,32.00 ,2023-12-08
정옥녀농장,한우,강원특별자치도 강릉시 옥계면 남양리 산 902번지  ,강원특별자치도 강릉시 옥계면 이증밭길 106,9,1,40.00 ,2023-12-08
이옥연농장,한우,강원특별자치도 강릉시 구정면 구정리 597번지  ,강원특별자치도 강릉시 구정면 삼정1길 38,8,1,48.00 ,2023-12-08
김옥성농장,육계,강원특별자치도 강릉시 구정면 제비리 843번지  ,강원특별자치도 강릉시 구정면 제비골길 142,60,1,30.00 ,2023-12-08
양지목장,한우,강원특별자치도 강릉시 연곡면 유등리 383번지 1호  ,강원특별자치도 강릉시 연곡면 진고개로 1999-13,38,2,286.00 ,2023-12-08
송림농장,한우,강원특별자치도 강릉시 연곡면 송림리 399번지  ,강원특별자치도 강릉시 연곡면 송림가마골길 11,18,1,252.50 ,2023-12-08
최석관농장,한우,강원특별자치도 강릉시 구정면 학산리 63번지 5호  ,강원특별자치도 강릉시 구정면 학산중길 70-5,10,1,97.35 ,2023-12-08
최채희농장,한우,강원특별자치도 강릉시 옥계면 남양리 242번지 2호  ,강원특별자치도 강릉시 옥계면 남촌길 35-9,4,1,23.00 ,2023-12-08
이봉섭농장,육계,강원특별자치도 강릉시 노암동 417번지  ,강원특별자치도 강릉시 남부로212번길 9-3 (노암동),79,2,49.00 ,2023-12-08
경하목장,한우,강원특별자치도 강릉시 연곡면 유등리 212번지 1호 외 1필지 ,,120,4,3338.00 ,2023-12-08
상원목장,한우,강원특별자치도 강릉시 연곡면 동덕리 1613번지  ,,130,2,1274.30 ,2023-12-08
대상농장,한우,강원특별자치도 강릉시 왕산면 고단리 738번지 3호  ,,44,1,1287.14 ,2023-12-08
부동농장,한우,강원특별자치도 강릉시 성산면 어흘리 544번지  ,,2,1,37.00 ,2023-12-08
믿음사슴농장,사슴,강원특별자치도 강릉시 유산동 638번지  ,,90,0,1650.00 ,2023-12-08
항골농장,산양,    ,강원특별자치도 강릉시 성산면 양지말길 94-62,70,2,3003.50 ,2023-12-08
백두농장,산양,    ,강원특별자치도 강릉시 성산면 성연로 5-36,100,4,2804.00 ,2023-12-08
대관령농장,산양,강원특별자치도 강릉시 왕산면 대기리 산 2번지 211호  ,,55,2,190.00 ,2023-12-08
생골촌사슴타조농장,사슴+타조,"강원특별자치도 강릉시 옥계면 천남리 49번지 1호 외 2필지(강릉시 옥계면 천남리 45, 강릉시 옥계면 천남리 383) ",강원특별자치도 강릉시 옥계면 생골길 65-8,90,3,405.00 ,2023-12-08
해맞이농장,산양,강원특별자치도 강릉시 옥계면 산계리 1713번지  ,,6,1,1500.00 ,2023-12-08
송이마을사슴농장,산양+사슴,    ,강원특별자치도 강릉시 옥계면 이증밭길 55,23,2,905.00 ,2023-12-08
가족농장,산양,강원특별자치도 강릉시 옥계면 천남리 79번지 2호  ,,120,2,384.00 ,2023-12-08
희망농장,한우,강원특별자치도 강릉시 강동면 임곡리 312번지  ,,17,2,216.60 ,2023-12-08
우리농장,사슴,    ,강원특별자치도 강릉시 강동면 단경로 372,4,2,140.00 ,2023-12-08
찬준농장,한우+산양,강원특별자치도 강릉시 장현동  ,강원특별자치도 강릉시 모산로209번안길 9 (장현동),11,2,105.00 ,2023-12-08
하람농장,산양,강원특별자치도 강릉시 안현동 산 157번지  ,,5,2,382.00 ,2023-12-08
만강농장,산양,강원특별자치도 강릉시 구정면 학산리 산 313번지 1호  ,,6,1,12.00 ,2023-12-08
말미골농장,한우+산양,    ,강원특별자치도 강릉시 구정면 말미길 86-12,14,2,1710.00 ,2023-12-08
대관령사슴목장,사슴,강원특별자치도 강릉시 구정면 구정리 439번지 1호  ,,35,2,2000.00 ,2023-12-08
강원사슴목장,사슴,강원특별자치도 강릉시 왕산면 목계리 580번지 2호  ,,30,3,1695.00 ,2023-12-08
삼교농장,산양,강원특별자치도 강릉시 주문진읍 삼교리 14번지 2호  ,,5,2,1388.00 ,2023-12-08
백연농장,산양,강원특별자치도 강릉시 주문진읍 교항리 226번지 3호  ,,80,1,453.00 ,2023-12-08
등마루 흑염소 방목장,산양,    ,강원특별자치도 강릉시 주문진읍 원고개길 57-9,30,1,181.00 ,2023-12-08
재천농장,산양,    ,강원특별자치도 강릉시 옥계면 헌화로 97-69,45,2,350.00 ,2023-12-08
초원농장,한우,강원특별자치도 강릉시 성산면 산북리 1188번지  ,강원특별자치도 강릉시 성산면 내맬길 159,54,1,502.00 ,2023-12-08
원기농장,한우,강원특별자치도 강릉시 성산면 산북리 728번지  ,강원특별자치도 강릉시 성산면 자포골길 27,6,1,109.88 ,2023-12-08
동래농장,한우,강원특별자치도 강릉시 성산면 산북리 642번지  ,강원특별자치도 강릉시 성산면 자포골길 90-6,11,1,65.00 ,2023-12-08
왕산골 사슴농장,사슴,강원특별자치도 강릉시 왕산면 왕산리 759번지 1호  ,강원특별자치도 강릉시 왕산면 왕산큰골길 182-29,9,0,380.00 ,2023-12-08
왕산농장,한우,강원특별자치도 강릉시 왕산면 목계리 271번지 1호  ,강원특별자치도 강릉시 왕산면 선인당길 102,29,2,193.00 ,2023-12-08
행복농장,종계산란계,강원특별자치도 강릉시 성산면 송암리 386번지  ,강원특별자치도 강릉시 성산면 지암길 139-7,2000,2,338.00 ,2023-12-08
왕산농장,산양,강원특별자치도 강릉시 왕산면 도마리 산 162번지 3호  ,,15,1,18.00 ,2023-12-08
형남농장,"종계산란계,+산양",강원특별자치도 강릉시 구정면 구정리 920번지 1호  ,강원특별자치도 강릉시 구정면 청파로 60,36,2,70.00 ,2023-12-08
땅재 농장,한우,강원특별자치도 강릉시 강동면 언별리 1094번지  ,강원특별자치도 강릉시 강동면 언별땅재길 9,13,1,82.00 ,2023-12-08
돌다리 농장,한우,강원특별자치도 강릉시 사천면 석교리 1172번지  ,,4,1,440.00 ,2023-12-08
듬바우농장,한우,강원특별자치도 강릉시 연곡면 퇴곡리 634번지 1호  ,강원특별자치도 강릉시 연곡면 듬바우길 99-8,10,1,54.00 ,2023-12-08
옥계혜운농장,육계,강원특별자치도 강릉시 옥계면 현내리 897번지  ,강원특별자치도 강릉시 옥계면 현내교동길 155-26,1000,4,790.00 ,2023-12-08
병국농장,한우,강원특별자치도 강릉시 구정면 어단리 138번지  ,,68,2,1194.00 ,2023-12-08
옥봉농장,한우,강원특별자치도 강릉시 구정면 학산리 70번지 112호  ,강원특별자치도 강릉시 구정면 구정옥봉길 95,13,1,165.00 ,2023-12-08
용진목장,한우,강원특별자치도 강릉시 강동면 언별리 656번지 1호  ,강원특별자치도 강릉시 강동면 단경로 256-11,28,5,1305.00 ,2023-12-08
옥계쌍둥이동물농장,육계+사슴+칠면조+꿩,강원특별자치도 강릉시 옥계면 천남리 384번지  ,,155,2,378.00 ,2023-12-08
애니멀스토리,면양+칠면조+거위+꿩,강원특별자치도 강릉시 성산면 어흘리 62번지  ,강원특별자치도 강릉시 성산면 성연로 212-10,15,3,190.00 ,2023-12-08
덕고개 한우 영농 조합법인,한우,강원특별자치도 강릉시 구정면 덕현리 169번지 1호  ,강원특별자치도 강릉시 구정면 언별하평길 115-24,121,2,3116.90 ,2023-12-08
고구려 목장,한우,강원특별자치도 강릉시 성산면 산북리 555번지 1호  ,,21,1,397.00 ,2023-12-08
내곡농장,한우,강원특별자치도 강릉시 내곡동 400번지 3호  ,강원특별자치도 강릉시 남부로63번길 29-16 (내곡동),8,1,256.00 ,2023-12-08
너래농원,한우,강원특별자치도 강릉시 사천면 석교리 857번지 1호  ,,32,4,1658.00 ,2023-12-08
일훈 농장,한우,강원특별자치도 강릉시 연곡면 신왕리 219번지  ,강원특별자치도 강릉시 연곡면 신왕길 91,30,1,421.64 ,2023-12-08
금란한우농장,한우,    ,강원특별자치도 강릉시 연곡면 송림웃둔지길 53,12,1,120.00 ,2023-12-08
나래농원,종계산란계,강원특별자치도 강릉시 사천면 노동리 164번지  ,,800,1,188.00 ,2023-12-08
제비농장,한우,강원특별자치도 강릉시 구정면 제비리 265번지 8호  ,,4,1,100.00 ,2023-12-08
오이골말농장,한우,강원특별자치도 강릉시 강동면 산성우리 254번지 1호 외 1필지 ,,35,1,352.00 ,2023-12-08
강릉흑염소,염소,강원특별자치도 강릉시 사천면 방동리 430번지  ,,50,2,180.00 ,2023-12-08
솔봉농장,육계,강원특별자치도 강릉시 주문진읍 장덕리 752번지  ,,30,6,400.00 ,2023-12-08
오솔길 농장,육계,강원특별자치도 강릉시 주문진읍 장덕리 970번지 1호  ,,1000,1,198.00 ,2023-12-08
청계농장,종계산란계,강원특별자치도 강릉시 연곡면 퇴곡리 22번지 6호  ,,100,1,36.00 ,2023-12-08
백봉령농장,염소,강원특별자치도 강릉시 성산면 산북리 585번지 1호  ,강원특별자치도 강릉시 성산면 내맬길 213,60,1,150.00 ,2023-12-08
야곱농장,염소,    ,강원특별자치도 강릉시 성산면 소목길 123-54,50,1,100.00 ,2023-12-08
도배마을농장,육계+염소,강원특별자치도 강릉시 성산면 위촌리 966번지 3호  ,,105,2,214.00 ,2023-12-08
대관령 아기동물농장,한우+돼지+육계+오리+면양+사슴+메추리+염소,강원특별자치도 강릉시 사천면 노동리 819번지 13호 외 1필지(사천면 노동리 819-15) ,강원특별자치도 강릉시 사천면 송암골길 197-13,224,5,1665.00 ,2023-12-08
소담농장,한우,강원특별자치도 강릉시 사천면 석교리 634번지 1호  ,,76,1,1247.00 ,2023-12-08
여물 제1농장,한우,"강원특별자치도 강릉시 강동면 모전리 748번지 외 3필지, 강동면 언별리 655, 언별리 656 ",,250,5,2783.83 ,2023-12-08
장수목장,육우,강원특별자치도 강릉시 주문진읍 향호리 335번지  ,,23,3,897.12 ,2023-12-08
왕산사슴목장,사슴+염소,강원특별자치도 강릉시 왕산면 도마리 904번지  ,강원특별자치도 강릉시 왕산면 밭갈이길 98,25,3,229.20 ,2023-12-08
석수농장,한우,강원특별자치도 강릉시 사천면 석교리 1206번지  ,,20,2,756.00 ,2023-12-08
산골농장,한우,강원특별자치도 강릉시 주문진읍 교항리 1065번지  ,강원특별자치도 강릉시 주문진읍 신리천로 224-80,49,3,729.00 ,2023-12-08
구정염소농장,염소,강원특별자치도 강릉시 구정면 여찬리 1006번지  ,강원특별자치도 강릉시 구정면 구정중앙로 163,40,2,187.00 ,2023-12-08
형제농장,기타,강원특별자치도 강릉시 연곡면 동덕리 1485번지  ,,0,2,1149.92 ,2023-12-08
자연같이 팜,종계산란계,강원특별자치도 강릉시 강동면 산성우리 266번지 7호  ,,1500,3,984.00 ,2023-12-08
한빛 목장,한우,강원특별자치도 강릉시 주문진읍 향호리 1561번지  ,강원특별자치도 강릉시 주문진읍 참샘길 149-12,20,1,543.00 ,2023-12-08
최지원 농장,한우,강원특별자치도 강릉시 연곡면 송림리 362번지  ,,50,1,1272.00 ,2023-12-08
강릉아기동물농장,돼지+오리+면양+사슴+염소,강원특별자치도 강릉시 사천면 사천진리 305번지 7호  ,강원특별자치도 강릉시 사천면 해안로 1121-144,33,7,58.00 ,2023-12-08
소담뜰 유황오리농장,육계+오리,강원특별자치도 강릉시 주문진읍 교항리 1049번지  ,,500,2,197.40 ,2023-12-08
