연번,농장구분,소재지,한우,젖소,육우,데이터기준일
41,개인,충청남도 청양군 남양면 백금리 19,45,0,0,2026-05-18
42,개인,충청남도 청양군 청양읍 청수리 334,8,0,0,2026-05-18
43,개인,충청남도 청양군 화성면 기덕리 275-1,0,0,0,2026-05-18
44,개인,충청남도 청양군 화성면 신정리 37-2,7,0,0,2026-05-18
45,개인,충청남도 청양군 청남면 상장리 125-1,19,0,0,2026-05-18
46,개인,충청남도 청양군 청남면 내직리 440-4,9,0,0,2026-05-18
47,개인,충청남도 청양군 청남면 청소리 594-2,19,0,0,2026-05-18
48,개인,충청남도 청양군 청남면 왕진리 112-1,48,0,0,2026-05-18
49,개인,충청남도 청양군 청양읍 백천리 308,10,0,0,2026-05-18
50,개인,충청남도 청양군 운곡면 모곡리 308-1,10,0,0,2026-05-18
51,개인,충청남도 청양군 장평면 중추리 269-4,0,0,0,2026-05-18
52,개인,충청남도 청양군 목면 대평리 521,2,0,0,2026-05-18
53,개인,충청남도 청양군 비봉면 양사리 953-3,13,0,0,2026-05-18
54,개인,충청남도 청양군 청양읍 학당리 48-2,28,0,0,2026-05-18
55,개인,충청남도 청양군 정산면 와촌리 86-3,195,0,0,2026-05-18
56,개인,충청남도 청양군 운곡면 미량리 547,13,0,0,2026-05-18
57,개인,충청남도 청양군 정산면 송학리 140-4,7,0,0,2026-05-18
58,개인,충청남도 청양군 장평면 은곡리 309,0,0,0,2026-05-18
59,개인,충청남도 청양군 화성면 농암리 87,19,0,0,2026-05-18
60,개인,충청남도 청양군 비봉면 강정리 113-3,0,0,0,2026-05-18
61,개인,충청남도 청양군 청남면 상장리 8,82,0,0,2026-05-18
62,개인,충청남도 청양군 비봉면 방한리 1043-5,14,0,0,2026-05-18
63,개인,충청남도 청양군 운곡면 영양리 11,16,0,0,2026-05-18
64,개인,충청남도 청양군 화성면 구재리 105-4,19,0,0,2026-05-18
65,개인,충청남도 청양군 목면 신흥리 94,4,0,0,2026-05-18
66,개인,충청남도 청양군 정산면 백곡리 415,14,0,0,2026-05-18
67,개인,충청남도 청양군 남양면 신왕리 383-3,1,0,0,2026-05-18
68,개인,충청남도 청양군 비봉면 사점리 ,7,0,0,2026-05-18
69,개인,충청남도 청양군 목면 송암리 65-1,7,0,0,2026-05-18
70,개인,충청남도 청양군 정산면 서정리 256,15,0,0,2026-05-18
71,개인,충청남도 청양군 정산면 마치리 520-3,12,0,0,2026-05-18
72,개인,충청남도 청양군 화성면 광평리 103-1,3,0,0,2026-05-18
73,개인,충청남도 청양군 청양읍 장승리 449-1,20,0,0,2026-05-18
74,개인,충청남도 청양군 비봉면 사점리 141-4,119,0,0,2026-05-18
75,개인,충청남도 청양군 정산면 송학리 177-1,6,0,0,2026-05-18
76,개인,충청남도 청양군 목면 송암리 101,0,0,0,2026-05-18
77,개인,충청남도 청양군 운곡면 광암리 505-2,4,0,0,2026-05-18
78,개인,충청남도 청양군 정산면 광생리 388-12,60,0,0,2026-05-18
79,개인,충청남도 청양군 장평면 관현리 367-1,21,0,0,2026-05-18
80,개인,충청남도 청양군 목면 화양리 1044-12,145,0,0,2026-05-18
81,개인,충청남도 청양군 정산면 와촌리 31-4,164,0,0,2026-05-18
82,개인,충청남도 청양군 남양면 흥산리 153-2,19,0,0,2026-05-18
83,개인,충청남도 청양군 화성면 매산리 59,14,0,0,2026-05-18
84,개인,충청남도 청양군 청양읍 장승리 119-10,5,0,0,2026-05-18
85,개인,충청남도 청양군 목면 대평리 7-1,5,0,0,2026-05-18
86,개인,충청남도 청양군 청남면 상장리 2,79,0,0,2026-05-18
87,개인,충청남도 청양군 청남면 청소리 658-1,15,0,0,2026-05-18
88,개인,충청남도 청양군 청남면 인양리 763-12,181,0,0,2026-05-18
89,개인,충청남도 청양군 비봉면 강정리 산16-2,3,0,0,2026-05-18
90,개인,충청남도 청양군 정산면 광생리 389-10,0,0,0,2026-05-18
91,개인,충청남도 청양군 청양읍 정좌리 843-4,,0,14,2026-05-18
92,개인,충청남도 청양군 운곡면 영양리 1264-3,73,0,0,2026-05-18
93,개인,충청남도 청양군 청양읍 학당리 123-2,0,0,0,2026-05-18
94,개인,충청남도 청양군 대치면 주정리 432,1,0,0,2026-05-18
95,개인,충청남도 청양군 비봉면 중묵리 660-2,31,0,0,2026-05-18
96,개인,충청남도 청양군 장평면 화산리 74-3,13,0,0,2026-05-18
97,개인,충청남도 청양군 장평면 죽림리 333,47,0,0,2026-05-18
98,개인,충청남도 청양군 정산면 해남리 265,41,0,0,2026-05-18
99,개인,충청남도 청양군 정산면 해남리 182-5,11,0,0,2026-05-18
100,개인,충청남도 청양군 대치면 농소리 산121,0,0,0,2026-05-18
101,개인,충청남도 청양군 장평면 구룡리 49-4,46,0,0,2026-05-18
102,개인,충청남도 청양군 목면 송암리 308,0,0,0,2026-05-18
103,개인,충청남도 청양군 목면 화양리 1045-5,106,0,0,2026-05-18
104,개인,충청남도 청양군 정산면 와촌리 37,4,0,0,2026-05-18
105,개인,충청남도 청양군 장평면 구룡리 74-18,27,0,0,2026-05-18
106,개인,충청남도 청양군 장평면 구룡리 59-11,0,0,0,2026-05-18
107,개인,충청남도 청양군 비봉면 관산리 230-5,17,0,0,2026-05-18
108,개인,충청남도 청양군 비봉면 강정리 53-3,3,0,0,2026-05-18
109,개인,충청남도 청양군 장평면 락지리 236-1,3,0,0,2026-05-18
110,개인,충청남도 청양군 운곡면 위라리 151,0,0,0,2026-05-18
111,개인,충청남도 청양군 장평면 화산리 272,23,0,0,2026-05-18
112,개인,충청남도 청양군 장평면 구룡리 57-11,2,0,0,2026-05-18
113,개인,충청남도 청양군 정산면 신덕리 51-29,134,0,0,2026-05-18
114,개인,충청남도 청양군 청남면 지곡리 294-7,20,0,0,2026-05-18
115,개인,충청남도 청양군 목면 화양리 963,32,0,0,2026-05-18
116,개인,충청남도 청양군 장평면 화산리 287-1,3,0,0,2026-05-18
117,개인,충청남도 청양군 장평면 화산리 484-71,18,0,0,2026-05-18
118,개인,충청남도 청양군 정산면 해남리 190-2,20,0,0,2026-05-18
119,개인,충청남도 청양군 목면 안심리 169-1,0,0,0,2026-05-18
120,개인,충청남도 청양군 장평면 은곡리 689-13,59,0,0,2026-05-18
121,개인,충청남도 청양군 대치면 이화리 133,0,0,0,2026-05-18
122,개인,충청남도 청양군 정산면 광생리 383-12,206,0,0,2026-05-18
123,개인,충청남도 청양군 비봉면 중묵리 357,17,0,0,2026-05-18
124,개인,충청남도 청양군 정산면 서정리 217-2,1,0,0,2026-05-18
125,개인,충청남도 청양군 청남면 중산리 산486-1,0,0,0,2026-05-18
126,개인,충청남도 청양군 운곡면 신대리 76-1,18,0,0,2026-05-18
127,개인,충청남도 청양군 목면 화양리 1053-3,132,0,0,2026-05-18
128,개인,충청남도 청양군 대치면 이화리 404,10,0,0,2026-05-18
129,개인,충청남도 청양군 정산면 신덕리 107,0,0,0,2026-05-18
130,개인,충청남도 청양군 목면 화양리 1045-1,36,0,0,2026-05-18
131,개인,충청남도 청양군 남양면 용두리 99-1,2,0,0,2026-05-18
132,개인,충청남도 청양군 정산면 와촌리 118-2,57,0,0,2026-05-18
133,개인,충청남도 청양군 비봉면 양사리 500-4,25,0,0,2026-05-18
134,개인,충청남도 청양군 정산면 광생리 388-7,92,0,0,2026-05-18
135,개인,충청남도 청양군 화성면 용당리 574,0,0,0,2026-05-18
136,개인,충청남도 청양군 화성면 장계리 802-17,37,0,0,2026-05-18
137,개인,충청남도 청양군 목면 송암리 258-1,5,0,0,2026-05-18
138,개인,충청남도 청양군 정산면 광생리 385-5,243,0,0,2026-05-18
139,개인,충청남도 청양군 정산면 덕성리 285,2,0,0,2026-05-18
140,개인,충청남도 청양군 비봉면 방한리 409,2,0,0,2026-05-18
141,개인,충청남도 청양군 장평면 화산리 333,20,0,0,2026-05-18
142,개인,충청남도 청양군 장평면 화산리 477,18,0,0,2026-05-18
143,개인,충청남도 청양군 장평면 죽림리 263,2,0,0,2026-05-18
144,개인,충청남도 청양군 정산면 대박리 100,0,0,0,2026-05-18
145,개인,충청남도 청양군 운곡면 미량리 277,0,0,0,2026-05-18
146,개인,충청남도 청양군 운곡면 미량리 296,13,0,0,2026-05-18
147,개인,충청남도 청양군 운곡면 추광리 229,6,0,0,2026-05-18
148,개인,충청남도 청양군 장평면 죽림리 254,41,0,0,2026-05-18
149,개인,충청남도 청양군 정산면 광생리 338,17,0,0,2026-05-18
150,개인,충청남도 청양군 운곡면 위라리 697,6,0,0,2026-05-18
151,개인,충청남도 청양군 목면 대평리 7-1,2,0,0,2026-05-18
152,개인,충청남도 청양군 장평면 구룡리 232-1,0,0,0,2026-05-18
153,개인,충청남도 청양군 목면 안심리 193,32,0,0,2026-05-18
154,개인,충청남도 청양군 비봉면 사점리 107,14,0,0,2026-05-18
155,개인,충청남도 청양군 목면 대평리 55,52,0,0,2026-05-18
156,개인,충청남도 청양군 남양면 대봉리 668-7,68,0,0,2026-05-18
157,개인,충청남도 청양군 비봉면 록평리 586,211,0,0,2026-05-18
158,개인,충청남도 청양군 청남면 상장리 90,12,0,0,2026-05-18
159,개인,충청남도 청양군 화성면 신정리 231-3,37,0,0,2026-05-18
160,개인,충청남도 청양군 화성면 농암리 352-3,0,0,0,2026-05-18
161,개인,충청남도 청양군 화성면 광평리 119-3,16,0,0,2026-05-18
162,개인,충청남도 청양군 운곡면 추광리 366,0,0,0,2026-05-18
163,개인,충청남도 청양군 청양읍 정좌리 514-2,264,0,0,2026-05-18
164,개인,충청남도 청양군 청양읍 학당리 501-1,8,0,0,2026-05-18
165,개인,충청남도 청양군 장평면 화산리 537-1,11,0,0,2026-05-18
166,개인,충청남도 청양군 비봉면 록평리 82,0,0,0,2026-05-18
167,개인,충청남도 청양군 청남면 지곡리 288-9,91,0,0,2026-05-18
168,개인,충청남도 청양군 목면 안심리 172-1,2,0,0,2026-05-18
169,개인,충청남도 청양군 목면 본의리 134-1,9,0,0,2026-05-18
170,개인,충청남도 청양군 운곡면 광암리 732-17,0,0,0,2026-05-18
171,개인,충청남도 청양군 목면 본의리 180-3,17,0,0,2026-05-18
172,개인,충청남도 청양군 청양읍 학당리 625-7,8,0,0,2026-05-18
173,개인,충청남도 청양군 목면 대평리 213,1,0,0,2026-05-18
174,개인,충청남도 청양군 장평면 화산리 360,2,0,0,2026-05-18
175,개인,충청남도 청양군 청양읍 학당리 542,2,0,0,2026-05-18
176,개인,충청남도 청양군 청남면 천내리 595,0,0,0,2026-05-18
177,개인,충청남도 청양군 정산면 신덕리 441-11,32,0,0,2026-05-18
178,개인,충청남도 청양군 운곡면 모곡리 71-9,13,0,0,2026-05-18
179,개인,충청남도 청양군 운곡면 효제리 221,4,0,0,2026-05-18
180,개인,충청남도 청양군 청남면 지곡리 292-8,49,0,0,2026-05-18
181,개인,충청남도 청양군 정산면 정산면 ,0,0,0,2026-05-18
182,개인,충청남도 청양군 청남면 상장리 413-5,6,0,0,2026-05-18
183,개인,충청남도 청양군 장평면 장평면 ,2,0,0,2026-05-18
184,개인,충청남도 청양군 정산면 와촌리 227,8,0,0,2026-05-18
185,개인,충청남도 청양군 비봉면 장재리 189-2,5,0,0,2026-05-18
186,개인,충청남도 청양군 정산면 용두리 210,21,0,0,2026-05-18
187,개인,충청남도 청양군 비봉면 용천리 541-2,42,0,0,2026-05-18
188,개인,충청남도 청양군 목면 화양리 1046-8,84,0,0,2026-05-18
189,개인,충청남도 청양군 비봉면 록평리 327-1,0,0,0,2026-05-18
190,개인,충청남도 청양군 목면 화양리 1051-5,66,0,0,2026-05-18
191,개인,충청남도 청양군 장평면 중추리 522-23,5,0,0,2026-05-18
192,개인,충청남도 청양군 장평면 미당리 119-7,19,0,0,2026-05-18
193,개인,충청남도 청양군 대치면 형산리 155-11,0,0,0,2026-05-18
194,개인,충청남도 청양군 비봉면 방한리 1026-2,26,0,0,2026-05-18
195,개인,충청남도 청양군 청남면 지곡리 700-4,37,0,0,2026-05-18
196,개인,충청남도 청양군 장평면 구룡리 75-5,136,0,0,2026-05-18
197,개인,충청남도 청양군 청남면 동강리 676-5,66,0,0,2026-05-18
198,개인,충청남도 청양군 정산면 광생리 390-11,20,0,0,2026-05-18
199,개인,충청남도 청양군 목면 대평리 215,9,0,0,2026-05-18
200,개인,충청남도 청양군 장평면 구룡리 60-7,112,0,0,2026-05-18
201,개인,충청남도 청양군 청남면 지곡리 292-11,9,0,0,2026-05-18
202,개인,충청남도 청양군 정산면 덕성리 686-7,18,0,0,2026-05-18
203,개인,충청남도 청양군 정산면 덕성리 492-1,7,0,0,2026-05-18
204,개인,충청남도 청양군 비봉면 중묵리 616-6,11,0,0,2026-05-18
205,개인,충청남도 청양군 남양면 대봉리 202-2,4,0,0,2026-05-18
206,개인,충청남도 청양군 대치면 탄정리 205-1,6,0,0,2026-05-18
207,개인,충청남도 청양군 정산면 백곡리 593,0,0,0,2026-05-18
208,개인,충청남도 청양군 청양읍 학당리 12,6,0,0,2026-05-18
209,개인,충청남도 청양군 대치면 탄정리 389,0,0,0,2026-05-18
210,개인,충청남도 청양군 장평면 중추리 645-8,130,0,0,2026-05-18
211,개인,충청남도 청양군 목면 화양리 1049-4,114,0,0,2026-05-18
212,개인,충청남도 청양군 정산면 광생리 388-6,120,0,0,2026-05-18
213,개인,충청남도 청양군 비봉면 장재리 572-1,88,0,0,2026-05-18
214,개인,충청남도 청양군 장평면 구룡리 57-10,12,0,0,2026-05-18
215,개인,충청남도 청양군 대치면 시전리 701,17,0,0,2026-05-18
216,개인,충청남도 청양군 목면 화양리 1047-6,40,0,0,2026-05-18
217,개인,충청남도 청양군 청양읍 백천리 380,2,0,0,2026-05-18
218,개인,충청남도 청양군 목면 대평리 256-4,38,0,0,2026-05-18
219,개인,충청남도 청양군 비봉면 강정리 180-2,14,0,0,2026-05-18
220,개인,충청남도 청양군 화성면 용당리 165,8,0,0,2026-05-18
221,개인,충청남도 청양군 운곡면 후덕리 719,0,0,0,2026-05-18
222,개인,충청남도 청양군 대치면 광대리 90,2,0,0,2026-05-18
223,개인,충청남도 청양군 남양면 백금리 660-7,22,0,0,2026-05-18
224,개인,충청남도 청양군 대치면 수석리 342,13,0,0,2026-05-18
225,개인,충청남도 청양군 대치면 수석리 462,15,0,0,2026-05-18
226,개인,충청남도 청양군 비봉면 비봉면 ,3,0,0,2026-05-18
227,개인,충청남도 청양군 운곡면 추광리 70-1,6,0,0,2026-05-18
228,개인,충청남도 청양군 화성면 광평리 153-3,95,0,0,2026-05-18
229,개인,충청남도 청양군 청남면 지곡리 512-7,22,0,0,2026-05-18
230,개인,충청남도 청양군 화성면 농암리 27,0,0,0,2026-05-18
231,개인,충청남도 청양군 남양면 봉암리 202-3,7,0,0,2026-05-18
232,개인,충청남도 청양군 비봉면 사점리 78,0,0,0,2026-05-18
233,개인,충청남도 청양군 청양읍 군량리 546-4,0,0,0,2026-05-18
234,개인,충청남도 청양군 정산면 남천리 258-2,12,0,0,2026-05-18
235,개인,충청남도 청양군 정산면 대박리 650,1,0,0,2026-05-18
236,개인,충청남도 청양군 정산면 송학리 124,90,0,0,2026-05-18
237,개인,충청남도 청양군 정산면 역촌리 산111,0,0,0,2026-05-18
238,개인,충청남도 청양군 운곡면 후덕리 261,25,0,0,2026-05-18
239,개인,충청남도 청양군 화성면 구재리 208-1,19,0,0,2026-05-18
240,개인,충청남도 청양군 정산면 해남리 639-1,93,0,0,2026-05-18
241,개인,충청남도 청양군 목면 화양리 1053-12,81,0,0,2026-05-18
242,개인,충청남도 청양군 청양읍 장승리 586-2,15,0,0,2026-05-18
243,개인,충청남도 청양군 청양읍 청수리 271,1,0,0,2026-05-18
244,개인,충청남도 청양군 운곡면 효제리 179,0,0,0,2026-05-18
245,개인,충청남도 청양군 비봉면 사점리 92-2,13,0,0,2026-05-18
246,개인,충청남도 청양군 비봉면 장재리 374-5,43,0,0,2026-05-18
247,개인,충청남도 청양군 남양면 대봉리 201,1,0,0,2026-05-18
248,개인,충청남도 청양군 운곡면 효제리 722,16,0,0,2026-05-18
249,개인,충청남도 청양군 운곡면 위라리 189-2,0,0,0,2026-05-18
250,개인,충청남도 청양군 운곡면 위라리 169,27,0,0,2026-05-18
251,개인,충청남도 청양군 장평면 미당리 89-25,6,0,0,2026-05-18
252,개인,충청남도 청양군 장평면 화산리 64,20,0,0,2026-05-18
253,개인,충청남도 청양군 장평면 은곡리 565-6,14,0,0,2026-05-18
254,개인,충청남도 청양군 운곡면 미량리 501-2,1,0,0,2026-05-18
255,개인,충청남도 청양군 장평면 분향리 373-5,2,0,0,2026-05-18
256,개인,충청남도 청양군 정산면 대박리 507,1,0,0,2026-05-18
257,개인,충청남도 청양군 남양면 용마리 ,8,0,0,2026-05-18
258,개인,충청남도 청양군 장평면 미당리 448-9,3,0,0,2026-05-18
259,개인,충청남도 청양군 운곡면 광암리 436-1,0,0,0,2026-05-18
260,개인,충청남도 청양군 비봉면 용천리 157-3,201,0,0,2026-05-18
261,개인,충청남도 청양군 대치면 수석리 94,25,0,0,2026-05-18
262,개인,충청남도 청양군 장평면 죽림리 204,10,0,0,2026-05-18
263,개인,충청남도 청양군 장평면 죽림리 228-1,47,0,0,2026-05-18
264,개인,충청남도 청양군 청남면 인양리 819-1,74,0,0,2026-05-18
265,개인,충청남도 청양군 정산면 광생리 388-3,68,0,0,2026-05-18
266,개인,충청남도 청양군 정산면 역촌리 471-1,1,0,0,2026-05-18
267,개인,충청남도 청양군 청남면 상장리 667-4,98,0,0,2026-05-18
268,개인,충청남도 청양군 비봉면 신원리 400,0,0,0,2026-05-18
269,개인,충청남도 청양군 운곡면 미량리 1057-2,28,0,0,2026-05-18
270,개인,충청남도 청양군 남양면 온암리 581,10,0,0,2026-05-18
271,개인,충청남도 청양군 청남면 청소리 429-1,333,0,0,2026-05-18
272,개인,충청남도 청양군 정산면 학암리 443-4,2,0,0,2026-05-18
273,개인,충청남도 청양군 비봉면 장재리 568-1,113,0,0,2026-05-18
274,개인,충청남도 청양군 목면 안심리 827-1,35,0,0,2026-05-18
275,개인,충청남도 청양군 대치면 시전리 641-1,61,0,0,2026-05-18
276,개인,충청남도 청양군 정산면 신덕리 201-2,43,0,0,2026-05-18
277,개인,충청남도 청양군 목면 화양리 1045-3,83,0,0,2026-05-18
278,개인,충청남도 청양군 청양읍 백천리 588,11,0,0,2026-05-18
279,개인,충청남도 청양군 운곡면 추광리 559-1,11,0,0,2026-05-18
280,개인,충청남도 청양군 청양읍 적누리 141,1,0,0,2026-05-18
281,개인,충청남도 청양군 장평면 분향리 798-6,68,0,0,2026-05-18
282,개인,충청남도 청양군 청남면 상장리 3,70,0,0,2026-05-18
283,개인,충청남도 청양군 장평면 구룡리 71-13,280,0,0,2026-05-18
284,개인,충청남도 청양군 비봉면 장재리 573-5,187,0,0,2026-05-18
285,개인,충청남도 청양군 장평면 구룡리 58-14,92,0,0,2026-05-18
286,개인,충청남도 청양군 목면 화양리 1248,264,0,0,2026-05-18
287,개인,충청남도 청양군 비봉면 신원리 751,44,0,0,2026-05-18
288,개인,충청남도 청양군 비봉면 양사리 629-1,6,0,0,2026-05-18
289,개인,충청남도 청양군 화성면 신정리 624-8,1,0,0,2026-05-18
290,개인,충청남도 청양군 장평면 구룡리 72-1,112,0,0,2026-05-18
291,개인,충청남도 청양군 정산면 광생리 387-5,81,0,0,2026-05-18
292,개인,충청남도 청양군 장평면 죽림리 253,9,0,0,2026-05-18
293,개인,충청남도 청양군 목면 신흥리 927,40,0,0,2026-05-18
294,개인,충청남도 청양군 청양읍 장승리 131-3,3,0,0,2026-05-18
295,개인,충청남도 청양군 비봉면 중묵리 450,0,0,0,2026-05-18
296,개인,충청남도 청양군 정산면 남천리 1,61,0,0,2026-05-18
297,개인,충청남도 청양군 화성면 화암리 451,9,0,0,2026-05-18
298,개인,충청남도 청양군 정산면 역촌리 792,5,0,0,2026-05-18
299,개인,충청남도 청양군 정산면 해남리 283,0,0,0,2026-05-18
300,개인,충청남도 청양군 비봉면 장재리 194,0,0,0,2026-05-18
301,개인,충청남도 청양군 정산면 학암리 195-7,28,0,0,2026-05-18
302,개인,충청남도 청양군 남양면 대봉리 517,0,0,0,2026-05-18
303,개인,충청남도 청양군 남양면 대봉리 442-1,3,0,0,2026-05-18
304,개인,충청남도 청양군 정산면 남천리 57,0,0,0,2026-05-18
305,개인,충청남도 청양군 정산면 광생리 388-1,28,0,0,2026-05-18
306,개인,충청남도 청양군 비봉면 양사리 181,87,0,0,2026-05-18
307,개인,충청남도 청양군 청남면 지곡리 704-3,3,0,0,2026-05-18
308,개인,충청남도 청양군 정산면 신덕리 210-3,103,0,0,2026-05-18
309,개인,충청남도 청양군 정산면 백곡리 141-6,0,0,0,2026-05-18
310,개인,충청남도 청양군 목면 화양리 1051-3,103,0,0,2026-05-18
311,개인,충청남도 청양군 운곡면 후덕리 189-3,0,0,0,2026-05-18
312,개인,충청남도 청양군 청남면 상장리 2,47,0,0,2026-05-18
313,개인,충청남도 청양군 목면 화양리 76,0,0,0,2026-05-18
314,개인,충청남도 청양군 목면 화양리 1056-7,149,0,0,2026-05-18
315,개인,충청남도 청양군 목면 대평리 256-4,38,0,0,2026-05-18
316,개인,충청남도 청양군 정산면 백곡리 656-10,108,0,0,2026-05-18
317,개인,충청남도 청양군 비봉면 방한리 1032-1,114,0,0,2026-05-18
318,개인,충청남도 청양군 목면 대평리 424,341,0,0,2026-05-18
319,개인,충청남도 청양군 목면 화양리 1042-8,23,0,0,2026-05-18
320,개인,충청남도 청양군 청남면 지곡리 704-1,21,0,0,2026-05-18
321,개인,충청남도 청양군 남양면 흥산리 288,9,0,0,2026-05-18
322,개인,충청남도 청양군 장평면 화산리 440,4,0,0,2026-05-18
323,개인,충청남도 청양군 운곡면 추광리 407,2,0,0,2026-05-18
324,개인,충청남도 청양군 운곡면 미량리 ,51,0,0,2026-05-18
325,개인,충청남도 청양군 장평면 죽림리 23,0,0,0,2026-05-18
326,개인,충청남도 청양군 정산면 와촌리 197,11,0,0,2026-05-18
327,개인,충청남도 청양군 목면 대평리 30,20,0,0,2026-05-18
328,개인,충청남도 청양군 목면 본의리 524-3,25,0,0,2026-05-18
329,개인,충청남도 청양군 비봉면 신원리 141,0,0,0,2026-05-18
330,개인,충청남도 청양군 목면 대평리 8-3,13,0,0,2026-05-18
331,개인,충청남도 청양군 남양면 매곡리 107-3,14,0,0,2026-05-18
332,개인,충청남도 청양군 목면 안심리 683,14,0,0,2026-05-18
333,개인,충청남도 청양군 정산면 송학리 183-2,0,0,0,2026-05-18
334,개인,충청남도 청양군 운곡면 위라리 599,7,0,0,2026-05-18
335,개인,충청남도 청양군 청양읍 백천리 300-1,5,0,0,2026-05-18
336,개인,충청남도 청양군 청남면 천내리 653,1,0,0,2026-05-18
337,개인,충청남도 청양군 정산면 와촌리 71,4,0,0,2026-05-18
338,개인,충청남도 청양군 운곡면 위라리 774-1,18,0,0,2026-05-18
339,개인,충청남도 청양군 목면 안심리 526-2,13,0,0,2026-05-18
340,개인,충청남도 청양군 청양읍 벽천리 121-9,7,0,0,2026-05-18
341,개인,충청남도 청양군 장평면 락지리 268-1,7,0,0,2026-05-18
342,개인,충청남도 청양군 화성면 신정리 323,0,0,0,2026-05-18
343,개인,충청남도 청양군 청양읍 학당리 123,5,0,0,2026-05-18
344,개인,충청남도 청양군 청남면 지곡리 292-5,45,0,0,2026-05-18
345,개인,충청남도 청양군 남양면 백금리 740-6,19,0,0,2026-05-18
346,개인,충청남도 청양군 운곡면 광암리 590-1,0,0,0,2026-05-18
347,개인,충청남도 청양군 목면 송암리 65-1,8,0,0,2026-05-18
348,개인,충청남도 청양군 비봉면 장재리 13,0,0,0,2026-05-18
349,개인,충청남도 청양군 남양면 봉암리 585,33,0,0,2026-05-18
350,개인,충청남도 청양군 장평면 은곡리 213,2,0,0,2026-05-18
351,개인,충청남도 청양군 비봉면 중묵리 616-4,11,0,0,2026-05-18
352,개인,충청남도 청양군 청양읍 정좌리 295-1,1,0,0,2026-05-18
353,개인,충청남도 청양군 대치면 수석리 314,19,0,0,2026-05-18
354,개인,충청남도 청양군 남양면 용두리 250,0,0,0,2026-05-18
355,개인,충청남도 청양군 비봉면 록평리 240-7,22,0,0,2026-05-18
356,개인,충청남도 청양군 청남면 청소리 658-5,51,0,0,2026-05-18
357,개인,충청남도 청양군 대치면 수석리 116,0,0,0,2026-05-18
358,개인,충청남도 청양군 남양면 백금리 390,2,0,0,2026-05-18
359,개인,충청남도 청양군 청남면 지곡리 699-4,37,0,0,2026-05-18
360,개인,충청남도 청양군 청남면 지곡리 52,33,0,0,2026-05-18
