사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육신고두수
박성기 농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 천호로,60
이성구농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 천호로,50
문장농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 천호로,90
정병문농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 문장길,25
국완호농장,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 구상중하길,12
임영순 농장 1,한우,전북특별자치도 완주군 고산면 어우리,,10
서정기농장,한우,전북특별자치도 완주군 고산면 소향리,전북특별자치도 완주군 고산면 신상대향길,5
안골농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 라복1길,148
한우농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신구로,65
소두러니 농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,43
희택농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 화월정자길,11
가마재 소우리,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,49
이정수농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 봉판길,41
이성수농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,40
오광순농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,16
오광열농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,21
이원자농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,19
임석현농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 화산남로,25
장치혁농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,12
임일택농장,한우,전북특별자치도 완주군 고산면 서봉리,전북특별자치도 완주군 고산면 서봉소농길,100
고산농장,돼지,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 양야신풍길,1200
해전농장,한우,전북특별자치도 완주군 삼례읍 해전리,전북특별자치도 완주군 삼례읍 해전1길,40
유훈희농장,한우,전북특별자치도 완주군 봉동읍 구미리,전북특별자치도 완주군 봉동읍 과학로,26
조계순농장,한우,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 화전2길,26
오현홍농장,한우,전북특별자치도 완주군 고산면 오산리,전북특별자치도 완주군 고산면 원오산길,76
조종필농장,한우,전북특별자치도 완주군 화산면 성북리,전북특별자치도 완주군 화산면 백암길,80
수영농장,한우,전북특별자치도 완주군 화산면 성북리,전북특별자치도 완주군 화산면 백암길,300
박영석농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,49
상호농장,한우,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 상호길,80
행복농장 1,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,150
임완규농장,한우,전북특별자치도 완주군 화산면 성북리,전북특별자치도 완주군 화산면 화산로,38
방골농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,70
석천농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,66
장중화농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,36
유상준농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,32
대평농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신구로,142
임영택농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,141
양점수농장,한우,전북특별자치도 완주군 화산면 성북리,전북특별자치도 완주군 화산면 화산로,60
한성일농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 봉판길,54
한기창농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 봉판길,78
한성율농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 봉판길,68
대건농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,96
화월농장 2,육계,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 창곡대서길,40000
유길주농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 봉판길,50
임마누엘농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,100
전유덕농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,30
남양농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,10
대명농장,젖소,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,35
화심농장,돼지,전북특별자치도 완주군 소양면 화심리,전북특별자치도 완주군 소양면 상관소양로,1100
반씨농장,돼지,전북특별자치도 완주군 소양면 신촌리,전북특별자치도 완주군 소양면 월상길,1200
영화농장,돼지,전북특별자치도 완주군 소양면 명덕리,전북특별자치도 완주군 소양면 명덕로,1500
E.L농장,돼지,전북특별자치도 완주군 소양면 명덕리,전북특별자치도 완주군 소양면 신지송광로,4500
동양농장,돼지,전북특별자치도 완주군 소양면 황운리,전북특별자치도 완주군 소양면 망표길,1200
누리농장,돼지,전북특별자치도 완주군 소양면 명덕리,전북특별자치도 완주군 소양면 신지송광로,1650
멍청이농장,돼지,전북특별자치도 완주군 소양면 죽절리,전북특별자치도 완주군 소양면 인덕길,2000
신왕농장,돼지,전북특별자치도 완주군 소양면 명덕리,전북특별자치도 완주군 소양면 신지송광로,3500
한울농장,돼지,전북특별자치도 완주군 소양면 황운리,전북특별자치도 완주군 소양면 망표길,1100
수선 청정농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 수선길,7
원수선농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 수선길,30
덕선농장,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,3
최병용농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 문장길,34
유희관농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,70
천호농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,38
사랑농장,한우,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 봉산길,160
국민수농장,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 구상중하길,30
능암농장,돼지,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 백도길,1000
서영택농장,돼지,전북특별자치도 완주군 구이면 백여리,전북특별자치도 완주군 구이면 원백여길,800
하늘농장,육계,전북특별자치도 완주군 구이면 백여리,전북특별자치도 완주군 구이면 원백여길,30000
이효택농장,돼지,전북특별자치도 완주군 구이면 덕천리,전북특별자치도 완주군 구이면 덕천전원길,1000
김동언농장,한우,전북특별자치도 완주군 운주면 완창리,전북특별자치도 완주군 운주면 원완창길,36
정병식농장,돼지,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 원성재길,1500
송기수농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 밤실길,52
정재봉농장,한우,전북특별자치도 완주군 고산면 오산리,,26
신기축산,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉신기길,30
태산농장,한우,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 송학길,40
고산농장,육계,전북특별자치도 완주군 고산면 화정리,전북특별자치도 완주군 고산면 화정동곡길,80000
송명순농장,육계,전북특별자치도 완주군 고산면 서봉리,전북특별자치도 완주군 고산면 눈기러기로,50000
한율농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,65
정관석농장,한우,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 성재길,5
장봉기농장,육계,전북특별자치도 완주군 고산면 화정리,전북특별자치도 완주군 고산면 화정동곡길,41000
동지농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,90
김재화농장,한우,전북특별자치도 완주군 고산면 서봉리,전북특별자치도 완주군 고산면 관덕길,71
송철호농장,돼지,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 성재길,600
조방희농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,70
김영범농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,100
박길수농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,60
김재윤농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,34
김학렬농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 원산길,50
최성훈농장,한우,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 원성재길,40
서강원농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,46
권준하농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,19
에벤에셀농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 원산길,90
들녘한우,한우,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 화전1길,70
고산농장,젖소,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 원성재길,75
우리농장,한우,전북특별자치도 완주군 고산면 삼기리,전북특별자치도 완주군 고산면 고산천로,140
명임농장,돼지,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉신기길,1100
정영춘농장,한우,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 화전2길,65
장군농장,돼지,전북특별자치도 완주군 고산면 서봉리,전북특별자치도 완주군 고산면 서봉소농길,3800
농업회사법인 주식회사 돈드림,돼지,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 제비실길,12000
김병옥농장,한우,전북특별자치도 완주군 고산면 오산리,전북특별자치도 완주군 고산면 원오산길,113
형제농장,한우,전북특별자치도 완주군 고산면 소향리,전북특별자치도 완주군 고산면 대아저수로,7
김한수농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 원산길,23
태경농장,육계,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,95000
엘지농원,육계,전북특별자치도 완주군 화산면 성북리,전북특별자치도 완주군 화산면 화산로,50000
화산골 힐링 농장,한우,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 화산로,30
운산농장,육계,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 화산로,90000
미남농장 (육계),육계,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,75000
김욱태농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,32
한우물농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 창곡대서길,70
명진농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산예곡길,24
임영복농장,육계,전북특별자치도 완주군 화산면 성북리,전북특별자치도 완주군 화산면 백암길,80000
장금복농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 화산로,25
꼬꼬농장,육계,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,0
김용범농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신구로,6
김점태농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산덕동길,30
남승민농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 화산로,102
산들맘농장2,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,35
오세열농장,젖소,전북특별자치도 완주군 소양면 대흥리,전북특별자치도 완주군 소양면 원대흥길,45
최영림농장,젖소,전북특별자치도 완주군 소양면 명덕리,전북특별자치도 완주군 소양면 명덕로,80
성기 농장,돼지,전북특별자치도 완주군 소양면 명덕리,전북특별자치도 완주군 소양면 일임길,1000
로뎀 농장,젖소,전북특별자치도 완주군 소양면 해월리,전북특별자치도 완주군 소양면 원암로,120
다민목장,젖소,전북특별자치도 완주군 소양면 해월리,전북특별자치도 완주군 소양면 원암로,90
오태주농장,한우,전북특별자치도 완주군 소양면 황운리,전북특별자치도 완주군 소양면 송광수만로,58
국헌호농장,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 눈기러기로,250
로또농장,육계,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,65000
유홍석농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 눈기러기로,60
이한형농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 문장길,30
유재연농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 수선길,5
유희래농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,70
비봉목장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 봉비로,15
박경무농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 수선길,183
호남농장,한우,전북특별자치도 완주군 용진읍 간중리,전북특별자치도 완주군 용진읍 도계길,57
해오름 농장,한우,전북특별자치도 완주군 용진읍 운곡리,전북특별자치도 완주군 용진읍 지암안길,50
정봉락농장,한우,전북특별자치도 완주군 용진읍 상삼리,전북특별자치도 완주군 용진읍 상삼간중길,58
모고지 농장,돼지,전북특별자치도 완주군 이서면 이문리,전북특별자치도 완주군 이서면 이문길,1100
대광목장,젖소,전북특별자치도 완주군 이서면 이문리,전북특별자치도 완주군 이서면 금백로,170
정윤한우목장,한우,전북특별자치도 완주군 이서면 용서리,전북특별자치도 완주군 이서면 용서2길,37
국희농장,한우,전북특별자치도 완주군 삼례읍 하리,,120
박광배농장,한우,전북특별자치도 완주군 구이면 계곡리,전북특별자치도 완주군 구이면 계곡신기길,60
에덴농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,400
운주농장,돼지,전북특별자치도 완주군 운주면 장선리,전북특별자치도 완주군 운주면 장선로,1500
이경수농장,한우,전북특별자치도 완주군 상관면 신리,전북특별자치도 완주군 상관면 상관소양로,32
박기철농장,한우,전북특별자치도 완주군 구이면 백여리,전북특별자치도 완주군 구이면 원백여길,40
고덕목장,한우,전북특별자치도 완주군 구이면 평촌리,전북특별자치도 완주군 구이면 평촌로,120
형제농장 3,한우,전북특별자치도 완주군 상관면 죽림리,전북특별자치도 완주군 상관면 내정길,50
영호농장,돼지,전북특별자치도 완주군 상관면 죽림리,전북특별자치도 완주군 상관면 북치길,2000
화심양계농장,육계,전북특별자치도 완주군 소양면 화심리,전북특별자치도 완주군 소양면 상관소양로,42000
진선목장,한우,전북특별자치도 완주군 소양면 황운리,전북특별자치도 완주군 소양면 송광수만로,100
김정언농장,한우,전북특별자치도 완주군 소양면 해월리,전북특별자치도 완주군 소양면 다리,60
호정농장,젖소,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 이수백로,150
이미자농장,젖소,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 이수백로,154
베드로목장,젖소,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,46
김대용목장,젖소,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 이수백로,200
조민호목장,젖소,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 천호로,80
장원목장,젖소,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 천호로,92
송복규농장,돼지,전북특별자치도 완주군 봉동읍 제내리,전북특별자치도 완주군 봉동읍 제내신촌2길,200
한승농장,젖소,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 백도길,245
김진환농장,육우,전북특별자치도 완주군 봉동읍 장기리,,32
동진농장,육계,전북특별자치도 완주군 봉동읍 용암리,,0
박철균농장,육계,전북특별자치도 완주군 용진읍 운곡리,전북특별자치도 완주군 용진읍 신지송광로,60000
서병용농장,육계,전북특별자치도 완주군 용진읍 운곡리,전북특별자치도 완주군 용진읍 지암안길,100
수앤옥농장,육계,전북특별자치도 완주군 구이면 덕천리,전북특별자치도 완주군 구이면 덕천전원길,35000
이대원농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉신기길,1
신포농장,한우,전북특별자치도 완주군 삼례읍 수계리,전북특별자치도 완주군 삼례읍 삼봉로,16
지동농장,한우,전북특별자치도 완주군 용진읍 운곡리,전북특별자치도 완주군 용진읍 신지송광로,23
이영구농장,한우,전북특별자치도 완주군 용진읍 운곡리,전북특별자치도 완주군 용진읍 지암로,10
OK농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 가목길,60
용복 한우농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 신지용복2길,40
권원택농장,한우,전북특별자치도 완주군 용진읍 상삼리,전북특별자치도 완주군 용진읍 상삼간중길,48
이영수농장,한우,전북특별자치도 완주군 용진읍 신지리,,13
김영오농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 신지용복2길,5
송세영농장,한우,전북특별자치도 완주군 용진읍 상삼리,전북특별자치도 완주군 용진읍 상삼간중길,4
대호한우,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,13
유민오농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 궁평가양길,64
야곱농장,육계,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,60000
이춘기농장,돼지,전북특별자치도 완주군 소양면 명덕리,전북특별자치도 완주군 소양면 명덕호동길,1500
마수목장,육우,전북특별자치도 완주군 소양면 황운리,전북특별자치도 완주군 소양면 마수길,55
벧엘농장,돼지,전북특별자치도 완주군 소양면 신촌리,전북특별자치도 완주군 소양면 월상길,1200
강 훈 농장,육계,전북특별자치도 완주군 구이면 항가리,전북특별자치도 완주군 구이면 망산1길,35000
동부농장,육계,전북특별자치도 완주군 동상면 신월리,전북특별자치도 완주군 동상면 동상로,35000
이길수농장,한우,전북특별자치도 완주군 상관면 신리,전북특별자치도 완주군 상관면 상관소양로,22
하유경농장,젖소,전북특별자치도 완주군 봉동읍 구암리,전북특별자치도 완주군 봉동읍 역전만로,100
샘물목장,젖소,전북특별자치도 완주군 봉동읍 구암리,전북특별자치도 완주군 봉동읍 역전만로,100
온새미로,육계,전북특별자치도 완주군 이서면 이문리,전북특별자치도 완주군 이서면 이서북길,32000
박영호농장,육계,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 눈기러기로,40000
명곡목장,젖소,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 장승길,89
신철호농장,돼지,전북특별자치도 완주군 소양면 해월리,전북특별자치도 완주군 소양면 원암로,1000
이종림농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 봉판길,22
농업회사법인주식회사두지팜,돼지,전북특별자치도 완주군 소양면 명덕리,전북특별자치도 완주군 소양면 명덕로,3500
국운호농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 봉판길,100
서은기농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,20
유만준농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 석천길,50
박강재농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,112
김중배농장 2,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 눈기러기로,70
김문태농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,38
배명찬농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산덕동길,30
이미순농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산덕동길,28
배재문 농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산덕동길,15
김영대농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산덕동길,18
배상조농장,한우,전북특별자치도 완주군 화산면 춘산리,,20
덕동농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산덕동길,0
감나무골농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,83
사랑농장,한우,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 율백로,10
은수농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 창곡대서길,121
김태선농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 궁평가양길,70
새동네농장,한우,전북특별자치도 완주군 화산면 종리,전북특별자치도 완주군 화산면 고산천로,435
김정남농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,70
백남윤농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 화월정자길,21
강성구농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 눈기러기로,50
김광연 농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,131
태양축산,한우,전북특별자치도 완주군 고산면 양야리,전북특별자치도 완주군 고산면 양화로,15
김종배농장,한우,전북특별자치도 완주군 이서면 이문리,전북특별자치도 완주군 이서면 이문길,41
금강농장,한우,전북특별자치도 완주군 경천면 용복리,전북특별자치도 완주군 경천면 대둔산로,88
김태희농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 궁평가양길,70
기자농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 궁평가양길,36
화산농장2,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,99
이진철농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 석천길,50
최덕환농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 봉판길,100
국경호농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 봉판길,80
권덕남농장투,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 신구로,26
최화식농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 눈기러기로,75
임선규농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 가정길,40
화산농장 1,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,180
최부선농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 가정길,50
유용준농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 석천길,35
유항준목장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,47
재승농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신구로,80
유복선농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,80
김명곤농장 1,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,50
장금호농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 화평3길,15
천석농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,70
노천호농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,30
채규욱농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신구로,45
호반 농장,한우,전북특별자치도 완주군 고산면 오산리,전북특별자치도 완주군 고산면 고산로,370
헌우목장,한우,전북특별자치도 완주군 봉동읍 은하리,전북특별자치도 완주군 봉동읍 봉동로,33
정수득농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 가목길,100
이중관 목장,젖소,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 이수백로,200
구순여농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 문장길,15
장완자농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,40
권대원농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 화월정자길,17
