축산업종류,사업장명칭,주사육업종,사업장소재지, 사육두수 ,데이터기준일자
가축사육업,심OO농장,한우,전북특별자치도 부안군 진서면 석포리 665번지  ,24,2025-11-14
가축사육업,신성목장,한우,전북특별자치도 부안군 진서면 석포리 885번지 2호  ,27,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 행안면 진동리 918번지  ,20,2025-11-14
가축사육업,조OO농장,한우,전북특별자치도 부안군 행안면 삼간리 1750번지  ,4,2025-11-14
가축사육업,유정농장,한우,전북특별자치도 부안군 진서면 석포리 271번지 1호  ,14,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 주산면 동정리 614번지 9호  ,25,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 주산면 덕림리 594번지 2호  ,35,2025-11-14
가축사육업,김OO 한우농장,한우,"전북특별자치도 부안군 보안면 신복리 366번지 외 5필지(367-7,367-12,367-13,369-3,598-30) ",66,2025-11-14
가축사육업,부안읍모산농장,한우,전북특별자치도 부안군 부안읍 모산리 374번지 1호  ,62,2025-11-14
가축사육업,계화농장,한우,전북특별자치도 부안군 계화면 창북리 4513번지 1호  ,200,2025-11-14
가축사육업,푸른농장,한우,전북특별자치도 부안군 부안읍 연곡리 489번지 3호  ,6,2025-11-14
가축사육업,천수농장,한우,전북특별자치도 부안군 주산면 갈촌리 864번지 1호  ,16,2025-11-14
가축사육업,동철농장,한우,"전북특별자치도 부안군 주산면 사산리 839번지 26호 외 5필지(839-59,839-65,1173-32,1173-36,1189) ",30,2025-11-14
가축사육업,Dj farm's,한우,"전북특별자치도 부안군 주산면 사산리 558번지 12호 외 4필지(558-31, 558-66, 558-67, 558-72) ",128,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 주산면 사산리 840번지 95호 외 1필지(840-40) ,45,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 주산면 덕림리 865번지 1호  ,30,2025-11-14
가축사육업,서진농장,한우,"전북특별자치도 부안군 주산면 사산리 841번지 24호 외 2필지(841-42, 841-55) ",80,2025-11-14
가축사육업,송OO농장,한우,전북특별자치도 부안군 주산면 소주리 1177번지  ,22,2025-11-14
가축사육업,순OO농장,한우,전북특별자치도 부안군 주산면 덕림리 1035번지 외 9필지 ,282,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 주산면 사산리 596번지 8호  ,40,2025-11-14
가축사육업,서천농장,한우,"전북특별자치도 부안군 계화면 창북리 254번지 5호 외 3필지(107-4, 248-3, 254-6) ",47,2025-11-14
가축사육업,일권농장,한우,전북특별자치도 부안군 부안읍 신흥리 365번지 10호  ,120,2025-11-14
가축사육업,안OO농장,한우,전북특별자치도 부안군 행안면 진동리 917번지  ,18,2025-11-14
가축사육업,강OO농장,한우,전북특별자치도 부안군 행안면 삼간리 501번지 11호  ,0,2025-11-14
가축사육업,윤OO농장,한우,전북특별자치도 부안군 주산면 소주리 546번지 1호  ,15,2025-11-14
가축사육업,윤OO농장,한우,전북특별자치도 부안군 동진면 증산리 301번지 1호  ,35,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 주산면 돈계리 68번지  ,29,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 보안면 우동리 248번지  ,6,2025-11-14
가축사육업,평화농장,육계,전북특별자치도 부안군 보안면 남포리 472번지  ,58000,2025-11-14
가축사육업,보강목장,한우,전북특별자치도 부안군 상서면 감교리 803번지 32호 외 2필지 ,150,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 행안면 대초리 1124번지 1호  ,70,2025-11-14
가축사육업,신목농장,한우,전북특별자치도 부안군 행안면 진동리 502번지 6호  ,43,2025-11-14
가축사육업,박OO 한우농장,한우,전북특별자치도 부안군 보안면 신복리 397번지 24호  ,60,2025-11-14
가축사육업,일석농장,한우,전북특별자치도 부안군 백산면 오곡리 85번지  ,8,2025-11-14
가축사육업,안OO농장,한우,전북특별자치도 부안군 주산면 소산리 577번지 3호  ,105,2025-11-14
가축사육업,일송농장,한우,전북특별자치도 부안군 백산면 대죽리 384번지 1호  ,100,2025-11-14
가축사육업,일송농장,한우,전북특별자치도 부안군 백산면 대죽리 384번지 1호  ,300,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 주산면 사산리 325번지 21호 외 1필지(325-64) ,200,2025-11-14
가축사육업,박OO농장,한우,전북특별자치도 부안군 진서면 진서리 981번지  ,9,2025-11-14
가축사육업,문OO농장,한우,"전북특별자치도 부안군 행안면 신기리 725번지 4호 외 2필지(725-6, 725-7) ",6,2025-11-14
가축사육업,황소농장,한우,전북특별자치도 부안군 주산면 백석리 447번지 3호 외 1필지(447-6) ,174,2025-11-14
가축사육업,박OO농장,한우,"전북특별자치도 부안군 상서면 감교리 860번지 12호 외 2필지(860-23, 860-49) ",53,2025-11-14
가축사육업,회시농장,한우,"전북특별자치도 부안군 상서면 감교리 555번지 외 3필지(553-2,555-1,562-1) ",20,2025-11-14
가축사육업,수련농장,돼지,전북특별자치도 부안군 하서면 석상리 789번지 1호  ,1500,2025-11-14
가축사육업,대성농장,한우,전북특별자치도 부안군 상서면 감교리 502번지 28호  ,20,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 상서면 통정리 698번지 8호  ,25,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 상서면 장동리 589번지 8호  ,31,2025-11-14
가축사육업,백OO농장,한우,전북특별자치도 부안군 상서면 통정리 529번지 6호  ,51,2025-11-14
가축사육업,최OO농장,한우,전북특별자치도 부안군 상서면 통정리 589번지 1호 외 1필지(598) ,43,2025-11-14
가축사육업,박OO농장,한우,전북특별자치도 부안군 상서면 감교리 866번지 40호  ,3,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 부안읍 내요리 431번지 10호  ,28,2025-11-14
가축사육업,운기농장,한우,전북특별자치도 부안군 부안읍 신운리 173번지 12호 외 2필지 ,130,2025-11-14
가축사육업,이OO농장,젖소,전북특별자치도 부안군 부안읍 신흥리 산 92번지  ,48,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 하서면 장신리 18번지  ,14,2025-11-14
가축사육업,철수농장,한우,전북특별자치도 부안군 부안읍 신흥리 704번지 2호  ,40,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 주산면 백석리 309번지 1호 외 1필지(905-2) ,1,2025-11-14
가축사육업,신안농장,한우,전북특별자치도 부안군 행안면 신기리 385번지 2호  ,29,2025-11-14
가축사육업,나OO 한우농장,한우,전북특별자치도 부안군 하서면 석상리 789번지 4호  ,21,2025-11-14
가축사육업,상승농장1,한우,전북특별자치도 부안군 부안읍 신흥리 364번지 2호  ,41,2025-11-14
가축사육업,이규농장,한우,전북특별자치도 부안군 보안면 상림리 426번지 6호  ,14,2025-11-14
가축사육업,형준농장,한우,전북특별자치도 부안군 주산면 동정리 616번지 외 3필 ,65,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 부안읍 신흥리 290번지  ,100,2025-11-14
가축사육업,유정농장,육계,전북특별자치도 부안군 상서면 감교리 803번지  ,90000,2025-11-14
가축사육업,명성농장,한우,전북특별자치도 부안군 상서면 감교리 812번지 40호  ,126,2025-11-14
가축사육업,나OO농장,한우,전북특별자치도 부안군 상서면 통정리 718번지  ,20,2025-11-14
가축사육업,오OO농장,한우,전북특별자치도 부안군 상서면 통정리 395번지 1호  ,10,2025-11-14
가축사육업,신원농장,한우,전북특별자치도 부안군 주산면 사산리 319번지 31호  ,30,2025-11-14
가축사육업,오OO농장,한우,전북특별자치도 부안군 상서면 용서리 256번지 6호  ,6,2025-11-14
가축사육업,클로버농장,한우,"전북특별자치도 부안군 부안읍 신흥리 85번지 외 4필지(80-1,86,86-2,545-8) ",16,2025-11-14
가축사육업,행안양돈장,돼지,전북특별자치도 부안군 행안면 대초리 115번지 4호  ,750,2025-11-14
가축사육업,성암이종문농장,한우,"전북특별자치도 부안군 주산면 백석리 406번지 외 3필지(406-2, 406-3, 409-1) ",100,2025-11-14
가축사육업,류OO농장,한우,전북특별자치도 부안군 백산면 죽림리 1040번지 11호  ,40,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 보안면 상림리 426번지 6호  ,45,2025-11-14
가축사육업,월광농장,한우,전북특별자치도 부안군 보안면 월천리 995번지 17호 외 1필(995-17) ,28,2025-11-14
가축사육업,이삼구농장,한우,"전북특별자치도 부안군 주산면 덕림리 598번지 1호 외 2필지(598-2, 598-4) ",40,2025-11-14
가축사육업,장신축산,한우,전북특별자치도 부안군 하서면 장신리 595번지 5호  ,45,2025-11-14
가축사육업,장원기한우사육농장,한우,전북특별자치도 부안군 하서면 장신리 1149번지 40호  ,9,2025-11-14
가축사육업,전승학한우사육농장,한우,전북특별자치도 부안군 하서면 장신리 419번지 3호  ,20,2025-11-14
가축사육업,우OO 황토촌,육계,전북특별자치도 부안군 상서면 통정리 690번지  ,30000,2025-11-14
가축사육업,나OO농장,한우,전북특별자치도 부안군 상서면 통정리 682번지  ,10,2025-11-14
가축사육업,김을식양계장,육계,전북특별자치도 부안군 줄포면 장동리 산 138번지 1호 외 2필지 ,35000,2025-11-14
가축사육업,동송농장,오리,전북특별자치도 부안군 줄포면 장동리 575번지 3호 외 7필 ,12000,2025-11-14
가축사육업,정인농장,오리,전북특별자치도 부안군 줄포면 신리 747번지 외 6필지 ,56000,2025-11-14
가축사육업,최OO농장,한우,전북특별자치도 부안군 줄포면 줄포리 1009번지  ,21,2025-11-14
가축사육업,태양농장,한우,전북특별자치도 부안군 줄포면 파산리 547번지  ,125,2025-11-14
가축사육업,화광농장,한우,전북특별자치도 부안군 줄포면 장동리 628번지  ,30,2025-11-14
가축사육업,마땅농장,한우,전북특별자치도 부안군 보안면 하입석리 521번지 3호  ,119,2025-11-14
가축사육업,성은목장,젖소,전북특별자치도 부안군 보안면 하입석리 96번지 외 7필지 ,91,2025-11-14
가축사육업,신활목장,젖소,전북특별자치도 부안군 보안면 신복리 460번지 11호  ,45,2025-11-14
가축사육업,삼단지농장,한우,전북특별자치도 부안군 계화면 창북리 4227번지 14호  ,256,2025-11-14
가축사육업,배OO농장,한우,전북특별자치도 부안군 줄포면 줄포리 919번지  ,8,2025-11-14
가축사육업,금선농장,한우,전북특별자치도 부안군 줄포면 신리 359번지 48호 외 1필지(359-1) ,83,2025-11-14
가축사육업,신운리농장,한우,"전북특별자치도 부안군 부안읍 신운리 48번지 2호 외4필지(48-3,48-4,404,433-1) ",150,2025-11-14
가축사육업,봉덕농장,한우,전북특별자치도 부안군 부안읍 신흥리 4번지 48호  ,100,2025-11-14
가축사육업,명진농장,오리,"전북특별자치도 부안군 줄포면 장동리 189번지 3호 외 2필지(189-1, 189-4) ",30000,2025-11-14
가축사육업,팜렛잇고,육계,"전북특별자치도 부안군 부안읍 내요리 190번지 외 2필지(191,191-2) ",100000,2025-11-14
가축사육업,박OO농장,육우,전북특별자치도 부안군 보안면 남포리 316번지  ,40,2025-11-14
가축사육업,샬롬농장,한우,전북특별자치도 부안군 하서면 석상리 155번지 2호  ,17,2025-11-14
가축사육업,최OO농장,한우,전북특별자치도 부안군 하서면 석상리 474번지 2호  ,30,2025-11-14
가축사육업,석제농장,한우,전북특별자치도 부안군 부안읍 내요리 789번지 1호  ,50,2025-11-14
가축사육업,대동농장,육계,"전북특별자치도 부안군 줄포면 대동리 659번지 3호 외 4필지(659-23,659-24,659-1,659-8) ",126752,2025-11-14
가축사육업,오OO농장,한우,전북특별자치도 부안군 하서면 백련리 571번지 1호  ,45,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 하서면 백련리 331번지 3호  ,20,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 하서면 백련리 573번지 48호  ,49,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 보안면 유천리 524번지  ,45,2025-11-14
가축사육업,난산목장,한우,전북특별자치도 부안군 줄포면 난산리 709번지 7호 주1동 ,100,2025-11-14
가축사육업,두남목장,한우,전북특별자치도 부안군 줄포면 장동리 203번지 11호 농장 ,50,2025-11-14
가축사육업,시온목장,한우,전북특별자치도 부안군 주산면 백석리 산 18번지 2호  ,16,2025-11-14
가축사육업,박OO농장,한우,전북특별자치도 부안군 하서면 백련리 795번지 3호  ,5,2025-11-14
가축사육업,재수농장,한우,"전북특별자치도 부안군 하서면 장신리 348번지 2호 외 2필지(348-3, 348-4) ",60,2025-11-14
가축사육업,용호축사,한우,전북특별자치도 부안군 하서면 장신리 449번지 2호  ,31,2025-11-14
가축사육업,천연원농장,한우,전북특별자치도 부안군 보안면 남포리 739번지 4호  ,40,2025-11-14
가축사육업,병수농장,한우,전북특별자치도 부안군 백산면 오곡리 963번지  ,20,2025-11-14
가축사육업,모산목장,한우,"전북특별자치도 부안군 부안읍 모산리 646번지 외 2필지(645-3, 646-1) ",47,2025-11-14
가축사육업,석불산토종닭농장,육계,전북특별자치도 부안군 하서면 언독리 1077번지 13호  ,25000,2025-11-14
가축사육업,최승농장,한우,"전북특별자치도 부안군 부안읍 내요리 416번지 외 2필지(420-1, 491-1) ",35,2025-11-14
가축사육업,연정농장,육계,"전북특별자치도 부안군 줄포면 장동리 41번지 16호 외 2필(51-35, 51-54) ",70000,2025-11-14
가축사육업,장수농장,육계,전북특별자치도 부안군 줄포면 줄포리 40번지 30호 외 1필지(31-22) ,45000,2025-11-14
가축사육업,우신농장,한우,"전북특별자치도 부안군 줄포면 신리 612번지 5호 외 2필지(612-6,613), 주2동 ",114,2025-11-14
가축사육업,대원목장,젖소,"전북특별자치도 부안군 진서면 석포리 448번지 2호 외 2필지(448-3, 449-1) ",100,2025-11-14
가축사육업,서림축산,돼지,전북특별자치도 부안군 부안읍 내요리 599번지  ,2000,2025-11-14
가축사육업,신OO농장,한우,전북특별자치도 부안군 변산면 격포리 447번지  ,20,2025-11-14
가축사육업,안OO농장,한우,전북특별자치도 부안군 변산면 지서리 147번지  ,21,2025-11-14
가축사육업,중산농장,한우,전북특별자치도 부안군 변산면 운산리 234번지 1호 외 1필지(234-4) ,72,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 주산면 소주리 826번지 3호  ,26,2025-11-14
가축사육업,능성농장,한우,전북특별자치도 부안군 보안면 유천리 228번지 70호 외 2필지 ,80,2025-11-14
가축사육업,임OO농장,한우,전북특별자치도 부안군 보안면 하입석리 122번지 1호  ,65,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 보안면 유천리 472번지  ,50,2025-11-14
가축사육업,고OO농장,한우,전북특별자치도 부안군 보안면 하입석리 1087번지 2호  ,100,2025-11-14
가축사육업,상운농장,육계,전북특별자치도 부안군 보안면 월천리 830번지  ,60000,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 보안면 남포리 411번지 5호  ,30,2025-11-14
가축사육업,대동농장,돼지,전북특별자치도 부안군 줄포면 대동리 352번지 2호  ,1900,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 보안면 상입석리 347번지 7호  ,22,2025-11-14
가축사육업,윤OO양계장,육계,전북특별자치도 부안군 줄포면 신리 109번지  ,30000,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 보안면 상림리 346번지 35호  ,3,2025-11-14
가축사육업,성산농장,젖소,전북특별자치도 부안군 보안면 부곡리 458번지 1호  ,70,2025-11-14
가축사육업,박OO농장,한우,전북특별자치도 부안군 보안면 하입석리 796번지  ,5,2025-11-14
가축사육업,형호농장,한우,전북특별자치도 부안군 보안면 하입석리 360번지  ,130,2025-11-14
가축사육업,돈사랑영농조합법인,돼지,전북특별자치도 부안군 줄포면 난산리 160번지  ,3100,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 주산면 백석리 591번지 1호  ,17,2025-11-14
가축사육업,햇빛농장,육계,전북특별자치도 부안군 줄포면 파산리 769번지 6호  ,46500,2025-11-14
가축사육업,동광농장,한우,전북특별자치도 부안군 상서면 감교리 902번지 16호  ,80,2025-11-14
가축사육업,줄포농장,오리,전북특별자치도 부안군 줄포면 우포리 46번지  ,10000,2025-11-14
가축사육업,신OO농장,오리,전북특별자치도 부안군 줄포면 우포리 54번지  ,10000,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 보안면 상림리 868번지 3호  ,20,2025-11-14
가축사육업,하OO농장,한우,"전북특별자치도 부안군 보안면 상림리 308번지 외 3필지(307-1,308-1,330-3) ",4,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 보안면 영전리 95번지 5호  ,11,2025-11-14
가축사육업,최OO농장,한우,전북특별자치도 부안군 보안면 유천리 250번지 4호  ,30,2025-11-14
가축사육업,김OO우사,한우,전북특별자치도 부안군 보안면 남포리 433번지 3호  ,63,2025-11-14
가축사육업,미래축산,한우,"전북특별자치도 부안군 백산면 평교리 929번지 16호 , 929-15, 929-4, 929-5 ",160,2025-11-14
가축사육업,동서농장,육계,"전북특별자치도 부안군 백산면 하청리 529번지 외 4필지(529-2, 529-3, 529-5, 529-34) ",58000,2025-11-14
가축사육업,서OO축사,한우,"전북특별자치도 부안군 하서면 석상리 429번지 82호 외 2필지(429-39, 429-43) ",33,2025-11-14
가축사육업,농업회사법인주식회사 진영축산,돼지,전북특별자치도 부안군 보안면 남포리 378번지 1호  ,10000,2025-11-14
가축사육업,김OO농장,한우,"전북특별자치도 부안군 부안읍 내요리 757번지 외 2필지(754-4, 958-20) ",20,2025-11-14
가축사육업,조OO농장,한우,전북특별자치도 부안군 동진면 장등리 70번지 1호  ,16,2025-11-14
가축사육업,강OO농장,한우,전북특별자치도 부안군 부안읍 봉덕리 19번지 6호  ,3,2025-11-14
가축사육업,송OO농장,젖소,"전북특별자치도 부안군 부안읍 신흥리 485번지 외 5필지(488,488-1,488-2,490,540) ",67,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 부안읍 봉덕리 16번지 10호  ,5,2025-11-14
가축사육업,남포농장,육계,전북특별자치도 부안군 보안면 남포리 468번지  ,75000,2025-11-14
가축사육업,성산농장,한우,전북특별자치도 부안군 보안면 부곡리 472번지 3호  ,12,2025-11-14
가축사육업,야곱목장,한우,전북특별자치도 부안군 주산면 소주리 457번지 1호  ,69,2025-11-14
가축사육업,자연애우농장,한우,전북특별자치도 부안군 계화면 의복리 1834번지 8호  ,20,2025-11-14
가축사육업,조은한우농장,한우,전북특별자치도 부안군 부안읍 행중리 497번지 외 1필지(496) ,119,2025-11-14
가축사육업,최OO농장,한우,전북특별자치도 부안군 보안면 상림리 414번지 1호  ,3,2025-11-14
가축사육업,이OO목장,한우,전북특별자치도 부안군 보안면 하입석리 1번지 5호  ,48,2025-11-14
가축사육업,임OO농장,한우,전북특별자치도 부안군 줄포면 장동리 603번지 1호  ,3,2025-11-14
가축사육업,승민농장,한우,전북특별자치도 부안군 주산면 사산리 846번지 3호 승민농장 ,130,2025-11-14
가축사육업,줄포대성농장,육계,전북특별자치도 부안군 줄포면 장동리 84번지 14호  ,80000,2025-11-14
가축사육업,휘게팜목장,산양,전북특별자치도 부안군 보안면 상입석리 178번지 6호 외 1필지(178-1) ,200,2025-11-14
가축사육업,박OO농장,한우,전북특별자치도 부안군 보안면 남포리 744번지 6호  ,40,2025-11-14
가축사육업,서OO농장,한우,전북특별자치도 부안군 보안면 남포리 741번지 8호  ,129,2025-11-14
가축사육업,문OO농장,한우,전북특별자치도 부안군 백산면 원천리 62번지 1호  ,37,2025-11-14
가축사육업,허OO농장,한우,전북특별자치도 부안군 보안면 월천리 404번지 4호  ,3,2025-11-14
가축사육업,형제축산,한우,전북특별자치도 부안군 행안면 대초리 312번지 9호  ,60,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 주산면 소산리 458번지 1호  ,18,2025-11-14
가축사육업,한OO농장,한우,전북특별자치도 부안군 백산면 거룡리 533번지 1호  ,30,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 주산면 소산리 455번지 1호  ,10,2025-11-14
가축사육업,엠마누엘농장,한우,전북특별자치도 부안군 주산면 사산리 3번지 3호  ,32,2025-11-14
가축사육업,오OO농장,한우,전북특별자치도 부안군 보안면 하입석리 1097번지 3호  ,33,2025-11-14
가축사육업,해와달농장,오리,"전북특별자치도 부안군 줄포면 대동리 517번지 2호 외 2필지(515-9, 517-1) ",17056,2025-11-14
가축사육업,주원농장,한우,전북특별자치도 부안군 보안면 남포리 266번지  ,20,2025-11-14
가축사육업,장OO농장,한우,전북특별자치도 부안군 보안면 우동리 615번지 1호  ,9,2025-11-14
가축사육업,흥산농장,한우,전북특별자치도 부안군 보안면 상입석리 233번지 9호  ,32,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 부안읍 내요리 221번지  ,27,2025-11-14
가축사육업,오OO농장,한우,전북특별자치도 부안군 백산면 대죽리 24번지  ,23,2025-11-14
가축사육업,용주농장,한우,전북특별자치도 부안군 백산면 신평리 60번지 16호  ,10,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 주산면 동정리 514번지  ,32,2025-11-14
가축사육업,미운오리농장,오리,전북특별자치도 부안군 줄포면 난산리 706번지 39호 외 1필(706-40) ,20000,2025-11-14
가축사육업,선OO농장,한우,전북특별자치도 부안군 백산면 하청리 580번지 외 1필지(580-1) ,120,2025-11-14
가축사육업,권OO농장,한우,전북특별자치도 부안군 하서면 백련리 414번지 5호 외 1필지(414-6) ,62,2025-11-14
가축사육업,하청농장,한우,전북특별자치도 부안군 백산면 하청리 568번지 3호 외 1필지(568) ,160,2025-11-14
가축사육업,이OO농장,한우,전북특별자치도 부안군 백산면 대수리 564번지  ,13,2025-11-14
가축사육업,허OO농장,한우,전북특별자치도 부안군 보안면 하입석리 334번지 1호  ,6,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 부안읍 신흥리 47번지  ,6,2025-11-14
가축사육업,박OO농장,한우,전북특별자치도 부안군 부안읍 신흥리 50번지 3호  ,2,2025-11-14
가축사육업,허OO농장,한우,전북특별자치도 부안군 보안면 상입석리 739번지 8호  ,4,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 보안면 영전리 389번지 3호  ,10,2025-11-14
가축사육업,아OO,한우,전북특별자치도 부안군 하서면 장신리 2195번지 5호  ,60,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 하서면 석상리 278번지 1호  ,70,2025-11-14
가축사육업,누룽지농장,한우,전북특별자치도 부안군 보안면 영전리 357번지  ,40,2025-11-14
가축사육업,장OO농장,한우,전북특별자치도 부안군 보안면 상림리 455번지  ,15,2025-11-14
가축사육업,강산농장,한우,전북특별자치도 부안군 상서면 감교리 916번지 3호  ,20,2025-11-14
가축사육업,박OO농장,한우,전북특별자치도 부안군 보안면 유천리 26번지 1호  ,31,2025-11-14
