사업장명칭,사업장소재지(지번),주사육업종,사육두수,데이터기준일자
원광2농장,전라남도 영암군 신북면 월지리 ,오리,26130,2025-05-01
그린축산,전라남도 영암군 시종면 월롱리 ,오리,30000,2025-05-01
성진농장,전라남도 영암군 시종면 봉소리 ,오리,30000,2025-05-01
가나안 농장,전라남도 영암군 시종면 월롱리 ,오리,16000,2025-05-01
나영농장,전라남도 영암군 시종면 신흥리 ,오리,16807,2025-05-01
철진축산,전라남도 영암군 덕진면 금강리 ,오리,15000,2025-05-01
농업회사법인 주식회사 팜스,전라남도 영암군 덕진면 금강리 ,오리,6000,2025-05-01
일광농장,전라남도 영암군 신북면 월지리 ,오리,11000,2025-05-01
정미농장,전라남도 영암군 덕진면 노송리 ,오리,8100,2025-05-01
우송농장,전라남도 영암군 시종면 월롱리 ,오리,18000,2025-05-01
용현농장,전라남도 영암군 시종면 와우리 ,오리,18000,2025-05-01
겨레농장,전라남도 영암군 군서면 도장리 ,오리,25000,2025-05-01
새로나농장,전라남도 영암군 신북면 갈곡리 ,오리,40000,2025-05-01
희망농장,전라남도 영암군 도포면 원항리 ,오리,15000,2025-05-01
태광농장,전라남도 영암군 군서면 도장리 ,오리,20000,2025-05-01
코스모스농원,전라남도 영암군 학산면 묵동리 ,오리,10000,2025-05-01
우도농장,전라남도 영암군 덕진면 용산리 ,오리,35000,2025-05-01
오현농장,전라남도 영암군 신북면 월지리 ,오리,45000,2025-05-01
향월농장,전라남도 영암군 덕진면 장선리 ,오리,60000,2025-05-01
해랑농장,전라남도 영암군 신북면 모산리 ,오리,12000,2025-05-01
애경농장,전라남도 영암군 신북면 장산리 ,오리,18000,2025-05-01
건숙농장,전라남도 영암군 금정면 안노리 ,오리,17000,2025-05-01
알파덕,전라남도 영암군 신북면 양계리 ,오리,21000,2025-05-01
하은농장,전라남도 영암군 도포면 구학리 ,오리,25000,2025-05-01
진웅농장,전라남도 영암군 시종면 봉소리 ,오리,45565,2025-05-01
우주농장,전라남도 영암군 도포면 성산리 ,오리,30000,2025-05-01
태평농장,전라남도 영암군 시종면 신연리 ,오리,20000,2025-05-01
신흥농장,전라남도 영암군 시종면 신흥리 ,오리,15000,2025-05-01
희망축사,전라남도 영암군 시종면 신연리 ,오리,20000,2025-05-01
일광농장,전라남도 영암군 시종면 신연리 ,오리,35000,2025-05-01
하우리농장,전라남도 영암군 신북면 월지리 ,오리,38000,2025-05-01
성진농장,전라남도 영암군 신북면 행정리 ,오리,16000,2025-05-01
원광1농장,전라남도 영암군 신북면 월지리 ,오리,15000,2025-05-01
사랑농장,전라남도 영암군 도포면 구학리 ,오리,13900,2025-05-01
형암농장,전라남도 영암군 시종면 봉소리 ,오리,8000,2025-05-01
성현축산,전라남도 영암군 시종면 옥야리 ,오리,48000,2025-05-01
에덴농장,전라남도 영암군 시종면 신학리 ,오리,12000,2025-05-01
신연농장,전라남도 영암군 시종면 신연리 ,오리,10000,2025-05-01
선미농장,전라남도 영암군 덕진면 노송리 ,오리,13000,2025-05-01
오리천국,전라남도 영암군 시종면 신학리 ,오리,50000,2025-05-01
홍이농장,전라남도 영암군 신북면 월지리 ,오리,10000,2025-05-01
목림농장,전라남도 영암군 신북면 학동리 ,오리,17000,2025-05-01
월지농장,전라남도 영암군 신북면 월지리 ,오리,8500,2025-05-01
하정팜(farm),전라남도 영암군 시종면 신학리 ,오리,20000,2025-05-01
경균농장,전라남도 영암군 도포면 영호리 ,오리,25000,2025-05-01
성윤농장,전라남도 영암군 시종면 봉소리 ,오리,68900,2025-05-01
성환농장,전라남도 영암군 덕진면 노송리 ,오리,8000,2025-05-01
목원농장,전라남도 영암군 시종면 신학리 ,오리,18900,2025-05-01
선일농장,전라남도 영암군 덕진면 노송리 ,오리,14200,2025-05-01
영민농장,전라남도 영암군 영암읍 송평리 ,오리,8000,2025-05-01
연진농장,전라남도 영암군 신북면 학동리 ,오리,22000,2025-05-01
승준농장,전라남도 영암군 서호면 금강리 ,오리,14000,2025-05-01
하우리덕,전라남도 영암군 신북면 월지리 ,오리,30000,2025-05-01
주현농장,전라남도 영암군 덕진면 용산리 ,오리,15000,2025-05-01
학동농장,전라남도 영암군 신북면 학동리 ,오리,19300,2025-05-01
나주뜰오리,전라남도 영암군 신북면 월지리 ,오리,26000,2025-05-01
승승농장,전라남도 영암군 시종면 신학리 ,오리,9400,2025-05-01
영진농장,전라남도 영암군 신북면 월지리 ,오리,18000,2025-05-01
농업회사 법인 주식회사 은강,전라남도 영암군 군서면 양장리 ,오리,35000,2025-05-01
유피월롱농장,전라남도 영암군 시종면 월롱리 ,오리,23000,2025-05-01
상록농장,전라남도 영암군 도포면 성산리 ,오리,34000,2025-05-01
현수농장,전라남도 영암군 덕진면 노송리 ,오리,12000,2025-05-01
장수농장,전라남도 영암군 도포면 구학리 ,오리,34000,2025-05-01
덕진농장,전라남도 영암군 덕진면 장선리 ,오리,16000,2025-05-01
동산농장,전라남도 영암군 영암읍 망호리 ,오리,8000,2025-05-01
우리영농조합법인 농장,전라남도 영암군 시종면 신학리 ,오리,10000,2025-05-01
닭실털보농장,전라남도 영암군 신북면 유곡리 ,육계,55000,2025-05-01
장천양계장,전라남도 영암군 서호면 장천리 ,육계,70000,2025-05-01
민성양계장,전라남도 영암군 학산면 금계리 ,육계,55000,2025-05-01
진양계장,전라남도 영암군 군서면 양장리 ,육계,60000,2025-05-01
화산농장,전라남도 영암군 삼호읍 서창리 ,육계,41000,2025-05-01
지영농장,전라남도 영암군 시종면 신학리 ,육계,100000,2025-05-01
애니피아,전라남도 영암군 금정면 세류리 ,육계,45000,2025-05-01
부희축산,전라남도 영암군 학산면 묵동리 ,육계,90000,2025-05-01
이레농장,전라남도 영암군 시종면 와우리 ,육계,65000,2025-05-01
일움농장,전라남도 영암군 시종면 금지리 ,육계,67000,2025-05-01
남송농장,전라남도 영암군 금정면 남송리 ,육계,50000,2025-05-01
기를품은,전라남도 영암군 학산면 용산리 ,육계,120000,2025-05-01
박치완농장,전라남도 영암군 서호면 성재리 ,육계,50000,2025-05-01
귀봉농장,전라남도 영암군 서호면 성재리 ,육계,80000,2025-05-01
순광농장,전라남도 영암군 서호면 쌍풍리 ,육계,55020,2025-05-01
장구섬농장,전라남도 영암군 시종면 신학리 ,육계,140000,2025-05-01
김요한농장,전라남도 영암군 시종면 옥야리 ,육계,60000,2025-05-01
길록양계,전라남도 영암군 서호면 태백리 ,육계,57700,2025-05-01
성용농장,전라남도 영암군 서호면 소산리 ,육계,60020,2025-05-01
미담이네 농장1,전라남도 영암군 서호면 몽해리 ,육계,50000,2025-05-01
금강농장,전라남도 영암군 덕진면 금강리 ,육계,15000,2025-05-01
미담이네농장,전라남도 영암군 덕진면 장선리 ,육계,1650,2025-05-01
달농장,전라남도 영암군 도포면 원항리 ,육계,45000,2025-05-01
순화농장,전라남도 영암군 시종면 신학리 ,육계,70000,2025-05-01
달농장,전라남도 영암군 도포면 원항리 ,육계,85000,2025-05-01
코코농장 2,전라남도 영암군 시종면 신학리 ,육계,33000,2025-05-01
태흥농장,전라남도 영암군 신북면 월지리 ,육계,60000,2025-05-01
행복농장,전라남도 영암군 시종면 와우리 ,육계,25000,2025-05-01
우리농장,전라남도 영암군 도포면 구학리 ,육계,80000,2025-05-01
해맑은농장,전라남도 영암군 도포면 봉호리 ,육계,176224,2025-05-01
벧엘농장,전라남도 영암군 신북면 학동리 ,육계,90000,2025-05-01
낭주농장,전라남도 영암군 영암읍 송평리 ,육계,58000,2025-05-01
태성농장,전라남도 영암군 삼호읍 산호리 ,육계,500,2025-05-01
기포농장,전라남도 영암군 학산면 묵동리 ,육계,400,2025-05-01
벧엘농장,전라남도 영암군 시종면 월롱리 ,육계,150000,2025-05-01
평안농장,전라남도 영암군 삼호읍 삼포리 ,육계,150,2025-05-01
그린농장,전라남도 영암군 덕진면 노송리 ,육계,120000,2025-05-01
민우농장,전라남도 영암군 신북면 갈곡리 ,육계,70000,2025-05-01
형제농장,전라남도 영암군 도포면 구학리 ,육계,110000,2025-05-01
영신농장,전라남도 영암군 덕진면 노송리 ,육계,85000,2025-05-01
태산농장,전라남도 영암군 시종면 봉소리 ,육계,80000,2025-05-01
영신농장2,전라남도 영암군 덕진면 노송리 ,육계,70000,2025-05-01
민중농장,전라남도 영암군 시종면 봉소리 ,육계,27000,2025-05-01
햇살농장 태양광,전라남도 영암군 시종면 금지리 ,육계,100000,2025-05-01
수지농장,전라남도 영암군 시종면 만수리 ,육계,62000,2025-05-01
성실농장,전라남도 영암군 도포면 구학리 ,육계,160000,2025-05-01
든든농장,전라남도 영암군 덕진면 노송리 ,육계,76000,2025-05-01
태석농장,전라남도 영암군 영암읍 송평리 ,육계,70000,2025-05-01
코코농장 1,전라남도 영암군 시종면 신학리 ,육계,30000,2025-05-01
학산농장,전라남도 영암군 학산면 용산리 ,육계,60000,2025-05-01
형제농장,전라남도 영암군 시종면 신학리 ,육계,200000,2025-05-01
애니피아,전라남도 영암군 금정면 세류리 ,육계,95000,2025-05-01
삼성농장,전라남도 영암군 군서면 도장리 ,육계,14036,2025-05-01
유피갈곡농장,전라남도 영암군 신북면 갈곡리 ,육계,48000,2025-05-01
초계축산,전라남도 영암군 시종면 만수리 ,육계,60000,2025-05-01
화산농장,전라남도 영암군 삼호읍 서창리 ,육계,98000,2025-05-01
백호축산,전라남도 영암군 시종면 신학리 ,육계,30000,2025-05-01
주안농장,전라남도 영암군 시종면 신학리 ,육계,68000,2025-05-01
미암농장,전라남도 영암군 미암면 신포리 ,육계,10000,2025-05-01
월출농장,전라남도 영암군 시종면 신학리 ,육계,20000,2025-05-01
매일농장,전라남도 영암군 군서면 도장리 ,육계,185000,2025-05-01
신원농장,전라남도 영암군 덕진면 노송리 ,육계,150000,2025-05-01
승호농장,전라남도 영암군 시종면 옥야리 ,육계,100000,2025-05-01
성민농장,전라남도 영암군 신북면 학동리 ,육계,80000,2025-05-01
지명농장,전라남도 영암군 시종면 신학리 ,육계,69000,2025-05-01
금산농장,전라남도 영암군 시종면 신학리 ,육계,55000,2025-05-01
뿌리농장,전라남도 영암군 시종면 옥야리 ,육계,106000,2025-05-01
삼한농장,전라남도 영암군 신북면 월평리 ,육계,34000,2025-05-01
지훈농장,전라남도 영암군 시종면 신학리 ,육계,120000,2025-05-01
성산목장,전라남도 영암군 학산면 묵동리 ,젖소,150,2025-05-01
묵동목장,전라남도 영암군 학산면 묵동리 ,젖소,200,2025-05-01
한림목장,전라남도 영암군 시종면 만수리 ,젖소,112,2025-05-01
신원목장,전라남도 영암군 미암면 선황리 ,젖소,60,2025-05-01
일출목장,전라남도 영암군 도포면 구학리 ,젖소,80,2025-05-01
은혜목장,전라남도 영암군 미암면 두억리 ,젖소,120,2025-05-01
미인목장,전라남도 영암군 미암면 미암리 ,젖소,180,2025-05-01
대행목장,전라남도 영암군 미암면 두억리 ,젖소,120,2025-05-01
청해목장,전라남도 영암군 미암면 두억리 ,젖소,126,2025-05-01
제일목장,전라남도 영암군 미암면 춘동리 ,젖소,187,2025-05-01
효산목장,전라남도 영암군 학산면 묵동리 ,젖소,81,2025-05-01
월출목장,전라남도 영암군 미암면 두억리 ,젖소,110,2025-05-01
보림농장,전라남도 영암군 신북면 이천리 ,젖소,90,2025-05-01
천유목장,전라남도 영암군 신북면 양계리 ,젖소,70,2025-05-01
산장목장,전라남도 영암군 학산면 용산리 ,젖소,40,2025-05-01
지원목장,전라남도 영암군 서호면 몽해리 ,젖소,60,2025-05-01
성은목장,전라남도 영암군 학산면 묵동리 ,젖소,115,2025-05-01
한샘목장,전라남도 영암군 학산면 용산리 ,젖소,98,2025-05-01
만옥농장,전라남도 영암군 신북면 금수리 ,젖소,78,2025-05-01
은영목장,전라남도 영암군 신북면 금수리 ,젖소,60,2025-05-01
안산목장,전라남도 영암군 신북면 금수리 ,젖소,93,2025-05-01
세나목장,전라남도 영암군 신북면 금수리 ,젖소,130,2025-05-01
혜진목장,전라남도 영암군 신북면 갈곡리 ,젖소,30,2025-05-01
안성목장,전라남도 영암군 덕진면 장선리 ,젖소,120,2025-05-01
금호목장,전라남도 영암군 신북면 유곡리 ,젖소,70,2025-05-01
이천목장,전라남도 영암군 신북면 이천리 ,젖소,110,2025-05-01
봉소목장,전라남도 영암군 시종면 봉소리 ,젖소,80,2025-05-01
영생목장,전라남도 영암군 신북면 양계리 ,젖소,65,2025-05-01
화정목장,전라남도 영암군 신북면 금수리 ,젖소,100,2025-05-01
명성목장,전라남도 영암군 서호면 쌍풍리 ,젖소,72,2025-05-01
신일목장,전라남도 영암군 시종면 만수리 ,젖소,70,2025-05-01
영진농장,전라남도 영암군 학산면 용산리 ,젖소,80,2025-05-01
학산유천낙농영농조합법인,전라남도 영암군 학산면 상월리 ,젖소,100,2025-05-01
서호목장,전라남도 영암군 서호면 쌍풍리 ,젖소,28,2025-05-01
광산농장,전라남도 영암군 학산면 독천리 ,젖소,70,2025-05-01
화운목장,전라남도 영암군 시종면 금지리 ,젖소,85,2025-05-01
연원목장,전라남도 영암군 신북면 행정리 ,젖소,70,2025-05-01
청솔목장,전라남도 영암군 서호면 몽해리 ,젖소,250,2025-05-01
현재목장,전라남도 영암군 시종면 만수리 ,젖소,80,2025-05-01
성원목장,전라남도 영암군 학산면 용소리 ,젖소,45,2025-05-01
동식농장,전라남도 영암군 시종면 금지리 ,젖소,30,2025-05-01
몽해농장,전라남도 영암군 학산면 용산리 ,젖소,120,2025-05-01
명수목장,전라남도 영암군 신북면 금수리 ,젖소,60,2025-05-01
신애농장,전라남도 영암군 신북면 금수리 ,젖소,40,2025-05-01
대원목장,전라남도 영암군 학산면 용산리 ,젖소,167,2025-05-01
동화목장,전라남도 영암군 신북면 양계리 ,젖소,40,2025-05-01
영월목장,전라남도 영암군 영암읍 교동리 ,젖소,30,2025-05-01
보림목장,전라남도 영암군 신북면 행정리 ,젖소,100,2025-05-01
복현목장,전라남도 영암군 학산면 묵동리 ,젖소,110,2025-05-01
제일목장,전라남도 영암군 미암면 춘동리 ,젖소,50,2025-05-01
우정농축산,전라남도 영암군 신북면 갈곡리 ,한우,100,2025-05-01
광암축산,전라남도 영암군 학산면 학계리 ,한우,35,2025-05-01
서광축산,전라남도 영암군 군서면 동호리 ,한우,70,2025-05-01
한림목장,전라남도 영암군 시종면 만수리 ,한우,30,2025-05-01
건흥농장,전라남도 영암군 덕진면 백계리 ,한우,350,2025-05-01
성보축산,전라남도 영암군 덕진면 영등리 ,한우,170,2025-05-01
예주농장,전라남도 영암군 덕진면 백계리 ,한우,68,2025-05-01
금호축산,전라남도 영암군 덕진면 금강리 ,한우,500,2025-05-01
믿음농장,전라남도 영암군 덕진면 백계리 ,한우,200,2025-05-01
푸른농장,전라남도 영암군 미암면 신한리 ,한우,150,2025-05-01
덕화농장,전라남도 영암군 도포면 덕화리 ,한우,60,2025-05-01
백산농장,전라남도 영암군 서호면 장천리 ,한우,190,2025-05-01
해돋이농장,전라남도 영암군 서호면 쌍풍리 ,한우,170,2025-05-01
한길농장,전라남도 영암군 서호면 쌍풍리 ,한우,150,2025-05-01
희용농장,전라남도 영암군 도포면 수산리 ,한우,75,2025-05-01
학림축산,전라남도 영암군 도포면 수산리 ,한우,150,2025-05-01
청림농장,전라남도 영암군 덕진면 금강리 ,한우,80,2025-05-01
태호축산,전라남도 영암군 덕진면 노송리 ,한우,237,2025-05-01
인주농장,전라남도 영암군 덕진면 노송리 ,한우,40,2025-05-01
망호농장,전라남도 영암군 영암읍 망호리 ,한우,50,2025-05-01
진호농장,전라남도 영암군 도포면 봉호리 ,한우,65,2025-05-01
성우축산,전라남도 영암군 덕진면 노송리 ,한우,90,2025-05-01
대흥농장,전라남도 영암군 금정면 용흥리 ,한우,66,2025-05-01
금호축산,전라남도 영암군 덕진면 금강리 ,한우,130,2025-05-01
금호축산,전라남도 영암군 덕진면 금강리 ,한우,230,2025-05-01
송림축산,전라남도 영암군 덕진면 노송리 ,한우,100,2025-05-01
청용축산,전라남도 영암군 영암읍 학송리 ,한우,40,2025-05-01
복음농장,전라남도 영암군 서호면 성재리 ,한우,70,2025-05-01
원기축산,전라남도 영암군 서호면 청용리 ,한우,35,2025-05-01
서호농장,전라남도 영암군 서호면 금강리 ,한우,40,2025-05-01
유번농장,전라남도 영암군 학산면 용산리 ,한우,80,2025-05-01
영암미암한우영농조합법인,전라남도 영암군 미암면 호포리 ,한우,500,2025-05-01
부자축산,전라남도 영암군 서호면 소산리 ,한우,140,2025-05-01
아름다운농장,전라남도 영암군 도포면 수산리 ,한우,150,2025-05-01
소망농장,전라남도 영암군 도포면 수산리 ,한우,350,2025-05-01
비손축산,전라남도 영암군 덕진면 노송리 ,한우,37,2025-05-01
화산목장,전라남도 영암군 삼호읍 서창리 ,한우,30,2025-05-01
성훈농장,전라남도 영암군 학산면 독천리 ,한우,42,2025-05-01
환희농장,전라남도 영암군 영암읍 개신리 ,한우,30,2025-05-01
춘양농장,전라남도 영암군 영암읍 춘양리 ,한우,25,2025-05-01
광암축산,전라남도 영암군 신북면 행정리 ,한우,220,2025-05-01
금성농장,전라남도 영암군 도포면 영호리 ,한우,800,2025-05-01
금성농장,전라남도 영암군 도포면 영호리 ,한우,700,2025-05-01
춘우농장,전라남도 영암군 미암면 춘동리 ,한우,60,2025-05-01
아리랑축산,전라남도 영암군 미암면 춘동리 ,한우,52,2025-05-01
삼호축산,전라남도 영암군 미암면 신포리 ,한우,170,2025-05-01
성일농장,전라남도 영암군 미암면 호포리 ,한우,120,2025-05-01
성지축산,전라남도 영암군 미암면 채지리 ,한우,45,2025-05-01
소우축산,전라남도 영암군 금정면 안노리 ,한우,78,2025-05-01
갑산축산,전라남도 영암군 금정면 안노리 ,한우,40,2025-05-01
금오축산,전라남도 영암군 금정면 연소리 ,한우,34,2025-05-01
연지축산,전라남도 영암군 금정면 안노리 ,한우,21,2025-05-01
시목농장,전라남도 영암군 학산면 묵동리 ,한우,300,2025-05-01
용산축산,전라남도 영암군 신북면 용산리 ,한우,69,2025-05-01
송암축산,전라남도 영암군 신북면 행정리 ,한우,50,2025-05-01
골논축산,전라남도 영암군 학산면 묵동리 ,한우,24,2025-05-01
유명축산,전라남도 영암군 군서면 마산리 ,한우,90,2025-05-01
월출목장,전라남도 영암군 미암면 두억리 ,한우,110,2025-05-01
한중농장,전라남도 영암군 도포면 덕화리 ,한우,21,2025-05-01
기호농장,전라남도 영암군 도포면 수산리 ,한우,22,2025-05-01
상록수농장,전라남도 영암군 군서면 동호리 ,한우,35,2025-05-01
수산농장,전라남도 영암군 도포면 수산리 ,한우,55,2025-05-01
선경축산,전라남도 영암군 도포면 덕화리 ,한우,40,2025-05-01
백야축산,전라남도 영암군 삼호읍 동호리 ,한우,23,2025-05-01
조은농장,전라남도 영암군 삼호읍 용앙리 ,한우,30,2025-05-01
사랑농장,전라남도 영암군 삼호읍 서호리 ,한우,65,2025-05-01
오복축산,전라남도 영암군 삼호읍 망산리 ,한우,6,2025-05-01
군서농장,전라남도 영암군 군서면 도갑리 ,한우,67,2025-05-01
지남농장,전라남도 영암군 군서면 동호리 ,한우,56,2025-05-01
한임선한우농장,전라남도 영암군 군서면 동호리 ,한우,43,2025-05-01
동호농장,전라남도 영암군 군서면 동호리 ,한우,17,2025-05-01
청우농장,전라남도 영암군 군서면 마산리 ,한우,55,2025-05-01
복기농장,전라남도 영암군 군서면 마산리 ,한우,23,2025-05-01
오산농축산,전라남도 영암군 군서면 마산리 ,한우,40,2025-05-01
황소농장,전라남도 영암군 삼호읍 산호리 ,한우,35,2025-05-01
성촌축산,전라남도 영암군 영암읍 학송리 ,한우,36,2025-05-01
신정축산,전라남도 영암군 영암읍 농덕리 ,한우,31,2025-05-01
천유목장,전라남도 영암군 신북면 양계리 ,한우,70,2025-05-01
학동농장,전라남도 영암군 신북면 학동리 ,한우,15,2025-05-01
동호농장,전라남도 영암군 군서면 동호리 ,한우,26,2025-05-01
정일축산,전라남도 영암군 군서면 마산리 ,한우,63,2025-05-01
두영농장,전라남도 영암군 학산면 용산리 ,한우,14,2025-05-01
가람농장,전라남도 영암군 학산면 용산리 ,한우,18,2025-05-01
선재축산,전라남도 영암군 학산면 묵동리 ,한우,35,2025-05-01
종남축산,전라남도 영암군 도포면 덕화리 ,한우,60,2025-05-01
자림농장,전라남도 영암군 도포면 원항리 ,한우,70,2025-05-01
종남농장,전라남도 영암군 도포면 도포리 ,한우,50,2025-05-01
만성농장,전라남도 영암군 도포면 원항리 ,한우,30,2025-05-01
석중농장,전라남도 영암군 도포면 덕화리 ,한우,30,2025-05-01
최선철농장,전라남도 영암군 군서면 동호리 ,한우,51,2025-05-01
주안농장,전라남도 영암군 삼호읍 망산리 ,한우,140,2025-05-01
목삼농장,전라남도 영암군 삼호읍 난전리 ,한우,30,2025-05-01
장군농장,전라남도 영암군 학산면 용산리 ,한우,110,2025-05-01
용산축산,전라남도 영암군 학산면 용산리 ,한우,20,2025-05-01
산정축업,전라남도 영암군 신북면 용산리 ,한우,30,2025-05-01
남영축산,전라남도 영암군 서호면 화송리 ,한우,38,2025-05-01
용균축산,전라남도 영암군 시종면 봉소리 ,한우,15,2025-05-01
한울농장,전라남도 영암군 시종면 옥야리 ,한우,23,2025-05-01
최용출농장,전라남도 영암군 군서면 동호리 ,한우,15,2025-05-01
종만축산,전라남도 영암군 서호면 성재리 ,한우,34,2025-05-01
흥우농장,전라남도 영암군 도포면 수산리 ,한우,70,2025-05-01
희연축산,전라남도 영암군 신북면 월평리 ,한우,200,2025-05-01
한우리축산,전라남도 영암군 도포면 봉호리 ,한우,100,2025-05-01
연소목장,전라남도 영암군 시종면 신연리 ,한우,132,2025-05-01
영등축산,전라남도 영암군 덕진면 영등리 ,한우,21,2025-05-01
꿀산농장,전라남도 영암군 덕진면 금강리 ,한우,150,2025-05-01
황금축산,전라남도 영암군 덕진면 운암리 ,한우,1,2025-05-01
경호축산,전라남도 영암군 덕진면 장선리 ,한우,215,2025-05-01
수암농장,전라남도 영암군 덕진면 용산리 ,한우,13,2025-05-01
흥록축산,전라남도 영암군 학산면 금계리 ,한우,20,2025-05-01
현균농장,전라남도 영암군 금정면 월평리 ,한우,40,2025-05-01
봉황농장,전라남도 영암군 금정면 세류리 ,한우,36,2025-05-01
신동축산,전라남도 영암군 학산면 용산리 ,한우,100,2025-05-01
약수영농조합법인,전라남도 영암군 덕진면 노송리 ,한우,55,2025-05-01
성호농장,전라남도 영암군 삼호읍 난전리 ,한우,20,2025-05-01
서창농장,전라남도 영암군 삼호읍 서창리 ,한우,25,2025-05-01
갑연목장,전라남도 영암군 신북면 용산리 ,한우,108,2025-05-01
야곱농장,전라남도 영암군 신북면 양계리 ,한우,70,2025-05-01
덕실농장,전라남도 영암군 도포면 영호리 ,한우,40,2025-05-01
성산목장,전라남도 영암군 도포면 성산리 ,한우,40,2025-05-01
우정목장,전라남도 영암군 삼호읍 서창리 ,한우,100,2025-05-01
군서축산,전라남도 영암군 군서면 서구림리 ,한우,80,2025-05-01
